d,o,h,l,c,v
2025-08-01,79.800000,80.000000,77.245000,78.000000,1878576
2025-08-04,77.680000,80.760000,77.680000,80.600000,2292280
2025-08-05,81.200000,82.720000,80.810000,82.410000,2617987
2025-08-06,82.940000,83.880000,80.930000,80.970000,2387039
2025-08-07,81.910000,83.160000,81.230000,82.750000,1830620
2025-08-08,83.190000,84.380000,82.770000,82.940000,1505559
2025-08-11,83.240000,83.890000,82.060000,82.220000,1579538
2025-08-12,82.300000,85.310000,81.950000,82.520000,2793617
2025-08-13,81.980000,83.290000,80.330000,83.240000,1660542
2025-08-14,82.920000,83.083500,81.320000,82.100000,1989501
2025-08-15,82.170000,82.600000,81.050000,81.780000,1131134
2025-08-18,81.570000,82.070841,80.260000,80.570000,1910168
2025-08-19,80.360000,80.360000,78.366200,79.870000,1832543
2025-08-20,80.650000,82.630000,80.650000,82.370000,2254657
2025-08-21,82.330000,84.690000,82.215000,83.400000,2102619
2025-08-22,83.430000,87.160000,83.430000,87.110000,3253104
2025-08-25,87.210000,88.510000,87.100000,88.150000,2277853
2025-08-26,87.370000,87.745000,84.760000,84.930000,2425621
2025-08-27,84.580000,85.930000,84.390000,84.670000,1350107
2025-08-28,84.740000,85.070000,83.920000,84.630000,1373782
2025-08-29,84.120000,85.085000,84.000000,84.220000,1424784
2025-09-02,83.620000,84.390000,80.480000,81.420000,3710032
2025-09-03,81.090000,81.570000,80.220000,81.230000,1945480
2025-09-04,81.120000,81.930000,80.470000,81.130000,1549631
2025-09-05,80.960000,84.380000,80.960000,84.330000,1981864
2025-09-08,84.350000,85.307000,83.000000,84.340000,2509788
2025-09-09,84.500000,85.060000,83.990000,84.150000,1693787
2025-09-10,83.630000,84.075000,78.610000,82.340000,3084024
2025-09-11,82.080000,82.630000,81.260000,81.940000,1068429
2025-09-12,81.710000,82.095000,81.225000,81.620000,1200986
2025-09-15,81.920000,82.065000,80.270000,80.300000,1593206
2025-09-16,80.540000,84.090000,79.575000,83.690000,2429978
2025-09-17,83.430000,83.830000,80.350000,80.410000,1880427
2025-09-18,80.900000,81.120000,79.420000,79.900000,1625670
2025-09-19,79.940000,80.100000,79.140000,79.170000,4707804
2025-09-22,78.930000,79.100000,76.010000,77.140000,2061684
2025-09-23,77.660000,79.730000,77.600000,78.460000,1842112
2025-09-24,78.750000,80.080000,78.530000,78.990000,1707934
2025-09-25,79.400000,80.180000,78.820000,79.390000,1551825
2025-09-26,79.930000,82.020000,79.515000,81.970000,2297379
2025-09-29,82.160000,82.635000,80.120000,82.430000,1841830
2025-09-30,82.360000,82.500000,80.770000,81.250000,1649294
2025-10-01,81.570000,82.540000,81.190000,82.490000,1627389
2025-10-02,82.450000,83.695000,81.640000,83.020000,1577656
2025-10-03,82.990000,84.145600,82.440000,83.970000,991421
2025-10-06,83.700000,84.880000,83.160000,84.130000,1221032
2025-10-07,84.040000,85.420000,83.670000,84.020000,1448408
2025-10-08,83.900000,84.500000,81.465000,82.440000,1319541
2025-10-09,82.720000,84.000000,81.080000,81.270000,1652571
2025-10-10,81.490000,82.400000,80.700000,80.770000,1379999
2025-10-13,80.600000,82.390000,80.160000,80.980000,1299826
2025-10-14,80.150000,82.720000,79.115000,82.410000,2300552
2025-10-15,88.790000,93.440000,88.075000,93.090000,4998185
2025-10-16,94.000000,98.110000,93.970000,95.330000,4215836
2025-10-17,94.920000,98.230000,92.689600,97.500000,2699405
2025-10-20,98.000000,99.405000,96.650000,97.250000,1928556
2025-10-21,97.250000,97.250000,94.440000,94.730000,1884604
2025-10-22,94.690000,95.540000,93.280000,95.480000,1361411
2025-10-23,96.500000,97.185000,94.845000,96.690000,1074929
2025-10-24,97.200000,97.850000,96.810000,97.800000,887943
2025-10-27,99.470000,99.550000,96.180000,96.420000,1219818
2025-10-28,95.780000,97.185000,95.410000,96.370000,1191494
2025-10-29,96.500000,97.090000,95.750000,96.100000,1203897
2025-10-30,95.950000,96.870000,95.002900,95.140000,1164083
2025-10-31,94.560000,95.370000,93.760000,94.600000,1112200
2025-11-03,94.800000,94.800000,92.850000,94.020000,1300888
2025-11-04,92.820000,95.340000,91.600000,93.900000,2052610
2025-11-05,92.920000,98.682500,92.920000,95.570000,2520821
2025-11-06,96.870000,97.590000,94.100000,94.770000,2860212
2025-11-07,95.070000,95.230000,93.540000,94.720000,1486829
2025-11-10,95.720000,95.720000,93.550000,95.070000,1272926
2025-11-11,95.150000,96.840000,94.655000,96.450000,1272730
2025-11-12,96.160000,97.750000,95.600000,96.300000,1288843
2025-11-13,96.240000,98.390000,96.050000,96.900000,1610469
2025-11-14,96.500000,97.495000,94.915000,96.010000,1113936
2025-11-17,95.090000,96.710000,93.910000,93.970000,1436717
2025-11-18,93.980000,96.620000,93.440000,96.140000,1370359
2025-11-19,96.280000,96.730000,91.090000,93.150000,2610602
2025-11-20,93.460000,94.610000,92.700000,92.800000,1838973
2025-11-21,92.910000,95.330000,92.555000,94.580000,1372512
2025-11-24,94.500000,94.910000,93.480000,93.510000,1666332
2025-11-25,93.630000,96.510000,93.310000,96.510000,1442107
2025-11-26,96.520000,97.305000,96.040000,96.480000,1115908
2025-11-28,96.470000,97.090000,95.990000,96.070000,514512
2025-12-01,96.400000,97.400000,95.530000,96.420000,1479534
2025-12-02,97.120000,97.250000,95.580000,96.050000,1409340
2025-12-03,96.700000,97.350000,95.140000,95.290000,1034400
2025-12-04,95.750000,95.985000,92.400000,94.390000,1084199
2025-12-05,94.300000,94.800000,93.610000,93.630000,919284
2025-12-08,93.460000,93.595000,91.630000,91.910000,1062096
2025-12-09,91.600000,92.660000,91.020000,91.450000,1066948
2025-12-10,91.660000,92.430000,90.120000,91.500000,1068590
