d,o,h,l,c,v
2024-07-25,151.440000,151.440000,145.721800,146.395200,12063400
2024-07-26,147.941600,148.569400,146.366000,148.039600,5849850
2024-07-29,149.404000,151.985200,148.611200,150.205200,5617425
2024-07-30,150.084400,151.657600,147.350000,148.839600,5495950
2024-07-31,151.040000,151.040000,148.004800,148.600400,9829600
2024-08-01,148.649200,149.936396,145.257200,146.567200,13797850
2024-08-02,132.463600,138.622400,131.642000,133.125200,20040575
2024-08-05,128.200000,135.494080,127.200000,135.337200,16633825
2024-08-06,136.600000,139.631200,135.459600,136.683200,10731400
2024-08-07,136.106000,138.893600,131.672000,132.224800,10497850
2024-08-08,132.642800,136.383200,132.315812,135.794000,9433625
2024-08-09,135.794000,138.240000,135.794000,137.722000,6296450
2024-08-12,137.696400,138.858800,135.970800,137.567200,5320725
2024-08-13,139.398400,142.890000,138.899800,142.710400,6582050
2024-08-14,142.880000,144.410800,142.305532,142.903200,4751075
2024-08-15,144.800000,146.158200,144.289600,145.386800,5044475
2024-08-16,145.386800,145.462000,143.691200,144.754400,4910275
2024-08-19,144.660800,148.231600,144.417600,148.080400,4955700
2024-08-20,147.686000,148.780400,146.621500,148.100000,4403175
2024-08-21,148.100000,149.801400,147.325600,149.520000,6540300
2024-08-22,150.096800,151.646800,150.096800,150.723600,4348475
2024-08-23,151.171200,154.129000,150.377200,153.223200,5583575
2024-08-26,153.680000,154.332800,151.390000,151.915600,5481500
2024-08-27,151.940800,156.063000,151.940800,155.258000,5910650
2024-08-28,155.120000,156.462800,154.413200,155.929600,5806075
2024-08-29,156.600000,157.190640,155.291200,155.632400,5601400
2024-08-30,157.204000,157.610000,155.428000,156.369200,5990875
2024-09-03,155.040400,156.217200,151.928400,152.551200,6919850
2024-09-04,151.046400,152.343200,150.779400,151.968400,5490900
2024-09-05,150.171600,151.596200,149.291400,151.275200,5307675
2024-09-06,151.085600,151.773600,148.038800,149.254000,7078475
2024-09-09,149.980800,152.360800,148.743200,152.115600,6028000
2024-09-10,152.734400,153.497200,151.113600,153.392800,4372625
2024-09-11,153.440000,153.440000,148.773600,153.098800,6136025
2024-09-12,153.374800,155.819600,152.555200,154.828000,4654575
2024-09-13,155.840000,157.546000,155.780400,157.303600,3992425
2024-09-16,158.000000,159.980396,157.200000,159.160000,4512250
2024-09-17,160.000000,161.899600,159.400000,161.697200,4351150
2024-09-18,162.000000,162.953600,160.740400,161.132000,3401275
2024-09-19,164.150400,164.199600,159.913600,160.700400,7466350
2024-09-20,160.386800,162.698400,159.422800,162.560400,11098150
2024-09-23,162.560400,164.194600,161.227600,163.883200,6343150
2024-09-24,165.120000,167.311596,163.396000,167.102400,5401000
2024-09-25,167.102400,167.244400,165.953200,167.028000,4917675
2024-09-26,168.411600,170.915200,167.875600,170.757600,5350175
2024-09-27,170.760400,170.839600,169.242400,169.924000,4067825
2024-09-30,168.806000,169.134600,167.325200,168.484800,5446150
2024-10-01,169.120000,169.120000,163.408000,164.039600,5963500
2024-10-02,164.039600,165.145600,162.889600,165.000400,4113775
2024-10-03,163.200000,164.541600,162.439200,164.164800,3017100
2024-10-04,166.590400,167.872000,165.372988,167.508000,4190725
2024-10-07,167.034800,170.251200,166.378400,166.792800,4611250
2024-10-08,167.200000,170.400000,167.200000,169.327200,4022450
2024-10-09,169.160000,172.190800,169.090800,171.680000,3848525
2024-10-10,171.560000,172.320000,170.689600,171.528800,3111150
2024-10-11,172.000000,173.141600,171.114400,171.389200,3125675
2024-10-14,171.896800,172.727600,171.364000,171.908800,3494225
2024-10-15,171.134000,174.846800,170.980400,172.310800,4569275
2024-10-16,172.016400,174.236800,171.154000,173.490800,3100850
2024-10-17,174.400000,175.798000,174.280600,174.830800,3717475
2024-10-18,174.830800,175.110800,173.380000,174.032800,3652750
2024-10-21,172.929200,175.044400,172.929200,174.548800,3307725
2024-10-22,173.269200,175.800000,173.233600,175.111200,3107600
2024-10-23,174.164000,174.813600,170.824000,172.520400,4446900
2024-10-24,172.003200,173.651600,171.573200,173.549200,3994100
2024-10-25,175.000000,175.000000,173.366400,173.912800,3739700
2024-10-28,175.199600,175.199600,172.803000,173.903600,5381625
2024-10-29,173.288400,177.634800,173.288400,177.101600,5048050
2024-10-30,175.400000,179.115200,175.400000,178.557200,8017400
2024-10-31,189.360000,194.264000,185.753200,187.050000,12850600
2024-11-01,186.760000,191.604600,186.760000,189.964400,12993800
2024-11-04,190.879600,193.000000,189.130000,191.058400,4999750
2024-11-05,190.800000,196.640400,190.800000,196.599200,9634475
2024-11-06,201.465600,202.420000,197.685200,200.047600,6813450
2024-11-07,200.528800,200.680800,196.521600,196.834800,8381500
2024-11-08,196.913200,199.024000,196.913200,197.730800,7059025
2024-11-11,197.440000,202.777600,197.440000,202.616000,4386825
2024-11-12,201.160400,202.029600,199.848400,200.916800,7787550
2024-11-13,199.920000,201.358400,198.894000,199.497600,4983375
2024-11-14,198.320000,199.800200,198.077800,198.839200,6051800
2024-11-15,198.800000,199.191196,197.300000,199.007600,5893625
2024-11-18,198.775600,201.177200,197.238000,200.711200,5731525
2024-11-19,199.752000,199.752000,197.484400,199.079600,5114500
2024-11-20,198.672400,200.762000,196.281200,200.657200,4187550
2024-11-21,202.024800,208.466400,200.657600,208.436800,6072100
2024-11-22,208.101600,208.640000,205.633600,207.086000,6168525
2024-11-25,208.520000,209.480000,202.947200,204.353200,11111450
2024-11-26,204.400000,208.600000,204.400000,208.588800,4067550
2024-11-27,207.507600,209.200000,206.440000,208.926000,4278575
2024-11-29,207.094400,209.200000,207.094400,208.079200,3317650
2024-12-02,208.256400,209.327600,207.401604,208.971200,5146575
2024-12-03,208.971200,210.328000,208.166800,208.575200,4896900
2024-12-04,208.000000,209.946800,206.470600,209.726400,5079550
2024-12-05,210.155200,213.200000,208.000000,211.517600,4594225
2024-12-06,210.400000,213.488000,210.400000,212.013600,4707950
2024-12-09,209.600000,211.212180,205.683200,205.984000,6824975
2024-12-10,206.960000,208.946800,204.462800,207.413200,6371350
2024-12-11,210.132800,211.822000,208.751200,211.720000,4911000
2024-12-12,212.000000,213.489600,210.225800,210.757200,3697575
2024-12-13,209.600000,210.416368,208.544000,209.104400,4101550
2024-12-16,208.265600,209.256000,205.647600,206.085200,8563325
2024-12-17,205.160000,207.090000,204.393400,206.198400,5513725
2024-12-18,206.198400,206.690800,197.594000,197.734000,7907200
2024-12-19,199.883200,200.826400,197.873400,199.216000,6956925
2024-12-20,198.217200,203.408400,198.217200,201.943600,11598450
2024-12-23,202.671600,202.855400,200.204800,202.524800,4130825
2024-12-24,203.450800,204.917600,202.027600,204.917600,1965875
2024-12-26,203.762400,205.033600,203.712000,203.841600,1716650
2024-12-27,202.400000,203.145600,200.645200,201.495600,2911425
2024-12-30,199.700000,200.659200,197.521756,199.634800,3693375
2024-12-31,199.600000,200.289200,198.530400,198.736800,2632275
2025-01-02,199.626800,201.595200,195.866600,197.011600,3532500
2025-01-03,197.511200,198.478124,195.154504,196.154000,4138875
2025-01-06,197.706800,197.706800,193.822000,196.391600,6955650
2025-01-07,195.256400,195.574400,191.520000,191.844000,5508275
