d,o,h,l,c,v
2024-07-25,824.960000,848.580000,822.430000,836.540000,587524
2024-07-26,841.970000,857.650000,841.100000,856.200000,555814
2024-07-29,858.000000,865.170000,852.370000,862.150000,612694
2024-07-30,868.130000,873.892900,865.177200,872.590000,539579
2024-07-31,875.320000,885.100000,871.900000,876.500000,656942
2024-08-01,880.000000,884.670000,860.320000,865.350000,586568
2024-08-02,855.000000,858.200000,839.290000,846.020000,479910
2024-08-05,824.690000,848.920000,813.180000,830.760000,1328900
2024-08-06,834.520000,852.230000,829.500000,840.960000,525216
2024-08-07,852.260000,856.400000,838.470000,839.840000,750874
2024-08-08,846.200000,855.790000,843.619400,854.830000,381506
2024-08-09,853.420000,862.210000,849.804500,856.210000,290379
2024-08-12,854.140000,857.000000,835.450000,838.270000,510339
2024-08-13,844.480000,856.210000,843.700000,854.590000,385850
2024-08-14,856.030000,859.620000,851.375000,857.520000,325149
2024-08-15,864.520000,875.830000,863.030000,872.060000,520789
2024-08-16,872.250000,874.870000,868.700000,872.490000,395236
2024-08-19,873.590000,877.019900,866.310000,870.210000,456067
2024-08-20,869.450000,871.990000,859.731400,860.970000,348724
2024-08-21,861.880000,864.920000,853.760000,863.090000,453730
2024-08-22,863.090000,868.740000,858.980000,865.240000,327417
2024-08-23,869.500000,884.660000,867.027000,882.840000,416346
2024-08-26,882.760000,888.999900,878.780000,883.140000,413854
2024-08-27,883.500000,888.000000,878.700000,886.130000,300431
2024-08-28,886.440000,895.440000,883.710000,888.660000,441255
2024-08-29,888.660000,898.660000,884.780000,894.870000,417957
2024-08-30,898.290000,903.460000,889.960000,901.810000,478238
2024-09-03,899.070000,900.000000,881.010000,886.430000,433546
2024-09-04,880.330000,890.700000,879.175000,886.490000,356689
2024-09-05,889.700000,889.700000,873.140000,876.640000,426067
2024-09-06,878.140000,884.760000,861.110000,866.920000,748945
2024-09-09,873.440000,884.010000,870.924100,877.940000,394767
2024-09-10,886.220000,886.220000,869.315000,883.830000,269895
2024-09-11,878.440000,878.490000,854.160000,877.120000,432016
2024-09-12,880.830000,886.465000,874.380000,885.120000,479019
2024-09-13,888.140000,892.140000,882.680000,885.730000,406877
2024-09-16,888.340000,895.900000,886.600000,895.180000,380880
2024-09-17,897.350000,908.879900,895.190000,904.520000,416949
2024-09-18,911.810000,930.500000,905.750000,922.710000,656407
2024-09-19,938.250000,942.730000,925.720000,934.870000,625501
2024-09-20,930.670000,931.789400,924.625000,928.790000,970244
2024-09-23,929.970000,939.459900,928.790000,937.610000,396587
2024-09-24,934.000000,942.160000,930.000000,941.230000,366529
2024-09-25,942.720000,942.840000,934.610000,936.800000,476839
2024-09-26,945.000000,952.750000,939.411800,945.020000,459569
2024-09-27,945.470000,950.350000,942.100000,945.210000,472522
2024-09-30,944.290000,951.270000,935.970000,949.510000,362331
2024-10-01,945.320000,945.320000,918.963500,934.020000,543932
2024-10-02,939.870000,957.280000,933.000000,957.250000,368283
2024-10-03,953.570000,958.630000,949.490000,951.490000,511292
2024-10-04,960.740000,960.740000,931.030100,949.190000,491906
2024-10-07,952.000000,956.820000,937.960000,940.670000,561592
2024-10-08,951.550000,955.362300,942.280000,949.070000,389013
2024-10-09,950.000000,962.949900,947.980000,955.920000,573319
2024-10-10,955.000000,963.330000,953.615000,955.590000,564397
2024-10-11,963.210000,996.290000,963.150000,990.260000,927686
2024-10-14,999.170000,1001.450000,989.190000,991.720000,768522
2024-10-15,998.000000,1016.450000,996.120000,1007.000000,618827
2024-10-16,1004.150000,1019.220000,1004.150000,1015.750000,547221
2024-10-17,1023.600000,1032.000000,1001.640000,1002.500000,684835
2024-10-18,1009.480000,1009.480000,998.380000,1007.020000,505446
2024-10-21,1005.000000,1008.580000,997.214400,1000.530000,311219
2024-10-22,997.110000,1003.870000,990.790100,1000.810000,504449
2024-10-23,997.050000,1008.640000,982.670000,988.160000,441721
2024-10-24,991.040000,992.030000,983.230000,984.000000,353688
2024-10-25,987.350000,987.350000,968.950100,974.070000,433666
2024-10-28,982.000000,989.450000,979.010000,986.220000,329564
2024-10-29,985.000000,989.767700,979.130000,983.170000,269629
2024-10-30,985.520000,997.999900,978.960000,979.870000,428033
2024-10-31,970.160000,986.070000,969.540000,981.030000,607916
2024-11-01,984.000000,991.970000,980.230000,985.080000,792041
2024-11-04,979.140000,992.010000,976.050000,991.500000,512484
2024-11-05,992.000000,1017.685000,992.000000,1014.350000,425106
2024-11-06,1046.260000,1057.510000,1000.000000,1029.820000,1266866
2024-11-07,1039.990000,1044.950000,1032.400000,1036.060000,528690
2024-11-08,1040.980000,1050.440000,1036.670000,1039.280000,454488
2024-11-11,1048.830000,1068.340000,1047.500000,1053.840000,681474
2024-11-12,1054.200000,1057.080000,1033.590000,1036.350000,489961
2024-11-13,1038.370000,1043.650000,1026.180000,1030.980000,408874
2024-11-14,1040.710000,1058.890000,1037.200000,1047.080000,1048811
2024-11-15,1038.490000,1052.510000,1035.010000,1047.370000,583514
2024-11-18,1038.580000,1053.220000,1037.400000,1049.970000,563277
2024-11-19,1042.000000,1044.310000,1027.590000,1028.110000,673775
2024-11-20,1032.350000,1036.700000,1018.000000,1024.670000,593741
2024-11-21,1034.730000,1039.430000,1024.600000,1028.000000,473229
2024-11-22,1033.000000,1041.940000,1028.500100,1036.460000,713063
2024-11-25,1048.840000,1049.000000,1030.570000,1031.490000,1463706
2024-11-26,1032.050000,1038.320000,1018.200000,1026.480000,772882
2024-11-27,1029.550000,1033.999900,1018.040000,1019.450000,481939
2024-11-29,1020.820000,1029.319900,1020.820000,1022.800000,390048
2024-12-02,1026.550000,1033.650000,1012.870000,1020.110000,719871
2024-12-03,1031.090000,1046.290000,1021.000000,1039.000000,941990
2024-12-04,1038.000000,1039.380000,1012.480000,1035.000000,1029652
2024-12-05,1030.000000,1057.613800,1028.530000,1044.780000,880600
2024-12-06,1044.420000,1053.229900,1038.350000,1042.870000,550452
2024-12-09,1049.970000,1055.820000,1043.250000,1046.380000,742764
