d,o,h,l,c,v
2025-08-01,247.060000,247.060000,242.415000,244.650000,534573
2025-08-04,244.980000,249.130000,243.760000,248.460000,968578
2025-08-05,250.900000,269.140000,250.900000,265.330000,1608603
2025-08-06,267.020000,267.810000,262.620000,266.890000,1028562
2025-08-07,267.890000,271.910000,263.280000,266.480000,1263373
2025-08-08,267.040000,268.165000,264.730000,265.940000,536111
2025-08-11,266.350000,266.370000,262.600000,263.470000,644253
2025-08-12,263.170000,264.145000,260.960000,262.500000,679386
2025-08-13,263.450000,263.990000,260.150000,261.680000,800605
2025-08-14,261.230000,261.230000,258.615000,259.230000,644803
2025-08-15,259.300000,260.745000,256.950000,260.600000,803783
2025-08-18,260.600000,261.760000,259.970000,260.060000,609321
2025-08-19,260.140000,263.439900,260.140000,262.920000,467794
2025-08-20,263.740000,265.368600,261.790000,261.860000,866057
2025-08-21,260.820000,261.620000,259.520000,260.830000,529615
2025-08-22,261.450000,264.100000,260.805000,262.180000,651186
2025-08-25,262.030000,263.000000,256.040000,256.690000,580504
2025-08-26,256.860000,257.295000,255.361100,257.290000,1292383
2025-08-27,257.530000,259.025000,256.340000,258.150000,459040
2025-08-28,258.400000,258.500000,256.265000,257.070000,542162
2025-08-29,257.750000,258.700000,255.610000,255.620000,817511
2025-09-02,254.840000,256.670000,251.225000,251.960000,706291
2025-09-03,250.800000,252.160000,247.515000,249.820000,523915
2025-09-04,250.310000,252.110000,249.145800,252.020000,655440
2025-09-05,252.440000,253.930000,249.235000,251.020000,542025
2025-09-08,250.540000,253.785000,249.252800,253.430000,593102
2025-09-09,252.900000,253.060000,250.840000,252.370000,491285
2025-09-10,251.200000,252.845000,247.710000,250.110000,566798
2025-09-11,251.130000,255.660000,250.320000,254.820000,663185
2025-09-12,253.670000,255.735000,251.810000,252.030000,547705
2025-09-15,252.470000,253.360000,249.670000,249.790000,405622
2025-09-16,249.480000,250.020000,244.910000,245.610000,524386
2025-09-17,246.000000,250.260000,244.920000,245.120000,931465
2025-09-18,245.320000,247.640000,242.420000,242.560000,555749
2025-09-19,243.750000,243.825000,240.605000,241.460000,1989601
2025-09-22,241.460000,242.260000,240.429200,241.600000,639214
2025-09-23,241.230000,241.990000,238.460000,238.820000,579078
2025-09-24,238.230000,239.600000,235.705000,236.010000,486314
2025-09-25,236.220000,237.110000,233.800100,234.880000,641086
2025-09-26,235.870000,236.979900,234.650000,236.000000,603129
2025-09-29,236.760000,238.580000,235.660000,237.630000,568008
2025-09-30,236.230000,238.230000,235.295000,238.170000,636840
2025-10-01,236.680000,238.116500,234.340000,234.600000,609161
2025-10-02,233.520000,234.999900,231.700000,233.690000,574118
2025-10-03,233.410000,235.400000,232.532500,234.690000,414902
2025-10-06,234.330000,235.535000,232.160000,235.170000,707798
2025-10-07,235.660000,238.730000,235.075000,236.900000,591658
2025-10-08,237.540000,237.980000,235.860000,236.600000,405829
2025-10-09,236.290000,237.390000,233.610000,234.120000,471300
2025-10-10,235.120000,235.620000,232.620000,232.850000,490389
2025-10-13,233.000000,234.225000,231.735000,232.670000,364267
2025-10-14,232.830000,235.685000,232.440000,235.010000,429023
2025-10-15,234.220000,235.920000,231.430000,231.490000,739628
2025-10-16,232.000000,233.485000,225.645000,226.380000,865610
2025-10-17,226.910000,229.140000,225.620000,228.990000,533715
2025-10-20,229.070000,231.345000,228.070000,230.680000,378581
2025-10-21,230.300000,233.245200,228.490000,232.320000,356552
2025-10-22,231.330000,234.772500,230.904000,232.950000,431691
2025-10-23,234.150000,236.020000,230.090000,232.100000,381818
2025-10-24,234.080000,235.270000,230.650000,232.290000,466547
2025-10-27,233.740000,233.740000,230.240000,231.920000,415101
2025-10-28,230.760000,231.920000,229.110000,229.800000,408172
2025-10-29,227.130000,228.250000,217.890000,219.880000,1077736
2025-10-30,220.240000,223.000000,219.190000,221.000000,1095477
2025-10-31,219.730000,221.470000,218.500000,220.400000,902005
2025-11-03,219.270000,222.480000,217.826600,221.180000,1049012
2025-11-04,225.770000,226.930000,218.790000,222.860000,919673
2025-11-05,221.350000,223.485000,217.930000,218.580000,821452
2025-11-06,217.530000,220.595000,215.080000,217.490000,780625
2025-11-07,218.190000,222.125000,217.155000,221.720000,646729
2025-11-10,220.640000,224.590000,220.420000,223.160000,797276
2025-11-11,223.790000,225.320000,222.300000,222.870000,811907
2025-11-12,224.150000,228.410000,222.660000,223.660000,704782
2025-11-13,222.220000,226.525000,220.430000,225.610000,675603
2025-11-14,225.600000,228.525000,224.735000,226.060000,1257076
2025-11-17,225.915000,227.840000,224.595000,224.770000,796737
2025-11-18,224.890000,226.680000,224.457322,224.940000,726635
2025-11-19,224.610000,227.430000,221.305500,226.330000,960993
2025-11-20,227.270000,229.230000,225.549800,227.120000,999557
2025-11-21,228.130000,230.760000,227.390000,228.390000,914591
2025-11-24,228.400000,230.220000,226.220000,226.230000,1140370
2025-11-25,227.370000,229.498900,227.370000,228.220000,432630
2025-11-26,227.150000,229.580000,227.150000,227.590000,566079
2025-11-28,228.690000,229.250000,226.220000,228.090000,222732
2025-12-01,227.060000,229.000000,226.320000,226.550000,669217
2025-12-02,227.190000,229.580000,224.980000,227.610000,749139
2025-12-03,227.260000,230.580000,227.260000,230.460000,741069
2025-12-04,230.860000,232.500000,229.190000,230.880000,584625
2025-12-05,230.450000,233.095000,229.460000,232.020000,748649
2025-12-08,231.250000,231.250000,226.180000,227.540000,654021
2025-12-09,227.750000,228.290000,224.850000,225.320000,647168
2025-12-10,225.720000,227.410000,224.460000,226.910000,665715
2025-12-11,228.330000,232.340000,227.765000,231.500000,590123
2025-12-12,231.500000,232.890000,229.540000,230.050000,590905
2025-12-15,230.160000,231.120000,226.900000,229.230000,637446
2025-12-16,230.330000,230.810000,227.250000,227.470000,784179
2025-12-17,227.330000,231.440000,227.190000,228.770000,1097059
2025-12-18,230.210000,230.920000,225.570000,226.610000,786138
2025-12-19,226.050000,227.920000,224.750000,225.960000,2439556
2025-12-22,226.170000,228.710000,225.805000,228.220000,489999
2025-12-23,228.260000,228.308300,226.314700,227.360000,395960
2025-12-24,226.300000,228.840000,226.300000,228.380000,146734
2025-12-26,228.560000,228.835000,227.460000,228.190000,233687
2025-12-29,228.410000,229.770000,227.020000,227.380000,310167
2025-12-30,226.370000,227.080000,225.087000,225.240000,332192
2025-12-31,224.970000,225.360000,223.040000,223.170000,291355
2026-01-02,223.170000,224.403000,219.230000,220.470000,544270
2026-01-05,219.460000,224.010000,218.640000,222.820000,676422
2026-01-06,221.530000,223.430000,219.327500,221.700000,603154
2026-01-07,222.360000,223.290000,218.330000,219.470000,572919
2026-01-08,220.100000,223.670000,219.460000,222.910000,497048
2026-01-09,222.790000,224.340000,221.960000,223.360000,720164
2026-01-12,222.930000,224.510000,220.720000,223.020000,645721
2026-01-13,222.390000,222.880000,220.060000,221.210000,707695
2026-01-14,220.660000,222.200000,219.020000,220.960000,745960
2026-01-15,221.710000,221.900000,218.550000,219.360000,988521
2026-01-16,218.530000,220.005000,216.645800,218.640000,696393
2026-01-20,216.460000,217.985000,208.670000,209.280000,959384
2026-01-21,209.860000,211.800000,204.930000,206.850000,1267396
2026-01-22,207.680000,211.370000,207.300000,209.790000,1004901
2026-01-23,207.690000,209.115000,204.610000,207.540000,836876
2026-01-26,207.810000,209.230000,206.700000,208.870000,517935
2026-01-27,207.510000,207.510000,205.060000,206.420000,739779
2026-01-28,205.980000,207.770000,203.890000,204.890000,758352
2026-01-29,203.580000,204.995000,193.060000,195.960000,1886970
