d,o,h,l,c,v
2025-08-01,473.470000,475.960000,470.620000,472.840000,5287484
2025-08-04,468.050000,468.870000,455.185000,459.110000,10874265
2025-08-05,460.600000,467.576200,460.380000,464.190000,6780711
2025-08-06,465.000000,469.550000,463.000000,468.910000,4557081
2025-08-07,469.200000,472.700000,461.370000,461.470000,5755747
2025-08-08,462.940000,465.830000,462.550000,465.400000,3330571
2025-08-11,466.460000,468.494000,463.504000,464.730000,3712076
2025-08-12,465.530000,472.472600,465.060000,470.390000,3771514
2025-08-13,471.700000,479.600000,471.500000,477.310000,4629437
2025-08-14,478.345000,479.220000,474.420000,479.220000,4187144
2025-08-15,482.350000,482.480000,476.290000,477.200000,5229761
2025-08-18,477.970000,479.000000,474.660000,478.520000,3911272
2025-08-19,479.770000,485.899900,479.770000,485.310000,4726408
2025-08-20,487.000000,492.217800,485.829000,488.680000,4779763
2025-08-21,487.240000,489.049000,483.680000,488.590000,3082174
2025-08-22,491.500000,493.140000,486.570000,489.000000,4205084
2025-08-25,489.010000,489.020000,481.830000,486.180000,3935117
2025-08-26,485.020000,492.790000,484.526700,492.210000,8217481
2025-08-27,491.080000,497.210000,490.600000,495.720000,4385918
2025-08-28,498.030000,500.140000,496.070000,499.860000,4530429
2025-08-29,500.850000,506.720000,500.850000,502.980000,4663613
2025-09-02,504.240000,505.900000,497.620000,501.140000,4977844
2025-09-03,499.550000,502.110000,496.590000,501.490000,3206165
2025-09-04,502.900000,507.380000,501.260000,506.910000,2976722
2025-09-05,506.000000,507.661000,497.750000,499.770000,4222890
2025-09-08,499.000000,499.650000,493.460000,493.780000,5146322
2025-09-09,492.450000,496.850000,491.720100,492.720000,3748686
2025-09-10,490.000000,491.700000,486.270100,490.080000,5561592
2025-09-11,489.330000,497.240000,489.030000,496.910000,3669007
2025-09-12,495.745000,497.625600,493.340000,493.740000,2951721
2025-09-15,493.600000,495.270000,489.500000,491.540000,3629775
2025-09-16,491.270000,491.920000,487.200000,490.990000,4069971
2025-09-17,490.935000,495.990000,490.300100,492.330000,5060688
2025-09-18,489.640000,494.880000,488.000000,490.500000,4058878
2025-09-19,491.870000,494.500000,488.880000,492.850000,7356280
2025-09-22,490.570000,494.710000,489.230000,493.710000,3582875
2025-09-23,493.765000,499.280000,493.522300,494.100000,3933240
2025-09-24,493.300000,497.160000,493.110000,497.090000,2811544
2025-09-25,496.150000,499.000000,494.730000,494.960000,4056103
2025-09-26,496.940000,502.100000,496.650000,500.030000,3707648
2025-09-29,500.000000,500.250000,495.020000,499.250000,5161913
2025-09-30,497.640000,503.780000,497.000000,502.740000,3873477
2025-10-01,502.500000,502.866100,495.900000,498.200000,4481081
2025-10-02,496.960000,499.610000,493.220000,495.920000,3461425
2025-10-03,495.900000,502.549900,495.050100,498.750000,4678832
2025-10-06,499.500000,504.970000,498.020100,500.020000,3519473
2025-10-07,500.160000,504.460000,498.610000,502.300000,3057382
2025-10-08,502.710000,503.500000,498.560000,499.840000,2944558
2025-10-09,499.980000,501.221000,494.510000,496.740000,3172176
2025-10-10,497.250000,497.990000,489.060000,489.130000,4763823
2025-10-13,488.150000,493.800000,487.820000,491.930000,3183457
2025-10-14,490.000000,497.060000,489.950100,495.970000,3056001
2025-10-15,493.900000,496.729200,490.350000,496.390000,3566239
2025-10-16,495.595000,495.999900,485.800000,488.810000,4254327
2025-10-17,490.000000,493.450000,489.250000,492.420000,3794296
2025-10-20,492.360000,494.415000,490.320100,494.080000,4605314
2025-10-21,493.700000,495.700000,491.250000,491.290000,2714528
2025-10-22,491.730000,492.980000,488.190100,491.810000,3376019
2025-10-23,492.190000,492.450000,488.113200,490.160000,3063026
2025-10-24,490.910000,492.980000,489.400000,492.100000,3166824
2025-10-27,491.920000,492.300000,484.550000,488.070000,6451495
2025-10-28,484.960000,485.670000,481.110000,481.440000,5029140
2025-10-29,477.320000,478.800000,473.720000,475.760000,6204476
2025-10-30,474.840000,480.908800,474.840000,478.520000,4786554
2025-10-31,476.800000,478.710000,475.310000,477.540000,7146403
2025-11-03,479.510000,479.990000,473.150000,475.680000,5868125
2025-11-04,475.500000,488.790000,475.500000,487.660000,7803248
