d,o,h,l,c,v
2024-07-25,97.930000,98.740000,97.210000,97.430000,1458085
2024-07-26,98.000000,99.260000,97.610000,99.170000,960217
2024-07-29,99.440000,99.920000,98.240000,98.660000,1489008
2024-07-30,99.250000,100.240000,99.020000,99.840000,967857
2024-07-31,99.580000,100.347600,98.690000,99.430000,2294142
2024-08-01,100.040000,100.860000,99.660000,100.800000,1097034
2024-08-02,100.660000,103.160000,99.270000,101.220000,1420825
2024-08-05,100.530000,100.565000,97.850000,98.380000,1382291
2024-08-06,98.670000,100.760000,98.445000,99.370000,1515083
2024-08-07,99.370000,101.232500,98.660000,98.790000,1504291
2024-08-08,98.760000,100.600000,98.760000,100.310000,991610
2024-08-09,100.310000,100.760000,99.775000,100.320000,604377
2024-08-12,100.430000,101.254700,99.365000,99.560000,919045
2024-08-13,99.920000,100.220000,99.161700,99.940000,826118
2024-08-14,100.120000,101.370000,100.010000,101.300000,1113688
2024-08-15,101.660000,101.800000,100.470000,101.190000,1211783
2024-08-16,101.390000,101.935000,100.890000,101.870000,1458427
2024-08-19,101.870000,102.587000,101.420000,102.520000,768976
2024-08-20,102.910000,103.180000,102.340000,102.890000,1159099
2024-08-21,103.820000,103.825000,102.610000,103.460000,643313
2024-08-22,103.620000,103.870000,103.120000,103.670000,643142
2024-08-23,103.710000,103.750000,101.850100,102.000000,935077
2024-08-26,102.110000,102.641300,101.730000,102.230000,896654
2024-08-27,102.390000,103.100000,102.195000,103.000000,591308
2024-08-28,103.280000,104.152800,102.680000,103.880000,686290
2024-08-29,103.880000,105.020000,103.365000,104.650000,924836
2024-08-30,104.860000,105.450000,104.300000,105.130000,1437928
2024-09-03,105.130000,105.710000,104.450000,104.960000,1174693
2024-09-04,105.140000,106.020000,104.985000,105.820000,748903
2024-09-05,105.900000,105.900000,103.630000,104.630000,994759
2024-09-06,104.630000,105.210000,103.750000,103.940000,1035733
2024-09-09,104.630000,105.100000,103.340000,103.720000,1406469
2024-09-10,103.920000,104.900000,103.070000,103.130000,1439828
2024-09-11,102.780000,102.780000,99.400000,100.700000,1741497
2024-09-12,100.600000,102.360000,100.000000,102.170000,1194539
2024-09-13,102.030000,103.270000,101.390000,103.130000,1578078
2024-09-16,103.820000,104.680000,103.570000,104.110000,1600000
2024-09-17,104.060000,104.130000,102.870000,103.200000,1007755
2024-09-18,103.330000,103.855000,102.190000,102.510000,2614112
2024-09-19,102.670000,102.670000,101.170000,101.450000,3374370
2024-09-20,101.300000,101.450000,99.690000,101.010000,3805157
2024-09-23,101.270000,102.240000,100.800000,102.210000,2341631
2024-09-24,101.860000,103.380000,101.015200,103.360000,3376551
2024-09-25,104.000000,104.577000,102.895000,103.350000,1523810
2024-09-26,103.120000,103.725000,102.520000,103.010000,1704386
2024-09-27,102.680000,103.180000,102.400000,102.650000,1460894
2024-09-30,102.990000,103.680000,102.180000,103.600000,1872525
2024-10-01,104.000000,105.670000,103.530000,105.010000,1876010
2024-10-02,104.990000,105.280000,104.540000,105.040000,1563379
