d,o,h,l,c,v
2025-08-01,104.745000,106.405000,104.060000,105.410000,6339005
2025-08-04,105.640000,106.800000,105.325000,106.790000,4623932
2025-08-05,106.660000,106.750000,104.530100,104.830000,4834855
2025-08-06,105.000000,105.375000,101.600000,102.950000,9105256
2025-08-07,103.350000,103.755000,101.960000,102.960000,5406367
2025-08-08,103.270000,104.460000,103.110000,103.140000,5076192
2025-08-11,102.770000,103.840000,102.515900,102.750000,4166218
2025-08-12,102.900000,103.580000,101.620000,102.640000,6446986
2025-08-13,102.800000,103.070000,101.620000,102.500000,5859649
2025-08-14,102.640000,104.330000,102.110000,104.150000,7246265
2025-08-15,104.420000,104.650000,102.590000,103.170000,5342558
2025-08-18,103.000000,103.360000,102.180000,103.050000,8516993
2025-08-19,102.320000,103.790000,102.050000,103.750000,5229654
2025-08-20,103.900000,106.332500,103.875000,106.050000,6062816
2025-08-21,105.830000,105.990000,104.900000,105.210000,5926815
2025-08-22,105.710000,106.685000,105.420000,106.170000,9397527
2025-08-25,106.160000,106.200000,105.100000,105.110000,4507934
2025-08-26,105.050000,106.460000,104.665000,106.390000,5613693
2025-08-27,106.430000,107.010000,105.820000,105.870000,5706509
2025-08-28,105.700000,105.900000,104.800000,105.750000,3936165
2025-08-29,105.640000,105.720000,104.885000,105.500000,4066889
2025-09-02,105.470000,106.870000,104.240000,106.660000,7768098
2025-09-03,107.000000,107.689300,105.170000,107.530000,7518768
2025-09-04,107.590000,108.465000,106.600000,107.290000,7355307
2025-09-05,107.110000,108.250000,106.715000,107.220000,4063376
2025-09-08,107.455000,108.680000,106.800000,108.140000,7455477
2025-09-09,107.890000,109.500000,107.880000,108.090000,5241086
2025-09-10,108.000000,108.070000,103.690000,105.230000,10385080
2025-09-11,105.410000,105.720000,103.520000,104.340000,8283248
2025-09-12,103.760000,104.430000,102.480000,102.710000,10541915
2025-09-15,102.810000,103.105000,99.680000,99.870000,12020473
2025-09-16,99.565000,99.860000,98.200000,98.980000,20889920
2025-09-17,98.980000,99.340000,97.470000,98.500000,12061867
2025-09-18,98.820000,98.820000,97.150000,98.230000,13867422
2025-09-19,98.900000,98.900000,96.850000,97.830000,16834176
2025-09-22,97.850000,97.890000,96.375000,97.030000,11013332
2025-09-23,96.170000,98.300000,96.020000,97.690000,14592980
2025-09-24,97.775000,98.795000,96.970000,98.060000,14130576
2025-09-25,98.060000,98.300000,96.020000,98.140000,9434294
2025-09-26,98.950000,100.000000,98.105000,98.180000,8188453
2025-09-29,98.110000,98.480000,96.800000,97.040000,12025277
