d,o,h,l,c,v
2025-08-01,66.350000,66.350000,63.270000,64.620000,2711945
2025-08-04,64.830000,66.180000,64.460000,65.740000,2056325
2025-08-05,65.890000,66.550000,65.140000,66.100000,2195178
2025-08-06,66.250000,66.436000,65.610000,66.020000,1537490
2025-08-07,66.470000,66.550000,65.200000,65.690000,1255128
2025-08-08,65.550000,65.920000,63.030000,63.250000,2107620
2025-08-11,63.000000,63.780000,61.990000,62.110000,1535094
2025-08-12,62.830000,63.680000,62.240000,63.670000,2294290
2025-08-13,63.720000,65.710000,63.670000,65.500000,1183318
2025-08-14,64.610000,65.450000,63.960000,65.210000,1105626
2025-08-15,65.450000,65.680000,64.545000,65.440000,937218
2025-08-18,65.660000,65.950000,64.960000,65.160000,1156022
2025-08-19,65.600000,66.900000,65.440000,66.870000,1306462
2025-08-20,67.000000,67.200000,66.065000,66.430000,1188487
2025-08-21,65.850000,66.520000,65.620000,66.420000,1031030
2025-08-22,66.630000,69.860000,66.555000,69.370000,1286898
2025-08-25,69.150000,69.980000,68.735000,69.680000,1128441
2025-08-26,69.640000,70.230000,69.090000,69.480000,2430086
2025-08-27,69.480000,71.200000,69.350000,71.050000,1120602
2025-08-28,71.290000,71.815000,70.340000,71.670000,1303762
2025-08-29,71.580000,72.650000,71.505000,72.510000,1088049
2025-09-02,71.520000,72.610000,71.180000,72.400000,1486008
2025-09-03,72.170000,73.900000,72.080000,73.780000,1363978
2025-09-04,74.210000,75.610000,73.890000,75.290000,2322187
2025-09-05,76.040000,77.420000,75.680000,76.830000,2049917
2025-09-08,75.000000,76.110000,73.320000,75.790000,3498775
2025-09-09,75.000000,75.000000,72.010000,72.400000,3222929
2025-09-10,71.190000,74.330000,71.190000,73.870000,2389085
2025-09-11,73.960000,76.600000,73.640000,76.230000,1508323
2025-09-12,76.270000,77.920000,76.045000,77.180000,2141897
2025-09-15,77.690000,77.940000,76.280000,77.810000,2099906
2025-09-16,77.950000,79.220000,77.660000,78.930000,2682944
2025-09-17,78.940000,79.330000,76.340000,76.430000,1667689
2025-09-18,76.460000,78.180000,76.240000,77.750000,1479997
2025-09-19,78.030000,78.230000,76.110000,76.440000,6244849
2025-09-22,75.630000,76.390000,75.030000,75.640000,1454009
2025-09-23,76.050000,77.270000,75.870000,76.190000,1105253
2025-09-24,75.250000,76.240000,74.850000,75.460000,2856419
2025-09-25,74.800000,75.490000,73.740000,75.360000,5472226
2025-09-26,75.360000,75.540000,74.010000,74.820000,2563256
2025-09-29,75.530000,75.655000,74.305000,75.370000,1982756
2025-09-30,74.850000,75.200000,73.020000,74.340000,2480928
2025-10-01,74.990000,76.370000,74.010000,76.320000,1843999
2025-10-02,76.370000,76.370000,74.740000,75.610000,1465692
2025-10-03,76.130000,76.365000,75.375000,75.610000,1509917
2025-10-06,75.400000,75.940000,74.515000,74.610000,1015817
2025-10-07,74.900000,75.015000,73.570000,73.770000,2118664
2025-10-08,73.880000,73.950000,72.840000,73.030000,2479304
2025-10-09,73.040000,73.105000,71.260000,71.450000,1309936
2025-10-10,71.680000,71.860000,69.410000,69.490000,1541847
2025-10-13,70.430000,70.805000,69.780000,70.100000,1847652
2025-10-14,69.580000,70.590000,69.440000,70.530000,2539940
2025-10-15,70.680000,72.640000,70.530000,71.730000,2067355
2025-10-16,71.800000,72.090000,70.000000,70.390000,2236964
2025-10-17,70.670000,71.370000,70.110000,71.060000,1403923
2025-10-20,71.310000,71.845000,70.629000,70.670000,905863
2025-10-21,70.670000,72.320000,70.530000,71.970000,1938540
2025-10-22,72.200000,73.320000,71.950000,73.200000,1505331
2025-10-23,73.380000,74.030000,72.170000,73.730000,1333928
2025-10-24,74.330000,74.960000,73.960000,74.180000,1350369
2025-10-27,73.900000,74.660000,73.510000,74.530000,1586080
2025-10-28,74.750000,74.770000,73.440000,74.090000,1913079
2025-10-29,73.050000,73.870000,69.980000,70.360000,3187171
2025-10-30,70.830000,71.750000,69.745000,70.430000,2219159
2025-10-31,70.140000,71.460000,69.825000,71.190000,2345103
2025-11-03,70.260000,70.870000,69.430000,70.610000,1369016
2025-11-04,69.880000,70.860000,69.500500,69.730000,1702298
2025-11-05,69.720000,69.800000,68.010000,69.370000,1547471
2025-11-06,70.330000,70.755000,68.970000,70.100000,1681339
2025-11-07,70.190000,72.540000,70.100000,72.360000,1903451
2025-11-10,72.360000,72.380000,71.010000,71.610000,1307297
