d,o,h,l,c,v
2025-08-01,68.000000,68.000000,66.440000,66.920000,5451557
2025-08-04,66.710000,67.350000,66.160000,66.540000,4834006
2025-08-05,66.860000,66.890000,65.750000,66.380000,3658929
2025-08-06,66.560000,66.560000,65.640000,66.110000,3579057
2025-08-07,66.910000,67.000000,66.098500,66.360000,4024898
2025-08-08,66.510000,66.890000,65.962500,66.030000,3321296
2025-08-11,65.870000,65.940000,64.540000,64.880000,5173167
2025-08-12,65.350000,66.130000,65.010000,65.730000,2989346
2025-08-13,66.020000,67.225000,65.505000,67.050000,3761239
2025-08-14,66.390000,66.629800,65.490000,65.760000,3743290
2025-08-15,66.030000,66.210000,65.330000,65.400000,2968322
2025-08-18,65.340000,66.570000,65.300000,66.490000,3660710
2025-08-19,66.490000,67.810000,66.070100,66.980000,6606638
2025-08-20,66.820000,67.190000,66.405000,66.840000,5520311
2025-08-21,66.600000,66.700000,64.905000,65.010000,10279777
2025-08-22,65.340000,67.980000,65.050000,67.750000,5535013
2025-08-25,67.420000,67.750000,65.960000,66.000000,4921292
2025-08-26,66.120000,66.560000,65.250000,66.480000,5909295
2025-08-27,66.460000,68.060000,66.350000,67.590000,7197661
2025-08-28,67.800000,67.930000,65.940000,66.170000,3615290
2025-08-29,66.370000,66.500000,64.890000,65.200000,6863764
2025-09-02,64.160000,64.500000,62.730000,63.500000,6415114
2025-09-03,63.460000,63.710000,61.765000,62.470000,6925572
2025-09-04,62.880000,63.680000,62.450000,63.540000,4471421
2025-09-05,64.350000,65.632500,64.185000,65.510000,5021948
2025-09-08,65.620000,66.135000,65.060000,65.610000,5761762
2025-09-09,64.400000,64.860000,62.450000,63.470000,5695248
2025-09-10,63.840000,64.800000,60.100000,62.500000,13960322
2025-09-11,62.000000,63.260000,61.650000,62.300000,7588598
2025-09-12,61.770000,62.530000,61.380000,61.670000,5224933
2025-09-15,61.900000,62.000000,60.680000,61.240000,6925632
2025-09-16,61.680000,61.900000,60.870000,60.930000,5180996
2025-09-17,61.210000,62.380000,60.230000,60.720000,7077838
2025-09-18,61.140000,61.690000,60.710000,61.100000,4700840
2025-09-19,61.200000,61.280000,60.360000,60.390000,5733467
2025-09-22,60.000000,60.470000,59.660000,60.310000,4220013
2025-09-23,60.520000,60.810000,59.435000,59.740000,5200181
2025-09-24,59.500000,60.050000,58.960000,58.990000,4147979
2025-09-25,58.560000,59.275000,58.320000,58.750000,4821167
2025-09-26,58.900000,59.280000,58.590000,58.840000,6079420
2025-09-29,59.640000,59.640000,58.750000,59.130000,4745092
2025-09-30,59.000000,59.810000,58.940000,59.700000,6126808
2025-10-01,59.400000,59.810000,59.200000,59.460000,3593047
2025-10-02,59.330000,60.060000,58.730000,58.900000,3830120
2025-10-03,58.930000,59.950000,58.700000,59.650000,5611423
2025-10-06,60.350000,60.770000,59.553000,59.810000,5103504
2025-10-07,59.830000,60.095000,59.030000,59.180000,5700528
2025-10-08,59.050000,60.520000,58.610000,59.800000,8457272
2025-10-09,60.070000,60.490000,57.665000,58.100000,6201053
2025-10-10,58.550000,59.255000,56.570000,56.660000,5625918
2025-10-13,57.430000,57.710000,56.705000,56.870000,3241108
2025-10-14,55.530000,57.875000,55.330000,57.500000,6553515
2025-10-15,57.440000,58.300000,56.770000,57.210000,7907932
2025-10-16,57.320000,57.375000,56.300000,56.750000,7265614
2025-10-17,56.820000,57.000000,56.140000,56.200000,6011998
2025-10-20,56.790000,57.690000,56.790000,57.670000,7441166
2025-10-21,57.340000,59.965000,57.150000,59.820000,5984861
2025-10-22,60.170000,60.575000,56.610000,56.740000,10575721
2025-10-23,56.990000,57.510000,56.600000,57.120000,3932380
