d,o,h,l,c,v
2024-07-25,106.250000,109.235000,105.067500,105.530000,2458603
2024-07-26,106.010000,107.560000,105.820000,107.520000,1631832
2024-07-29,107.370000,108.690000,106.210000,108.130000,2155819
2024-07-30,108.500000,109.700000,108.150000,109.420000,1595749
2024-07-31,108.900000,110.870000,108.490000,110.080000,2598812
2024-08-01,110.820000,112.340000,110.350000,112.290000,2233141
2024-08-02,113.450000,115.640000,113.100000,115.210000,2633025
2024-08-05,114.500000,115.750000,110.640000,110.770000,3694993
2024-08-06,110.500000,114.120000,110.210000,112.970000,3113599
2024-08-07,112.300000,113.940000,110.940000,111.270000,2186544
2024-08-08,110.230000,111.370000,109.720000,110.900000,2215399
2024-08-09,111.230000,111.440000,109.530000,110.640000,2017668
2024-08-12,110.260000,110.840000,109.050000,110.730000,2585410
2024-08-13,111.180000,111.350000,109.900000,110.350000,1504758
2024-08-14,110.350000,111.040000,109.810000,110.210000,1684668
2024-08-15,110.050000,110.090000,108.430000,109.170000,2018622
2024-08-16,109.130000,109.980000,108.665000,109.840000,1563762
2024-08-19,109.840000,110.530000,109.170000,109.500000,1542460
2024-08-20,109.380000,110.000000,108.870000,109.980000,1434792
2024-08-21,109.810000,110.170000,108.730000,109.560000,1452215
2024-08-22,109.340000,109.530000,108.500000,109.490000,1491215
2024-08-23,109.920000,112.650000,109.750000,112.380000,1194333
2024-08-26,112.800000,113.890000,112.580000,112.980000,1088798
2024-08-27,112.220000,113.640000,112.220000,113.540000,1536562
2024-08-28,113.490000,114.300000,112.930100,113.490000,1549712
2024-08-29,112.840000,112.840000,110.610000,111.680000,1818070
2024-08-30,112.030000,112.830000,111.230000,112.020000,3511077
2024-09-03,111.730000,114.320000,111.040000,113.350000,3110163
2024-09-04,113.880000,115.040000,112.810000,113.830000,1992384
2024-09-05,114.770000,114.771800,113.130000,113.870000,2057132
2024-09-06,113.930000,116.445000,113.740000,116.120000,3016398
2024-09-09,115.880000,117.810000,115.510000,117.540000,3438653
2024-09-10,118.010000,120.110000,117.660000,119.940000,3262567
2024-09-11,118.900000,120.310000,117.305000,120.140000,2582361
2024-09-12,120.000000,120.250000,117.610000,119.070000,2210212
2024-09-13,117.880000,119.070000,116.910000,118.850000,1703501
2024-09-16,119.390000,120.920000,118.960000,120.250000,1434015
2024-09-17,120.000000,120.582500,119.090000,119.540000,1384273
2024-09-18,119.620000,119.645000,117.500000,117.780000,2236612
2024-09-19,117.230000,118.210000,114.370100,115.170000,2387979
2024-09-20,114.440000,115.700000,114.220000,115.330000,4667807
2024-09-23,116.000000,116.930000,115.180000,116.860000,2874891
2024-09-24,116.180000,117.990000,116.000000,117.380000,1441789
2024-09-25,117.380000,117.870000,116.220000,116.750000,1777660
2024-09-26,116.540000,116.815000,114.480000,114.780000,3574941
2024-09-27,115.860000,117.385000,115.680000,116.610000,2269829
2024-09-30,117.000000,118.800000,116.270000,118.630000,2340211
2024-10-01,119.200000,119.350000,117.500000,119.110000,1421318
2024-10-02,117.980000,119.560000,113.800000,115.780000,5299948
2024-10-03,115.640000,115.640000,113.150000,114.290000,2655482
2024-10-04,112.030000,112.030000,110.460000,111.480000,3314710
2024-10-07,110.570000,111.580000,110.060000,111.200000,2351200
2024-10-08,111.680000,112.270000,110.790000,112.100000,2073228
2024-10-09,111.410000,111.850000,110.550000,111.470000,2749709
2024-10-10,110.060000,112.035000,109.670000,109.940000,2047438
2024-10-11,110.570000,111.000000,109.725000,110.810000,1243338
2024-10-14,110.450000,112.425000,110.140000,112.030000,1276296
2024-10-15,113.130000,115.330000,112.850000,114.300000,2866009
2024-10-16,114.420000,115.890000,114.260000,115.680000,2110864
2024-10-17,112.000000,112.930000,110.540000,111.750000,3863365
2024-10-18,111.910000,113.025000,110.600000,112.380000,2336240
2024-10-21,112.200000,113.130000,109.960000,110.190000,2111352
2024-10-22,109.220000,110.300000,108.730000,109.770000,3016551
2024-10-23,110.000000,110.710000,109.330000,110.680000,3753576
2024-10-24,110.800000,111.980000,110.800000,111.450000,2609351
2024-10-25,111.700000,112.110000,108.880000,108.910000,1873838
2024-10-28,109.820000,110.450000,108.980000,109.050000,1727274
2024-10-29,107.770000,108.850000,106.150000,106.610000,1974535
2024-10-30,107.000000,108.753100,107.000000,107.810000,2234321
2024-10-31,106.950000,108.970000,106.750000,107.490000,1702728
2024-11-01,108.040000,108.400000,106.420000,106.580000,1815682
2024-11-04,107.490000,108.440000,107.050000,108.360000,1975557
2024-11-05,107.470000,109.070000,107.110000,108.700000,2142464
2024-11-06,106.140000,107.020000,102.070000,103.470000,3666320
2024-11-07,104.120000,105.180000,103.410000,104.210000,2634843
2024-11-08,104.960000,106.195900,104.350000,105.850000,1606701
2024-11-11,104.600000,106.117100,103.910000,104.100000,1576711
2024-11-12,103.270000,103.620000,101.520000,102.250000,1928980
2024-11-13,103.510000,104.159900,102.060000,102.760000,2316683
2024-11-14,102.320000,103.915000,101.885500,102.920000,2404236
2024-11-15,102.800000,104.162500,102.705000,103.800000,2293374
2024-11-18,103.000000,104.770000,102.920000,104.590000,1580619
2024-11-19,104.480000,105.272500,103.480000,104.470000,2254679
2024-11-20,104.200000,104.820000,103.690000,104.370000,6769344
2024-11-21,104.160000,105.010000,103.380000,104.500000,1456021
2024-11-22,105.310000,105.800000,104.920000,105.440000,1541972
2024-11-25,106.250000,107.390000,105.680000,106.080000,4158154
2024-11-26,105.710000,106.850000,105.124100,106.300000,2914041
2024-11-27,106.880000,107.500000,106.660500,106.700000,1977283
2024-11-29,106.640000,107.320000,106.160000,106.250000,1838391
2024-12-02,106.150000,106.235000,104.910000,105.320000,2514905
2024-12-03,105.350000,105.820000,104.660000,104.690000,1938512
2024-12-04,104.440000,105.150000,102.850000,103.450000,3404048
2024-12-05,102.800000,103.640000,102.780000,103.320000,2284798
2024-12-06,103.940000,103.995000,101.400000,101.850000,2965187
2024-12-09,101.550000,102.770000,101.470000,102.000000,4257096
2024-12-10,100.900000,102.150000,100.170000,100.560000,3232759
2024-12-11,100.350000,101.130000,98.880000,99.180000,2749868
2024-12-12,99.100000,99.810000,98.670000,98.770000,3351722
2024-12-13,96.550000,97.760000,96.510000,97.110000,3698427
2024-12-16,96.910000,97.710000,95.570000,95.720000,8087962
2024-12-17,95.900000,97.070000,94.780000,94.880000,5386862
2024-12-18,94.500000,95.540000,92.770000,92.900000,6212736
2024-12-19,92.050000,92.770000,90.690000,90.730000,7923677
2024-12-20,90.470000,91.810100,89.640000,90.660000,8378449
2024-12-23,90.220000,91.060000,89.490000,90.750000,3638488
2024-12-24,90.220000,91.320000,89.900000,91.000000,1323886
2024-12-26,90.510000,91.210000,90.310000,91.140000,2271181
2024-12-27,90.750000,92.020000,90.365000,90.560000,2915341
2024-12-30,90.680000,90.725000,88.920000,89.780000,2356881
2024-12-31,90.000000,91.390000,89.585000,90.760000,3087257
2025-01-02,90.770000,90.910000,89.095000,89.260000,2464351
2025-01-03,89.250000,90.265000,88.650000,89.990000,2108319
2025-01-06,89.700000,89.701000,88.260000,88.540000,2427583
2025-01-07,88.520000,89.050000,87.260000,87.460000,2891730
2025-01-08,87.150000,87.530000,85.960000,87.500000,3431502
2025-01-10,86.110000,86.360000,84.200000,84.330000,4120805
2025-01-13,84.460000,85.822900,84.250000,85.730000,4525924
2025-01-14,85.730000,87.305000,85.600000,86.670000,2557936
2025-01-15,88.770000,89.095000,86.410000,86.640000,3054095
2025-01-16,86.680000,90.740000,86.680000,90.650000,4297815
2025-01-17,91.130000,91.635000,90.730000,91.060000,4990908
2025-01-21,91.470000,92.710000,90.570000,90.700000,4255083
2025-01-22,89.870000,90.225000,88.200000,88.430000,3213860
2025-01-23,88.070000,88.760000,87.100100,88.640000,2284393
2025-01-24,88.580000,89.260000,88.030000,88.490000,1714642
2025-01-27,91.050000,93.300000,90.550000,92.430000,4198573
2025-01-28,91.970000,92.260000,89.360000,89.750000,2251267
2025-01-29,89.340000,89.820000,87.560000,87.890000,2644277
2025-01-30,89.005000,89.660000,88.100000,89.030000,2704568
2025-01-31,88.840000,90.020000,88.600000,89.280000,2567725
2025-02-03,88.990000,90.039900,87.920000,89.330000,2125756
2025-02-04,88.700000,89.240000,87.900000,88.550000,1732475
2025-02-05,89.830000,90.260000,88.540000,89.850000,1570780
2025-02-06,90.250000,90.430000,89.400000,90.240000,1741714
2025-02-07,90.150000,90.393000,88.970000,89.510000,1532628
2025-02-10,89.800000,90.070000,88.700000,89.670000,1875552
2025-02-11,89.420000,91.310000,89.375000,91.220000,1769409
2025-02-12,89.730000,90.459900,88.860000,89.730000,2077996
2025-02-13,90.060000,90.630000,89.660000,89.870000,2445565
2025-02-14,89.280000,90.500000,87.960000,87.960000,3411729
2025-02-18,87.870000,90.210000,87.750000,89.310000,4455756
2025-02-19,89.250000,89.830000,89.010000,89.260000,1646952
2025-02-20,89.010000,91.440000,88.520000,91.230000,2659027
2025-02-21,90.959100,92.700000,90.800000,92.190000,3041977
2025-02-24,91.900000,93.550000,91.270000,92.560000,2140411
2025-02-25,93.170000,96.030000,92.810000,93.330000,4404602
2025-02-26,92.020000,92.710000,90.940000,91.630000,3345735
2025-02-27,91.630000,93.950000,91.340000,93.450000,2201811
2025-02-28,94.080000,95.060000,93.210000,94.100000,3198365
2025-03-03,93.860000,96.070000,93.695000,95.860000,2162543
2025-03-04,96.490000,97.680000,94.180000,94.210000,2583954
2025-03-05,93.080000,95.300000,93.030000,94.630000,2011601
2025-03-06,94.940000,95.675000,92.900000,95.180000,2899231
2025-03-07,95.740000,98.000000,95.440000,97.730000,2669525
2025-03-10,98.640000,101.060000,98.090000,98.520000,3772798
2025-03-11,98.770000,99.800000,97.030000,97.630000,3416132
2025-03-12,96.860000,96.990000,95.080000,95.290000,2965804
2025-03-13,95.620000,96.750000,94.095000,95.090000,3287389
2025-03-14,100.420000,103.670000,99.291100,103.220000,8718746
2025-03-17,103.610000,104.190000,102.470000,102.910000,8458048
2025-03-18,101.870000,105.630000,101.340000,104.940000,5314345
2025-03-19,104.990000,105.990000,103.410300,104.350000,6221691
2025-03-20,104.640000,105.620000,104.200000,104.590000,5277406
2025-03-21,104.690000,107.370000,103.990000,106.390000,9215014
2025-03-24,105.130000,106.460000,104.280000,104.310000,4169116
2025-03-25,101.520000,101.590000,97.630000,100.450000,6703131
2025-03-26,100.400000,101.670000,99.860000,101.090000,2785914
2025-03-27,101.620000,103.620000,101.110000,102.590000,3196875
2025-03-28,103.300000,103.944900,102.295000,103.600000,2689846
2025-03-31,104.660000,105.790000,103.355000,104.230000,4198169
2025-04-01,105.000000,105.000000,103.800000,104.610000,2476351
2025-04-02,105.000000,105.055000,103.470000,103.810000,2045126
2025-04-03,105.910000,109.080000,105.040000,107.060000,4681613
2025-04-04,108.680000,109.000000,100.800000,100.980000,4773191
2025-04-07,98.940000,100.670000,95.650000,98.210000,4560563
2025-04-08,99.510000,99.510000,93.850000,94.830000,4335749
2025-04-09,93.840000,96.550000,91.180000,95.540000,6752823
2025-04-10,95.540000,98.150000,93.750000,95.160000,4907693
2025-04-11,95.240000,96.920000,93.380000,96.670000,3419524
2025-04-14,96.670000,100.110000,95.750000,99.840000,2927827
2025-04-15,99.980000,101.560000,99.280000,100.510000,2615119
2025-04-16,101.650000,102.550000,100.590100,101.250000,2261891
2025-04-17,101.400000,104.320000,101.400000,103.590000,1860194
2025-04-21,103.160000,104.218100,100.790000,102.130000,2793678
2025-04-22,102.910000,105.260000,102.780000,104.370000,2276373
2025-04-23,103.470000,103.470000,100.650000,102.280000,2368448
2025-04-24,102.830000,102.960000,100.720000,100.750000,3691279
2025-04-25,100.600000,100.970000,99.195000,100.190000,1716745
2025-04-28,99.910000,101.110000,99.590000,100.920000,2756804
2025-04-29,100.830000,104.560000,100.449000,103.700000,2401887
2025-04-30,104.950000,106.070000,103.930000,105.760000,3934785
2025-05-01,105.990000,106.840000,104.390000,106.300000,3154646
2025-05-02,106.800000,107.300000,105.875000,106.870000,3524692
2025-05-05,107.460000,107.650000,105.820000,106.980000,2708682
2025-05-06,106.770000,107.270000,105.930000,106.420000,2818041
2025-05-07,105.560000,106.960000,104.035000,104.750000,5265222
2025-05-08,104.550000,105.075000,103.190000,103.280000,2933576
2025-05-09,103.570000,105.535000,102.970000,105.000000,3043459
2025-05-12,102.820000,102.820000,99.670000,100.480000,3494705
