d,o,h,l,c,v
2025-08-01,172.800000,173.090000,167.470000,168.860000,1165055
2025-08-04,170.230000,172.200000,168.940000,172.140000,1316718
2025-08-05,172.330000,173.380000,165.040000,165.240000,2352090
2025-08-06,167.690000,169.999900,159.690000,165.510000,2705763
2025-08-07,166.910000,167.185000,160.432800,161.880000,1869838
2025-08-08,162.700000,163.645000,162.050000,162.920000,1066641
2025-08-11,162.660000,165.000000,159.781800,160.150000,1174822
2025-08-12,161.020000,164.760000,160.560000,164.060000,1212876
2025-08-13,164.390000,167.705000,163.540100,167.480000,1179955
2025-08-14,166.200000,166.490000,163.920000,166.090000,1183317
2025-08-15,165.830000,167.350000,163.440000,163.760000,1829568
2025-08-18,163.900000,166.510000,163.430000,165.840000,787019
2025-08-19,166.040000,169.290000,165.410000,167.580000,1037443
2025-08-20,167.590000,168.250000,166.150000,166.910000,947859
2025-08-21,165.690000,165.910000,162.880000,164.180000,710818
2025-08-22,165.650000,169.840000,164.275000,167.000000,1576481
2025-08-25,166.060000,166.630000,165.160000,166.460000,856486
2025-08-26,166.000000,166.565000,163.390000,163.670000,1531201
2025-08-27,163.750000,166.305000,163.100000,165.230000,1343450
2025-08-28,166.300000,166.365000,163.900000,165.870000,1225150
2025-08-29,165.620000,168.055000,164.110000,164.760000,1109842
2025-09-02,162.060000,163.870000,160.190000,162.270000,849674
2025-09-03,161.700000,163.700000,161.150000,163.370000,844283
2025-09-04,163.680000,166.750000,161.770000,166.250000,1198662
2025-09-05,166.960000,170.730000,165.640000,169.730000,1439016
2025-09-08,169.810000,169.965000,166.496000,167.850000,1194427
2025-09-09,167.970000,169.505000,167.110000,168.950000,1085004
2025-09-10,167.930000,170.970000,167.100100,170.770000,1795909
2025-09-11,171.550000,171.550000,164.010000,165.730000,2040020
2025-09-12,165.050000,166.190000,163.930000,164.290000,1120718
2025-09-15,164.510000,167.050000,162.750100,163.130000,1289799
2025-09-16,163.890000,166.580000,162.590000,166.150000,1452568
2025-09-17,166.220000,169.200000,164.600000,167.290000,1244116
2025-09-18,168.570000,168.680000,161.990000,162.870000,2143670
2025-09-19,162.510000,163.317500,161.000000,161.220000,2889618
2025-09-22,161.010000,165.670000,160.740000,164.160000,1598870
2025-09-23,164.860000,165.735000,163.290000,164.580000,1252006
2025-09-24,164.040000,164.600000,159.320000,160.470000,2370805
2025-09-25,158.740000,159.070000,156.660000,156.970000,1682783
2025-09-26,157.670000,164.760000,156.770000,164.370000,1497525
2025-09-29,166.060000,167.000000,162.050000,162.250000,1005298
2025-09-30,162.000000,162.000000,157.980000,159.280000,1416612
2025-10-01,159.280000,160.555000,158.735000,158.990000,1147960
2025-10-02,159.230000,160.560000,158.590000,159.420000,1028877
2025-10-03,159.580000,162.470000,159.130000,159.270000,1036183
2025-10-06,160.820000,161.500000,157.200000,157.350000,1155482
2025-10-07,157.590000,158.655000,154.510100,155.250000,877364
2025-10-08,155.160000,157.110000,154.035000,156.920000,1191580
2025-10-09,156.920000,156.960000,150.980000,151.790000,1150879
2025-10-10,151.860000,152.440000,144.900000,145.040000,1458809
2025-10-13,148.010000,148.335000,145.205000,147.510000,1350031
2025-10-14,145.830000,151.070000,145.830000,150.330000,1336718
2025-10-15,151.720000,152.380000,148.590000,148.830000,966912
2025-10-16,150.050000,151.400000,146.805000,151.100000,1546138
2025-10-17,150.640000,153.405000,150.230000,152.450000,1431495
2025-10-20,153.120000,155.660000,153.120000,155.380000,1058372
2025-10-21,153.800000,157.370000,153.800000,156.530000,1090771
2025-10-22,157.330000,161.100000,156.250000,156.360000,2284487
2025-10-23,156.320000,159.370000,154.850000,158.480000,1047520
2025-10-24,160.490000,161.060000,157.450000,158.160000,1141374
2025-10-27,159.000000,160.830000,156.380000,159.230000,1832734
2025-10-28,158.660000,158.905000,154.660000,156.160000,934100
2025-10-29,155.920000,158.120000,154.750000,157.320000,1643502
2025-10-30,157.320000,159.160000,156.570000,156.800000,1092388
2025-10-31,155.690000,160.650000,155.200000,159.370000,1143810
2025-11-03,159.410000,161.000000,153.860000,154.830000,2451944
2025-11-04,152.130000,155.280000,138.520000,141.660000,3578087
2025-11-05,142.210000,146.675000,141.110000,146.320000,2743515
2025-11-06,145.640000,146.525000,140.640000,141.560000,1671960
2025-11-07,141.170000,144.065000,139.370000,142.450000,1560994
2025-11-10,143.660000,144.255000,139.630000,143.310000,1573977
2025-11-11,143.530000,144.005000,140.980000,142.670000,1484088
2025-11-12,143.520000,148.040000,143.290000,147.390000,1916227
2025-11-13,146.020000,150.350000,146.020000,146.750000,1850643
2025-11-14,145.570000,149.328000,144.480000,145.080000,1832624
2025-11-17,144.750000,144.990000,138.800000,140.240000,1415931
2025-11-18,140.040000,141.760000,138.690000,139.810000,1225199
2025-11-19,139.490000,140.440000,138.080000,139.710000,1054690
2025-11-20,141.660000,142.150000,135.920000,136.640000,1427319
2025-11-21,136.620000,142.410000,135.630000,140.200000,2063062
2025-11-24,140.900000,142.470000,139.465000,141.920000,1731264
2025-11-25,143.870000,144.970000,142.300000,143.230000,1164019
2025-11-26,143.230000,145.385000,142.390000,144.400000,1143826
2025-11-28,144.230000,145.080000,142.470000,144.220000,541463
2025-12-01,143.460000,145.035000,142.230000,143.030000,1160677
2025-12-02,143.440000,144.795000,141.925000,144.160000,932726
2025-12-03,142.990000,145.160000,142.420000,143.680000,965610
2025-12-04,143.620000,145.440000,142.430000,144.540000,1420502
2025-12-05,144.520000,147.020000,142.500000,146.250000,1262405
2025-12-08,146.120000,146.900000,144.270000,145.940000,1574506
2025-12-09,145.230000,147.930000,145.040000,147.130000,1112558
2025-12-10,147.490000,150.340000,145.600000,149.540000,1402486
2025-12-11,148.590000,150.000000,146.820000,149.860000,1200958
2025-12-12,150.090000,150.610000,144.520000,144.930000,1522118
2025-12-15,146.440000,146.440000,142.990000,144.880000,1607728
2025-12-16,145.280000,146.550000,144.260100,145.020000,1472257
2025-12-17,144.880000,146.080000,142.410000,143.690000,2015000
2025-12-18,145.040000,146.145000,141.480000,143.080000,2118729
2025-12-19,142.630000,143.820000,138.370000,140.650000,13516713
2025-12-22,140.220000,142.120000,139.230000,139.505000,1707793
2025-12-23,139.600000,140.450000,137.780000,138.140000,1207316
2025-12-24,138.460000,139.786035,137.780000,138.710000,620883
2025-12-26,138.085000,139.950000,138.010000,139.710000,740201
2025-12-29,139.870000,140.450000,138.090000,138.610000,1150152
2025-12-30,138.170000,139.080000,137.000000,138.390000,1133021
2025-12-31,138.390000,138.827500,136.080000,136.200000,903987
2026-01-02,137.200000,137.884600,132.975000,133.160000,1330628
2026-01-05,133.160000,135.850000,133.000000,133.610000,1446648
2026-01-06,133.340000,135.420000,133.080000,134.340000,1535829
2026-01-07,134.750000,134.980000,128.780000,129.540000,1512461
2026-01-08,128.360000,133.500000,126.930000,132.530000,2080226
2026-01-09,132.730000,133.975000,130.730000,133.490000,882700
2026-01-12,132.860000,134.319900,132.199800,133.500000,948764
2026-01-13,134.290000,136.090000,133.510000,134.600000,1054658
2026-01-14,134.600000,136.030000,131.910000,132.160000,958619
2026-01-15,133.060000,134.020000,130.440000,132.290000,2564453
2026-01-16,132.490000,133.150000,131.450000,131.750000,1495506
2026-01-20,126.740000,128.900000,124.079300,124.760000,2067698
2026-01-21,125.620000,128.456500,124.000000,127.620000,1816013
2026-01-22,128.420000,130.400000,127.650000,129.310000,1353716
2026-01-23,127.750000,127.950000,125.730000,126.000000,1758285
2026-01-26,125.990000,128.460000,125.190000,127.400000,1537334
2026-01-27,127.400000,127.410000,124.655000,125.400000,1544975
2026-01-28,125.440000,125.905000,123.085000,124.720000,1326681
2026-01-29,124.670000,125.560000,123.130000,125.200000,1558843
2026-01-30,124.990000,127.000000,124.058000,126.390000,1740192
2026-02-02,126.130000,128.320000,125.430000,126.830000,2210582
2026-02-03,125.460000,127.590000,124.080000,126.160000,2889064
2026-02-04,133.500000,140.560000,129.670000,138.080000,3047591
2026-02-05,137.730000,140.900000,135.750000,140.770000,2217783
2026-02-06,140.550000,142.720000,139.770000,142.620000,1688987
2026-02-09,141.160000,144.010000,140.595000,143.440000,1298770
2026-02-10,143.500000,144.455000,141.480000,142.850000,1546877
2026-02-11,143.390000,143.390000,134.535000,134.970000,2253862
2026-02-12,134.970000,134.976100,120.520000,126.830000,3488216
2026-02-13,127.740000,129.840000,126.490000,126.860000,2126594
2026-02-17,127.490000,128.280000,123.580000,125.145000,1802608
2026-02-18,124.960000,126.060000,123.009000,124.290000,2245061
2026-02-19,123.880000,125.135000,119.830000,124.170000,2022466
2026-02-20,122.980000,126.050000,120.720000,124.640000,1772859
2026-02-23,124.640000,125.940000,120.000000,123.130000,1348973
2026-02-24,123.250000,129.690000,123.130000,125.530000,2029413
2026-02-25,125.370000,125.790000,120.350000,121.580000,2440161
2026-02-26,122.790000,125.710000,122.775000,123.390000,1568245
2026-02-27,121.520000,122.850000,118.440000,122.640000,1600934
2026-03-02,121.110000,124.990000,118.900000,124.770000,1687943
2026-03-03,121.620000,126.070000,118.590000,125.280000,2133570
2026-03-04,124.970000,125.840000,121.510000,124.870000,1619805
2026-03-05,124.540000,127.290000,123.550000,124.310000,1293561
2026-03-06,122.130000,124.980000,120.800000,123.420000,1387701
2026-03-09,120.585000,121.430000,118.160000,120.740000,1374570
2026-03-10,121.520000,122.660000,117.000000,118.650000,1121718
2026-03-11,119.240000,120.295000,117.200000,118.910000,1027213
2026-03-12,118.800000,120.430000,112.980000,113.480000,2174229
2026-03-13,114.800000,116.770000,113.390000,116.160000,1531126
2026-03-16,117.120000,118.670000,115.325000,118.200000,1270632
2026-03-17,119.140000,120.840000,117.300000,117.440000,978027
2026-03-18,116.770000,118.610000,116.295000,117.590000,1363956
2026-03-19,117.010000,120.845000,116.878900,119.650000,1532281
2026-03-20,119.780000,120.850000,118.730000,120.270000,4758098
2026-03-23,122.945000,123.180000,119.377500,120.160000,1801105
2026-03-24,118.860000,122.520000,118.815000,121.900000,1402973
2026-03-25,122.230000,123.090000,118.835000,121.300000,1510974
2026-03-26,121.300000,122.729400,120.490000,121.180000,1491772
2026-03-27,119.620000,120.540000,117.820000,118.170000,1448642
2026-03-30,118.720000,119.989900,117.270000,118.510000,1273638
2026-03-31,119.030000,121.935000,117.100000,121.020000,1256723
2026-04-01,121.400000,122.385000,120.580000,121.400000,2502203
2026-04-02,121.220000,124.190000,120.155000,122.010000,934723
2026-04-06,122.010000,123.745000,121.785000,123.470000,1072703
2026-04-07,123.470000,125.200000,122.820000,123.690000,1475511
2026-04-08,125.850000,127.800000,125.665000,126.730000,1730025
2026-04-09,125.450000,127.350000,125.310000,126.750000,1529925
2026-04-10,127.090000,128.595000,125.380000,125.530000,1461642
2026-04-13,125.360000,132.360000,125.250000,131.890000,1737255
2026-04-14,132.220000,133.800000,129.770000,130.040000,987480
2026-04-15,130.040000,130.940000,128.280000,129.560000,1015874
2026-04-16,130.450000,133.680000,130.255000,133.310000,1695579
2026-04-17,133.990000,135.160000,133.202500,133.960000,1048924
2026-04-20,133.820000,137.220000,133.810000,136.850000,1097854
2026-04-21,136.810000,142.385000,136.810000,141.410000,1714154
2026-04-22,141.750000,143.640000,140.830000,142.440000,1562422
2026-04-23,140.960000,142.595000,134.880000,136.470000,2759281
2026-04-24,136.470000,136.860000,133.170000,135.320000,1117185
2026-04-27,135.410000,135.810000,132.800000,133.110000,1077996
2026-04-28,133.525000,134.810000,131.190000,132.920000,711827
2026-04-29,133.400000,136.600000,132.040000,135.560000,1409612
2026-04-30,135.200000,137.285000,133.590000,136.910000,1228853
2026-05-01,138.370000,138.810000,134.850000,136.030000,1013039
2026-05-04,135.910000,137.850000,135.100000,135.300000,3058867
2026-05-05,135.370000,138.450000,134.785000,136.800000,2235378
2026-05-06,127.500000,128.352100,106.000000,109.000000,6330470
2026-05-07,109.510000,113.580000,108.310000,110.200000,4067282
2026-05-08,109.640000,110.150000,104.410000,104.790000,2688465
2026-05-11,103.860000,105.130000,101.510000,102.540000,3248719
2026-05-12,103.400000,103.680000,97.120000,99.300000,4056806
2026-05-13,100.985000,102.250000,97.340000,100.400000,2589835
2026-05-14,100.600000,102.890000,99.540000,102.160000,2753253
2026-05-15,102.080000,104.390000,101.030000,102.070000,2195897
2026-05-18,102.190000,104.880000,102.180000,104.040000,1489662
2026-05-19,104.810000,106.529400,103.140000,104.350000,1778402
2026-05-20,105.670000,107.090000,103.350000,106.210000,1718848
2026-05-21,105.560000,107.400000,103.120000,106.880000,1514625
2026-05-22,106.250000,111.340000,106.250000,110.820000,1519649
2026-05-26,110.170000,110.690000,108.300000,108.590000,1336619
2026-05-27,111.430000,116.720000,111.405000,114.190000,1863460
2026-05-28,114.050000,116.400000,112.600000,116.160000,1686027
2026-05-29,119.175000,125.920000,118.975000,125.450000,4794643
2026-06-01,128.380800,141.460000,127.970000,140.980000,3240293
2026-06-02,140.460000,141.325000,136.740000,139.720000,2816898
2026-06-03,138.270000,139.620000,134.190000,137.300000,2717000
2026-06-04,139.600000,140.770000,137.700000,139.450000,2290250
2026-06-05,137.580000,140.320000,132.180000,133.040000,1641889
2026-06-08,133.660000,137.810000,132.950000,134.810000,1889846
2026-06-09,134.350000,136.185000,130.330000,133.330000,1371975
2026-06-10,131.980000,133.380000,129.040000,129.300000,1028452
2026-06-11,128.430000,130.020000,126.280000,129.130000,1698797
2026-06-12,129.130000,133.040000,127.360000,132.190000,2582684
2026-06-15,132.910000,135.800000,131.100000,131.300000,2851214
2026-06-16,131.500000,132.990000,128.765000,130.090000,1854365
2026-06-17,130.470000,132.900000,126.400000,126.700000,1750557
2026-06-18,127.220000,129.360000,124.655000,128.370000,3756780
2026-06-22,128.370000,128.370000,123.085000,123.570000,1760647
2026-06-23,127.380000,131.500000,125.160000,130.060000,2394623
2026-06-24,129.920000,132.380000,128.195000,130.220000,2123363
2026-06-25,131.750000,133.717400,127.640000,128.020000,1206881
