d,o,h,l,c,v
2025-08-01,336.435000,343.379900,327.010000,340.770000,2871922
2025-08-04,345.130000,357.000000,344.576000,354.890000,2899262
2025-08-05,352.030000,353.777000,338.960000,343.570000,3380492
2025-08-06,343.620000,344.060000,332.300000,338.460000,2946520
2025-08-07,335.260000,345.250000,322.000000,336.410000,3632033
2025-08-08,338.710000,342.200000,332.250000,335.765000,1961007
2025-08-11,336.240000,338.300000,328.000000,331.490000,1829803
2025-08-12,333.050000,339.730000,330.920000,338.570000,1891814
2025-08-13,339.765000,342.750000,322.500100,327.630000,2788126
2025-08-14,325.440000,333.590000,323.260000,326.210000,2020663
2025-08-15,327.890000,327.935700,319.680000,322.230000,1749115
2025-08-18,322.070000,326.000000,319.780000,322.770000,1860313
2025-08-19,320.850000,321.799000,313.850000,317.235000,2122305
2025-08-20,313.925000,315.530000,304.780000,314.210000,2638923
2025-08-21,314.980000,318.200000,310.700000,312.520000,1622647
2025-08-22,313.920000,318.000000,309.200000,310.160000,1856346
2025-08-25,310.410000,317.620000,309.985000,310.680000,1386594
2025-08-26,310.770000,318.479900,310.310000,316.580000,1673989
2025-08-27,316.350000,319.490000,314.140000,315.940000,1369947
2025-08-28,317.300000,323.970000,315.800000,319.550000,1751464
2025-08-29,317.350000,317.990000,305.890000,307.980000,2326557
2025-09-02,300.490000,307.455000,296.990100,307.190000,2426932
2025-09-03,306.520000,309.590000,303.920000,308.480000,1374657
2025-09-04,310.000000,312.160000,307.250000,309.060000,1758005
2025-09-05,311.050000,312.990000,293.155000,301.580000,2821202
2025-09-08,304.210000,304.790000,296.360000,298.820000,2333716
2025-09-09,300.610000,305.300000,296.350000,300.820000,2081588
2025-09-10,308.500000,328.301300,308.500000,320.000000,4040714
2025-09-11,320.010000,322.261200,316.110000,318.000000,2263819
2025-09-12,318.060000,325.410000,315.280600,323.480000,1415234
2025-09-15,325.750000,334.860000,324.610000,330.420000,2049347
2025-09-16,332.040000,332.860000,321.507500,322.910000,2373960
2025-09-17,322.530000,326.200000,316.183800,321.275000,2171849
2025-09-18,325.180000,330.130000,319.590000,322.710000,1732361
2025-09-19,325.710000,331.860000,319.760000,330.900000,3416445
2025-09-22,332.970000,347.330000,326.500000,347.120000,2879884
2025-09-23,346.750000,348.440000,336.140000,336.650000,2522736
2025-09-24,339.688900,344.400000,335.500100,339.130000,1735230
2025-09-25,335.000000,336.560000,325.060000,326.330000,2447813
2025-09-26,328.720000,332.839900,326.440000,331.260000,1263516
2025-09-29,334.900000,340.545000,322.560000,334.265000,2286735
2025-09-30,334.920000,336.780000,327.210000,329.070000,2159639
2025-10-01,326.050000,352.250000,323.880100,350.900000,2818449
2025-10-02,352.250000,357.680000,343.210000,357.460000,2161782
2025-10-03,358.870000,376.780000,358.690000,360.000000,3355176
2025-10-06,367.630000,368.500000,353.000000,364.100000,2159899
2025-10-07,363.130000,371.310000,355.380000,358.160000,2167683
2025-10-08,368.810000,376.498800,363.710000,371.000000,3342846
2025-10-09,374.230000,386.860000,372.750000,383.230000,2888770
2025-10-10,381.000000,392.180000,367.380000,368.490000,3084565
2025-10-13,376.320000,387.000000,375.250000,380.910000,3270521
2025-10-14,374.700000,395.140000,366.159500,389.560000,3110937
2025-10-15,396.975000,412.700000,395.700100,403.950000,3537707
2025-10-16,406.900000,411.690000,394.720000,396.530000,3062349
2025-10-17,391.300000,402.010000,382.830000,386.500000,2882895
2025-10-20,395.940000,398.500000,368.130100,370.000000,3072907
2025-10-21,369.365000,369.548300,355.200000,358.790000,2753661
2025-10-22,361.000000,362.939600,343.470000,350.060000,3571753
2025-10-23,354.000000,367.535000,353.790000,365.800000,2317537
2025-10-24,376.430000,391.115900,373.600000,389.190000,2999903
2025-10-27,392.750000,395.633100,384.150000,391.150000,2642284
2025-10-28,397.030000,401.000000,375.500000,384.950000,2865617
2025-10-29,382.080000,406.042500,380.550000,401.430000,2615883
2025-10-30,397.150000,400.980000,381.990000,382.480000,2218183
2025-10-31,388.000000,388.470000,372.147000,377.000000,2383796
2025-11-03,380.920000,384.981000,375.160000,377.710000,2506681
2025-11-04,368.790000,374.440000,360.480000,362.820000,3192198
2025-11-05,364.930000,370.980000,357.060000,363.250000,3228316
2025-11-06,360.960000,363.880000,348.550000,351.300000,3909775
2025-11-07,335.480000,359.100000,332.120000,358.390000,5775306
2025-11-10,367.200000,378.780000,352.670000,360.930000,2436265
2025-11-11,359.620000,363.560000,348.430000,351.670000,1830051
2025-11-12,354.630000,354.990000,346.200000,354.020000,1994308
2025-11-13,350.230000,350.990000,333.655000,335.740000,3604266
2025-11-14,328.650000,351.980000,326.830000,338.520000,2732825
2025-11-17,336.685000,347.990000,334.080000,338.670000,2129469
2025-11-18,333.750000,344.550000,333.750000,339.350000,3209878
2025-11-19,344.275000,362.715000,342.930000,357.480000,3337706
2025-11-20,368.250000,379.200000,345.000000,345.780000,4414981
2025-11-21,345.280000,345.280000,330.860000,338.110000,2948337
2025-11-24,339.750000,355.500000,336.770000,354.105000,2388326
2025-11-25,353.460000,355.540000,339.340000,351.595000,1635778
2025-11-26,355.390000,361.140000,355.000000,359.090000,1396219
2025-11-28,362.000000,366.308400,359.600000,364.360000,1072967
2025-12-01,359.330000,361.290000,354.000000,359.050000,2012469
2025-12-02,362.535000,368.710000,358.945000,363.670000,1973995
2025-12-03,361.190000,365.469900,355.210100,361.260000,1559515
2025-12-04,360.980000,374.450000,358.500000,368.620000,2029840
2025-12-05,369.165000,370.070000,357.120000,359.820000,2018171
2025-12-08,362.765000,364.250000,354.000000,357.670000,1637866
2025-12-09,356.200000,364.660000,354.010000,359.150000,1360279
2025-12-10,358.550000,363.518100,346.400000,362.070000,2382191
2025-12-11,360.750000,380.000000,354.340000,378.600000,2530253
2025-12-12,379.000000,380.780000,351.220000,351.980000,3778565
2025-12-15,356.650000,360.960000,350.670000,357.140000,2628771
2025-12-16,356.060000,368.180000,350.330000,365.625000,2496791
2025-12-17,368.515000,372.000000,334.180000,340.970000,4597994
2025-12-18,351.990000,371.240000,348.780000,361.050000,3773191
2025-12-19,361.200000,368.640000,354.190100,355.400000,5429540
2025-12-22,363.275000,363.950000,355.400000,357.810000,1390333
2025-12-23,353.140000,364.310000,353.000000,361.330000,1404308
2025-12-24,360.620000,364.560000,359.000000,363.950000,628357
2025-12-26,363.240000,363.345000,358.400000,360.460000,758517
2025-12-29,360.000000,369.000000,358.025000,358.330000,1575572
2025-12-30,358.000000,360.680000,355.310000,357.120000,1198656
2025-12-31,357.720000,360.420000,352.960000,353.270000,1234578
2026-01-02,358.000000,373.230000,358.000000,366.250000,2330482
2026-01-05,372.330000,378.500000,349.540000,354.940000,3097288
2026-01-06,358.450000,359.800000,346.740000,354.580000,2448367
2026-01-07,352.110000,352.435000,334.790000,338.630000,2812116
2026-01-08,337.000000,338.630000,321.610000,322.540000,4114342
2026-01-09,339.495000,343.880000,333.670000,342.520000,5908029
2026-01-12,334.670000,339.990000,333.000000,335.860000,2485172
2026-01-13,335.860000,343.650000,332.580000,333.530000,2754407
2026-01-14,330.000000,336.590000,325.800000,330.380000,2448383
2026-01-15,335.950000,346.810000,335.040100,341.200000,3053987
2026-01-16,322.450000,323.050000,300.410000,307.710000,9206946
2026-01-20,301.480000,308.750000,292.455000,295.400000,6079637
2026-01-21,297.862000,300.155000,290.943400,294.370000,5711809
2026-01-22,300.490000,302.730000,286.900000,287.350000,4771562
2026-01-23,287.440000,292.250000,285.440000,289.060000,3785163
2026-01-26,286.550000,291.800000,284.410000,285.270000,3344128
2026-01-27,286.020000,290.400000,282.500000,288.760000,5963885
2026-01-28,291.350000,293.230000,285.170000,287.950000,3279684
2026-01-29,288.205000,292.670000,283.110000,287.450000,3141900
2026-01-30,283.760000,288.340000,278.230000,280.680000,2756334
2026-02-02,279.190000,282.980000,268.900000,270.880000,4044473
2026-02-03,272.460000,273.400000,263.710000,268.450000,3584237
2026-02-04,268.950000,268.950000,245.020000,250.460000,7171952
2026-02-05,248.150000,254.000000,243.300000,247.060000,4001634
2026-02-06,254.145000,263.960000,252.380000,261.420000,6306535
2026-02-09,263.125000,272.920000,260.690000,272.150000,4182026
2026-02-10,275.815000,276.472800,267.000000,271.140000,4603818
2026-02-11,272.605000,277.570000,268.255000,276.850000,3862099
2026-02-12,278.440000,285.370000,270.355000,276.120000,4893443
2026-02-13,275.990000,294.360000,272.000000,288.430000,5450262
2026-02-17,289.490000,307.530000,288.000000,303.010000,5259188
2026-02-18,305.710000,310.655000,290.688100,294.050000,3794427
2026-02-19,292.480000,298.229900,289.000000,291.660000,2550047
2026-02-20,291.930000,297.230000,289.880000,294.840000,3133990
2026-02-23,294.000000,299.750000,289.090000,293.800000,3223186
2026-02-24,297.405000,313.115000,290.810000,312.640000,4652063
2026-02-25,312.640000,327.640000,312.520000,325.840000,4999711
2026-02-26,324.510000,324.919400,308.710000,323.560000,3960940
2026-02-27,320.000000,330.145000,318.600000,329.880000,3439504
2026-03-02,321.940000,333.800000,320.724000,327.160000,3539354
2026-03-03,313.000000,328.400000,309.130000,324.870000,4260329
2026-03-04,323.760000,326.590000,318.000000,322.850000,2342496
2026-03-05,317.590000,332.420000,317.590000,332.070000,3135152
2026-03-06,327.050000,331.500000,317.500000,319.060000,3432375
2026-03-09,312.260000,323.950000,309.030000,322.990000,2736854
2026-03-10,322.710000,326.059900,316.690000,317.090000,2316631
2026-03-11,316.780000,316.930000,298.250000,300.690000,4343185
2026-03-12,297.000000,309.280000,295.000000,301.550000,2750526
2026-03-13,303.320000,308.800000,298.875000,301.770000,1988620
2026-03-16,305.870000,307.500000,301.420000,305.580000,2208279
2026-03-17,307.980000,311.010000,305.553800,307.690000,2007768
2026-03-18,308.990000,322.650000,307.550000,317.220000,2634656
2026-03-19,313.945000,318.375600,306.700000,316.470000,2386860
2026-03-20,314.440000,316.470000,277.865000,281.990000,6107403
2026-03-23,290.530000,294.640000,285.510100,289.760000,2717857
2026-03-24,286.440000,299.259000,286.440000,294.850000,2408062
2026-03-25,302.770000,309.190000,300.330000,303.320000,2424369
2026-03-26,301.000000,303.000000,285.670000,295.190000,3129186
2026-03-27,295.910000,306.940000,295.910000,301.490000,2495206
2026-03-30,303.570000,310.000000,295.000000,298.610000,2674958
2026-03-31,275.050000,284.925000,270.890000,279.250000,6205186
2026-04-01,282.438000,286.700000,277.300000,279.460000,3560384
