d,o,h,l,c,v
2025-08-01,47.170000,47.170000,45.905000,46.820000,5799022
2025-08-04,47.010000,47.660000,46.700000,47.580000,4873796
2025-08-05,47.790000,47.870000,46.620000,47.300000,4959887
2025-08-06,47.400000,47.645000,46.920000,46.930000,4012435
2025-08-07,47.430000,47.430000,46.530000,46.640000,3709264
2025-08-08,47.060000,47.455000,46.625000,47.280000,3150668
2025-08-11,47.360000,47.560000,46.790000,46.930000,3410803
2025-08-12,47.350000,48.180000,47.210000,48.140000,3851794
2025-08-13,48.400000,48.650000,47.900000,48.550000,3968937
2025-08-14,48.040000,49.250000,47.920000,49.210000,3697030
2025-08-15,49.370000,49.430000,48.270000,48.280000,2961660
2025-08-18,48.190000,48.580000,48.015000,48.540000,2613474
2025-08-19,48.430000,49.010000,48.245000,48.390000,3998919
2025-08-20,48.380000,48.915000,48.050000,48.810000,4342616
2025-08-21,48.530000,48.745100,48.155000,48.460000,2897755
2025-08-22,48.770000,50.785000,48.680000,50.770000,5327053
2025-08-25,50.640000,50.880000,50.370000,50.690000,2935482
2025-08-26,50.500000,51.400000,50.470000,51.310000,4097431
2025-08-27,51.060000,52.025000,51.060000,51.900000,2991608
2025-08-28,52.120000,52.200000,51.740000,52.160000,3833100
2025-08-29,52.190000,52.525000,51.990000,52.280000,2617363
2025-09-02,51.400000,51.865000,50.995000,51.600000,5375542
2025-09-03,51.610000,52.215000,51.060000,51.670000,3084136
2025-09-04,51.930000,52.515000,51.610000,52.510000,2806873
2025-09-05,52.610000,52.850000,51.250000,51.710000,2997591
2025-09-08,51.870000,51.870000,50.920000,51.700000,3396188
2025-09-09,51.730000,52.305000,51.460000,51.710000,3970985
2025-09-10,52.010000,52.140000,51.500000,51.810000,3332376
2025-09-11,51.810000,52.105000,51.410000,51.760000,4398066
2025-09-12,51.670000,52.075000,51.495000,51.820000,3733172
2025-09-15,51.860000,52.040000,51.235000,51.340000,2861840
2025-09-16,51.420000,51.420000,50.415000,51.130000,4779992
2025-09-17,51.150000,53.000000,51.150000,52.270000,6756219
2025-09-18,52.610000,53.755000,52.300000,53.640000,6609043
2025-09-19,53.580000,53.775000,53.190000,53.550000,9097701
2025-09-22,53.000000,53.570000,52.280000,52.550000,3353929
2025-09-23,52.720000,53.890000,52.590000,53.110000,4515658
2025-09-24,53.120000,53.590000,52.460000,53.150000,4058752
2025-09-25,52.830000,53.155000,52.545000,52.890000,4490275
2025-09-26,53.260000,53.670000,52.820000,53.380000,3311876
2025-09-29,54.500000,54.500000,52.930000,53.650000,4604736
2025-09-30,53.760000,54.000000,52.205000,53.160000,4843848
2025-10-01,53.260000,53.360000,52.430000,52.740000,3935513
2025-10-02,52.580000,53.130000,52.335000,52.980000,3322052
2025-10-03,53.390000,53.955000,53.155000,53.820000,6819078
2025-10-06,54.200000,55.240000,53.520000,54.000000,4402168
2025-10-07,54.320000,54.445000,53.050000,53.130000,4403367
2025-10-08,53.510000,53.510000,51.990000,52.010000,6304028
2025-10-09,52.560000,52.680000,51.760000,51.850000,7662498
2025-10-10,52.060000,52.300000,49.210000,49.250000,5751398
2025-10-13,50.120000,50.510000,49.710000,50.250000,3521577
2025-10-14,50.000000,51.990000,50.000000,51.800000,6943348
2025-10-15,53.000000,53.305000,51.010000,51.700000,7970415
2025-10-16,51.880000,51.880000,47.955000,48.390000,8385601
2025-10-17,48.770000,49.610000,48.305000,49.310000,9379438
2025-10-20,49.470000,50.485600,49.400000,50.290000,4137274
2025-10-21,50.180000,51.135000,50.070000,50.830000,3960283
2025-10-22,51.140000,51.320000,50.300000,50.620000,4239142
2025-10-23,50.700000,51.210000,50.469500,50.960000,4075140
2025-10-24,51.440000,52.515000,51.295000,52.180000,3135148
2025-10-27,52.500000,52.920000,51.415000,51.910000,5068009
2025-10-28,51.830000,51.830000,51.060000,51.330000,3826237
2025-10-29,50.300000,51.260000,50.040100,50.430000,3254227
2025-10-30,50.370000,51.490000,50.200000,50.570000,3546339
2025-10-31,50.220000,51.045000,50.030000,50.870000,3184227
2025-11-03,50.780000,51.010000,50.100000,51.010000,3892367
2025-11-04,50.520000,51.190000,50.030000,50.730000,3579581
2025-11-05,50.650000,51.900000,50.320000,51.440000,3054893
2025-11-06,51.200000,51.960000,50.605000,50.900000,4314970
2025-11-07,50.530000,51.710000,50.340000,51.700000,3539516
2025-11-10,51.920000,52.580000,51.690000,52.350000,3369354
2025-11-11,52.350000,52.730000,51.920000,52.240000,2944618
2025-11-12,52.370000,53.495000,52.355000,52.660000,3888828
2025-11-13,52.330000,52.790100,51.605000,51.710000,3052596
2025-11-14,51.410000,51.975800,50.860000,51.690000,3461994
2025-11-17,51.450000,51.770000,49.420000,49.710000,4963125
2025-11-18,49.280000,50.940000,49.000000,50.430000,4497700
2025-11-19,50.420000,51.270000,50.200000,51.160000,3412667
2025-11-20,51.800000,52.660000,50.610000,50.700000,4184205
2025-11-21,50.940000,52.580000,50.750000,52.300000,5336062
2025-11-24,52.140000,52.935000,51.970000,52.790000,3938779
2025-11-25,53.190000,54.450000,52.990000,54.190000,4337752
2025-11-26,54.190000,54.640000,53.980000,53.980000,3514292
2025-11-28,54.170000,54.410000,54.040000,54.100000,1508058
2025-12-01,53.930000,54.950000,53.780000,54.580000,5027867
2025-12-02,54.920000,55.090000,54.270000,54.660000,5450503
2025-12-03,54.850000,55.710000,54.600000,55.680000,5552147
2025-12-04,55.450000,56.045000,55.450000,55.880000,4650677
2025-12-05,55.670000,56.170000,55.440000,55.460000,5209490
2025-12-08,55.640000,56.440000,55.460000,55.760000,6308673
2025-12-09,55.710000,56.730000,55.090000,55.940000,8558451
2025-12-10,56.080000,58.760000,55.980000,58.460000,10233795
2025-12-11,57.750000,59.305000,57.630000,58.350000,7920749
2025-12-12,58.750000,58.900000,57.740000,58.390000,5720931
2025-12-15,58.630000,59.220000,58.230000,58.440000,4708845
2025-12-16,58.560000,58.750000,57.905000,58.140000,4225215
2025-12-17,58.380000,59.045000,58.180000,58.610000,4661364
2025-12-18,58.810000,59.160000,58.090000,58.410000,4092133
2025-12-19,58.630000,59.330000,58.490000,59.190000,6614301
2025-12-22,59.330000,59.900000,59.300000,59.880000,3170946
2025-12-23,59.960000,60.099900,59.470000,59.510000,3023413
2025-12-24,59.690000,60.005000,59.360000,59.860000,1111570
2025-12-26,59.860000,60.000000,59.525000,59.830000,1891898
2025-12-29,59.850000,59.950000,59.085000,59.140000,2331866
2025-12-30,59.250000,59.330000,58.715000,58.950000,2064922
2025-12-31,58.865000,59.110000,58.390000,58.410000,2396349
