d,o,h,l,c,v
2025-08-01,90.160000,90.680000,87.300000,88.630000,2151943
2025-08-04,89.420000,92.895000,88.650000,92.670000,1434312
2025-08-05,93.020000,93.120000,90.470000,91.490000,1470727
2025-08-06,92.610000,94.340000,91.650000,94.310000,1363498
2025-08-07,95.070000,95.800000,93.435000,95.180000,1216389
2025-08-08,96.000000,96.430000,94.630000,95.060000,2021378
2025-08-11,94.750000,95.710000,93.160000,93.380000,1409376
2025-08-12,93.580000,96.560000,93.495000,96.400000,1488541
2025-08-13,97.000000,98.190000,94.080000,94.660000,1547894
2025-08-14,92.880000,93.400000,89.090000,91.420000,2612707
2025-08-15,90.940000,91.700000,89.520000,90.870000,1478835
2025-08-18,90.460000,92.210000,90.100000,91.930000,1077649
2025-08-19,91.010000,91.365000,88.450000,88.770000,1593822
2025-08-20,87.870000,88.000000,84.410000,86.640000,1889743
2025-08-21,86.340000,87.625000,86.000000,87.360000,1496080
2025-08-22,87.540000,90.450000,87.245000,89.810000,1971325
2025-08-25,90.120000,91.120000,89.410000,90.740000,1663773
2025-08-26,91.090000,92.520000,90.650000,91.490000,1187162
2025-08-27,91.430000,94.035000,91.430000,92.740000,1657631
2025-08-28,93.000000,98.880000,92.865000,97.890000,2790447
2025-08-29,97.250000,97.545000,93.470000,93.970000,2230701
2025-09-02,92.680000,93.610000,90.000000,93.590000,2702432
2025-09-03,93.740000,95.210000,92.460000,94.820000,5741194
2025-09-04,115.000000,122.000000,110.900000,116.920000,11296480
2025-09-05,115.860000,117.060000,113.660100,116.690000,4410394
2025-09-08,118.450000,120.178600,117.020000,119.000000,2593260
2025-09-09,119.000000,122.270000,117.935000,122.190000,2132139
2025-09-10,123.810000,131.400000,123.650000,129.860000,3432065
2025-09-11,131.000000,134.310000,130.000000,132.500000,3381503
2025-09-12,132.220000,133.280000,130.130000,131.280000,2778218
2025-09-15,132.000000,138.350000,131.450000,135.900000,3375837
2025-09-16,136.390000,137.640000,133.940000,137.480000,2906967
2025-09-17,139.550000,139.550000,132.933200,136.380000,3196798
2025-09-18,138.700000,139.740000,137.450000,138.040000,2048119
2025-09-19,137.710000,138.960000,136.070000,138.370000,3153562
2025-09-22,138.060000,139.440000,136.330000,139.310000,2613193
2025-09-23,139.850000,141.430000,138.130000,139.480000,2846229
2025-09-24,139.380000,140.205000,136.040100,138.420000,2367329
2025-09-25,134.510000,137.610000,133.670000,137.170000,2808129
2025-09-26,140.240000,143.790000,138.120000,141.930000,3796081
2025-09-29,145.810000,146.510000,143.000000,144.120000,2318615
2025-09-30,144.520000,146.530000,143.755000,145.670000,2088155
2025-10-01,144.235000,151.890000,143.190000,151.720000,3107595
2025-10-02,153.230000,153.610000,148.020000,152.660000,2280349
2025-10-03,153.550000,154.015000,150.270000,151.450000,1762382
2025-10-06,152.675000,159.430000,151.640000,153.250000,3005677
2025-10-07,154.000000,155.200000,147.360000,151.480000,2718482
2025-10-08,152.700000,159.850000,152.545000,159.660000,1981300
2025-10-09,158.130000,164.020000,157.164600,163.610000,2365981
2025-10-10,165.240000,165.240000,153.270000,155.940000,3059253
2025-10-13,164.000000,167.340000,160.100000,164.780000,2884671
2025-10-14,161.550000,167.280000,159.010000,164.820000,1738638
2025-10-15,168.990000,172.920000,166.890000,168.710000,2401762
2025-10-16,170.430000,176.880000,170.050000,170.780000,2615934
2025-10-17,169.480000,173.060000,165.081000,170.950000,1965779
2025-10-20,173.630000,177.789900,171.950000,173.120000,2011113
2025-10-21,172.810000,174.080000,169.110000,169.710000,2083714
2025-10-22,170.440000,173.470000,159.560000,164.480000,3091089
2025-10-23,164.480000,173.841000,164.130000,172.580000,2242312
2025-10-24,175.830000,181.050000,175.590000,179.050000,1851416
2025-10-27,182.630000,186.320000,180.920000,182.540000,1909546
2025-10-28,182.260000,184.980000,173.800000,183.040000,2597271
2025-10-29,184.700000,193.120000,184.500000,189.270000,2589072
2025-10-30,188.170000,193.740000,186.130000,188.960000,1940986
2025-10-31,189.590000,193.030000,185.270000,189.920000,2146403
2025-11-03,193.340000,194.410000,187.930000,189.560000,1725688
2025-11-04,182.530000,188.769900,177.410000,182.870000,3044936
2025-11-05,183.990000,196.990000,182.490000,195.810000,2782498
2025-11-06,199.410000,203.400000,195.250000,201.460000,2830103
2025-11-07,193.000000,201.340000,190.150000,199.260000,3331092
2025-11-10,206.800000,214.170000,205.160000,208.740000,3523332
2025-11-11,204.530000,208.250000,200.750000,207.430000,2880073
2025-11-12,209.940000,211.070000,206.080000,209.520000,2188774
2025-11-13,206.990000,207.830000,191.810100,194.210000,3621692
2025-11-14,184.050000,195.910000,183.083100,191.710000,5734247
2025-11-17,190.800000,196.400000,188.040000,191.780000,3143581
2025-11-18,189.030000,191.840000,182.890000,187.000000,3498822
2025-11-19,187.930000,192.350000,184.666300,188.780000,2725935
2025-11-20,198.110000,202.600700,175.430000,176.450000,3939225
2025-11-21,175.970000,179.000000,168.220000,178.260000,3812615
2025-11-24,183.050000,196.515000,182.175000,194.700000,14026585
2025-11-25,191.510000,196.240000,187.545000,196.240000,2114001
2025-11-26,197.360000,203.165000,195.815000,200.290000,2033251
2025-11-28,203.800000,204.590000,201.000000,204.210000,1262367
2025-12-01,194.490000,201.440000,192.195000,200.920000,2303788
2025-12-02,204.030000,209.189900,198.005000,202.500000,2282793
2025-12-03,201.000000,202.215000,186.390000,193.350000,3809096
