d,o,h,l,c,v
2024-07-25,97.090000,98.310000,96.370000,96.490000,4633923
2024-07-26,99.000000,100.610000,98.320000,99.390000,7137452
2024-07-29,100.800000,101.420000,99.770000,100.880000,5398141
2024-07-30,98.950000,100.745000,98.440000,100.490000,5236082
2024-07-31,100.490000,100.760000,98.450000,99.190000,6410192
2024-08-01,99.550000,101.130000,98.730000,100.930000,4921314
2024-08-02,102.000000,103.350000,100.680000,102.810000,5088982
2024-08-05,102.990000,104.150000,99.950000,100.970000,5930041
2024-08-06,101.290000,103.600000,101.150000,102.660000,5267309
2024-08-07,102.740000,104.025000,102.240000,102.430000,4075761
2024-08-08,101.610000,103.110000,101.260000,102.710000,3215417
2024-08-09,102.470000,102.730000,101.330000,102.070000,3646674
2024-08-12,101.850000,101.930000,100.590000,101.280000,3660140
2024-08-13,101.490000,101.590000,99.870000,100.590000,4655998
2024-08-14,100.180000,102.420000,99.750000,102.180000,3149402
2024-08-15,102.480000,102.960000,101.160000,101.440000,3303416
2024-08-16,101.660000,102.080000,101.230000,101.990000,3172690
2024-08-19,102.050000,102.310000,101.580000,101.850000,2976496
2024-08-20,102.000000,103.100000,101.720000,103.060000,2691887
2024-08-21,103.110000,103.650000,102.650000,103.470000,3029294
2024-08-22,103.850000,104.050000,103.480000,103.950000,2803528
2024-08-23,104.300000,104.340000,103.110000,104.210000,3212533
2024-08-26,104.070000,105.230000,104.050000,105.090000,2430140
2024-08-27,105.310000,106.040000,104.620000,105.920000,3139434
2024-08-28,106.410000,106.720000,105.230000,105.790000,3217043
2024-08-29,105.800000,106.100000,105.280000,105.810000,2580822
2024-08-30,105.850000,106.700000,105.670000,106.500000,5033762
2024-09-03,106.500000,107.950000,106.350000,107.780000,4229974
2024-09-04,108.160000,108.980000,107.810000,108.770000,4446968
2024-09-05,109.000000,109.300000,108.140000,108.530000,4489857
2024-09-06,108.570000,109.040000,107.780000,107.860000,3937393
2024-09-09,107.360000,107.820000,106.500000,107.110000,4561696
2024-09-10,107.000000,107.760000,106.590000,106.840000,4201118
2024-09-11,106.370000,106.430000,104.830000,106.130000,4991689
2024-09-12,105.900000,106.440000,105.250000,106.340000,2963138
2024-09-13,105.660000,106.260000,105.110000,105.730000,3802298
2024-09-16,105.180000,105.920000,105.140000,105.430000,4088826
2024-09-17,104.880000,105.370000,104.235000,104.560000,4031855
2024-09-18,104.230000,104.750000,102.260000,103.180000,4253644
2024-09-19,103.100000,103.100000,101.890000,102.010000,4898022
2024-09-20,102.280000,103.060000,101.870000,103.060000,10926681
2024-09-23,102.680000,104.155000,102.475000,103.310000,3780829
2024-09-24,103.490000,104.140000,102.710000,103.790000,2882780
2024-09-25,104.140000,104.490000,103.450000,103.750000,3258971
2024-09-26,102.640000,104.030000,102.260000,103.060000,3603224
2024-09-27,102.780000,103.880000,102.660000,103.660000,4461779
2024-09-30,104.100000,104.160000,103.450000,103.810000,4655834
2024-10-01,103.770000,103.820000,102.060000,102.330000,4076636
2024-10-02,102.060000,102.360000,101.590000,102.060000,4273028
2024-10-03,101.650000,101.750000,99.770000,99.970000,4695173
2024-10-04,99.250000,99.850000,98.440000,99.040000,6030553
2024-10-07,99.580000,99.910000,98.325000,98.570000,4829567
2024-10-08,98.460000,100.690000,97.850000,100.580000,5095246
2024-10-09,100.580000,101.300000,100.280000,101.000000,3542406
2024-10-10,101.220000,101.220000,98.930000,99.240000,4406562
2024-10-11,99.630000,100.110000,98.900000,100.100000,4858703
2024-10-14,100.010000,100.840000,99.920000,100.730000,3180572
2024-10-15,100.950000,102.610000,100.950000,101.550000,3844888
2024-10-16,100.880000,101.400000,100.660000,101.190000,4188329
2024-10-17,101.830000,101.890000,100.070000,100.530000,3377356
2024-10-18,99.730000,100.540000,98.760000,100.460000,4502563
2024-10-21,100.000000,100.485000,99.190000,99.360000,2456416
2024-10-22,98.730000,99.950000,98.680000,99.670000,4018675
2024-10-23,99.320000,99.770100,98.775000,98.980000,3949576
2024-10-24,99.000000,99.980000,98.830000,99.740000,5259681
2024-10-25,96.540000,97.790000,95.150000,95.610000,7978868
2024-10-28,95.220000,96.610000,95.220000,95.740000,4570870
2024-10-29,95.020000,95.520000,94.430000,94.720000,5415146
2024-10-30,94.560000,95.165000,94.020000,94.660000,4551209
2024-10-31,94.550000,95.300000,93.650000,93.710000,4989659
2024-11-01,93.920000,94.635000,93.080000,93.330000,4859703
2024-11-04,93.280000,94.220000,93.130000,93.610000,4113740
2024-11-05,93.400000,94.370000,93.110000,94.260000,3302575
2024-11-06,94.660000,94.660000,90.040000,90.220000,8777592
2024-11-07,90.820000,91.580000,90.310000,90.770000,4534012
2024-11-08,91.140000,92.890000,91.050000,92.570000,4568042
2024-11-11,92.430000,93.170000,91.910000,91.960000,3539379
2024-11-12,93.300000,93.300000,91.430000,91.500000,4927138
2024-11-13,91.910000,91.910000,90.900000,91.070000,3456160
2024-11-14,91.010000,91.630000,90.790000,91.450000,4705537
2024-11-15,91.360000,94.140000,91.240000,93.560000,7328993
2024-11-18,92.950000,95.125000,92.940000,94.620000,4500411
2024-11-19,94.400000,94.430000,92.975000,93.610000,4918062
2024-11-20,93.410000,94.440000,92.860000,93.910000,4302453
2024-11-21,94.150000,94.920000,93.300000,94.250000,3642839
2024-11-22,94.990000,95.425000,94.490000,94.920000,3539226
2024-11-25,95.540000,95.750000,94.930000,95.340000,6159229
2024-11-26,95.570000,96.700000,95.200000,96.580000,4380727
2024-11-27,96.950000,97.960000,96.690000,96.760000,3427657
2024-11-29,96.500000,96.830000,95.855000,96.630000,2447136
2024-12-02,96.770000,97.620000,96.270000,97.110000,4325337
2024-12-03,97.180000,97.180000,93.710000,94.610000,6203590
2024-12-04,94.130000,94.880000,93.710000,94.810000,3971774
2024-12-05,94.260000,95.290000,94.145000,95.100000,4407125
2024-12-06,95.200000,96.085000,94.200000,94.230000,4104813
2024-12-09,94.050000,94.500000,92.800000,92.940000,4933644
2024-12-10,92.710000,94.000000,92.300000,93.890000,4324862
2024-12-11,94.150000,94.730000,92.610000,92.760000,3629401
2024-12-12,93.040000,94.030000,92.550000,93.560000,3519581
2024-12-13,93.460000,93.940000,92.950000,93.440000,3019615
2024-12-16,93.620000,94.270000,92.800000,92.920000,6601687
2024-12-17,92.500000,93.900000,92.420000,93.490000,5633427
2024-12-18,92.860000,94.130000,92.680000,92.750000,4849237
2024-12-19,92.660000,93.620000,92.110000,92.920000,6641243
2024-12-20,92.440000,93.150000,91.460000,92.030000,9929812
2024-12-23,91.970000,92.200000,91.080000,91.910000,2975110
2024-12-24,91.830000,92.495000,91.700000,92.390000,1531566
2024-12-26,92.100000,92.540000,91.920000,92.370000,1919583
2024-12-27,92.730000,92.730000,91.650000,91.810000,2544064
2024-12-30,91.530000,91.600000,90.425000,90.790000,2832192
2024-12-31,91.030000,91.520000,90.260000,90.910000,2911926
2025-01-02,91.060000,91.250000,90.180000,90.550000,3206117
2025-01-03,90.560000,90.775000,89.745000,90.150000,3101760
2025-01-06,89.660000,89.862000,87.360000,87.540000,6077449
2025-01-07,87.940000,88.600000,87.090000,87.390000,4758918
2025-01-08,87.110000,87.590000,86.860000,87.460000,5063940
2025-01-10,86.370000,87.090000,85.870000,86.360000,6711167
2025-01-13,86.670000,87.490000,86.325000,87.100000,8184402
2025-01-14,87.210000,87.780000,87.010000,87.670000,4606627
2025-01-15,88.460000,88.650000,87.560000,87.860000,5125354
2025-01-16,87.600000,88.630000,87.380000,88.560000,3334196
2025-01-17,88.410000,89.570000,88.190000,88.690000,5149895
2025-01-21,88.530000,89.430000,87.850000,88.230000,5048133
2025-01-22,89.450000,89.690000,87.410000,87.550000,5323153
2025-01-23,87.690000,88.260000,86.910000,87.910000,6586210
2025-01-24,87.710000,88.700000,87.470000,87.880000,5482885
2025-01-27,89.530000,91.410000,88.960000,91.210000,5164971
2025-01-28,90.750000,91.900000,89.620000,89.860000,4790725
2025-01-29,90.110000,90.610000,89.550000,89.570000,3225882
2025-01-30,90.550000,91.010000,89.950000,90.890000,5415264
2025-01-31,85.430000,87.390000,85.330000,86.700000,11100041
2025-02-03,87.070000,87.270000,85.700000,87.030000,6877851
2025-02-04,86.940000,87.140000,86.152100,86.500000,4073125
2025-02-05,86.630000,86.770000,85.800000,86.620000,4126441
2025-02-06,87.190000,87.200000,85.350000,85.680000,4540594
2025-02-07,85.600000,86.830000,85.425000,86.760000,3988353
2025-02-10,86.520000,86.690000,85.630000,85.960000,4162746
2025-02-11,86.000000,87.400000,85.680000,87.370000,3464913
2025-02-12,86.760000,87.360000,86.460000,86.730000,3411862
2025-02-13,86.790000,88.080000,86.710000,87.750000,3712793
2025-02-14,87.270000,87.460000,85.885000,86.040000,4137120
2025-02-18,85.740000,86.660000,85.320000,86.390000,3827803
2025-02-19,87.030000,87.630000,86.440000,87.420000,4307129
2025-02-20,86.630000,88.270000,86.400000,87.870000,3252837
2025-02-21,87.960000,89.800000,87.500000,89.470000,4747416
2025-02-24,89.100000,91.710000,89.050000,90.110000,5409488
2025-02-25,90.650000,92.586000,90.540000,92.290000,5818216
2025-02-26,91.690000,92.000000,90.000000,90.170000,3930178
2025-02-27,89.960000,91.070000,89.600000,90.200000,3673804
2025-02-28,91.040000,91.940000,90.060000,91.170000,5333150
2025-03-03,90.990000,92.810000,90.930000,92.810000,4732278
2025-03-04,93.270000,95.220000,91.020000,91.060000,6107476
2025-03-05,90.400000,92.210000,90.336700,91.750000,3446585
2025-03-06,91.800000,93.480000,91.400000,93.290000,4704267
2025-03-07,92.840000,98.340000,92.840000,96.740000,10097455
2025-03-10,97.340000,100.180000,97.190000,97.500000,9791374
2025-03-11,96.220000,96.730000,93.930000,94.100000,6640691
2025-03-12,92.600000,93.210000,90.230000,90.820000,9118298
2025-03-13,90.960000,91.610000,90.280000,90.520000,4396368
2025-03-14,89.730000,90.350000,89.180000,89.820000,4569484
2025-03-17,90.190000,91.372600,89.750000,90.710000,5642851
2025-03-18,90.550000,90.820000,89.380000,89.490000,3621865
2025-03-19,89.380000,90.535000,89.190000,90.440000,8242139
2025-03-20,90.550000,90.770000,89.140000,90.280000,5571865
2025-03-21,90.110000,91.360000,89.990000,90.300000,8950703
2025-03-24,90.080000,91.380000,90.080000,90.900000,4611181
2025-03-25,90.970000,90.980000,89.040000,89.590000,5173037
2025-03-26,89.830000,92.270000,89.605000,92.030000,4700741
2025-03-27,92.870000,93.280000,91.930000,93.190000,2956524
2025-03-28,93.900000,93.900000,92.220000,92.820000,2825838
2025-03-31,93.260000,94.330000,93.060000,93.700000,6224917
2025-04-01,94.240000,94.615900,93.180000,93.900000,4916330
2025-04-02,93.990000,94.240000,92.600000,93.550000,4849115
2025-04-03,95.260000,97.240000,94.800000,96.000000,5483421
2025-04-04,96.950000,97.730000,91.322000,91.660000,7434379
2025-04-07,89.750000,91.210000,88.050000,89.190000,7820159
2025-04-08,90.300000,90.620000,87.720000,88.600000,5677677
2025-04-09,87.730000,91.730000,87.480000,90.230000,7407575
2025-04-10,90.140000,92.710000,89.520000,91.800000,6465484
2025-04-11,91.440000,94.530000,91.280000,94.000000,5664271
2025-04-14,94.040000,95.310000,93.490000,94.980000,3658954
2025-04-15,94.980000,95.580000,94.210000,94.260000,3874850
2025-04-16,94.910000,95.000000,93.210000,93.490000,4120587
