d,o,h,l,c,v
2024-07-25,133.140000,135.380000,132.990000,133.350000,1083512
2024-07-26,134.060000,135.300000,133.460000,134.610000,1452888
2024-07-29,134.420000,135.115000,132.115000,133.890000,1584676
2024-07-30,131.900000,132.335000,129.190000,131.730000,1516400
2024-07-31,132.510000,133.110000,130.540000,131.930000,1764442
2024-08-01,132.600000,135.170000,130.950000,134.140000,2627156
2024-08-02,142.000000,145.000000,138.850000,144.090000,2902055
2024-08-05,143.920000,145.580000,141.880000,142.670000,2074523
2024-08-06,142.960000,144.100000,141.620000,143.230000,1973727
2024-08-07,143.230000,146.820000,143.230000,143.800000,1457597
2024-08-08,143.250000,145.205000,142.860000,144.330000,871087
2024-08-09,143.580000,143.980000,141.285000,143.030000,1100966
2024-08-12,142.560000,142.830000,140.950000,141.790000,1043861
2024-08-13,142.020000,143.710000,141.080000,143.630000,1057058
2024-08-14,142.480000,144.840000,141.850000,144.520000,835979
2024-08-15,145.000000,146.000000,143.252300,145.930000,1183420
2024-08-16,145.810000,146.770000,145.330000,145.400000,926064
2024-08-19,145.650000,149.480000,145.650000,149.180000,1511912
2024-08-20,149.080000,151.830000,148.790000,151.340000,1565494
2024-08-21,151.990000,152.460000,150.150000,150.620000,845304
2024-08-22,151.330000,151.730000,150.660000,151.120000,1102632
2024-08-23,151.000000,153.500000,150.680200,153.060000,943993
2024-08-26,153.120000,155.220000,152.820000,155.120000,1316544
2024-08-27,155.220000,157.100000,154.440100,156.490000,937544
2024-08-28,157.200000,157.670000,154.790000,155.440000,1376751
2024-08-29,155.950000,157.910000,154.795000,157.260000,919921
2024-08-30,157.260000,159.050000,157.260000,158.310000,1252402
2024-09-03,159.920000,162.670000,159.590000,161.120000,1691433
2024-09-04,161.000000,164.395000,160.401500,164.180000,1492860
2024-09-05,164.500000,165.710000,163.580000,164.820000,1790940
2024-09-06,165.020000,166.490000,164.575000,164.750000,1567657
2024-09-09,164.160000,166.460000,163.580000,165.200000,1409425
2024-09-10,165.190000,167.750000,164.450000,166.970000,1123954
2024-09-11,166.360000,166.360000,162.280000,163.990000,1029749
2024-09-12,163.310000,165.060000,162.130100,164.970000,872759
2024-09-13,164.920000,166.490000,164.685000,166.270000,1036817
2024-09-16,167.500000,169.090000,165.450100,165.950000,870160
2024-09-17,164.740000,165.960000,164.425000,164.690000,820797
2024-09-18,164.690000,165.610000,161.750000,163.470000,868145
2024-09-19,163.290000,163.500000,161.280000,162.040000,1400941
2024-09-20,161.950000,164.370000,161.500000,163.330000,2749817
2024-09-23,162.590000,165.719900,161.660000,164.840000,951265
2024-09-24,165.000000,166.695000,164.290000,164.590000,860734
2024-09-25,165.480000,166.000000,162.710000,162.970000,1180304
2024-09-26,162.250000,163.775000,160.650000,161.910000,1426789
2024-09-27,161.890000,164.070000,161.600000,163.420000,646264
2024-09-30,163.640000,164.310000,161.835000,162.910000,909544
