d,o,h,l,c,v
2025-08-01,74.150000,74.400000,73.550000,74.080000,2926292
2025-08-04,74.320000,74.940000,74.186800,74.670000,2467324
2025-08-05,74.840000,74.930000,73.940000,74.160000,2046314
2025-08-06,74.260000,74.760000,73.870000,74.110000,1853423
2025-08-07,74.030000,74.890000,73.740000,74.530000,3072158
2025-08-08,74.380000,74.620000,73.230000,73.480000,2571411
2025-08-11,73.600000,73.630000,72.440000,72.920000,2404304
2025-08-12,73.020000,73.090000,72.330000,72.810000,2583507
2025-08-13,72.870000,73.470000,72.630000,73.460000,1799873
2025-08-14,73.210000,73.390000,72.320000,72.590000,2263290
2025-08-15,72.520000,72.550000,71.990000,72.300000,2491515
2025-08-18,72.410000,72.920000,72.030000,72.030000,2067343
2025-08-19,72.110000,73.070000,72.060000,73.030000,2838008
2025-08-20,73.380000,74.140000,72.950000,73.010000,2144388
2025-08-21,72.830000,73.285000,72.580000,72.780000,3325728
2025-08-22,73.000000,73.645000,72.810000,73.120000,1807168
2025-08-25,72.900000,73.120000,72.100000,72.220000,1461801
2025-08-26,72.260000,72.780000,71.920000,72.090000,2494456
2025-08-27,72.140000,72.505900,71.910000,72.210000,1516043
2025-08-28,72.020000,72.415000,71.100000,71.210000,1519446
2025-08-29,71.220000,71.900000,71.120000,71.570000,1487179
2025-09-02,71.380000,71.760000,70.800000,71.160000,1886484
2025-09-03,71.000000,71.725000,71.000000,71.520000,1936770
2025-09-04,71.940000,72.240000,71.230000,71.540000,1559978
2025-09-05,71.720000,71.885000,71.130000,71.550000,1540839
2025-09-08,71.290000,71.375000,70.520000,70.690000,1705493
2025-09-09,70.450000,71.170000,70.400000,70.910000,1479559
2025-09-10,70.880000,71.340000,70.525000,71.220000,1798568
2025-09-11,71.300000,71.770000,70.930000,71.670000,1618803
2025-09-12,71.430000,71.895000,71.170000,71.680000,1911125
2025-09-15,71.580000,72.000000,71.560000,71.580000,2803056
2025-09-16,71.170000,71.440000,69.920000,69.960000,2012168
2025-09-17,70.320000,71.140000,70.260000,70.380000,1940986
2025-09-18,69.810000,70.670000,69.760000,70.180000,2005308
2025-09-19,70.340000,70.540000,69.815000,70.120000,5110591
2025-09-22,70.270000,70.750000,70.170200,70.440000,1964279
2025-09-23,70.240000,71.610000,70.160000,71.490000,1706040
2025-09-24,71.460000,72.030000,71.340000,71.660000,2015104
2025-09-25,71.940000,72.220000,69.820000,70.980000,4981784
2025-09-26,71.270000,71.900000,70.975000,71.840000,2200437
2025-09-29,71.710000,72.980000,71.380000,72.770000,3034854
2025-09-30,73.000000,73.440000,72.620000,73.260000,1969168
2025-10-01,72.960000,73.450000,72.325000,72.370000,2237747
2025-10-02,72.200000,72.290000,71.370000,71.830000,1793687
2025-10-03,71.780000,72.920000,71.720000,72.340000,2808199
2025-10-06,72.500000,73.260000,72.350000,73.220000,2910150
2025-10-07,73.310000,74.557500,73.054000,73.760000,2791435
2025-10-08,74.120000,74.260000,72.990000,73.190000,1886096
2025-10-09,73.630000,73.800000,73.010000,73.280000,2604815
2025-10-10,73.540000,74.630000,73.185000,74.090000,2161766
2025-10-13,73.670000,74.140000,73.320000,73.550000,1927742
2025-10-14,73.840000,74.905000,73.595000,74.350000,1619807
2025-10-15,74.280000,75.420000,74.070000,75.310000,1884904
2025-10-16,75.350000,76.110000,74.670000,74.750000,2070035
2025-10-17,74.880000,74.980000,74.200000,74.780000,1805950
2025-10-20,75.080000,75.310000,74.800000,75.090000,2002826
2025-10-21,75.370000,75.370000,74.185000,74.540000,1613129
2025-10-22,74.810000,75.595000,74.380000,75.160000,2014438
