d,o,h,l,c,v
2024-07-25,92.350000,94.630000,91.890000,92.680000,1231080
2024-07-26,92.600000,94.170000,92.405000,93.210000,1063395
2024-07-29,93.310000,94.000000,92.200000,92.610000,666960
2024-07-30,92.460000,93.420000,92.400000,92.690000,776707
2024-07-31,92.690000,94.710000,92.390000,93.330000,1246342
2024-08-01,93.310000,94.790000,93.090000,94.200000,774513
2024-08-02,96.000000,96.000000,92.315000,93.270000,880304
2024-08-05,93.130000,93.170000,89.800000,91.410000,1000241
2024-08-06,91.570000,93.770700,90.880000,92.490000,677024
2024-08-07,92.410000,93.890000,91.460000,91.800000,717397
2024-08-08,92.010000,93.170000,91.600000,93.090000,979514
2024-08-09,93.170000,93.585000,92.200000,93.130000,544900
2024-08-12,92.700000,93.140000,90.645000,90.970000,1429931
2024-08-13,90.940000,92.480000,90.745000,91.990000,1034695
2024-08-14,91.370000,91.550000,90.230000,91.420000,786612
2024-08-15,91.970000,92.490100,91.435000,92.000000,685273
2024-08-16,92.080000,94.250000,91.910000,94.140000,785196
2024-08-19,94.400000,95.360000,93.930000,95.220000,845530
2024-08-20,95.150000,96.610000,94.940000,95.890000,947130
2024-08-21,95.880000,95.940000,92.440000,93.660000,1230776
2024-08-22,93.970000,94.450000,93.290000,94.110000,886865
2024-08-23,94.390000,94.980000,93.690000,94.620000,1614938
2024-08-26,94.780000,95.380000,93.965000,94.450000,1166392
2024-08-27,94.820000,95.610000,94.100000,94.350000,1397835
2024-08-28,94.550000,95.435000,94.250000,94.540000,1231948
2024-08-29,104.100000,106.580000,100.740000,105.730000,2657980
2024-08-30,106.380000,106.950000,104.495000,105.730000,1677051
2024-09-03,105.000000,106.800000,104.710000,106.060000,1732021
2024-09-04,106.320000,107.455000,104.480000,105.540000,1585329
2024-09-05,105.650000,107.360000,104.590000,106.500000,1228741
2024-09-06,106.590000,107.820000,105.970000,106.590000,1235653
2024-09-09,106.610000,108.680000,106.070000,108.030000,1137000
2024-09-10,108.110000,108.530000,107.260000,108.340000,857609
2024-09-11,108.050000,108.650000,106.030000,108.510000,897120
2024-09-12,108.350000,109.595000,107.690000,108.860000,1030834
2024-09-13,108.890000,110.690000,108.430000,110.530000,1287703
2024-09-16,111.000000,112.375000,110.660000,111.230000,885863
2024-09-17,111.190000,112.180000,109.380000,109.830000,881124
2024-09-18,110.080000,111.960000,109.480000,110.530000,903710
2024-09-19,111.790000,112.290000,109.910000,111.100000,987902
2024-09-20,110.380000,111.010000,109.440000,110.490000,1914533
2024-09-23,110.510000,111.000000,109.350000,109.810000,705907
2024-09-24,110.250000,110.500000,109.070000,109.850000,961031
2024-09-25,110.210000,110.210000,108.290000,108.410000,1468858
2024-09-26,108.770000,109.800000,108.040000,109.540000,811711
2024-09-27,110.080000,111.440000,109.480000,109.780000,648075
2024-09-30,109.980000,110.675000,109.630000,110.340000,776714
2024-10-01,109.840000,110.130000,108.250000,108.360000,1193637
2024-10-02,107.540000,108.880000,106.765000,107.800000,1083007
2024-10-03,107.230000,107.555000,106.450000,106.970000,2004079
2024-10-04,107.370000,108.060000,105.010000,105.920000,1047380
2024-10-07,106.480000,106.830000,104.910000,105.490000,1151189
2024-10-08,105.180000,105.940000,105.060000,105.610000,698693
2024-10-09,105.600000,106.910000,105.080000,106.800000,444492
2024-10-10,105.490000,106.510000,105.490000,106.300000,674449
2024-10-11,106.530000,107.215588,106.150000,106.740000,892665
2024-10-14,106.930000,107.747500,106.730000,107.680000,521202
2024-10-15,107.460000,109.370000,107.460000,108.550000,829395
2024-10-16,108.530000,109.030000,107.945000,108.560000,695801
2024-10-17,108.460000,108.730000,106.600000,106.780000,1193332
2024-10-18,106.780000,108.545000,106.540000,108.260000,733653
2024-10-21,107.950000,108.382500,106.600000,106.720000,765008
2024-10-22,106.400000,106.480000,105.210000,105.830000,1999677
2024-10-23,105.610000,106.210000,104.700000,105.320000,912377
2024-10-24,105.800000,109.035000,105.445000,107.300000,3239608
2024-10-25,107.440000,108.320000,107.050000,107.820000,3270373
2024-10-28,108.010000,108.010000,105.420000,105.510000,950918
2024-10-29,105.120000,105.435000,104.410000,104.530000,837051
2024-10-30,103.960000,105.830000,103.960000,105.200000,1414508
2024-10-31,105.030000,105.380000,104.445000,104.680000,1131611
2024-11-01,104.920000,106.260000,104.920000,105.850000,715874
2024-11-04,106.060000,106.375000,104.565000,104.860000,692427
2024-11-05,103.970000,105.540000,103.250000,105.210000,638643
2024-11-06,107.840000,107.840000,101.360000,103.780000,1245006
2024-11-07,104.370000,104.370000,102.250000,103.330000,1148586
2024-11-08,103.450000,104.570000,102.990000,103.750000,679183
2024-11-11,103.800000,104.805000,102.870000,103.550000,877673
