d,o,h,l,c,v
2024-07-25,111.000000,112.040000,110.450000,111.030000,5492133
2024-07-26,111.150000,111.540000,109.930000,110.860000,5199044
2024-07-29,111.240000,111.290000,108.375000,109.120000,4629531
2024-07-30,109.170000,110.270000,108.940000,109.910000,9794242
2024-07-31,111.610000,112.400000,111.100000,111.200000,7554556
2024-08-01,112.450000,112.680000,107.920000,108.390000,9704569
2024-08-02,107.720000,108.080000,103.980000,105.770000,7445068
2024-08-05,104.000000,105.310000,102.265800,104.570000,8474984
2024-08-06,104.570000,106.450000,104.110000,105.800000,8424866
2024-08-07,107.250000,108.440000,106.440000,106.930000,7735376
2024-08-08,107.240000,108.640000,106.920000,108.270000,5392929
2024-08-09,108.270000,109.100000,107.090000,108.610000,5776222
2024-08-12,108.450000,110.230000,108.280000,110.030000,5906943
2024-08-13,108.990000,109.375000,107.860000,108.340000,5866836
2024-08-14,108.510000,109.840000,108.230000,109.330000,6388043
2024-08-15,109.680000,111.370000,109.680000,111.230000,6307107
2024-08-16,110.320000,111.380000,109.860000,111.180000,3819194
2024-08-19,111.220000,112.750000,111.120000,111.740000,4335845
2024-08-20,111.570000,111.810000,108.850000,109.850000,6783295
2024-08-21,110.805000,111.190000,108.900000,109.620000,4012061
2024-08-22,109.600000,110.515000,109.410000,109.970000,3644660
2024-08-23,110.830000,111.490000,110.270000,111.400000,4024190
2024-08-26,113.020000,115.030000,112.940000,113.560000,6253903
2024-08-27,113.660000,113.660000,112.060000,112.430000,3521682
2024-08-28,112.040000,112.200000,110.640000,112.150000,4506609
2024-08-29,112.980000,115.140000,112.070000,114.370000,5270355
2024-08-30,113.120000,114.040000,112.410000,113.790000,5559473
2024-09-03,111.900000,111.910000,109.210000,109.850000,6369950
2024-09-04,110.330000,111.190000,108.440000,108.560000,6251482
2024-09-05,109.220000,109.390000,107.290000,107.450000,5582550
2024-09-06,107.730000,108.620000,105.720000,106.020000,5229946
2024-09-09,106.050000,106.670000,105.540000,105.600000,6477014
2024-09-10,105.550000,105.739900,103.240000,104.000000,5611503
2024-09-11,103.800000,104.040000,101.295000,102.570000,6803068
2024-09-12,102.720000,103.680000,102.150000,102.900000,6775934
2024-09-13,103.320000,104.368000,103.050000,103.500000,5441624
2024-09-16,104.960000,105.685000,104.450000,105.550000,9325463
2024-09-17,105.510000,108.495000,105.300000,108.290000,8661529
2024-09-18,107.520000,109.930000,107.510000,108.620000,7424108
2024-09-19,110.500000,111.345000,109.365000,110.550000,7990658
2024-09-20,111.160000,111.740000,109.730000,109.870000,33515146
2024-09-23,110.100000,110.939900,107.490000,109.690000,8197582
2024-09-24,111.340000,111.470000,108.775000,108.910000,7787402
2024-09-25,108.500000,108.820000,105.690000,105.730000,6561430
2024-09-26,103.000000,104.220000,102.165000,102.310000,9523996
2024-09-27,102.630000,104.840000,102.600000,104.720000,5489511
2024-09-30,104.400000,105.580000,103.870000,105.280000,6584319
2024-10-01,104.540000,109.675000,104.100000,109.370000,8067607
2024-10-02,111.280000,111.640000,108.585000,110.360000,7559883
2024-10-03,110.700000,112.510000,109.990000,112.420000,7397411
2024-10-04,113.570000,114.630000,112.050000,114.540000,7585770
2024-10-07,114.940000,116.080000,114.440000,114.720000,4899753
2024-10-08,112.740000,112.915000,110.160000,110.800000,5579751
2024-10-09,109.910000,111.520000,109.550000,110.970000,4217323
2024-10-10,111.640000,112.834700,110.760000,111.860000,3946412
2024-10-11,110.750000,111.700000,110.271700,110.490000,6820341
2024-10-14,109.700000,110.434900,108.900000,109.470000,5173958
