d,o,h,l,c,v
2025-07-01,990.000000,996.839000,974.500000,985.960000,2200576
2025-07-02,983.870000,985.699900,976.865000,982.360000,1606122
2025-07-03,982.410000,987.670000,977.325000,987.020000,1101351
2025-07-07,985.000000,992.893100,976.200000,992.180000,1832591
2025-07-08,989.500000,995.870000,983.925000,985.840000,1716151
2025-07-09,988.390000,988.390000,972.280000,982.090000,2922574
2025-07-10,987.000000,988.000000,969.070000,970.170000,2903765
2025-07-11,973.290000,978.980000,965.700000,970.330000,1941995
2025-07-14,971.100000,981.490000,969.620000,980.910000,1679303
2025-07-15,979.250000,980.250000,966.660000,967.680000,1878003
2025-07-16,967.990000,969.589000,950.130000,951.370000,2950277
2025-07-17,950.360000,954.750000,947.510000,953.910000,2280638
2025-07-18,959.950000,960.260000,949.650000,950.950000,2115538
2025-07-21,951.510000,955.760000,946.600000,947.560000,1742426
2025-07-22,948.800000,957.700000,941.250000,941.610000,1799905
2025-07-23,942.375000,948.500000,936.000000,941.190000,2401619
2025-07-24,941.330000,942.899900,933.490000,933.800000,2057072
2025-07-25,936.300000,941.290000,934.350000,935.480000,1827655
2025-07-28,935.500000,940.241000,930.890000,933.990000,2006292
2025-07-29,933.990000,941.785000,927.380000,934.570000,2065880
2025-07-30,935.000000,937.749900,925.135000,927.510000,1699609
2025-07-31,925.360000,945.950000,925.000000,939.640000,2564353
2025-08-01,939.500000,956.720000,939.500000,952.520000,2934464
2025-08-04,952.600000,960.180000,948.660000,955.370000,2389907
2025-08-05,951.325000,951.500000,935.680000,943.630000,2462286
2025-08-06,943.630000,970.550000,942.660100,968.560000,2752994
2025-08-07,974.680000,982.000000,970.960000,977.450000,1893275
2025-08-08,977.150000,988.200000,977.000000,980.980000,2189701
2025-08-11,983.160000,989.580000,976.320000,988.740000,2290125
2025-08-12,988.500000,991.750000,980.050000,991.250000,1589455
2025-08-13,983.960000,986.400000,970.100000,978.850000,2352567
2025-08-14,980.600000,988.292500,975.180000,975.390000,1808742
2025-08-15,979.140000,979.999900,967.215000,972.040000,1638281
2025-08-18,973.300000,981.280000,970.000000,979.350000,2078489
2025-08-19,978.620000,988.529900,976.790000,980.850000,1673394
2025-08-20,979.000000,999.300000,979.000000,994.570000,2229573
2025-08-21,988.900000,989.320000,967.520000,969.680000,2145629
2025-08-22,971.540000,973.500000,953.110000,958.540000,3135979
2025-08-25,954.960000,958.304700,940.560000,941.580000,2284250
2025-08-26,941.340000,944.050000,933.245000,941.340000,4341253
2025-08-27,940.490000,952.000000,937.215000,949.520000,1893587
2025-08-28,950.285000,950.999900,944.130100,944.960000,2067919
2025-08-29,945.000000,948.610000,940.460000,943.320000,1608954
2025-09-02,938.660000,944.512600,936.580000,938.820000,1793947
2025-09-03,939.000000,950.090000,936.500000,949.780000,1670458
2025-09-04,953.400000,959.500000,951.110000,955.900000,1471872
2025-09-05,958.710000,969.550000,956.222600,963.480000,1928459
2025-09-08,963.730000,972.340000,958.586300,971.850000,1737032
