d,o,h,l,c,v
2025-08-01,316.020000,317.210000,310.540000,316.400000,545431
2025-08-04,318.530000,324.790000,317.390000,324.340000,359371
2025-08-05,325.790000,326.770000,318.580000,318.580000,612806
2025-08-06,322.140000,322.140000,314.290000,315.070000,871555
2025-08-07,318.300000,322.000000,300.825000,304.500000,1399149
2025-08-08,305.980000,305.980000,296.570000,301.700000,580200
2025-08-11,302.340000,306.770000,302.180000,303.770000,522773
2025-08-12,304.640000,310.940000,304.640000,309.370000,575178
2025-08-13,310.180000,316.600000,309.795000,316.590000,543444
2025-08-14,315.270000,321.000000,312.030000,320.230000,634190
2025-08-15,322.010000,324.040000,316.830000,317.660000,543137
2025-08-18,317.700000,317.745000,313.740000,316.500000,385263
2025-08-19,317.750000,321.210000,315.510000,320.680000,339701
2025-08-20,320.200000,321.815000,314.415000,316.420000,495081
2025-08-21,315.310000,317.980000,309.500000,317.660000,376284
2025-08-22,320.060000,331.550000,318.435000,331.190000,360730
2025-08-25,329.540000,330.930000,321.370000,322.530000,523910
2025-08-26,322.450000,326.090000,321.870000,325.170000,467001
2025-08-27,324.720000,327.590100,324.090000,325.240000,221836
2025-08-28,326.830000,327.190000,324.210000,325.170000,211342
2025-08-29,325.560000,327.425000,324.050000,325.670000,220596
2025-09-02,321.170000,322.950000,315.800000,317.790000,288664
2025-09-03,316.760000,319.420000,314.010000,319.370000,419433
2025-09-04,320.470000,320.470000,313.345000,319.940000,265387
2025-09-05,322.090000,327.110000,314.870000,316.650000,259724
2025-09-08,316.140000,316.140000,309.070000,311.590000,668469
2025-09-09,310.490000,315.290000,310.340000,313.120000,506206
2025-09-10,311.160000,313.580000,302.390000,304.800000,396270
2025-09-11,304.830000,314.415000,304.535000,313.600000,354134
2025-09-12,313.300000,313.300000,306.180000,307.360000,350339
2025-09-15,308.820000,311.170000,304.400000,304.860000,313787
2025-09-16,304.820000,307.355000,302.392500,306.290000,360876
2025-09-17,306.690000,315.375000,306.690000,310.630000,461537
2025-09-18,313.210000,313.210000,303.850000,305.270000,467155
2025-09-19,305.880000,306.600000,298.985000,301.930000,998948
2025-09-22,299.550000,302.000000,297.565000,299.920000,579784
2025-09-23,300.000000,305.285000,297.130000,298.000000,420870
2025-09-24,298.260000,300.135000,294.400000,296.230000,436610
2025-09-25,294.380000,296.243000,289.039000,292.180000,357379
2025-09-26,292.530000,298.580000,292.530000,296.700000,437082
2025-09-29,299.790000,299.790000,292.880000,295.830000,537199
2025-09-30,294.870000,294.980000,286.720000,288.060000,630010
2025-10-01,286.600000,290.400000,284.250000,286.410000,616682
