d,o,h,l,c,v
2024-07-25,51.500000,51.620000,50.405000,50.430000,4661091
2024-07-26,50.880000,51.360000,50.585000,51.050000,3969340
2024-07-29,51.130000,51.320000,50.730000,51.050000,3163133
2024-07-30,51.420000,51.845000,51.250000,51.720000,4807909
2024-07-31,52.310000,52.640000,51.860000,52.330000,4360279
2024-08-01,52.270000,53.190000,51.680000,52.230000,4140895
2024-08-02,52.220000,52.270000,50.890100,51.730000,3767234
2024-08-05,51.360000,51.590000,50.320000,50.930000,4545858
2024-08-06,50.780000,50.835000,49.210000,49.660000,7245867
2024-08-07,50.020000,50.450000,49.130000,49.190000,5222760
2024-08-08,49.415000,50.200000,49.070000,50.090000,4756886
2024-08-09,49.970000,51.170000,49.840000,50.990000,2904276
2024-08-12,50.780000,51.009900,50.100000,50.260000,2790540
2024-08-13,50.600000,51.110000,50.120000,50.970000,4335171
2024-08-14,50.990000,51.140000,50.620000,50.990000,4110313
2024-08-15,51.410000,51.925000,51.150000,51.600000,6035947
2024-08-16,51.400000,51.660000,51.080000,51.310000,3376348
2024-08-19,51.385000,51.600000,51.150000,51.590000,3399758
2024-08-20,51.590000,52.040000,51.530000,51.980000,2853704
2024-08-21,52.210000,52.590000,51.880000,52.450000,2592617
2024-08-22,52.610000,52.610000,52.070000,52.240000,2483248
2024-08-23,52.530000,53.060000,52.470000,52.760000,2126029
2024-08-26,52.880000,53.230000,52.480000,52.560000,2442285
2024-08-27,52.540000,52.700000,52.180000,52.590000,2884105
2024-08-28,52.740000,53.250000,52.670000,53.210000,3615622
2024-08-29,53.180000,53.310000,52.145000,52.400000,6025440
2024-08-30,52.570000,53.560000,52.430000,52.960000,4919942
2024-09-03,53.060000,54.145000,53.030000,53.520000,7222909
2024-09-04,53.500000,54.020000,52.930000,53.050000,5999467
2024-09-05,50.000000,50.240000,48.375000,49.510000,11425616
2024-09-06,49.700000,50.080000,48.945000,49.460000,7844381
2024-09-09,49.820000,49.970000,49.160000,49.420000,5243885
2024-09-10,49.420000,49.600000,48.740000,49.510000,4155087
2024-09-11,49.300000,49.450000,48.050000,49.380000,4591573
2024-09-12,49.310000,49.721000,49.140000,49.470000,3862042
2024-09-13,49.640000,50.380000,49.500000,50.230000,3081075
2024-09-16,50.590000,51.030000,49.690000,49.750000,5211541
2024-09-17,50.070000,50.815000,49.910000,50.720000,4207612
2024-09-18,51.000000,51.920000,50.865000,51.000000,4337344
2024-09-19,51.860000,52.115000,51.370000,51.800000,4154857
2024-09-20,51.840000,51.840000,51.150000,51.440000,8641146
2024-09-23,51.510000,52.010000,51.460000,51.690000,2857422
2024-09-24,51.720000,52.495000,51.535000,52.450000,3441603
2024-09-25,52.530000,52.590000,51.990000,52.050000,5095099
2024-09-26,52.530000,52.700000,52.070000,52.110000,3152165
2024-09-27,52.170000,52.300000,51.760000,52.060000,3035714
2024-09-30,52.120000,52.500000,51.880000,52.400000,4069191
2024-10-01,52.360000,52.830000,51.800000,52.480000,5122847
2024-10-02,52.390000,52.831900,52.160000,52.650000,2519364
2024-10-03,52.430000,52.660000,52.045000,52.190000,2681118
2024-10-04,52.800000,53.025000,52.350000,52.900000,3682181
2024-10-07,52.580000,52.860000,52.450000,52.760000,5239913
2024-10-08,52.980000,54.540000,52.800000,54.440000,6713687
2024-10-09,54.510000,56.619700,54.510000,55.840000,7662905
2024-10-10,55.400000,56.000000,54.990000,55.600000,6259462
2024-10-11,55.780000,56.585000,55.730000,55.920000,3840744
2024-10-14,55.940000,55.940000,54.995000,55.250000,3604973
2024-10-15,55.290000,55.930000,54.590100,54.850000,3957610
2024-10-16,54.710000,54.910000,54.230100,54.540000,3864817
2024-10-17,54.900000,54.950000,53.551000,53.690000,3800584
