d,o,h,l,c,v
2025-08-01,67.510000,67.610000,66.520000,67.110000,21650021
2025-08-04,67.765000,68.510000,67.610000,68.490000,17052199
2025-08-05,68.690000,68.870000,67.445000,67.520000,15434498
2025-08-06,67.960000,69.345000,67.765000,69.210000,23107772
2025-08-07,69.800000,70.140000,69.210000,69.900000,22579586
2025-08-08,70.243000,72.020000,70.215000,71.790000,31662369
2025-08-11,72.300000,72.550000,70.340000,70.670000,28911377
2025-08-12,70.785000,71.500000,70.560000,71.380000,21940975
2025-08-13,71.860000,72.030000,70.250000,70.400000,38096360
2025-08-14,68.000000,70.610000,67.480000,69.300000,39317329
2025-08-15,68.450000,68.650000,65.860000,66.200000,40877322
2025-08-18,66.080000,67.110000,65.750000,66.950000,20903411
2025-08-19,66.760000,67.520000,66.480200,66.760000,18746598
2025-08-20,66.820000,67.185000,66.535000,67.110000,14946418
2025-08-21,67.100000,67.220000,66.470000,67.020000,12456622
2025-08-22,67.330000,68.040000,67.005000,67.320000,16830586
2025-08-25,67.280000,67.495000,67.110000,67.140000,11724472
2025-08-26,67.165000,68.750000,67.110000,68.390000,28307872
2025-08-27,68.320000,68.745000,68.150000,68.440000,13876664
2025-08-28,68.360000,69.575800,68.350000,69.430000,15256031
2025-08-29,69.110000,69.460000,68.835000,69.090000,14952966
2025-09-02,68.105000,68.320000,67.380000,67.800000,18928844
2025-09-03,68.045000,68.130000,67.330000,67.670000,14320143
2025-09-04,68.100000,68.410000,67.410000,67.990000,14388533
2025-09-05,67.715000,68.100000,66.480000,66.900000,21050788
2025-09-08,66.720000,67.005000,66.350000,66.880000,14038024
2025-09-09,66.740000,67.435000,66.640000,67.340000,11649370
2025-09-10,67.590000,68.320000,67.120000,68.130000,14689475
2025-09-11,68.310000,68.570000,67.505000,67.690000,17560793
2025-09-12,66.880000,67.340000,66.130000,66.530000,18529180
2025-09-15,66.505000,67.200000,66.345000,67.020000,16203088
2025-09-16,67.020000,67.380000,66.550000,66.930000,18019318
2025-09-17,67.000000,67.880000,66.380000,67.720000,18652123
2025-09-18,67.900000,68.760000,67.480000,68.680000,20279009
2025-09-19,68.920000,68.920000,67.180200,68.210000,47822501
2025-09-22,67.860000,68.000000,67.300000,67.750000,20396683
2025-09-23,67.580000,68.220000,67.070000,67.540000,22240010
2025-09-24,67.700000,67.865000,66.890000,67.320000,17433102
2025-09-25,67.320000,68.235000,67.110100,67.850000,22351675
2025-09-26,67.870000,67.910000,66.850000,67.220000,15077408
2025-09-29,67.715000,67.950000,67.440000,67.720000,14358252
2025-09-30,67.705000,68.770000,67.690000,68.420000,20498939
2025-10-01,67.900000,68.820000,67.690000,68.750000,15530716
2025-10-02,69.175000,69.490000,68.255000,68.310000,15708257
2025-10-03,67.950000,68.585000,67.650000,67.920000,11113184
2025-10-06,68.435000,68.950000,67.810000,68.910000,21952715
2025-10-07,68.915000,69.225000,68.445000,68.985000,16493157
2025-10-08,69.810000,70.755000,69.000000,70.330000,34246259
2025-10-09,70.310000,70.620000,69.030000,69.960000,21209483
2025-10-10,70.410000,70.809300,67.890000,67.940000,20961507
2025-10-13,68.550000,68.890000,67.130000,67.460000,14127945
2025-10-14,67.110000,69.160000,66.813100,68.660000,15402046
2025-10-15,69.305000,70.299900,68.820000,69.520000,16260540
2025-10-16,69.780000,70.070000,68.570000,69.090000,13950643
2025-10-17,69.060000,70.770000,68.950000,70.130000,16286931
2025-10-20,70.120000,70.970000,70.120000,70.650000,12183524
2025-10-21,70.580000,71.237500,70.380000,70.720000,15763347
2025-10-22,70.860000,70.970000,69.850000,70.660000,14967248
2025-10-23,70.600000,71.235000,70.230000,70.270000,14614128
2025-10-24,70.635000,70.940000,70.060000,70.630000,13075554
2025-10-27,70.540000,71.460000,70.430000,71.390000,15986782
2025-10-28,71.200000,72.680000,71.030000,72.620000,19896779
2025-10-29,72.680000,72.820000,70.915000,71.330000,18020591
2025-10-30,71.370000,73.110000,71.340000,72.910000,18101769
2025-10-31,72.720000,73.480000,72.430000,73.110000,24007995
2025-11-03,74.610000,74.838000,73.624300,74.450000,21733387
2025-11-04,73.900000,73.990000,71.980000,72.320000,22345025
2025-11-05,72.220000,72.580000,71.340000,72.100000,16113484
2025-11-06,71.710000,72.230000,70.690300,71.040000,16469949
2025-11-07,71.385000,71.585000,70.540000,71.070000,16913726
2025-11-10,71.760000,72.500000,71.153900,72.090000,22201248
2025-11-11,71.740000,72.250000,71.095000,71.710000,21412890
2025-11-12,71.905000,74.210000,71.720000,73.960000,57591646
2025-11-13,77.950000,79.500000,76.650000,77.380000,57638526
2025-11-14,76.580000,78.665000,75.840100,78.000000,38819557
2025-11-17,77.885000,79.390000,77.465000,77.780000,28720146
2025-11-18,77.550000,78.200000,76.450000,77.370000,26025484
2025-11-19,77.300000,78.930000,77.160000,78.390000,24759661
2025-11-20,79.120000,80.055000,75.320000,75.440000,27381867
2025-11-21,75.640000,76.940000,75.470000,76.100000,24428764
2025-11-24,76.490000,76.880000,75.680000,76.240000,26691466
2025-11-25,76.490000,77.060000,76.075000,76.320000,18818801
2025-11-26,76.455000,76.600000,75.340000,76.070000,15972623
2025-11-28,76.140000,76.960000,75.810000,76.940000,7320910
2025-12-01,76.665000,76.818000,75.930000,76.040000,15529584
2025-12-02,76.155000,77.000000,75.760000,76.870000,14619070
2025-12-03,76.585000,77.816500,75.650000,77.750000,16088439
2025-12-04,77.690000,77.860000,77.165100,77.760000,12572641
2025-12-05,77.970000,78.190000,77.395000,77.970000,12579353
2025-12-08,78.210000,79.380000,78.120000,78.860000,17454461
2025-12-09,78.790000,79.880000,78.510000,79.510000,15737451
2025-12-10,78.830000,80.815000,78.800000,80.250000,21302732
2025-12-11,80.240000,80.370000,78.825000,79.270000,18652338
2025-12-12,79.460000,79.555000,77.715000,77.800000,16672267
2025-12-15,78.210000,78.710000,77.535000,78.250000,17646019
2025-12-16,78.105000,78.608000,77.380000,77.550000,17737171
2025-12-17,77.900000,78.200000,75.920000,76.000000,26094403
2025-12-18,76.330000,77.808400,76.260000,76.950000,19249353
2025-12-19,76.970000,79.170000,76.785000,78.420000,84881911
2025-12-22,79.015000,79.145000,77.955000,78.110000,18016052
2025-12-23,77.605000,78.120000,77.590000,78.020000,16712896
2025-12-24,78.020000,78.285000,77.845000,78.020000,9104399
2025-12-26,78.095000,78.275000,77.930000,78.160000,10158005
2025-12-29,78.030000,78.295500,77.520000,77.790000,17941801
2025-12-30,77.810000,77.810000,77.170000,77.410000,13952182
2025-12-31,77.340000,77.820000,76.880000,77.030000,13570464
2026-01-02,76.645000,76.950000,75.605000,76.040000,15749835
2026-01-05,76.450000,76.774800,75.205000,75.580000,16328806
2026-01-06,75.525000,75.725000,74.810000,75.230000,17017204
2026-01-07,75.120000,75.379900,74.195000,74.720000,20347449
2026-01-08,74.310000,74.460000,73.550000,73.960000,17192241
2026-01-09,73.450000,74.328100,73.335000,73.880000,19104125
2026-01-12,72.910000,74.050000,72.800000,74.010000,20985705
2026-01-13,73.990000,75.500000,73.860000,75.470000,17809917
2026-01-14,74.930000,75.109900,73.820000,74.410000,17801259
2026-01-15,75.220000,76.050000,74.910000,75.250000,18213022
2026-01-16,75.640000,75.990000,74.600000,75.190000,25743335
2026-01-20,74.520000,74.870000,73.210000,73.350000,23999666
2026-01-21,73.945000,74.360000,73.005000,73.690000,18210166
2026-01-22,74.105000,74.780000,73.880000,74.330000,12879824
2026-01-23,73.950000,75.070000,73.710000,74.590000,13125530
2026-01-26,76.470000,77.415000,75.640000,77.010000,24714398
2026-01-27,77.190000,78.910000,77.050000,78.680000,17756731
2026-01-28,78.930000,79.040000,78.015000,78.960000,14022934
2026-01-29,79.105000,79.476000,77.625000,78.430000,22642940
2026-01-30,78.090000,78.795000,77.720000,78.320000,26458381
2026-02-02,78.120000,81.155000,77.995000,80.640000,28238589
2026-02-03,80.810000,83.250000,80.810000,83.110000,34962142
2026-02-04,83.980000,84.240000,81.140000,81.160000,39765730
2026-02-05,80.860000,83.305000,80.810000,82.360000,24236539
2026-02-06,83.555000,85.000000,82.805000,84.820000,23936580
2026-02-09,84.730000,87.245000,84.310000,86.780000,22908419
2026-02-10,86.970000,88.185000,86.130000,86.290000,32113842
2026-02-11,86.060000,87.140000,85.125000,85.540000,34455759
2026-02-12,79.610000,80.370000,74.085000,75.000000,68098557
2026-02-13,74.375000,77.300000,73.420000,76.850000,42886422
2026-02-17,76.950000,77.565000,76.475000,76.850000,24792719
2026-02-18,76.550000,78.600000,76.490000,78.180000,20648814
2026-02-19,77.990000,79.155000,77.870000,78.560000,18443221
2026-02-20,78.130000,79.330000,78.130000,79.200000,29461609
2026-02-23,78.850000,79.480000,76.940000,77.740000,24485907
2026-02-24,77.740000,78.710000,77.470000,78.140000,19485070
2026-02-25,78.450000,79.420000,78.260000,79.120000,22721822
2026-02-26,78.940000,79.339600,77.720000,78.100000,19608020
2026-02-27,77.650000,79.530000,77.070000,79.460000,27498011
2026-03-02,78.745000,79.515000,77.690000,79.420000,18540352
2026-03-03,78.380000,79.440000,77.570000,78.960000,17521056
2026-03-04,79.200000,80.960000,78.530000,80.870000,20388106
2026-03-05,79.990000,81.165000,79.050000,80.010000,26844846
2026-03-06,78.515000,79.515000,78.350000,78.640000,20621217
