d,o,h,l,c,v
2024-07-25,72.800000,74.385000,72.600000,73.210000,4982334
2024-07-26,73.130000,74.970000,72.830000,74.570000,5127144
2024-07-29,74.840000,74.840000,74.030000,74.540000,4825412
2024-07-30,74.820000,76.290000,74.510000,75.820000,7283789
2024-07-31,76.310000,76.310000,75.120000,75.680000,3860373
2024-08-01,78.000000,80.270000,75.400000,76.310000,6668084
2024-08-02,76.110000,76.110000,73.630000,74.000000,4043723
2024-08-05,73.188000,73.690000,71.550000,71.730000,5956471
2024-08-06,71.960000,73.920000,71.790000,72.650000,2664634
2024-08-07,73.680000,74.390000,73.100000,73.170000,3887825
2024-08-08,73.070000,74.250000,73.070000,73.730000,3796626
2024-08-09,73.730000,74.580000,73.210000,74.420000,7783353
2024-08-12,74.410000,74.620000,73.100000,73.140000,3853340
2024-08-13,73.340000,74.390000,73.340000,74.270000,2458504
2024-08-14,73.860000,74.600000,73.860000,74.380000,1622806
2024-08-15,75.000000,75.730000,74.685000,75.470000,2601763
2024-08-16,75.640000,75.879300,75.080000,75.860000,2193733
2024-08-19,75.860000,76.490000,75.735000,75.990000,2155253
2024-08-20,75.700000,75.990000,75.350000,75.460000,1686400
2024-08-21,75.780000,76.720000,75.590000,76.620000,3225140
2024-08-22,76.620000,76.930000,76.150000,76.270000,1910780
2024-08-23,76.620000,76.960000,76.205000,76.680000,1719600
2024-08-26,77.130000,77.450000,76.690000,76.810000,2483339
2024-08-27,76.640000,77.180000,76.500000,77.150000,4533900
2024-08-28,77.290000,78.165000,76.675000,76.870000,1990281
2024-08-29,77.180000,77.530000,76.400000,77.140000,3347734
2024-08-30,77.390000,77.870000,77.030000,77.770000,3383221
2024-09-03,77.270000,78.050000,76.400000,76.770000,3506751
2024-09-04,76.640000,77.519900,76.500000,77.320000,2491480
2024-09-05,77.320000,77.340000,76.550000,76.760000,2774491
2024-09-06,77.000000,77.506500,75.730000,75.840000,2510411
2024-09-09,76.250000,76.750000,76.080000,76.130000,3161532
2024-09-10,76.530000,76.650000,75.920000,76.550000,1928215
2024-09-11,76.350000,76.410000,74.760000,76.300000,2580388
2024-09-12,76.440000,76.730000,75.550000,76.310000,1996631
2024-09-13,76.550000,77.310000,76.530000,77.210000,2371701
2024-09-16,77.530000,77.910000,77.050000,77.870000,1946368
2024-09-17,78.120000,78.270000,75.826700,76.220000,2578828
2024-09-18,75.860000,76.270000,75.190000,75.350000,2043847
2024-09-19,76.330000,76.530000,75.040000,75.200000,3083580
2024-09-20,75.220000,75.650000,74.790000,75.640000,5605193
2024-09-23,75.780000,76.170000,75.272500,76.120000,6565607
2024-09-24,76.230000,76.570000,76.010000,76.040000,2670540
2024-09-25,75.830000,76.440000,75.450000,75.530000,1766934
2024-09-26,77.230000,77.560000,76.800000,77.200000,3626619
2024-09-27,77.470000,77.610000,76.675000,76.890000,4426160
2024-09-30,77.000000,77.300000,76.200000,77.180000,2665726
2024-10-01,77.150000,77.400000,75.740000,76.090000,2356561
2024-10-02,75.790000,76.860000,75.615000,76.760000,3571139
2024-10-03,76.480000,76.800000,76.020000,76.530000,2587264
2024-10-04,77.270000,77.750000,76.630000,77.140000,1528463
2024-10-07,76.770000,76.820000,75.760000,76.000000,1584986
2024-10-08,76.190000,76.490000,75.390000,76.130000,2756884
2024-10-09,76.080000,76.975000,76.080000,76.800000,1420102
2024-10-10,76.260000,76.315000,74.270000,74.500000,3545350
2024-10-11,74.580000,76.075000,74.540000,75.940000,2800338
2024-10-14,76.140000,76.830000,75.985000,76.770000,2025073
2024-10-15,76.940000,77.720000,76.650000,77.380000,3863690
2024-10-16,77.480000,77.810000,77.270000,77.600000,2351982
