d,o,h,l,c,v
2024-07-25,53.620000,55.910000,53.540000,55.280000,2798158
2024-07-26,55.450000,56.060000,55.200000,55.390000,2272011
2024-07-29,55.320000,56.050000,55.040000,55.460000,1906880
2024-07-30,55.610000,56.050000,55.190000,55.530000,2002904
2024-07-31,55.790000,56.560000,55.430000,56.100000,3682714
2024-08-01,53.960000,55.670000,52.890000,53.000000,6146438
2024-08-02,52.280000,52.950000,51.020000,51.580000,3784039
2024-08-05,50.580000,52.200000,50.300000,51.310000,3627736
2024-08-06,51.170000,51.950000,50.950000,51.180000,3654314
2024-08-07,51.460000,52.390000,50.750000,50.780000,2520544
2024-08-08,51.070000,51.640000,50.960000,51.550000,2645664
2024-08-09,51.490000,51.770000,50.780000,51.560000,1841168
2024-08-12,51.530000,51.740000,51.130000,51.220000,1724668
2024-08-13,51.340000,52.030000,51.000000,51.730000,2181599
2024-08-14,51.870000,52.070000,51.250000,51.990000,2011903
2024-08-15,52.670000,52.950000,52.390000,52.760000,2270849
2024-08-16,52.780000,53.920000,52.590000,53.800000,2926133
2024-08-19,54.000000,54.630000,53.815000,54.310000,2517430
2024-08-20,54.210000,54.210000,53.520000,53.600000,2760678
2024-08-21,53.870000,54.420000,53.750000,54.280000,1584619
2024-08-22,54.230000,54.560000,53.970000,54.550000,1922208
2024-08-23,54.840000,55.635000,54.740000,55.580000,4475876
2024-08-26,55.800000,56.275000,55.380000,55.650000,2602490
2024-08-27,55.340000,55.650000,54.950000,55.560000,3809554
2024-08-28,55.520000,56.040000,55.090000,56.000000,2308036
2024-08-29,56.500000,57.415000,55.870000,57.000000,2807117
2024-08-30,56.770000,57.570000,56.705000,57.300000,4229129
2024-09-03,56.450000,56.580000,55.350000,55.570000,3146529
2024-09-04,55.800000,56.080000,55.185000,55.500000,2449331
2024-09-05,55.860000,56.310000,54.950000,55.110000,3896728
2024-09-06,54.920000,55.660000,54.880000,55.330000,5004147
2024-09-09,55.640000,56.260000,55.240000,55.800000,4233697
2024-09-10,55.910000,55.910000,55.030000,55.380000,2525141
2024-09-11,55.260000,55.290000,53.930000,55.150000,2763984
2024-09-12,55.180000,55.725000,55.010000,55.700000,2491908
2024-09-13,55.930000,56.705000,55.930000,56.630000,1703276
2024-09-16,56.900000,57.190000,55.800000,56.270000,2208824
2024-09-17,56.660000,57.140000,56.530000,57.040000,1922521
2024-09-18,56.730000,57.900000,56.730000,57.440000,2484062
2024-09-19,58.280000,58.920000,57.800000,58.600000,3626844
2024-09-20,58.050000,58.050000,57.010000,57.580000,8144022
2024-09-23,57.610000,58.140000,57.580000,58.000000,3199956
2024-09-24,58.230000,58.540000,55.670000,57.850000,4220437
2024-09-25,58.050000,58.075000,56.820000,57.150000,2350165
2024-09-26,57.560000,58.190000,57.350000,58.020000,2107078
2024-09-27,58.380000,59.075000,58.350000,58.580000,2434492
2024-09-30,58.670000,58.800000,58.100000,58.790000,3265960
2024-10-01,58.090000,58.818800,57.900000,57.990000,3513616
2024-10-02,58.260000,58.910000,57.848800,58.640000,3009967
2024-10-03,58.360000,58.520000,57.960000,58.090000,1666909
2024-10-04,58.610000,58.800000,58.110000,58.330000,1326973
2024-10-07,58.030000,58.180000,57.210000,57.460000,2224228
2024-10-08,57.100000,57.280000,56.510000,56.890000,1741185
2024-10-09,56.800000,57.240000,56.475000,56.500000,1660617
2024-10-10,56.020000,56.620000,55.650000,56.550000,2156440
2024-10-11,56.650000,57.500000,56.640000,56.840000,2883631
2024-10-14,56.720000,57.830000,56.450000,57.760000,1925825
2024-10-15,57.590000,57.770000,57.130000,57.300000,3149714
2024-10-16,58.480000,59.040000,57.930000,58.950000,2482538
2024-10-17,58.760000,59.125700,58.370000,58.950000,2659864
2024-10-18,59.370000,59.680000,58.930000,59.410000,2604282
2024-10-21,59.470000,59.480000,58.550000,59.250000,3047080
2024-10-22,58.970000,59.200000,58.325000,59.120000,2349440
2024-10-23,59.490000,60.880000,59.320000,60.790000,2783228
2024-10-24,60.900000,61.200000,60.430000,60.780000,3673439
2024-10-25,60.950000,61.205000,60.330000,60.350000,2632345
2024-10-28,60.510000,61.250000,60.370000,61.130000,3028617
2024-10-29,60.910000,61.380000,60.700000,60.790000,2511009
2024-10-30,60.940000,62.380000,60.940000,61.570000,3067542
2024-10-31,61.690000,61.950000,60.920000,60.920000,3605988
2024-11-01,60.810000,61.350000,60.530000,60.860000,2458752
2024-11-04,61.060000,61.640000,60.745000,61.210000,2578372
2024-11-05,60.930000,61.940000,60.660000,61.750000,2165968
2024-11-06,63.750000,63.750000,60.780000,61.740000,4744458
2024-11-07,58.000000,59.200000,57.300000,58.640000,7353146
2024-11-08,58.970000,59.540000,58.150000,58.330000,4673783
2024-11-11,58.830000,59.260000,58.310000,58.520000,2735568
2024-11-12,58.550000,58.550000,57.000000,57.130000,2695890
2024-11-13,57.295000,58.020000,57.255000,57.660000,2396029
2024-11-14,57.680000,57.850000,57.110000,57.410000,2628257
2024-11-15,57.250000,57.460000,55.180000,55.210000,5636720
2024-11-18,55.420000,57.050000,55.310000,56.990000,4190665
2024-11-19,56.330000,58.410000,56.170000,58.240000,4217728
2024-11-20,58.460000,59.025000,58.000000,58.760000,3507246
2024-11-21,59.330000,61.070000,58.890000,60.760000,4520564
2024-11-22,60.480000,61.270000,60.060000,61.230000,3745870
2024-11-25,61.630000,64.200000,61.630000,64.130000,9733858
2024-11-26,63.340000,63.875000,62.760000,63.250000,3959123
2024-11-27,63.360000,64.100000,62.360000,62.500000,2517699
2024-11-29,61.780000,62.560000,61.310000,62.240000,2467367
2024-12-02,62.250000,62.465000,61.570000,62.230000,3224762
2024-12-03,62.400000,62.490000,61.610000,62.000000,2630961
2024-12-04,61.530000,61.784200,60.961000,61.170000,2407734
2024-12-05,61.200000,61.490000,60.740000,60.780000,2475336
2024-12-06,60.370000,60.980000,59.420000,59.490000,2953720
2024-12-09,59.810000,60.820000,59.660000,59.740000,3394393
2024-12-10,59.790000,59.890000,58.150000,59.420000,3749204
2024-12-11,59.530000,60.500000,59.320000,59.780000,5431331
2024-12-12,59.810000,60.140000,59.265000,59.300000,2009535
2024-12-13,59.250000,59.750000,58.710000,59.490000,1990520
2024-12-16,59.345000,60.095000,58.920000,58.950000,3978507
2024-12-17,58.643000,59.100000,57.765000,58.570000,4885323
2024-12-18,58.470000,58.990000,56.370000,56.410000,4224083
2024-12-19,56.790000,56.930000,56.160000,56.160000,4026757
2024-12-20,56.420000,57.890000,56.300000,57.480000,11010653
2024-12-23,57.570000,57.660000,56.150000,56.920000,2456521
2024-12-24,57.140000,57.515000,56.400000,57.480000,986414
2024-12-26,56.890000,57.820000,56.620000,57.430000,1401604
2024-12-27,56.970000,57.920000,56.950000,57.240000,1502106
2024-12-30,56.680000,56.960000,56.220000,56.560000,1802032
2024-12-31,56.630000,57.100000,56.460000,56.960000,1750204
2025-01-02,56.860000,57.350000,56.300000,56.340000,2487248
2025-01-03,56.590000,56.960000,55.700000,55.940000,2380800
