d,o,h,l,c,v
2024-07-25,24.742000,26.376000,24.428000,24.820000,17250570
2024-07-26,25.500000,27.290000,25.500000,26.570000,21008700
2024-07-29,26.784000,27.245680,24.950000,25.522000,22895365
2024-07-30,25.600000,26.726000,24.608000,25.356000,21203195
2024-07-31,26.280000,27.584000,25.760000,26.646000,41134770
2024-08-01,29.468000,30.800000,27.755360,29.304000,72390235
2024-08-02,27.962000,28.570000,26.926000,27.440000,29828890
2024-08-05,23.850000,27.710000,23.700000,27.068000,30689715
2024-08-06,27.602000,28.204000,26.344000,27.790000,18530765
2024-08-07,28.118000,28.118000,25.572000,25.728000,20443180
2024-08-08,26.096000,26.976940,25.800000,26.682000,16566570
2024-08-09,26.780000,27.630000,26.170000,27.184000,12365315
2024-08-12,27.210000,27.332000,26.470000,26.696000,10318475
2024-08-13,27.186000,29.298000,27.101000,29.298000,25051480
2024-08-14,28.904000,29.462000,28.334000,28.400000,16298050
2024-08-15,29.277000,30.574000,28.526000,30.312000,20696655
2024-08-16,29.872000,31.236000,29.738000,31.186000,18588270
2024-08-19,31.190000,31.293340,30.448000,31.150000,11566160
2024-08-20,31.282000,31.359980,30.226000,30.836000,9218725
2024-08-21,30.994000,31.523600,30.810000,31.354000,9740755
2024-08-22,31.116000,31.834080,30.394000,30.604000,14498955
2024-08-23,30.908000,31.970000,30.304000,31.956000,15782845
2024-08-26,31.686000,31.700000,30.900000,31.598000,11325775
2024-08-27,31.330000,31.918000,30.870000,31.748000,8528635
2024-08-28,31.544000,31.790000,30.568000,30.862000,10089045
2024-08-29,31.200000,31.342360,29.800200,30.016000,10572415
2024-08-30,30.460000,30.466000,29.373060,30.124000,11629725
2024-09-03,29.760000,29.970000,28.574000,28.904000,12119935
2024-09-04,29.000000,29.590120,28.540000,28.948000,8551555
2024-09-05,28.836000,29.050000,27.828000,28.228000,10788360
2024-09-06,28.300000,28.582700,26.424000,26.682000,13460430
2024-09-09,27.468000,27.680000,26.760020,27.096000,13496295
2024-09-10,26.994000,27.078000,24.878000,26.144000,24294515
2024-09-11,25.884000,26.778000,25.318000,26.708000,15125155
2024-09-12,27.424000,28.306000,26.714000,28.104000,17218735
2024-09-13,28.358000,28.888000,28.046000,28.380000,8949080
2024-09-16,28.630000,30.712000,28.606000,30.580000,28280090
2024-09-17,30.994000,31.659980,30.320000,31.316000,15949605
2024-09-18,31.470000,33.550000,31.453000,32.326000,31856455
2024-09-19,33.450000,34.333460,33.022000,34.148000,25867560
2024-09-20,33.922000,35.266000,33.560000,34.770000,26988060
2024-09-23,34.100000,35.240000,33.424020,35.030000,20303230
2024-09-24,34.578000,34.774000,33.818000,34.540000,17216260
2024-09-25,34.352000,34.690000,33.744000,33.930000,11767615
2024-09-26,33.864000,34.274000,33.183000,34.242000,13704685
2024-09-27,34.224000,34.566000,33.620000,33.956000,8348890
2024-09-30,33.580000,35.000000,33.198000,34.822000,13023065
2024-10-01,34.862000,35.680000,34.420000,35.160000,17478305
2024-10-02,34.762000,35.522000,34.364000,35.390000,9920380
2024-10-03,35.176000,35.986000,34.806020,35.328000,8808545
2024-10-04,35.960000,36.568000,35.322000,36.034000,11367625
2024-10-07,35.800000,36.682000,35.530000,35.946000,11720845
2024-10-08,36.426000,38.200000,36.358000,38.198000,22098340
2024-10-09,38.648000,38.698000,37.680000,38.014000,12943330
2024-10-10,37.750000,38.636000,37.546000,38.314000,10315740
2024-10-11,37.856000,38.950000,37.750000,38.450000,9378430
2024-10-14,38.716000,38.834000,37.554000,37.818000,10915390
2024-10-15,37.800000,38.914740,37.734000,38.404000,18096095
2024-10-16,38.576000,39.034000,37.902000,38.680000,8918900
2024-10-17,38.800000,39.272000,37.959000,38.384000,9181655
2024-10-18,38.234000,38.768000,37.658000,38.262000,9615240
2024-10-21,38.240000,38.698000,37.776600,38.298000,7845750
2024-10-22,38.084000,39.618000,37.900000,39.470000,13763455
2024-10-23,39.554000,40.100000,38.828000,39.468000,12646345
2024-10-24,39.779000,40.648000,39.266000,40.044000,14672175
2024-10-25,40.000000,40.744000,39.514000,40.506000,12676380
2024-10-28,41.080000,41.660000,40.830000,41.004000,13910315
2024-10-29,40.916000,41.848000,40.540000,41.748000,11929160
2024-10-30,42.075000,42.796000,41.440000,41.462000,28869870
2024-10-31,47.640000,51.878000,46.656000,49.462000,67455770
2024-11-01,49.462000,49.700000,45.610000,45.816000,29293770
2024-11-04,45.298000,45.836000,43.942000,45.216000,19463250
2024-11-05,46.200000,47.272000,45.814000,47.136000,12403490
2024-11-06,49.000000,49.000000,46.732700,47.786000,14987350
2024-11-07,47.846000,48.968000,47.692000,48.286000,11741470
2024-11-08,48.246000,49.186000,47.838020,48.870000,9757400
2024-11-11,49.600000,50.968000,49.370000,50.012000,12279040
2024-11-12,49.400000,50.111280,48.658080,49.350000,9654500
2024-11-13,49.860000,49.860000,47.528000,47.996000,9643210
2024-11-14,48.444000,49.048000,47.850020,48.088000,8990625
2024-11-15,47.576000,48.539420,47.040000,48.200000,9931130
2024-11-18,48.436000,49.427000,48.190000,48.938000,8116595
2024-11-19,48.101000,50.130000,48.000000,49.886000,8783690
2024-11-20,49.900000,50.800000,48.752000,48.900000,8994265
2024-11-21,48.880000,49.942000,48.702000,49.676000,7626510
2024-11-22,49.804000,52.722000,49.804000,51.872000,19407270
2024-11-25,53.005000,53.667840,51.584000,52.160000,47617065
2024-11-26,51.642000,52.164000,50.920000,51.200000,8861410
2024-11-27,51.215000,51.346000,49.500020,50.994000,8829330
2024-11-29,51.628000,52.400000,51.412000,52.084000,7206660
2024-12-02,52.328000,52.352000,50.200000,50.988000,11439600
2024-12-03,50.600000,51.382540,50.202000,51.152000,8267310
2024-12-04,51.220000,52.050000,50.480000,52.026000,8544385
2024-12-05,51.730000,52.520000,51.042000,51.146000,7747545
2024-12-06,51.598000,51.650000,49.336000,50.242000,13653300
2024-12-09,50.800000,51.400000,48.770000,48.806000,12120970
2024-12-10,48.270000,49.356000,46.882000,47.304000,14862085
2024-12-11,47.800000,50.358000,47.540000,50.190000,14247215
2024-12-12,49.829000,50.247000,49.344880,49.554000,8427495
2024-12-13,49.590000,49.884000,48.696000,49.650000,6166055
2024-12-16,49.618000,51.698000,49.608000,51.152000,14588410
2024-12-17,50.850000,51.310000,50.150000,50.740000,11012410
2024-12-18,50.800000,51.400000,46.444000,46.604000,18201650
2024-12-19,48.350000,49.063000,44.378000,44.596000,22329945
2024-12-20,44.398000,45.017040,43.690020,44.892000,24385605
2024-12-23,44.800000,45.176000,43.596000,44.520000,10324040
2024-12-24,44.670000,45.178000,44.400000,44.778000,4351620
2024-12-26,44.630000,45.336000,44.139600,44.812000,6664005
2024-12-27,43.846000,44.120000,42.342000,43.018000,11324745
2024-12-30,42.164000,42.502000,40.861080,42.110000,13251240
2024-12-31,42.004000,42.192000,39.810000,40.672000,16472350
2025-01-02,40.141000,42.578000,37.372000,39.912000,47247040
2025-01-03,37.640000,39.500000,35.084000,35.432000,58433010
2025-01-06,37.593000,38.656000,35.958000,37.770000,46865985
2025-01-07,39.925000,41.416000,38.958000,39.670000,45598420
2025-01-08,40.690000,40.690000,38.506000,39.400000,22418455
2025-01-10,38.600000,38.808300,37.292000,38.612000,15932835
2025-01-13,37.837000,38.920000,37.709220,38.902000,14634650
2025-01-14,39.460000,39.854000,38.332000,39.038000,11838850
2025-01-15,40.462000,42.808000,39.802000,42.808000,22599880
2025-01-16,43.645000,47.600000,43.382000,46.384000,40181380
2025-01-17,46.336000,46.720000,45.033860,46.098000,15545170
2025-01-21,46.666000,47.218000,45.676020,46.464000,9268510
2025-01-22,47.774000,48.722000,46.788000,46.810000,11132540
2025-01-23,46.505000,48.696000,46.180000,48.624000,9987295
2025-01-24,48.580000,48.912000,47.840000,48.094000,8110000
2025-01-27,46.974000,49.700000,46.805180,48.430000,8385540
2025-01-28,48.016000,49.200000,46.592000,48.970000,9073115
2025-01-29,49.002000,49.350000,48.252000,49.092000,5786990
2025-01-30,49.726000,50.528000,48.460000,48.788000,11038375
2025-01-31,50.006000,51.197980,49.230000,49.496000,17252695
2025-02-03,48.193000,50.742000,48.193000,50.326000,12159565
2025-02-04,50.328000,51.908000,50.308000,51.530000,12426540
2025-02-05,51.532000,51.800000,50.720000,51.196000,7035980
2025-02-06,51.819000,52.642000,50.978000,52.634000,9585290
2025-02-07,52.398000,53.018000,51.916560,52.814000,8464195
2025-02-10,52.880000,54.036000,51.600000,53.562000,12198405
2025-02-11,53.710000,54.592000,53.164000,54.230000,8478425
2025-02-12,53.000000,54.122000,52.160000,53.586000,10674270
