d,o,h,l,c,v
2025-07-01,143.340000,146.270000,142.510000,145.570000,8508150
2025-07-02,147.010000,148.010000,145.470000,147.980000,8228683
2025-07-03,147.840000,148.980000,147.360000,148.370000,5173309
2025-07-07,147.400000,148.170000,145.580000,147.400000,9460902
2025-07-08,147.320000,153.240000,147.255000,153.240000,14082097
2025-07-09,152.940000,153.960000,152.480000,153.020000,9495898
2025-07-10,152.790000,155.280000,151.680000,154.170000,8398810
2025-07-11,154.285000,155.890000,153.570000,155.310000,8333214
2025-07-14,154.900000,154.900000,151.140000,151.650000,10706325
2025-07-15,151.600000,152.310000,150.250000,150.690000,7346346
2025-07-16,150.765000,151.480000,149.220000,149.920000,7923427
2025-07-17,149.160000,151.835000,148.600000,151.380000,8359596
2025-07-18,155.020000,155.910000,146.530000,150.040000,45782636
2025-07-21,151.200000,151.670000,149.130000,149.680000,17982218
2025-07-22,149.255000,150.940000,148.480000,150.040000,26196489
2025-07-23,150.905000,153.140000,150.465000,153.120000,13162816
2025-07-24,152.685000,155.995000,152.200000,155.830000,15701024
2025-07-25,155.830000,156.200000,153.955000,154.840000,7875498
2025-07-28,155.400000,156.550000,154.948400,156.280000,8755412
2025-07-29,156.680000,157.210000,155.450000,157.030000,6446038
2025-07-30,156.140000,156.310000,152.700000,153.560000,9191661
2025-07-31,152.000000,153.930000,151.140000,151.640000,10237099
2025-08-01,152.545000,154.650000,150.355000,151.400000,10706494
2025-08-04,151.250000,152.080000,149.820000,151.040000,10116631
2025-08-05,151.030000,153.100000,149.895000,153.040000,8604079
2025-08-06,154.480000,155.160000,152.220000,152.780000,7840914
2025-08-07,153.795000,155.150000,152.830000,153.160000,6510670
2025-08-08,153.990000,155.750000,153.500000,155.010000,6332807
2025-08-11,155.340000,155.930000,152.985000,153.450000,6169716
2025-08-12,154.090000,156.050000,153.360000,154.440000,6645373
2025-08-13,154.570000,156.010000,154.203100,155.870000,6582191
2025-08-14,155.700000,155.700000,154.100000,155.160000,7337258
2025-08-15,155.480000,158.540000,155.290000,156.550000,11617047
2025-08-18,156.130000,156.490000,154.750000,155.320000,8174280
2025-08-19,153.460000,153.940000,151.855000,152.000000,8567476
2025-08-20,152.420000,153.490000,151.930000,153.220000,8076269
2025-08-21,152.820000,155.670000,152.730000,155.550000,7533625
2025-08-22,155.320000,158.790000,155.320000,158.180000,9084344
2025-08-25,157.900000,158.320000,157.170000,158.200000,7029967
2025-08-26,157.510000,160.000000,156.550000,157.360000,10270028
2025-08-27,157.400000,159.990000,157.205000,159.240000,7482961
2025-08-28,159.010000,159.517400,157.848200,159.320000,6502447
2025-08-29,159.700000,161.100000,159.450000,160.600000,6934840
2025-09-02,160.480000,161.860000,159.380000,161.830000,8947302
2025-09-03,160.000000,161.850000,157.020000,158.060000,9556116
2025-09-04,158.060000,159.650000,157.500000,157.690000,7242974
2025-09-05,156.060000,156.720000,153.489900,153.660000,11011667
2025-09-08,153.910000,155.030000,152.875000,154.000000,9461969
2025-09-09,154.910000,156.985000,154.600000,154.850000,7769177
2025-09-10,155.050000,157.920000,155.000000,157.790000,7440811
2025-09-11,156.500000,158.920000,156.010000,158.250000,6417408
2025-09-12,158.845000,159.780000,157.100000,157.110000,5546333
2025-09-15,157.375000,158.320000,156.500000,157.310000,5030461
2025-09-16,158.250000,160.100000,158.120000,159.540000,8011032
2025-09-17,159.195000,160.670000,158.610000,160.090000,5736777
2025-09-18,160.030000,160.290000,158.090000,158.840000,6244226
2025-09-19,158.995000,158.995000,155.550000,156.210000,16733988
2025-09-22,155.620000,157.120000,155.150000,156.050000,5244025
2025-09-23,157.120000,159.830000,156.985000,157.420000,7181383
2025-09-24,158.320000,160.490000,158.250000,159.180000,6285228
2025-09-25,159.440000,161.010000,159.350000,160.720000,6311040
2025-09-26,160.570000,161.300000,159.510000,160.160000,7015168
2025-09-29,159.125000,159.125000,155.563500,156.100000,8315073
2025-09-30,154.890000,155.730000,153.930000,155.290000,7755716
2025-10-01,154.830000,155.090000,153.190000,154.580000,6768358
2025-10-02,153.955000,156.600000,153.323800,153.370000,7562448
2025-10-03,153.580000,154.280000,152.230000,153.550000,7249291
2025-10-06,153.965000,154.645000,152.920000,154.020000,4778924
2025-10-07,153.650000,154.960000,151.280000,154.910000,5479593
2025-10-08,154.360000,154.680000,152.840000,153.740000,5678028
2025-10-09,154.130000,154.970000,151.560000,151.640000,6178601
2025-10-10,150.695000,151.350000,148.890000,148.900000,7796621
2025-10-13,150.000000,151.980000,149.430000,151.940000,5978755
2025-10-14,149.810000,153.460000,149.660000,152.390000,6419350
2025-10-15,152.900000,154.207100,151.040000,152.110000,5824931
2025-10-16,152.140000,152.730000,150.230000,151.710000,5276788
2025-10-17,152.260000,154.190000,152.200000,153.080000,7735462
2025-10-20,153.430000,154.720000,153.180000,154.480000,5676505
2025-10-21,154.740000,155.288400,153.210000,153.790000,6304917
2025-10-22,154.650000,155.980000,153.610000,155.570000,6036705
2025-10-23,158.200000,158.588300,156.120000,156.560000,9810894
2025-10-24,157.415000,157.629000,155.427000,155.560000,4979941
2025-10-27,155.795000,156.500000,154.870000,155.280000,4884434
2025-10-28,154.900000,156.230000,153.890000,154.130000,5066475
2025-10-29,153.860000,156.150000,153.860000,155.100000,7344432
2025-10-30,155.225000,155.225000,153.240000,153.520000,8971226
2025-10-31,155.725000,159.180000,155.110000,157.720000,11136109
2025-11-03,157.410000,157.720000,153.570000,154.040000,8512209
2025-11-04,153.425000,153.760000,152.150000,153.390000,6976838
2025-11-05,153.530000,154.395000,152.660000,152.660000,5894721
2025-11-06,152.910000,154.790000,152.680000,152.940000,6466257
2025-11-07,153.425000,156.170000,153.425000,155.020000,9835929
2025-11-10,155.420000,155.980000,152.370000,155.650000,8436797
2025-11-11,156.750000,157.990000,155.900000,156.240000,6361426
2025-11-12,155.580000,155.790000,152.080000,153.320000,11670947
2025-11-13,154.000000,156.202500,153.930000,155.580000,7998740
2025-11-14,156.230000,157.950000,154.810000,157.620000,8484812
2025-11-17,157.720000,157.890000,154.435000,154.820000,8744980
2025-11-18,152.500000,154.280000,151.760000,153.620000,10813365
2025-11-19,151.160000,151.955000,150.250000,151.700000,7539905
2025-11-20,152.540000,153.035000,150.045000,150.310000,7623448
2025-11-21,150.435000,151.010000,148.750000,149.980000,9248445
2025-11-24,149.820000,150.120000,147.740000,149.750000,14181131
2025-11-25,148.895000,149.900000,148.270000,148.530000,11447942
2025-11-26,148.260000,150.460000,148.200000,149.510000,7578938
2025-11-28,149.455000,151.520000,149.262200,151.130000,3848568
2025-12-01,151.750000,153.950000,151.500000,152.540000,8208972
2025-12-02,152.020000,152.460000,149.260000,150.250000,9196311
2025-12-03,151.040000,152.503000,150.975000,151.590000,8060175
2025-12-04,151.750000,152.940000,151.221500,152.260000,7254724
2025-12-05,152.000000,152.630000,149.830000,150.000000,12659762
2025-12-08,149.250000,150.073000,147.660000,148.710000,10237153
2025-12-09,149.050000,150.100000,148.220000,148.490000,8916749
2025-12-10,149.175000,151.800000,148.700000,151.410000,10976295
2025-12-11,150.830000,151.940000,150.100000,150.720000,8414160
2025-12-12,151.150000,151.550000,149.630000,149.990000,5848050
2025-12-15,149.840000,150.100000,148.430000,149.800000,7502951
2025-12-16,148.540000,148.820000,146.490000,146.750000,11290538
2025-12-17,147.500000,149.870000,147.350000,149.520000,8805268
2025-12-18,148.850000,149.270000,147.080000,147.690000,6998843
2025-12-19,147.960000,149.010000,147.185000,147.750000,21701435
2025-12-22,148.810000,150.490000,148.695000,149.800000,8143618
2025-12-23,150.040000,151.080000,149.850000,150.510000,4663665
2025-12-24,150.380000,150.990000,150.100000,150.500000,2227609
2025-12-26,150.380000,151.140000,149.647200,150.020000,3706915
2025-12-29,151.000000,151.636500,150.085000,150.990000,5589133
2025-12-30,151.500000,152.670700,151.470000,152.310000,5150514
2025-12-31,152.390000,152.550000,151.670000,152.410000,4953110
2026-01-02,152.165000,155.900000,151.250000,155.900000,6862097
2026-01-05,165.750000,165.750000,159.309800,163.850000,35094878
2026-01-06,164.880000,165.050000,156.110000,156.540000,20564935
2026-01-07,157.440000,158.005000,154.900000,155.200000,13537874
2026-01-08,155.500000,160.440000,155.210000,159.250000,12929635
2026-01-09,160.560000,162.700000,159.935000,162.110000,12549643
2026-01-12,162.700000,163.560000,160.710000,162.340000,9796786
2026-01-13,163.470000,166.130000,163.300000,163.870000,12068630
2026-01-14,164.100000,169.370000,164.100000,167.240000,16414917
2026-01-15,165.770000,167.330000,165.100000,166.160000,8097405
2026-01-16,166.590000,167.290000,165.810000,166.260000,9745753
2026-01-20,166.705000,167.650000,165.150000,165.300000,11142530
2026-01-21,167.000000,168.475000,166.060000,166.730000,10918539
2026-01-22,166.260000,167.560000,165.730000,166.660000,8957383
2026-01-23,167.950000,168.440000,166.441000,166.720000,8368686
2026-01-26,168.325000,168.410000,166.770000,167.500000,8912601
2026-01-27,167.770000,169.350000,166.650000,169.050000,9784855
2026-01-28,169.955000,170.420000,168.195000,169.930000,9200244
2026-01-29,172.650000,174.920000,171.040000,171.190000,16786612
2026-01-30,172.615000,177.300000,171.270000,176.900000,22946582
2026-02-02,173.440000,176.270000,172.650000,174.030000,14235347
2026-02-03,173.880000,178.820000,173.754100,178.040000,18425423
2026-02-04,178.880000,182.590000,178.880000,181.230000,16170478
2026-02-05,179.640000,180.460000,177.410000,179.230000,10474142
2026-02-06,180.300000,182.100000,179.512000,180.860000,9901816
2026-02-09,181.010000,182.820000,179.950000,182.600000,12021285
2026-02-10,182.730000,182.950000,180.860000,182.260000,7458163
2026-02-11,183.940000,186.520000,183.550000,185.820000,10502119
2026-02-12,185.800000,185.800000,182.092300,182.400000,9673715
2026-02-13,182.540000,184.840000,181.720000,183.740000,9034683
2026-02-17,183.300000,183.800000,178.740000,180.550000,9849048
2026-02-18,183.230000,183.920000,181.980000,183.870000,10313434
2026-02-19,185.290000,187.900000,184.740000,184.780000,10773342
2026-02-20,184.590000,184.890000,182.320000,183.930000,9566208
2026-02-23,184.670000,186.630000,184.050000,184.910000,7047219
2026-02-24,185.285000,185.960000,183.850000,185.340000,7451798
2026-02-25,185.840000,185.980000,182.510100,184.220000,9440721
2026-02-26,182.900000,186.260000,181.760000,184.160000,7133769
2026-02-27,186.000000,187.545000,183.770000,186.760000,12035508
2026-03-02,190.330000,191.440000,187.220000,189.600000,15809121
2026-03-03,190.515000,191.559900,187.420100,188.770000,14004161
2026-03-04,187.450000,188.460000,184.150000,186.030000,11054382
2026-03-05,186.600000,189.970000,186.490000,189.900000,13567158
