d,o,h,l,c,v
2024-07-25,99.216096,100.792345,98.765739,98.865819,1824848
2024-07-26,99.578884,100.654736,99.416255,100.304458,2401680
2024-07-29,100.879914,101.480390,99.979201,101.217682,1248068
2024-07-30,100.742305,101.880707,100.523382,100.592186,2598072
2024-07-31,104.833046,106.484354,103.582055,104.707947,4398358
2024-08-01,105.164558,105.558621,101.711823,103.406916,2358753
2024-08-02,101.893217,102.043336,98.108969,98.978408,2573340
2024-08-05,97.277060,98.477886,95.875950,97.377139,2684797
2024-08-06,97.789966,99.316175,97.489729,97.639848,1692719
2024-08-07,98.640640,99.854102,96.526466,96.601525,1426104
2024-08-08,97.352120,98.402952,96.901763,98.227813,1407647
2024-08-09,97.890046,98.478012,97.195746,98.240323,786343
2024-08-12,98.371677,98.640515,97.602318,97.990125,855006
2024-08-13,98.077694,98.690680,97.639848,98.615621,908530
2024-08-14,98.790759,99.015938,98.002635,98.515541,900711
2024-08-15,99.666453,100.817365,99.513081,100.429557,1308182
2024-08-16,100.304458,100.592186,99.303666,100.304458,1022165
2024-08-19,100.404538,100.704775,99.891631,100.254419,924462
2024-08-20,99.929161,100.423303,99.059722,99.153547,1520036
2024-08-21,99.628923,100.717285,99.516334,100.467087,910846
2024-08-22,100.479597,100.679756,99.754022,100.442067,1273522
2024-08-23,100.892424,101.905727,100.392028,101.455370,1059166
2024-08-26,102.030826,102.706236,101.517920,102.130905,1246549
2024-08-27,102.331064,103.481976,101.630509,103.194248,1734884
2024-08-28,102.731381,103.538270,102.493818,103.244287,1719900
2024-08-29,103.694644,104.983165,103.031619,104.357669,1328463
2024-08-30,104.357669,105.733759,104.232570,105.395992,2841810
2024-09-03,104.451494,105.008185,102.268514,102.731381,2100024
2024-09-04,102.956559,103.657114,102.143415,102.205965,1692042
2024-09-05,102.481183,102.518712,101.292741,101.805648,1341653
2024-09-06,101.405330,102.193455,98.315383,99.003428,2421453
2024-09-09,99.578884,101.067563,99.403745,99.528844,2397837
2024-09-10,99.328685,99.979201,98.728335,99.466294,1726843
2024-09-11,99.341195,100.104300,97.345865,99.966691,1281373
2024-09-12,99.954181,101.130112,99.366215,100.592186,1238190
2024-09-13,101.167642,102.462418,101.167642,101.855687,1235054
2024-09-16,102.381103,103.319347,101.830667,102.581262,1161918
2024-09-17,103.131698,104.094961,102.969069,103.657114,1339271
2024-09-18,103.919822,104.670417,103.181738,103.632094,1401764
2024-09-19,105.083244,105.320932,103.832253,104.057431,1197349
2024-09-20,103.300582,104.632887,102.268514,104.257590,2843867
2024-09-23,104.582848,105.345327,104.482768,105.220853,1117524
2024-09-24,106.121567,109.180240,105.909649,108.973826,2621380
2024-09-25,108.973826,109.173985,106.972240,107.510167,1116538
2024-09-26,108.973826,111.851105,108.761158,111.575887,2398877
2024-09-27,111.838595,112.664249,111.314680,112.013734,2063577
2024-09-30,112.138833,112.451581,110.188538,111.475808,1760222
2024-10-01,111.588397,112.038754,109.511752,109.987129,1665690
2024-10-02,109.786970,110.862822,109.173985,110.149758,1077237
2024-10-03,109.511752,109.586812,108.354585,109.011356,1065930
2024-10-04,109.949599,110.349916,108.836217,109.511752,675866
2024-10-07,107.422597,108.659827,106.884671,107.510167,2170716
2024-10-08,107.184909,107.184909,105.395992,105.683720,2038063
2024-10-09,106.021487,107.847934,105.796309,107.134869,1101973
2024-10-10,106.947221,108.048093,106.515629,107.973033,841027
2024-10-11,107.973033,108.473430,107.310008,108.248251,791178
2024-10-14,107.672795,108.711118,107.672795,108.648568,706993
2024-10-15,108.748648,109.048885,105.577385,105.971448,1896601
2024-10-16,106.259176,107.284988,105.846349,106.697022,759335
2024-10-17,107.485147,107.485147,106.221896,106.634473,1131878
2024-10-18,106.897181,107.059810,106.084912,106.446824,1395811
2024-10-21,106.384275,106.909691,105.571130,106.171606,958737
2024-10-22,105.883878,106.396785,104.870576,106.196626,983507
2024-10-23,105.646190,106.471844,104.783006,105.571130,684381
2024-10-24,106.027742,106.071527,104.514043,105.370972,1166620
2024-10-25,105.558621,105.646190,104.119981,104.207550,1063000
2024-10-28,105.070734,105.114519,104.407709,104.970655,996899
2024-10-29,104.107471,104.870576,103.907312,104.382689,1472279
2024-10-30,104.332649,105.546111,103.994882,104.170021,1097304
2024-10-31,103.844763,104.757986,103.619710,103.819743,1488946
2024-11-01,103.557035,104.370179,103.055888,103.206757,1351329
2024-11-04,103.444446,104.145001,101.768118,102.393613,2143013
2024-11-05,106.265430,109.837010,105.446031,107.172399,4176882
2024-11-06,109.761950,109.761950,105.408502,105.496071,2920443
2024-11-07,106.609453,108.498449,105.946428,108.323311,1814229
2024-11-08,107.147379,107.822914,104.870576,105.295912,2052730
2024-11-11,105.621170,105.671210,104.257590,104.620377,1449337
2024-11-12,104.094961,104.820536,102.818950,102.944049,1446187
2024-11-13,103.300582,104.457748,102.944049,104.332649,1810434
2024-11-14,104.420219,104.970655,103.594565,103.932332,1458593
2024-11-15,103.919822,104.302626,102.218475,102.393613,1446481
2024-11-18,102.656321,102.731381,101.755608,102.443653,1116271
