d,o,h,l,c,v
2025-07-01,504.680000,514.815500,494.930000,508.360000,1375269
2025-07-02,508.880000,520.580000,507.390000,520.310000,1096876
2025-07-03,520.000000,523.580000,519.435000,520.970000,470313
2025-07-07,519.000000,519.460000,506.960000,510.290000,1017279
2025-07-08,507.370000,514.730000,507.340000,508.910000,1285072
2025-07-09,510.980000,512.065000,499.510000,509.330000,1152545
2025-07-10,511.710000,528.980000,510.500000,519.200000,1268934
2025-07-11,514.200000,515.880000,509.660000,512.410000,1047165
2025-07-14,512.500000,512.778500,502.130000,507.610000,1087056
2025-07-15,507.650000,511.620000,503.110000,503.470000,1173076
2025-07-16,503.000000,508.670000,499.110000,507.730000,1150688
2025-07-17,505.800000,512.940000,492.060000,499.140000,1778885
2025-07-18,502.370000,503.197000,496.900000,499.820000,1064558
2025-07-21,504.770000,506.249000,496.030000,496.240000,1111220
2025-07-22,497.100000,508.190000,496.175000,505.690000,976048
2025-07-23,509.870000,515.800000,505.900000,515.170000,995312
2025-07-24,512.730000,517.495000,511.410000,514.660000,850056
2025-07-25,514.670000,519.000000,508.769500,517.380000,858451
2025-07-28,516.420000,516.510000,509.048200,510.550000,824665
2025-07-29,511.680000,514.800000,505.960100,512.500000,1139276
2025-07-30,510.440000,512.720000,504.735000,507.870000,1121302
2025-07-31,512.000000,526.555600,512.000000,524.370000,1549335
2025-08-01,519.000000,520.170000,500.000000,500.980000,1623338
2025-08-04,501.500000,512.170000,493.290000,510.560000,1087633
2025-08-05,511.020000,512.105000,504.000000,508.580000,1027932
2025-08-06,509.840000,514.030000,507.375000,509.640000,966739
2025-08-07,513.210000,514.050000,501.630000,506.640000,958605
2025-08-08,508.760000,516.280000,507.325000,510.370000,883909
2025-08-11,512.470000,515.290000,502.370000,506.980000,1098185
2025-08-12,509.190000,513.480000,501.770000,505.850000,1286286
2025-08-13,507.055000,514.525000,500.550000,513.540000,1853646
2025-08-14,485.000000,485.360000,470.495000,478.840000,5100701
2025-08-15,476.150000,492.389000,473.980000,488.800000,2674658
2025-08-18,486.350000,492.250000,480.000000,491.130000,1391676
2025-08-19,491.340000,499.200000,487.050000,489.440000,1493802
2025-08-20,489.390000,496.290000,487.405000,492.720000,1438939
2025-08-21,491.200000,493.255000,484.620000,486.760000,844948
2025-08-22,490.360000,499.100000,489.300000,495.990000,1133572
2025-08-25,496.250000,496.360000,487.660000,487.900000,729616
2025-08-26,488.010000,490.381300,480.010000,487.760000,1502914
2025-08-27,486.100000,493.660000,485.460000,493.080000,912641
2025-08-28,495.000000,495.000000,489.610000,491.440000,1120391
2025-08-29,484.820000,487.790000,474.620000,478.640000,1535073
2025-09-02,472.920000,481.889900,470.850000,476.780000,1601072
2025-09-03,475.210000,477.843900,466.760000,469.520000,1515353
2025-09-04,470.080000,474.900000,466.960000,474.900000,1487091
2025-09-05,475.340000,478.390000,470.240000,473.260000,1262439
2025-09-08,473.870000,481.740000,471.050500,481.510000,1271522
2025-09-09,479.920000,483.380000,469.800000,475.600000,1204470
2025-09-10,473.660000,479.490000,471.220000,471.350000,1347449
2025-09-11,471.500000,478.615000,471.085000,476.460000,1368721
2025-09-12,473.960000,474.370000,469.300000,470.510000,1764686
2025-09-15,472.255000,473.050000,462.830000,469.110000,1787672
2025-09-16,471.980000,475.500000,466.880000,468.700000,1659217
2025-09-17,471.580000,475.250000,464.330000,469.120000,1522561
2025-09-18,467.250000,478.130000,466.000000,476.120000,1785075
2025-09-19,476.000000,477.730000,468.855000,469.630000,2754928
2025-09-22,467.940000,472.199000,464.750000,469.030000,1678902
2025-09-23,471.350000,474.900000,468.225000,471.670000,997226
2025-09-24,471.250000,477.220000,468.300000,468.940000,976912
2025-09-25,469.320000,470.740000,464.010000,466.700000,1343723
2025-09-26,467.060000,471.020000,463.320000,463.990000,1106286
2025-09-29,465.830000,469.235000,463.250000,465.490000,1055942
2025-09-30,463.000000,463.650000,453.680000,457.260000,1954768
2025-10-01,455.000000,456.832500,447.440000,451.730000,2141944
2025-10-02,454.520000,462.335000,453.345000,461.820000,1512068
2025-10-03,461.000000,464.761100,459.500000,462.880000,989765
2025-10-06,464.710000,465.470000,456.130000,457.310000,1150337
2025-10-07,459.760000,465.980000,458.500000,461.510000,1237616
2025-10-08,462.380000,466.630000,455.590000,460.750000,915561
2025-10-09,461.890000,462.600000,455.010000,456.220000,992748
2025-10-10,456.870000,460.620000,441.890000,446.350000,1581103
2025-10-13,449.370000,450.000000,437.455000,439.110000,1758622
2025-10-14,436.080000,449.825000,433.000000,447.950000,1258550
2025-10-15,449.440000,452.355000,446.310000,448.460000,1020074
2025-10-16,450.350000,457.740000,445.546000,457.160000,1574670
2025-10-17,462.520000,465.705000,454.610000,458.500000,1136456
2025-10-20,457.610000,463.890000,455.893400,462.440000,814027
2025-10-21,461.110000,466.780000,458.750000,459.820000,953986
2025-10-22,460.130000,472.220000,460.130000,462.360000,1293402
2025-10-23,465.560000,469.990000,460.710000,469.420000,1162024
2025-10-24,473.450000,477.600000,470.546300,472.760000,1187258
2025-10-27,480.560000,483.000000,474.160100,478.100000,1273310
2025-10-28,475.450000,476.500000,467.880000,468.190000,1064808
2025-10-29,471.840000,477.892000,469.030000,473.490000,1134932
2025-10-30,472.140000,479.809900,465.220000,465.410000,1035002
2025-10-31,463.570000,464.540000,458.720000,461.630000,1116489
2025-11-03,459.800000,463.800000,454.500000,461.940000,957484
2025-11-04,457.290000,469.670000,456.000000,468.300000,1577242
2025-11-05,468.000000,476.290000,466.400000,473.690000,891800
2025-11-06,475.140000,481.280000,469.520000,475.380000,1258700
2025-11-07,463.920000,471.250000,457.650000,467.790000,1912530
2025-11-10,468.900000,476.550000,463.680000,474.390000,922965
2025-11-11,474.560000,480.220000,472.010100,477.950000,1179366
2025-11-12,479.000000,484.930000,477.770000,480.780000,1068247
2025-11-13,481.320000,482.785000,472.890000,473.410000,1005462
2025-11-14,473.290000,479.650000,471.000000,476.230000,1180189
2025-11-17,475.270000,479.760000,473.107800,475.980000,1318436
2025-11-18,471.470000,477.120000,470.000000,473.850000,1117591
2025-11-19,474.360000,476.395000,468.160000,474.770000,1202227
2025-11-20,478.000000,484.210000,473.710000,476.330000,1543397
2025-11-21,477.640000,491.040000,476.510000,487.240000,1836012
2025-11-24,488.620000,494.310000,484.100000,487.230000,2182873
2025-11-25,490.060000,500.520000,488.215000,498.130000,2188492
2025-11-26,477.130000,487.820000,469.410000,469.870000,5473576
2025-11-28,466.910000,473.670000,463.010000,464.490000,1682593
2025-12-01,463.720000,474.500000,461.410000,468.110000,1824398
2025-12-02,471.720000,473.770000,466.430000,469.150000,1303721
2025-12-03,471.000000,482.450000,468.560000,481.820000,1157986
2025-12-04,480.990000,483.500000,475.210000,483.030000,1379844
2025-12-05,481.390000,485.440000,473.690000,475.110000,1224918
2025-12-08,479.020000,488.990000,464.915000,466.350000,1896614
2025-12-09,464.890000,469.320000,461.800000,462.860000,1173740
2025-12-10,462.650000,469.970000,455.905000,468.900000,1677783
2025-12-11,471.880000,480.743900,470.130000,475.940000,1186663
2025-12-12,478.220000,487.165000,477.600000,484.800000,1852128
2025-12-15,484.800000,488.990000,484.800000,488.010000,1473240
2025-12-16,487.000000,489.150000,484.205000,485.440000,1632204
2025-12-17,484.950000,490.420000,479.685000,481.000000,1641933
2025-12-18,483.040000,487.130000,469.775000,475.050000,1927554
2025-12-19,475.100000,476.500000,468.920000,470.570000,2990692
2025-12-22,471.500000,472.740000,467.650000,468.770000,1173160
2025-12-23,470.390000,471.180000,465.410000,466.210000,1083689
2025-12-24,466.030000,468.395000,464.400000,467.440000,343266
2025-12-26,467.730000,469.410000,466.130000,468.930000,503204
2025-12-29,469.490000,471.750000,465.785000,470.240000,981691
2025-12-30,469.880000,473.200000,468.372900,469.940000,826707
2025-12-31,466.990000,470.230000,465.570000,465.570000,812080
2026-01-02,466.000000,470.475000,458.920000,466.800000,1175565
2026-01-05,462.310000,467.885000,458.955000,466.100000,1320248
2026-01-06,465.100000,487.455000,464.310000,485.980000,1621122
2026-01-07,487.140000,489.100000,473.690000,475.200000,1286897
2026-01-08,473.920000,503.880000,472.720000,500.800000,1797304
2026-01-09,500.700000,503.550000,484.860000,488.080000,1725629
2026-01-12,486.320000,497.020000,484.330000,490.740000,1547484
2026-01-13,492.330000,499.590000,490.000000,499.520000,849339
2026-01-14,503.230000,516.090000,501.220000,512.100000,1891120
2026-01-15,513.800000,519.180000,508.150000,515.040000,1203732
2026-01-16,516.260000,516.810000,510.000000,514.400000,1323338
2026-01-20,514.560000,515.255000,507.090000,508.680000,1377144
2026-01-21,512.690000,530.200000,511.130000,529.510000,1620594
2026-01-22,529.260000,532.610000,521.160000,522.380000,1159303
2026-01-23,518.260000,521.630000,506.420100,514.430000,1590604
2026-01-26,515.720000,518.660000,512.570000,516.540000,750609
2026-01-27,517.330000,521.490000,513.850000,519.190000,1043621
2026-01-28,519.940000,528.770000,519.090000,525.010000,1106772
2026-01-29,530.000000,537.260000,521.540000,530.070000,1493549
2026-01-30,524.930000,529.990000,518.695000,528.000000,1517798
2026-02-02,527.250000,534.700000,522.390000,532.250000,1558043
2026-02-03,533.260000,545.320000,533.000000,545.000000,1605563
2026-02-04,548.000000,571.558800,548.000000,567.260000,3209306
2026-02-05,563.830000,574.940000,561.200000,565.730000,1913079
2026-02-06,568.000000,584.060000,567.550000,583.110000,1440540
2026-02-09,580.000000,587.739900,574.300000,585.670000,1101858
2026-02-10,586.110000,593.760000,583.590000,593.410000,1609054
2026-02-11,592.500000,614.340000,590.500100,612.690000,1826726
2026-02-12,612.870000,626.250000,596.780000,598.110000,2767801
2026-02-13,598.860000,610.958000,597.200000,602.920000,1565162
2026-02-17,593.050000,607.040000,593.050000,600.840000,1863304
2026-02-18,603.810000,603.810000,590.920000,593.270000,2558237
2026-02-19,633.610000,674.189900,628.716000,662.000000,6653328
2026-02-20,664.250000,666.920000,646.400000,662.490000,2989876
2026-02-23,652.180000,669.800000,644.440000,646.840000,2074972
2026-02-24,643.300000,647.810000,634.760000,644.540000,1399328
2026-02-25,645.270000,646.930000,623.490000,623.610000,2100928
2026-02-26,624.960000,626.999900,614.600000,619.460000,1422137
2026-02-27,615.000000,631.505000,613.490000,629.710000,2015446
2026-03-02,625.760000,636.450000,619.790000,630.880000,997011
2026-03-03,620.000000,623.551000,609.210000,619.220000,1071646
2026-03-04,619.230000,622.720000,612.950000,614.040000,1073247
2026-03-05,607.610000,610.360000,586.300000,590.690000,1643591
2026-03-06,585.240000,589.850000,577.630000,589.770000,1413080
2026-03-09,586.470000,600.820000,578.320000,599.480000,1499829
2026-03-10,597.080000,603.030000,591.430000,592.720000,1093141
2026-03-11,590.760000,598.000000,585.300000,594.040000,1000691
2026-03-12,591.460000,593.665000,582.310000,585.830000,1622667
2026-03-13,585.000000,589.668000,571.600000,577.500000,1381773
2026-03-16,581.970000,582.940000,570.730000,572.480000,1151135
2026-03-17,576.370000,576.850000,562.190100,574.260000,1462378
2026-03-18,573.750000,578.410000,569.130000,571.020000,1226470
2026-03-19,563.190000,570.005000,557.940000,567.580000,1449083
2026-03-20,568.570000,573.710000,551.275000,559.730000,2727249
2026-03-23,570.250000,571.940000,564.030000,569.030000,1244289
2026-03-24,560.550000,584.500000,560.000100,583.020000,1144924
2026-03-25,588.580000,590.690000,577.110000,577.990000,930183
2026-03-26,573.960000,587.845000,573.960000,581.190000,1516599
2026-03-27,580.720000,581.920000,564.050100,566.640000,1455931
2026-03-30,572.300000,573.290000,555.040000,555.500000,1263246
2026-03-31,560.000000,566.519900,549.680000,563.300000,1445717
2026-04-01,565.440000,579.370000,564.150000,570.700000,1573509
2026-04-02,560.695000,580.690000,556.450000,575.710000,1248799
