d,o,h,l,c,v
2024-07-25,116.000000,116.000000,110.330000,111.430000,17363730
2024-07-26,114.250000,114.719900,111.550100,113.560000,8419931
2024-07-29,114.360000,115.500000,110.950000,111.200000,7552248
2024-07-30,112.310000,113.250000,105.770000,108.610000,11938442
2024-07-31,114.760000,116.600000,112.200000,113.680000,11327262
2024-08-01,112.930000,115.210000,107.530000,108.430000,8570016
2024-08-02,101.700000,103.800000,99.930000,102.290000,11832725
2024-08-05,90.480000,99.890000,90.130000,98.180000,13137819
2024-08-06,98.660000,99.270000,93.340000,94.670000,15500550
2024-08-07,90.370000,93.030000,86.930000,87.890000,21545502
2024-08-08,89.770000,91.700000,88.450000,91.460000,10242826
2024-08-09,89.480000,93.430000,88.570000,92.550000,8405010
2024-08-12,92.200000,97.900000,91.835000,95.270000,9875263
2024-08-13,97.100000,101.490000,96.570000,99.940000,14928421
2024-08-14,101.060000,104.370000,100.310000,102.950000,12141042
2024-08-15,107.060000,110.960000,105.410000,110.210000,17713179
2024-08-16,108.900000,112.160000,108.060000,111.300000,11632608
2024-08-19,111.000000,112.062500,108.380000,111.870000,8374892
2024-08-20,111.750000,112.480000,109.560000,110.710000,6189043
2024-08-21,110.850000,111.900000,108.860000,111.700000,6714402
2024-08-22,112.550000,114.020000,108.670000,108.980000,7018286
2024-08-23,110.350000,112.660000,110.070100,112.010000,6023382
2024-08-26,112.010000,114.150000,110.350000,111.670000,7307783
2024-08-27,110.330000,112.370000,109.710000,111.860000,6271647
2024-08-28,110.300000,112.070000,108.210000,111.560000,9527976
2024-08-29,108.280000,114.440000,108.100000,110.740000,23836598
2024-08-30,115.360000,117.720000,110.650000,115.540000,33433633
2024-09-03,114.880000,116.690000,109.120400,110.770000,14158993
2024-09-04,109.000000,110.550000,107.310100,109.060000,8113585
2024-09-05,107.000000,108.300000,105.130000,107.160000,9362447
2024-09-06,106.520000,108.210000,101.410000,102.000000,11962617
2024-09-09,107.350000,107.650000,105.100000,105.890000,18742653
2024-09-10,106.150000,107.530000,105.420000,106.640000,9367424
2024-09-11,107.150000,108.900000,105.550000,108.800000,9715098
2024-09-12,108.700000,113.230000,108.600000,112.150000,9908506
2024-09-13,112.180000,114.650000,111.395000,114.300000,7353335
2024-09-16,112.380000,115.800000,112.225000,115.400000,8618921
2024-09-17,117.710000,118.310000,115.040000,116.820000,9412731
2024-09-18,117.580000,119.620000,115.940000,115.990000,10783555
2024-09-19,120.070000,120.070000,117.360000,117.770000,10630519
2024-09-20,116.500000,119.050000,115.080000,117.500000,75332831
2024-09-23,117.550000,118.100000,116.580000,117.570000,8067756
2024-09-24,118.170000,118.440000,116.000000,117.310000,6851833
2024-09-25,117.270000,120.240000,117.070000,120.170000,8534983
2024-09-26,122.375000,127.000000,121.390000,126.490000,13420524
2024-09-27,124.000000,124.410000,120.070000,120.220000,13544967
2024-09-30,119.000000,119.963100,116.950000,118.540000,8647750
2024-10-01,117.390000,117.780000,112.910000,113.160000,9641850
2024-10-02,112.970000,116.560000,112.120000,113.460000,6047118
2024-10-03,114.020000,116.750000,113.620000,115.670000,6872528
2024-10-04,117.500000,120.840000,117.060100,120.420000,8185053
2024-10-07,119.680000,120.850000,118.180000,119.090000,5208144
2024-10-08,119.400000,121.940000,118.700000,121.930000,5681505
2024-10-09,121.630000,123.130000,120.500000,122.340000,5979890
2024-10-10,121.460000,124.860000,121.200000,124.800000,5947184
2024-10-11,124.000000,128.300000,123.501300,127.730000,7811938
2024-10-14,129.000000,130.260000,127.400000,128.350000,5932985
2024-10-15,128.840000,131.130000,125.660000,125.830000,5606149
2024-10-16,126.890000,127.510000,124.800000,126.730000,3833057
2024-10-17,129.100000,131.600000,128.000000,129.180000,5603585
2024-10-18,129.200000,129.580000,125.200000,126.460000,5491711
2024-10-21,126.500000,126.980000,125.170000,125.660000,4405016
2024-10-22,124.100000,124.300000,119.350000,120.400000,7093039
2024-10-23,118.970000,121.560000,117.820000,119.490000,4558926
2024-10-24,120.610000,121.390000,119.360000,120.570000,3638107
2024-10-25,121.900000,124.790000,121.750000,122.550000,4040156
2024-10-28,123.000000,123.610000,120.550000,120.660000,3582942
2024-10-29,120.680000,122.540000,120.100000,121.630000,3909752
2024-10-30,130.990000,133.969900,125.440000,129.400000,17073703
2024-10-31,127.000000,127.585000,122.590000,123.630000,7312424
2024-11-01,124.625000,132.620000,124.300000,130.870000,13048446
2024-11-04,132.820000,135.710000,129.700000,129.850000,10608792
2024-11-05,131.000000,134.280000,129.750000,133.460000,6998599
2024-11-06,137.390000,139.600000,134.320000,138.350000,8857948
2024-11-07,138.945000,139.415800,136.020000,137.870000,6297479
2024-11-08,138.220000,139.150000,134.080000,134.230000,6325400
2024-11-11,138.470000,140.745000,135.000000,138.510000,7210941
2024-11-12,138.750000,141.330000,135.940000,136.470000,6667818
2024-11-13,137.760000,139.040000,134.470000,134.530000,4701399
2024-11-14,135.880000,136.910000,133.330100,134.430000,3510654
2024-11-15,133.290000,133.870000,130.750000,131.640000,5010102
2024-11-18,136.160000,138.000000,134.468900,136.010000,6620991
2024-11-19,133.850000,136.240000,132.235200,135.900000,5767480
2024-11-20,137.520000,138.170000,132.540000,133.960000,4814244
2024-11-21,136.140000,140.139900,134.450000,138.920000,6619719
2024-11-22,142.500000,144.500000,140.500000,144.210000,7688618
2024-11-25,147.400000,147.660000,142.630000,144.160000,12208161
2024-11-26,144.000000,144.429900,141.210000,141.740000,12796248
2024-11-27,124.920000,127.160000,121.300000,124.380000,38089688
2024-11-29,125.300000,128.470000,124.990000,127.590000,9534508
2024-12-02,126.190000,129.650000,123.280000,125.840000,13328005
2024-12-03,125.160000,126.020000,124.175000,125.560000,6989907
2024-12-04,125.250000,127.330000,123.920000,126.100000,6264548
2024-12-05,126.560000,128.680000,125.040000,125.070000,8115782
2024-12-06,125.620000,126.313600,122.750000,123.400000,10464351
2024-12-09,122.840000,124.200000,121.100000,123.810000,8318589
2024-12-10,123.150000,123.240000,116.550000,116.790000,12659524
2024-12-11,117.800000,119.180000,115.600000,118.690000,8156109
2024-12-12,117.510000,120.400000,117.336600,119.180000,5403795
2024-12-13,120.380000,121.270000,116.520000,118.450000,5941904
2024-12-16,118.860000,122.090000,118.450000,119.270000,6730489
2024-12-17,118.200000,120.200000,117.890000,118.280000,5166312
2024-12-18,119.530000,119.990000,111.930300,112.670000,7336887
2024-12-19,114.230000,115.510000,111.280000,111.960000,9248377
2024-12-20,110.170000,116.460000,110.170000,115.770000,12228156
2024-12-23,116.520000,119.139000,116.260800,118.820000,5324214
2024-12-24,119.000000,119.420000,118.180000,118.940000,2077431
2024-12-26,118.420000,119.880000,118.230000,119.280000,2744871
2024-12-27,118.370000,118.890000,116.510000,117.330000,4881875
2024-12-30,115.310000,115.920000,112.620700,114.820000,5517940
2024-12-31,115.330000,116.090000,114.157900,115.240000,3874670
2025-01-02,115.260000,117.458300,113.530000,116.530000,4580909
2025-01-03,117.390000,120.820000,117.370000,119.910000,5601022
2025-01-06,121.810000,125.010000,121.210000,124.660000,8361847
2025-01-07,125.580000,125.770000,120.950000,121.270000,6081910
2025-01-08,119.980000,120.610000,117.750000,119.310000,5137723
2025-01-10,117.920000,117.985000,114.590000,114.770000,8213353
2025-01-13,110.010000,110.560000,106.690000,110.170000,11518132
2025-01-14,111.300000,111.805000,107.202800,109.060000,8366186
2025-01-15,112.000000,112.000000,108.040000,109.230000,9106148
2025-01-16,109.000000,111.360000,108.415000,110.110000,6073456
2025-01-17,111.750000,111.760000,109.540000,109.640000,6344472
2025-01-21,110.425000,112.380000,107.910000,111.550000,8635963
2025-01-22,116.850000,120.965000,114.940000,115.120000,12846400
2025-01-23,112.700000,114.700000,111.960000,114.220000,5864066
2025-01-24,114.810000,116.790000,112.770000,113.730000,5500019
2025-01-27,106.610000,107.730000,100.038800,103.840000,17922259
2025-01-28,104.130000,104.130000,100.500000,101.290000,15042675
2025-01-29,102.000000,103.860000,101.470000,103.100000,8362610
2025-01-30,103.310000,105.960000,103.300000,105.350000,7952735
2025-01-31,106.330000,107.240000,103.530000,103.600000,6088844
2025-02-03,99.380000,101.010000,98.365000,100.090000,12114300
2025-02-04,100.240000,102.460000,99.810000,101.670000,7241445
2025-02-05,102.580000,105.700000,101.190000,104.450000,7901794
2025-02-06,104.970000,107.250000,104.730000,105.920000,5017384
2025-02-07,107.520000,109.350000,105.970100,106.370000,7997277
2025-02-10,107.350000,112.810000,107.350000,112.310000,9084111
2025-02-11,110.240000,112.070000,109.850000,111.440000,4397056
2025-02-12,110.050000,114.000000,110.000000,112.920000,5423724
2025-02-13,111.090000,111.750000,108.740000,110.260000,6806235
2025-02-14,111.040000,117.160000,109.710000,114.380000,16971706
2025-02-18,116.510000,120.920000,116.260000,120.340000,13510027
2025-02-19,118.810000,122.260000,118.250000,120.960000,6728608
2025-02-20,120.500000,121.210000,116.772900,119.890000,5480404
2025-02-21,120.850000,121.290000,117.290400,117.600000,5662294
2025-02-24,116.110000,116.360000,111.030100,114.140000,7327788
2025-02-25,113.500000,114.110000,109.660000,110.650000,6582053
2025-02-26,111.800000,117.280000,111.800000,115.650000,8657995
2025-02-27,117.000000,117.450000,107.430000,107.830000,15737173
2025-02-28,100.960000,103.900000,99.000000,102.760000,20366155
2025-03-03,103.640000,103.770000,94.510000,95.560000,13096845
2025-03-04,93.000000,96.853100,92.410000,94.070000,12789368
2025-03-05,94.650000,97.880000,93.210000,97.250000,6059440
2025-03-06,94.250000,95.855000,92.920000,93.020000,8560539
2025-03-07,91.715000,92.660000,88.330100,91.460000,10162084
2025-03-10,89.000000,91.770000,88.690000,90.340000,8384863
2025-03-11,90.540000,92.869900,90.080000,91.570000,6282338
2025-03-12,94.660000,95.980000,93.170000,94.580000,7873046
2025-03-13,93.950000,94.860000,91.550000,92.450000,4543443
2025-03-14,94.600000,97.298700,94.400000,95.670000,5903206
2025-03-17,97.530000,98.820000,96.660000,97.660000,5283185
2025-03-18,96.920000,97.200000,94.770000,96.440000,5791995
2025-03-19,97.000000,100.430000,96.845000,98.720000,5460052
2025-03-20,97.960000,101.420000,97.900000,98.920000,4924513
2025-03-21,98.080000,98.420000,96.401900,97.570000,8911079
2025-03-24,100.000000,101.520000,99.290000,99.810000,6491786
2025-03-25,100.310000,101.300000,98.510100,98.860000,4807330
2025-03-26,98.740000,100.551900,95.600000,96.260000,5814156
2025-03-27,95.020000,98.370000,93.600000,97.100000,7537769
2025-03-28,94.380000,95.560000,91.510000,92.290000,7225203
2025-03-31,89.270000,91.210000,88.400000,91.150000,7286218
2025-04-01,91.280000,92.800000,89.710000,91.960000,5716711
2025-04-02,89.970000,95.720000,89.830000,95.330000,6245790
2025-04-03,85.750000,86.209900,76.721000,77.230000,30868525
2025-04-04,74.660000,74.940000,69.421000,71.630000,17449146
2025-04-07,68.000000,77.300000,66.245000,75.000000,15538442
2025-04-08,77.500000,79.460000,71.000000,72.590000,12924067
2025-04-09,72.560000,85.470000,71.120000,84.190000,18159954
2025-04-10,80.200000,81.025000,75.940000,78.940000,11279260
2025-04-11,78.600000,82.920000,77.960000,81.930000,8667626
2025-04-14,89.290000,89.290000,84.010000,85.190000,12355193
2025-04-15,84.620000,86.897500,84.320500,85.490000,5728840
2025-04-16,82.805000,85.300000,81.680000,83.360000,5842293
2025-04-17,83.875000,85.420000,82.900000,84.800000,6238336
2025-04-21,83.381000,84.360000,80.740000,82.390000,5595271
2025-04-22,82.900000,85.390000,82.460000,84.080000,4471564
2025-04-23,89.075000,91.890000,88.590000,89.160000,8413053
2025-04-24,89.880000,94.675000,89.440000,94.400000,6367166
2025-04-25,94.455000,95.450000,93.940000,94.890000,4466690
2025-04-28,94.570000,95.640000,93.110000,94.470000,3920233
2025-04-29,93.660000,94.560000,93.110000,93.780000,4474033
2025-04-30,86.820000,92.090000,86.760000,91.760000,9891218
2025-05-01,93.570000,95.200000,91.790000,91.950000,6333050
2025-05-02,94.230000,95.840000,93.840000,94.590000,5970475
2025-05-05,93.900000,95.637000,93.525000,94.360000,4937957
2025-05-06,92.660000,94.730000,92.530000,93.950000,5015423
2025-05-07,93.860000,96.040000,92.880700,95.790000,5215633
2025-05-08,97.440000,97.480000,95.675000,96.220000,4575909
2025-05-09,97.450000,97.940000,95.640000,95.910000,4367390
2025-05-12,101.000000,104.080000,101.000000,103.420000,7927699
2025-05-13,103.890000,108.500000,103.890000,107.850000,7063523
2025-05-14,109.500000,111.750000,109.500000,111.020000,7639089
2025-05-15,108.950000,111.505000,108.573600,110.870000,4488787
2025-05-16,111.500000,114.600000,111.090000,114.190000,5466640
2025-05-19,111.420000,115.070000,111.420000,114.280000,4594717
2025-05-20,113.960000,115.500000,113.190100,114.230000,4150630
2025-05-21,113.540000,116.130000,111.560000,111.930000,5859850
2025-05-22,112.399900,112.980000,110.660000,111.950000,4013723
2025-05-23,109.670000,112.685000,108.810000,112.110000,3916881
2025-05-27,114.480000,115.054700,113.190000,113.990000,5512085
2025-05-28,114.150000,115.290000,113.310000,113.770000,4618411
2025-05-29,115.190000,115.460000,111.300000,113.630000,14682692
2025-05-30,112.480000,116.970000,109.200000,111.270000,19208004
2025-06-02,110.990000,111.670000,106.380000,108.080000,9027602
2025-06-03,108.500000,112.440000,108.010000,111.900000,6643941
2025-06-04,112.870000,114.250000,111.302800,112.700000,4536209
2025-06-05,113.000000,114.220000,111.180000,111.820000,5454944
2025-06-06,112.830000,115.240000,112.830000,113.750000,4037456
2025-06-09,114.510000,116.630000,114.210000,114.220000,5123656
