d,o,h,l,c,v
2024-07-25,265.380000,276.310000,264.390000,270.090000,4249956
2024-07-26,271.900000,277.720000,271.190000,273.910000,2810147
2024-07-29,272.100000,273.240000,268.090000,271.650000,2176541
2024-07-30,273.230000,276.250000,271.760000,275.190000,2953190
2024-07-31,275.500000,280.260000,273.460000,277.080000,2887183
2024-08-01,279.260000,281.700000,278.250000,280.760000,2132563
2024-08-02,279.450000,279.450000,272.140000,276.750000,3108808
2024-08-05,269.200000,273.270000,265.770000,269.320000,2632644
2024-08-06,271.030000,274.070000,268.695000,268.970000,2763620
2024-08-07,270.000000,271.030000,262.910000,263.310000,2805395
2024-08-08,265.090000,269.460000,263.450000,268.640000,2265107
2024-08-09,268.410000,270.385000,266.710000,268.110000,2017772
2024-08-12,268.240000,268.280000,264.280000,267.200000,2099766
2024-08-13,268.060000,270.250000,267.130000,268.710000,1857964
2024-08-14,268.480000,269.040000,265.810000,268.080000,1357810
2024-08-15,270.000000,270.700000,266.980000,269.330000,1653543
2024-08-16,268.880000,269.710000,266.740000,269.320000,1746456
2024-08-19,270.000000,272.265000,269.210000,271.270000,1603024
2024-08-20,271.840000,273.700000,271.075000,271.660000,1409462
2024-08-21,272.010000,273.750000,269.720000,271.100000,1455089
2024-08-22,272.230000,272.230000,267.250000,267.830000,1662838
2024-08-23,269.250000,270.729900,266.323100,269.480000,1464013
2024-08-26,269.930000,270.330000,267.375000,268.070000,1252208
2024-08-27,268.670000,269.550000,267.170000,268.820000,1552486
2024-08-28,268.030000,268.970000,265.210000,266.060000,1693071
2024-08-29,267.030000,268.540000,265.010000,267.020000,1904049
2024-08-30,268.300000,269.310000,265.590000,269.310000,4600180
2024-09-03,267.050000,269.200000,262.590000,264.230000,2325671
2024-09-04,262.240000,265.120000,261.080100,264.490000,1732758
2024-09-05,264.330000,265.960000,261.590000,264.710000,1764121
2024-09-06,265.520000,270.110000,265.070000,266.200000,3324729
2024-09-09,267.620000,273.180000,266.280000,273.090000,3223933
2024-09-10,273.000000,275.030000,270.430000,274.720000,2267751
2024-09-11,273.780000,273.780000,268.330000,271.980000,2536291
2024-09-12,271.780000,273.030000,267.560000,272.490000,2606572
2024-09-13,272.900000,274.910000,271.310000,274.250000,2248476
2024-09-16,276.690000,278.280000,275.500000,276.030000,1904525
2024-09-17,275.900000,276.430000,271.060000,272.470000,2158592
2024-09-18,271.680000,275.870000,268.040000,271.900000,2477914
2024-09-19,275.440000,278.290000,273.600000,276.430000,3293977
2024-09-20,275.280000,275.280000,270.260000,272.630000,9267310
2024-09-23,273.730000,274.910000,271.830000,273.150000,1954577
2024-09-24,272.540000,275.730000,271.040000,274.200000,2834522
2024-09-25,276.170000,276.210000,266.860000,267.880000,2535473
2024-09-26,272.845000,279.900000,270.910000,276.930000,2713534
2024-09-27,277.490000,279.590000,275.390000,275.440000,1337457
2024-09-30,275.730000,278.330000,273.740000,278.020000,1500593
2024-10-01,278.620000,278.620000,273.020000,274.560000,1367222
2024-10-02,274.490000,275.600000,271.030000,273.910000,1111813
2024-10-03,272.860000,273.300000,269.570000,270.520000,1332096
2024-10-04,271.560000,272.560000,268.650000,270.030000,1132669
2024-10-07,268.500000,270.500000,267.470000,268.790000,1153297
2024-10-08,266.980000,270.350000,266.500000,268.810000,1431916
2024-10-09,269.780000,270.480000,266.820000,269.230000,1507978
2024-10-10,268.370000,269.120000,265.500000,266.450000,1531832
2024-10-11,267.640000,272.150000,267.120000,270.330000,1747177
2024-10-14,270.400000,272.310000,268.870000,271.560000,1901419
2024-10-15,272.380000,275.520000,271.810000,272.680000,1905384
2024-10-16,271.000000,271.815000,266.300000,268.030000,2820017
2024-10-17,277.500000,279.410000,270.970000,271.980000,3222112
2024-10-18,272.530000,275.510000,271.310000,274.380000,1949849
2024-10-21,273.100000,274.210000,270.290000,272.090000,2359613
2024-10-22,264.030000,269.240000,260.610000,261.280000,4496440
2024-10-23,258.440000,260.880000,254.200000,256.000000,4717150
2024-10-24,255.250000,255.698000,247.820000,248.000000,3989252
2024-10-25,250.300000,250.384000,244.890000,245.390000,3226925
2024-10-28,246.120000,247.350000,243.030000,244.120000,2031600
2024-10-29,243.180000,244.940000,241.760000,242.690000,3547215
2024-10-30,242.140000,244.419000,241.100000,242.320000,2553468
2024-10-31,243.890000,248.500000,242.340000,245.660000,4948759
2024-11-01,248.960000,252.950000,247.270000,247.760000,2638494
2024-11-04,248.780000,251.470000,245.990000,247.180000,1836428
2024-11-05,245.660000,250.820000,245.320000,250.070000,1697740
2024-11-06,252.070000,252.940000,245.150000,247.760000,2930331
2024-11-07,249.700000,250.040000,245.740000,246.100000,2528016
2024-11-08,247.050000,247.130000,244.120000,245.390000,2941170
2024-11-11,245.000000,246.149900,241.430000,243.250000,3475317
2024-11-12,244.510000,244.510000,239.290000,239.600000,3077031
2024-11-13,239.600000,242.060000,238.974000,241.530000,2133727
2024-11-14,240.590000,240.940000,237.310000,239.380000,3154264
2024-11-15,236.150000,237.430000,228.997600,230.500000,5435775
2024-11-18,230.000000,230.725000,228.250000,230.060000,3932989
2024-11-19,229.660000,231.910000,228.730000,230.840000,2608255
2024-11-20,229.500000,233.730000,228.890000,233.100000,2662158
2024-11-21,233.920000,235.180000,230.380000,235.050000,2537010
2024-11-22,234.490000,236.930000,234.490000,235.840000,2330161
2024-11-25,236.170000,239.380000,235.450000,237.680000,4460644
2024-11-26,237.500000,238.100000,233.150100,236.580000,2377740
2024-11-27,237.250000,240.945000,235.670000,238.830000,2271494
2024-11-29,239.530000,241.610000,238.300000,239.690000,1931402
2024-12-02,239.410000,241.580000,238.200000,241.290000,2520245
2024-12-03,240.660000,241.670000,238.870000,240.870000,3035317
2024-12-04,238.960000,239.470000,234.190500,236.260000,4167450
2024-12-05,235.000000,235.750000,227.200000,227.870000,5335656
2024-12-06,228.450000,231.010000,228.005000,230.120000,3099532
2024-12-09,229.580000,236.325000,229.290000,235.910000,2625321
2024-12-10,236.930000,237.185000,233.900000,234.340000,2753312
2024-12-11,235.800000,237.715000,234.340000,235.400000,3370358
2024-12-12,234.200000,236.417500,233.410000,234.500000,3996846
2024-12-13,234.130000,235.500000,232.000000,234.890000,2417967
2024-12-16,234.765000,236.830000,233.677900,234.180000,4474422
2024-12-17,234.130000,237.960000,233.255000,233.530000,3211094
2024-12-18,230.890000,234.330000,228.090000,228.300000,5221601
2024-12-19,228.100000,231.070000,225.840000,226.160000,4553880
2024-12-20,226.960000,230.810000,225.420000,228.550000,7073596
2024-12-23,227.940000,229.630000,226.760000,229.160000,2798812
2024-12-24,228.530000,231.000000,228.000000,230.750000,988300
2024-12-26,229.330000,231.490000,229.170000,231.280000,1512536
2024-12-27,229.400000,232.140000,229.400000,231.100000,2130520
2024-12-30,229.470000,230.560000,227.580000,229.650000,2008091
2024-12-31,230.460000,232.000000,228.665000,229.550000,2077923
2025-01-02,230.850000,231.850000,228.571400,229.810000,2762037
2025-01-03,230.080000,235.930000,229.560000,234.840000,2381138
2025-01-06,234.150000,240.230100,233.700000,238.200000,3674564
2025-01-07,238.000000,243.150000,238.000000,239.100000,2989329
2025-01-08,238.610000,239.390000,235.500000,238.090000,2527729
2025-01-10,235.550000,238.710000,234.500000,235.070000,2863272
2025-01-13,235.050000,240.970000,234.010000,239.880000,3301781
2025-01-14,241.170000,242.150000,232.045000,237.620000,4137624
2025-01-15,238.980000,241.690000,232.960000,237.970000,4129048
2025-01-16,237.720000,242.108800,234.600000,241.900000,3148925
2025-01-17,242.170000,243.050000,238.170000,238.360000,3075288
2025-01-21,239.950000,244.490000,239.000000,244.110000,2338322
2025-01-22,243.440000,246.250000,242.500000,244.180000,2050108
2025-01-23,244.930000,245.850000,241.800300,245.660000,2512460
2025-01-24,245.600000,247.530000,245.020000,245.800000,1911411
2025-01-27,247.520000,250.760000,246.460000,250.590000,2748518
2025-01-28,257.670000,258.230000,247.190000,247.840000,4273748
2025-01-29,235.020000,235.740000,223.000000,223.730000,11407445
