d,o,h,l,c,v
2025-08-01,178.050000,178.585000,174.430000,174.970000,1540733
2025-08-04,175.720000,176.470000,174.995000,176.100000,1043895
2025-08-05,177.100000,177.785000,174.914500,177.180000,1085346
2025-08-06,177.500000,177.750000,174.060000,174.300000,1285725
2025-08-07,175.990000,176.520000,173.340000,173.970000,721026
2025-08-08,174.470000,175.305000,173.300000,173.520000,608878
2025-08-11,174.220000,175.445000,173.830000,175.290000,1334023
2025-08-12,176.430000,178.090000,175.760000,177.990000,901645
2025-08-13,178.765000,182.910000,178.638800,182.830000,1119363
2025-08-14,180.770000,181.020000,178.590000,179.400000,772194
2025-08-15,179.640000,179.640000,176.430000,176.540000,620612
2025-08-18,176.420000,177.540000,175.707400,177.150000,555811
2025-08-19,177.770000,180.170000,177.220000,179.710000,1379176
2025-08-20,179.140000,179.600000,177.740000,178.740000,881054
2025-08-21,178.000000,179.426000,177.070000,177.410000,841925
2025-08-22,178.720000,183.840000,178.540000,183.070000,1059362
2025-08-25,183.260000,183.330000,180.460000,180.510000,514327
2025-08-26,180.450000,182.560000,179.960000,182.210000,1566049
2025-08-27,181.510000,183.680000,181.275000,182.710000,546320
2025-08-28,182.810000,183.425000,181.010000,181.590000,570373
2025-08-29,180.900000,181.565000,178.650000,178.860000,496970
2025-09-02,176.700000,176.810000,174.380000,175.770000,955424
2025-09-03,175.490000,175.990000,173.962500,174.730000,724203
2025-09-04,174.740000,178.400000,174.255000,178.360000,771559
2025-09-05,178.960000,180.475000,176.600000,177.750000,1047588
2025-09-08,177.770000,178.630000,175.820000,178.000000,1136113
2025-09-09,177.520000,177.520000,174.052300,174.680000,764701
2025-09-10,175.190000,177.855000,174.940000,175.640000,882255
2025-09-11,175.790000,178.610000,175.790000,178.100000,1031799
2025-09-12,177.450000,177.595000,172.880000,172.980000,1133214
2025-09-15,173.110000,173.860000,171.685000,171.940000,742901
2025-09-16,171.900000,172.860000,171.040000,172.570000,947329
2025-09-17,173.240000,175.810000,170.380000,171.450000,720378
2025-09-18,172.680000,174.370000,171.920000,172.800000,831426
2025-09-19,173.150000,173.560000,170.891000,171.340000,1492694
2025-09-22,170.350000,170.950000,169.520000,170.240000,855510
2025-09-23,171.340000,172.260000,168.490000,169.090000,1133243
2025-09-24,169.070000,169.750000,167.040000,167.290000,1205899
2025-09-25,166.080000,166.445000,163.700000,165.590000,1377885
2025-09-26,166.470000,168.250000,165.584300,167.990000,849620
2025-09-29,168.980000,169.009900,166.240000,166.640000,1303999
2025-09-30,166.420000,167.146600,164.620000,166.830000,1151326
2025-10-01,165.400000,167.480000,165.320000,166.400000,768659
2025-10-02,166.710000,168.180000,166.065000,166.750000,793393
2025-10-03,166.490000,168.320000,166.340000,166.610000,832597
2025-10-06,167.680000,167.750000,165.169000,166.520000,791333
2025-10-07,167.300000,167.340000,164.220000,164.590000,825533
2025-10-08,165.410000,166.000000,163.720000,164.750000,697286
2025-10-09,165.410000,165.450000,162.050000,162.300000,831239
2025-10-10,163.210000,164.060000,160.400000,161.450000,1681913
2025-10-13,163.850000,163.850000,161.160000,161.160000,1187243
2025-10-14,159.180000,163.670000,158.970000,162.550000,1094247
2025-10-15,164.800000,164.990000,161.275000,162.660000,1048131
2025-10-16,163.520000,166.370000,163.330000,166.130000,1945889
2025-10-17,165.350000,166.590000,164.725000,166.500000,2917455
2025-10-20,167.650000,169.350000,166.925000,168.920000,1165282
2025-10-21,168.290000,173.630000,168.290000,173.040000,1453265
2025-10-22,172.920000,173.575000,167.340000,167.610000,2069386
2025-10-23,172.520000,181.360000,170.000000,181.220000,2234517
2025-10-24,180.800000,180.800000,177.400000,177.430000,1575925
2025-10-27,179.410000,180.020000,177.290000,177.960000,1172302
2025-10-28,178.440000,179.920000,177.300000,179.710000,1125027
2025-10-29,180.180000,181.690000,179.435000,180.800000,1568122
2025-10-30,180.070000,185.395000,179.700000,180.140000,1223348
2025-10-31,179.100000,182.870000,179.100000,181.460000,1895614
2025-11-03,180.790000,180.790000,176.990000,178.160000,1122908
2025-11-04,177.250000,178.520000,176.400000,178.240000,696379
2025-11-05,177.580000,180.400000,177.200000,179.650000,647196
2025-11-06,180.490000,182.500000,177.300000,178.570000,801857
2025-11-07,178.240000,180.675000,176.912500,180.330000,869109
2025-11-10,181.560000,183.345000,180.550000,182.090000,937706
2025-11-11,182.545000,187.520000,182.095000,183.970000,1468274
2025-11-12,183.380000,185.880000,183.315000,183.620000,1244515
2025-11-13,182.990000,184.640000,181.580000,181.970000,1214311
2025-11-14,180.980000,184.285000,180.710000,183.120000,957774
2025-11-17,182.410000,182.870000,179.980000,180.050000,2147860
2025-11-18,179.540000,180.880000,178.770000,179.780000,1603363
2025-11-19,179.700000,181.350000,179.200000,179.640000,1171273
2025-11-20,181.930000,182.800000,177.865000,178.030000,1384013
2025-11-21,178.690000,184.310000,178.315000,183.580000,994232
2025-11-24,183.470000,184.005000,181.660000,183.040000,1192541
