d,o,h,l,c,v
2024-07-25,109.000000,110.020000,106.950000,107.560000,3165244
2024-07-26,107.800000,108.480000,107.410000,108.030000,2270522
2024-07-29,108.280000,109.200000,107.940000,108.680000,3445128
2024-07-30,108.120000,110.030000,107.895000,109.900000,2929982
2024-07-31,108.900000,109.750000,108.430000,109.270000,3946121
2024-08-01,109.770000,112.710000,109.270000,112.600000,3975502
2024-08-02,114.350000,116.670000,111.650000,113.920000,4606697
2024-08-05,114.110000,114.980000,111.010000,111.010000,4918669
2024-08-06,112.490000,114.200000,111.360000,112.920000,4289815
2024-08-07,113.220000,114.780000,112.630000,113.510000,4921524
2024-08-08,112.470000,113.960000,111.900000,112.430000,4716709
2024-08-09,112.950000,112.960000,111.130000,112.670000,2218742
2024-08-12,112.630000,113.420000,112.095000,113.370000,3058672
2024-08-13,113.350000,113.940000,112.770000,113.720000,2732952
2024-08-14,113.380000,114.540000,112.810000,113.460000,1979232
2024-08-15,112.930000,113.269000,112.400000,113.110000,2658325
2024-08-16,112.380000,112.650000,111.610000,112.300000,2642700
2024-08-19,112.280000,113.180000,112.250000,112.720000,1716210
2024-08-20,112.910000,113.410000,112.100000,112.380000,2822667
2024-08-21,112.370000,113.160000,112.255000,112.730000,2798787
2024-08-22,112.660000,112.680000,111.450000,112.120000,5459732
2024-08-23,112.250000,113.000000,111.900000,112.360000,2732539
2024-08-26,112.530000,113.630000,112.010000,113.010000,3038898
2024-08-27,112.770000,113.090000,111.775000,111.900000,2136530
2024-08-28,112.390000,113.640000,111.890000,112.700000,2429737
2024-08-29,112.700000,113.070000,111.850000,112.990000,2022057
2024-08-30,113.000000,114.080000,112.840000,113.950000,3022442
2024-09-03,114.000000,116.409900,113.910000,115.790000,3792664
2024-09-04,116.480000,117.930000,116.190000,117.060000,2795025
2024-09-05,117.770000,118.110000,116.320000,116.850000,2585878
2024-09-06,117.050000,117.330000,116.225000,116.600000,3482508
2024-09-09,116.930000,117.250000,115.940000,117.160000,2829822
2024-09-10,117.370000,118.180000,116.710000,116.930000,2594220
2024-09-11,116.380000,116.490000,115.340000,116.200000,3667419
2024-09-12,116.360000,116.825000,115.840000,115.970000,2390288
2024-09-13,116.240000,117.400000,115.740000,117.310000,2311011
2024-09-16,118.110000,118.310000,117.460000,117.700000,2212044
2024-09-17,117.550000,117.730000,116.315000,116.730000,2251567
2024-09-18,116.630000,117.175000,115.290000,115.880000,2265346
2024-09-19,115.090000,115.540000,113.950000,115.140000,3952341
2024-09-20,115.660000,116.670000,115.340000,116.370000,6277016
2024-09-23,116.860000,117.470000,116.460000,117.310000,2332581
2024-09-24,116.500000,117.765000,115.835000,115.980000,2925377
2024-09-25,116.600000,116.760000,115.374000,116.210000,3496737
2024-09-26,115.120000,116.320000,114.842100,115.170000,3425688
2024-09-27,115.500000,116.330000,114.830000,115.970000,3523061
