d,o,h,l,c,v
2025-08-01,261.770000,261.795000,259.350000,261.010000,893772
2025-08-04,261.060000,264.320000,259.610000,264.280000,716935
2025-08-05,265.000000,266.676200,263.020000,266.480000,1138914
2025-08-06,267.420000,269.000000,265.520100,268.790000,981282
2025-08-07,270.380000,271.999900,268.260000,269.770000,632627
2025-08-08,270.100000,273.800000,269.650000,272.870000,833184
2025-08-11,273.000000,274.000000,271.570000,273.500000,943629
2025-08-12,274.690000,276.660000,270.570000,276.620000,1209772
2025-08-13,277.775000,281.960000,277.160000,281.830000,1360572
2025-08-14,280.910000,281.000000,278.300000,279.980000,1191198
2025-08-15,280.580000,281.030000,277.820000,280.830000,1250289
2025-08-18,281.220000,282.670000,279.425000,280.080000,1428196
2025-08-19,280.310000,285.110000,280.310000,283.660000,1000159
2025-08-20,283.410000,286.040000,282.250000,285.470000,1118583
2025-08-21,283.890000,284.395000,282.230000,283.060000,1060363
2025-08-22,284.390000,286.040000,283.350000,283.730000,1149491
2025-08-25,283.200000,284.100000,278.070000,278.360000,1098262
2025-08-26,277.610000,279.375000,277.260000,279.220000,1817272
2025-08-27,279.070000,280.980000,278.285000,280.380000,959500
2025-08-28,279.730000,280.400000,277.450000,279.020000,852574
2025-08-29,279.050000,280.090100,276.575000,277.040000,925310
2025-09-02,275.260000,276.660000,274.280000,274.790000,988862
2025-09-03,274.380000,275.555000,271.810000,273.230000,1428961
2025-09-04,273.970000,275.346700,272.870000,274.940000,1526616
2025-09-05,276.350000,277.500000,272.960000,273.560000,1244000
2025-09-08,273.280000,275.620000,271.390000,275.350000,1595615
2025-09-09,273.820000,274.535000,270.380000,270.660000,1367462
2025-09-10,269.920000,271.620000,268.080000,269.090000,1373087
2025-09-11,269.220000,275.390000,268.720000,274.880000,930505
2025-09-12,272.810000,275.167500,272.450000,272.620000,1127128
2025-09-15,272.600000,273.730000,270.600000,270.610000,1119116
2025-09-16,269.440000,270.550000,263.775000,264.060000,1254886
2025-09-17,265.000000,268.000000,264.290100,265.360000,1338932
2025-09-18,264.680000,266.800000,264.240000,264.830000,2375973
2025-09-19,265.080000,266.420000,263.890000,265.480000,2441169
2025-09-22,264.980000,267.840000,263.490000,267.090000,1468059
2025-09-23,266.360000,268.000000,265.240000,265.810000,1254695
2025-09-24,265.630000,267.620000,265.150000,267.000000,1778713
2025-09-25,267.170000,269.150000,266.300000,267.250000,1593412
2025-09-26,268.360000,273.010000,266.750000,271.000000,1664784
2025-09-29,271.600000,273.420000,270.300000,272.910000,1885799
2025-09-30,273.050000,275.220000,272.520000,273.860000,1593743
2025-10-01,273.010000,273.850000,266.870000,269.710000,1411745
2025-10-02,269.610000,274.310000,268.490000,274.000000,1425662
2025-10-03,273.360000,278.570000,273.360000,276.590000,1054607
2025-10-06,277.740000,280.310000,276.000000,279.740000,949118
2025-10-07,279.970000,280.811400,277.930000,278.990000,1020823
2025-10-08,279.780000,282.200000,278.010000,281.350000,919283
2025-10-09,280.860000,281.280000,272.000000,272.540000,1139078
2025-10-10,274.000000,276.229900,271.760000,272.080000,1014330
2025-10-13,271.740000,272.550000,269.500000,270.220000,721265
2025-10-14,269.780000,274.330000,269.110000,273.030000,1234244
2025-10-15,272.670000,276.359900,271.380000,273.700000,813618
2025-10-16,273.940000,275.420000,268.790000,270.620000,1637259
2025-10-17,271.000000,276.890000,270.800000,276.750000,1881741
2025-10-20,277.300000,280.580000,276.791000,280.170000,1482723
2025-10-21,279.290000,280.910000,276.840000,278.190000,1563236
2025-10-22,277.590000,278.300000,275.120000,276.000000,1959895
2025-10-23,276.390000,277.290000,273.240000,275.020000,1691219
2025-10-24,276.640000,277.900000,274.670000,277.230000,1516565
2025-10-27,276.900000,280.340000,275.540000,279.710000,1715699
2025-10-28,276.900000,279.750000,265.157354,268.280000,2255478
2025-10-29,266.520000,267.040000,256.740000,257.470000,1582090
2025-10-30,255.340000,261.660000,255.160000,257.100000,1659646
2025-10-31,256.180000,259.315000,255.350000,256.400000,1519736
2025-11-03,259.000000,259.000000,251.740000,257.450000,1973751
2025-11-04,257.330000,259.050000,255.850000,258.660000,1625185
2025-11-05,259.610000,260.330000,255.204000,258.930000,1559953
2025-11-06,258.360000,260.390000,252.360000,253.060000,1732388
2025-11-07,252.820000,256.375000,252.170000,256.130000,1728320
2025-11-10,256.380000,259.080000,253.900000,258.560000,1294730
2025-11-11,259.810000,262.510000,258.240000,262.050000,899059
2025-11-12,262.150000,263.860000,260.190000,261.060000,1015557
2025-11-13,260.730000,263.980000,258.010000,261.980000,1354968
2025-11-14,260.750000,261.805000,258.005000,258.580000,883152
2025-11-17,258.000000,258.590000,255.100100,255.460000,994807
2025-11-18,254.120000,257.440000,251.750000,255.670000,1071583
2025-11-19,256.960000,261.620000,255.910000,261.500000,1965475
2025-11-20,261.930000,262.900000,260.965000,261.740000,1694487
2025-11-21,262.370000,268.670000,261.740000,267.070000,1914726
2025-11-24,267.450000,269.160000,265.890000,268.800000,2924937
2025-11-25,269.775000,275.140000,268.735000,273.460000,1744043
2025-11-26,273.180000,276.120000,272.420000,274.990000,1281392
2025-11-28,274.050000,276.620000,273.130000,275.160000,608706
