d,o,h,l,c,v
2024-07-25,96.450000,97.820000,95.500000,95.920000,1920793
2024-07-26,96.180000,97.020000,95.960000,96.440000,1438755
2024-07-29,96.630000,97.090000,95.995000,96.870000,1320213
2024-07-30,96.790000,98.380000,96.670000,98.160000,1127031
2024-07-31,98.240000,98.240000,97.050000,97.520000,1623371
2024-08-01,98.140000,100.260000,97.380000,100.210000,2409332
2024-08-02,103.150000,105.990000,100.060000,101.830000,4425804
2024-08-05,102.850000,103.380000,100.570000,100.700000,2846485
2024-08-06,100.700000,102.165000,100.700000,100.890000,1956382
2024-08-07,101.000000,102.220000,100.190000,101.190000,2139807
2024-08-08,100.630000,101.470000,100.110000,100.500000,1784635
2024-08-09,100.590000,101.130000,99.210000,101.020000,1512920
2024-08-12,100.735000,101.980000,100.501000,101.940000,1238505
2024-08-13,102.020000,102.630000,101.325000,101.600000,1505744
2024-08-14,100.310000,101.490000,99.880000,100.860000,1639219
2024-08-15,99.900000,100.470000,98.640000,99.230000,2757442
2024-08-16,99.500000,100.510000,98.975000,100.100000,1684765
2024-08-19,100.300000,100.674400,99.990000,100.410000,1837783
2024-08-20,100.520000,101.170000,100.060000,100.170000,1460744
2024-08-21,100.110000,100.780000,100.010000,100.420000,1922499
2024-08-22,100.320000,100.842400,100.000000,100.670000,1844957
2024-08-23,100.840000,101.090000,100.250000,100.600000,1620024
2024-08-26,100.930000,101.720000,100.680000,100.900000,1221535
2024-08-27,100.770000,101.250000,99.510000,99.590000,927271
2024-08-28,99.780000,101.100000,99.430000,100.390000,1019536
2024-08-29,100.290000,100.860000,99.450000,100.810000,1150898
2024-08-30,101.000000,101.830000,100.855000,101.560000,2366505
2024-09-03,101.740000,103.510000,101.550000,103.280000,2122586
2024-09-04,103.560000,104.940000,103.560000,104.400000,1501047
2024-09-05,105.000000,105.290000,103.480000,103.790000,1538696
2024-09-06,104.150000,104.380000,103.210000,103.280000,1760628
2024-09-09,103.390000,104.820000,103.350000,104.750000,1672940
2024-09-10,104.880000,105.620000,104.380000,104.970000,1271138
2024-09-11,104.530000,104.745000,103.030000,103.820000,2685901
2024-09-12,103.710000,104.575000,103.250000,103.390000,1528602
2024-09-13,103.590000,104.740000,103.210000,104.560000,1274726
2024-09-16,105.040000,105.820000,104.760000,104.850000,1467923
2024-09-17,104.520000,105.290000,104.000000,104.540000,1391024
2024-09-18,104.380000,104.880000,102.550000,103.410000,1347037
2024-09-19,101.490000,102.425000,100.950000,102.120000,1761679
2024-09-20,102.230000,103.565000,101.980100,103.350000,3492651
2024-09-23,103.680000,104.440000,103.290000,104.020000,1053579
2024-09-24,103.210000,104.260000,102.700000,102.820000,1063139
2024-09-25,103.250000,103.440000,102.270000,103.160000,1151089
2024-09-26,102.410000,103.980000,102.260000,103.120000,1391590
2024-09-27,103.470000,104.590000,103.410000,104.050000,1366877
2024-09-30,104.430000,104.430000,103.145000,104.130000,1449539
2024-10-01,104.250000,105.590000,103.560000,105.150000,1834563
2024-10-02,104.320000,104.865000,103.950200,104.450000,996739
2024-10-03,104.810000,104.810000,103.580000,104.020000,952060
2024-10-04,102.790000,103.340000,102.270000,103.150000,952852
2024-10-07,102.700000,102.700000,100.940000,101.140000,1967334
2024-10-08,101.670000,102.940000,101.260000,102.110000,1328778
