d,o,h,l,c,v
2025-08-01,334.800000,341.960000,327.990000,331.340000,318747
2025-08-04,332.360000,333.395000,325.000000,326.040000,506209
2025-08-05,328.900000,330.540000,325.150000,327.920000,420453
2025-08-06,330.140000,331.795000,325.730000,328.490000,326923
2025-08-07,329.340000,330.120000,325.631300,328.150000,262992
2025-08-08,330.000000,332.560000,328.295000,329.800000,245615
2025-08-11,329.500000,330.620000,328.360000,330.400000,227571
2025-08-12,331.690000,332.225000,326.485000,328.210000,281131
2025-08-13,328.540000,336.950000,328.540000,336.760000,314283
2025-08-14,336.010000,337.870000,334.680000,337.120000,260821
2025-08-15,338.590000,338.750000,330.870000,331.840000,355989
2025-08-18,330.910000,333.689900,330.000000,331.970000,176393
2025-08-19,333.280000,338.080000,332.620000,337.790000,193011
2025-08-20,338.270000,344.600000,338.270000,343.520000,305195
2025-08-21,344.000000,349.240000,344.000000,348.060000,384958
2025-08-22,350.880000,352.755000,343.230000,343.940000,260302
2025-08-25,342.700000,343.505000,340.355000,341.320000,202524
2025-08-26,340.220000,341.610000,337.810000,338.720000,278661
2025-08-27,339.310000,345.748000,337.525000,343.340000,252107
2025-08-28,342.710000,344.022700,338.510000,339.880000,224643
2025-08-29,341.310000,344.810000,341.310000,341.880000,220932
2025-09-02,341.520000,346.000000,339.930000,345.350000,445446
2025-09-03,342.000000,349.740000,341.100000,348.530000,507950
2025-09-04,350.000000,351.755000,344.930000,345.260000,341569
2025-09-05,343.600000,345.265000,339.390000,340.000000,195439
2025-09-08,338.790000,340.295000,334.650000,339.580000,298620
2025-09-09,339.760000,341.820000,338.850000,340.610000,332388
2025-09-10,338.940000,341.300000,335.895000,340.030000,273997
2025-09-11,340.930000,349.150000,338.500000,348.440000,320445
2025-09-12,349.510000,352.450000,347.660000,349.370000,487609
2025-09-15,348.500000,353.469900,339.610000,339.840000,317776
2025-09-16,334.770000,336.855000,327.350000,330.630000,386384
2025-09-17,331.280000,338.770000,330.000000,333.650000,396961
2025-09-18,333.030000,336.154000,332.500000,334.750000,332183
2025-09-19,335.760000,337.010000,332.270000,335.380000,1062746
2025-09-22,333.000000,336.075000,332.650000,334.830000,295549
2025-09-23,336.720000,340.320000,334.682610,337.930000,302255
2025-09-24,337.870000,346.720000,333.890000,345.540000,428187
