d,o,h,l,c,v
2024-07-25,125.460000,128.060000,125.300000,127.040000,2258392
2024-07-26,126.800000,127.770000,125.510000,127.150000,2214477
2024-07-29,127.500000,127.980000,123.865000,125.180000,2343632
2024-07-30,125.110000,126.810000,125.110000,126.150000,2306456
2024-07-31,128.150000,128.570000,126.460000,126.800000,3197296
2024-08-01,127.120000,128.010000,122.590000,123.110000,3083613
2024-08-02,124.680000,126.040000,119.999900,122.920000,6668943
2024-08-05,120.590000,124.449000,119.780000,123.120000,5001733
2024-08-06,122.470000,124.275000,122.160000,122.270000,3807686
2024-08-07,124.110000,125.380000,122.930000,123.120000,2726898
2024-08-08,123.440000,126.940000,123.440000,126.790000,2667216
2024-08-09,126.800000,127.155000,125.303400,126.530000,3070708
2024-08-12,127.200000,128.830000,126.930000,128.770000,2931832
2024-08-13,127.380000,127.800000,126.000000,126.360000,2975935
2024-08-14,126.610000,127.100000,125.880000,126.540000,2025730
2024-08-15,126.570000,128.420000,126.470000,128.120000,2037756
2024-08-16,127.610000,128.430000,127.310000,128.060000,2340017
2024-08-19,128.070000,129.810000,127.850000,128.240000,1985302
2024-08-20,128.290000,128.560000,124.650000,125.250000,2867506
2024-08-21,126.230000,126.860000,124.925000,124.980000,2668768
2024-08-22,125.000000,126.430000,124.950000,125.220000,2216267
2024-08-23,126.250000,127.265000,125.499300,126.900000,1995815
2024-08-26,129.500000,131.180000,128.840000,130.060000,2269970
2024-08-27,130.490000,130.850000,128.335000,128.560000,2151028
2024-08-28,127.590000,129.260000,127.168700,128.720000,1726245
2024-08-29,129.370000,130.540000,129.100000,129.980000,3152084
2024-08-30,128.430000,129.310000,127.600000,128.820000,2820225
2024-09-03,127.030000,127.270000,123.570000,123.630000,3830834
2024-09-04,123.990000,125.320000,122.450100,122.780000,2732426
2024-09-05,123.670000,123.805000,121.030000,121.550000,3124920
2024-09-06,122.000000,122.460000,119.925000,120.350000,3144135
2024-09-09,120.860000,121.570000,120.480000,120.500000,4999424
2024-09-10,120.430000,120.810000,117.962000,118.970000,3929120
2024-09-11,118.585000,118.950000,115.780000,117.900000,3419083
2024-09-12,117.500000,118.660000,116.580000,118.220000,4709239
2024-09-13,118.610000,120.050000,118.500000,119.370000,4428290
2024-09-16,121.230000,121.760000,120.210000,121.670000,4484767
2024-09-17,121.590000,123.330000,121.420000,123.190000,4010156
2024-09-18,122.610000,125.160000,122.530000,124.380000,3965943
2024-09-19,126.670000,126.820000,124.755000,125.200000,4358224
2024-09-20,125.050000,126.155000,123.950000,126.030000,9400839
2024-09-23,125.710000,128.460000,125.250000,127.730000,3174956
2024-09-24,129.400000,129.730000,127.190000,127.900000,2110299
2024-09-25,127.470000,127.980000,124.460000,124.560000,3031887
2024-09-26,121.780000,123.000000,119.895000,120.370000,4907385
2024-09-27,121.200000,122.660000,120.760000,122.440000,3273020
2024-09-30,122.280000,123.650000,121.475000,122.930000,3566661
2024-10-01,120.810000,127.250000,120.550000,126.960000,3539894
2024-10-02,129.210000,129.350000,126.530000,128.330000,2636674
2024-10-03,128.660000,131.045000,127.570000,130.790000,2606333
2024-10-04,132.000000,133.260000,131.030000,133.120000,2720440
2024-10-07,133.250000,135.500000,133.120000,134.240000,2887667
2024-10-08,132.500000,132.590000,129.330000,130.370000,2566524
2024-10-09,130.380000,131.350000,129.430000,130.960000,2233884
2024-10-10,131.870000,132.610000,130.340000,132.190000,1637397
2024-10-11,131.680000,133.575000,131.560000,132.450000,1460830
2024-10-14,131.370000,132.060000,130.810000,131.470000,1702098
2024-10-15,127.930000,128.845000,126.780000,127.280000,2949248
2024-10-16,127.370000,127.990000,126.980000,127.360000,1939414
2024-10-17,126.840000,127.585000,126.190000,127.040000,2975622
2024-10-18,126.670000,127.000000,125.455000,126.620000,2990804
2024-10-21,127.850000,128.110000,125.570000,125.710000,2403001
2024-10-22,126.240000,126.520000,124.980000,125.070000,1709488
2024-10-23,124.900000,125.155000,123.730000,124.730000,1639690
2024-10-24,125.180000,125.490000,123.630000,124.440000,1927854
2024-10-25,125.280000,125.735000,122.580000,123.170000,3050759
2024-10-28,119.750000,122.640000,119.364600,122.070000,2390494
2024-10-29,122.070000,122.080000,120.310000,120.490000,2207256
2024-10-30,121.470000,121.470000,120.350000,120.520000,2467068
2024-10-31,121.530000,122.570000,120.560000,121.960000,2999232
2024-11-01,122.840000,122.974500,120.340000,120.840000,2256118
2024-11-04,122.030000,123.450000,121.510000,122.930000,1702083
2024-11-05,123.230000,123.540400,121.510000,122.110000,3282306
2024-11-06,125.560000,128.740000,124.710000,127.200000,3516659
2024-11-07,127.200000,127.600000,124.870000,126.460000,2309345
2024-11-08,131.635000,134.980000,128.200000,134.120000,5335478
2024-11-11,133.480000,135.090000,132.390000,133.100000,2987686
2024-11-12,133.100000,133.820000,132.710000,133.130000,2757713
2024-11-13,134.040000,134.755000,132.060000,134.350000,3578916
2024-11-14,135.000000,135.400000,133.255100,135.190000,2545833
2024-11-15,135.010000,136.850000,134.050000,134.560000,2279909
2024-11-18,136.320000,137.210000,135.110000,136.540000,3060757
2024-11-19,135.330000,136.760000,134.840000,135.180000,2903442
2024-11-20,134.680000,136.460000,134.655000,136.230000,2063051
2024-11-21,136.920000,137.720000,135.190000,135.500000,2875444
2024-11-22,135.000000,136.840000,134.840000,136.350000,2545809
2024-11-25,136.390000,137.200000,131.700000,131.980000,5440294
2024-11-26,132.290000,133.080000,131.105000,132.540000,3129891
2024-11-27,132.750000,134.610000,132.740000,133.090000,2004145
2024-11-29,133.500000,134.670000,132.530000,133.260000,1837737
2024-12-02,133.500000,133.715000,130.240000,131.240000,2835137
2024-12-03,132.380000,132.690000,130.220000,131.800000,2362149
2024-12-04,131.640000,131.890000,128.380000,129.530000,3222456
2024-12-05,129.880000,131.850000,129.638500,130.020000,2623872
2024-12-06,129.110000,129.740000,126.310000,127.810000,2928012
2024-12-09,129.290000,129.550000,127.630000,127.850000,3046982
2024-12-10,128.780000,129.360000,126.000000,126.610000,3440491
2024-12-11,126.650000,128.110000,126.090000,127.560000,5778576
2024-12-12,127.450000,127.580000,126.325000,126.570000,2169587
2024-12-13,126.580000,127.210000,125.320000,126.770000,1878838
2024-12-16,126.200000,126.880000,124.190000,124.620000,2898651
2024-12-17,123.940000,124.845000,121.765000,123.150000,3820108
2024-12-18,123.150000,123.780000,119.540000,119.630000,4507103
2024-12-19,120.690000,121.075000,118.130000,118.220000,3589764
2024-12-20,117.620000,119.920000,117.510000,119.040000,10044350
2024-12-23,118.660000,120.240000,118.090000,119.850000,2554632
2024-12-24,120.160000,120.980000,119.100000,120.830000,1325818
2024-12-26,120.900000,120.980000,120.190000,120.410000,2104006
2024-12-27,120.100000,121.720000,119.840000,120.400000,2048392
2024-12-30,120.710000,121.320000,119.480000,120.580000,3197082
2024-12-31,120.890000,122.820000,120.550000,122.580000,3302510
2025-01-02,124.000000,125.610000,123.550000,124.710000,2920565
2025-01-03,125.620000,126.938800,125.220000,126.570000,3012049
