d,o,h,l,c,v
2025-08-01,66.580000,66.580000,65.220000,65.550000,2841173
2025-08-04,65.750000,66.700000,65.750000,66.460000,2027823
2025-08-05,66.620000,67.090000,65.690000,65.880000,1606903
2025-08-06,66.490000,66.490000,65.430000,65.430000,1982681
2025-08-07,65.820000,66.260000,65.707500,65.930000,1692799
2025-08-08,65.990000,66.265000,64.590000,65.040000,2162691
2025-08-11,65.440000,65.730000,65.125000,65.690000,2163356
2025-08-12,65.690000,65.850000,65.115000,65.820000,1784092
2025-08-13,65.820000,66.310000,65.505000,66.300000,1432315
2025-08-14,65.970000,66.230000,65.470000,65.510000,2176864
2025-08-15,65.760000,65.810000,65.200000,65.530000,2313961
2025-08-18,65.680000,65.825000,64.385000,64.540000,1924378
2025-08-19,64.600000,65.730000,64.600000,65.710000,1375949
2025-08-20,66.200000,67.150000,65.650000,65.710000,1853013
2025-08-21,65.640000,65.970000,65.300000,65.420000,1456422
2025-08-22,65.900000,66.610000,65.700000,66.530000,1528820
2025-08-25,63.500000,64.220000,61.530000,63.390000,6013482
2025-08-26,63.370000,64.290000,63.280000,64.110000,5334728
2025-08-27,64.560000,64.970000,64.190000,64.800000,2512687
2025-08-28,64.720000,64.910000,64.090000,64.300000,1886896
2025-08-29,64.300000,64.750000,63.955000,64.070000,1740724
2025-09-02,63.750000,64.140000,63.020000,63.700000,1780311
2025-09-03,63.240000,63.620000,62.975000,63.300000,1944658
2025-09-04,63.750000,63.805000,62.770000,63.420000,2336856
2025-09-05,63.570000,63.773800,62.950000,63.530000,1653359
2025-09-08,63.470000,63.720000,62.450000,62.860000,2591023
2025-09-09,62.870000,64.500000,62.630000,63.880000,3149343
2025-09-10,64.015000,64.235000,63.535000,64.010000,3130291
2025-09-11,64.010000,65.095000,63.570000,65.050000,2725542
2025-09-12,64.790000,65.835000,64.600000,65.700000,2169037
2025-09-15,65.800000,66.240000,65.390000,65.520000,2869694
2025-09-16,65.390000,65.450000,63.360000,63.420000,2994706
2025-09-17,63.960000,64.180000,63.230000,63.300000,2604107
2025-09-18,63.000000,64.150000,62.890000,63.880000,3176749
2025-09-19,64.405000,69.470000,63.690000,67.000000,13698208
2025-09-22,66.000000,68.610000,65.400000,67.660000,6796760
2025-09-23,67.600000,69.470000,67.435000,69.420000,3831174
2025-09-24,69.440000,69.640000,68.880000,69.100000,3835422
2025-09-25,68.710000,69.520000,68.430000,68.500000,3175517
2025-09-26,68.830000,69.970000,68.590000,69.770000,3139238
2025-09-29,69.850000,70.645000,69.470000,70.530000,2462548
2025-09-30,70.520000,71.170000,70.060000,71.140000,2599164
2025-10-01,71.620000,71.990000,71.170000,71.600000,3625043
2025-10-02,71.060000,71.960000,71.020000,71.790000,2994272
2025-10-03,72.000000,73.480000,71.860100,72.530000,2659160
2025-10-06,72.820000,73.170000,72.495000,72.700000,2719549
2025-10-07,72.910000,73.070000,72.010000,72.840000,3379917
2025-10-08,73.130000,74.455000,72.640000,73.490000,2916598
2025-10-09,73.500000,73.510000,72.330000,72.390000,1770997
2025-10-10,72.740000,72.820000,71.920000,72.350000,1459101
2025-10-13,71.550000,72.080000,70.595000,70.970000,2970784
2025-10-14,70.800000,71.300000,70.335000,70.590000,2986805
2025-10-15,71.100000,72.480000,70.710000,72.240000,2094346
2025-10-16,72.140000,72.670000,71.190000,71.360000,2116204
2025-10-17,71.900000,72.570000,71.520000,72.560000,2843508
2025-10-20,73.050000,73.360000,72.140000,72.850000,2344437
2025-10-21,74.140000,74.190000,72.910000,73.210000,2544329
2025-10-22,73.210000,73.545000,72.650000,73.120000,2771786
2025-10-23,73.430000,74.020000,73.000000,73.890000,2336239
2025-10-24,73.890000,75.050000,73.695000,74.670000,1807266
2025-10-27,74.170000,74.780000,73.730000,74.710000,1680519
2025-10-28,75.090000,75.250000,73.380000,74.880000,2287380
2025-10-29,74.570000,74.715000,73.370000,73.810000,1960839
2025-10-30,73.500000,74.290000,73.380000,73.800000,2358872
2025-10-31,73.510000,74.340000,72.740000,73.810000,3103669
2025-11-03,73.370000,74.630000,72.310000,74.360000,2638601
2025-11-04,74.910000,74.910000,73.580000,73.820000,3406584
2025-11-05,73.990000,74.290000,72.070000,72.910000,3167833
2025-11-06,71.760000,73.110000,71.150000,71.540000,2716777
2025-11-07,71.860000,73.145000,71.770000,73.040000,2701725
2025-11-10,72.900000,73.050000,71.605000,72.510000,2778781
2025-11-11,72.910000,73.480000,72.380000,73.330000,2591681
2025-11-12,73.480000,73.715000,72.820000,73.610000,2047350
2025-11-13,73.470000,74.216000,73.130000,73.690000,2142199
2025-11-14,73.410000,74.250000,73.260000,73.300000,2526778
2025-11-17,73.630000,74.240000,73.440000,74.030000,1805039
2025-11-18,74.340000,74.670000,73.960000,74.540000,2710230
2025-11-19,70.410000,71.540000,64.840000,65.260000,10405059
2025-11-20,65.360000,65.880000,63.445000,63.550000,5818663
2025-11-21,64.000000,65.070000,63.550000,64.550000,4206114
2025-11-24,65.500000,65.840000,64.800000,65.680000,4035267
2025-11-25,65.890000,66.150000,65.340000,65.940000,2356522
2025-11-26,66.170000,66.780000,65.975000,66.700000,1543980
2025-11-28,66.510000,67.330000,66.490000,67.180000,823278
2025-12-01,66.750000,67.430000,66.010000,66.550000,2547901
2025-12-02,66.890000,66.995000,66.000000,66.310000,1838528
2025-12-03,66.510000,67.040000,65.780000,65.970000,1854594
2025-12-04,65.770000,67.070000,65.370000,67.060000,3493201
2025-12-05,67.060000,67.470000,66.370000,66.740000,2980012
2025-12-08,66.900000,67.520000,66.300000,66.700000,2668616
2025-12-09,67.320000,68.370000,67.200000,67.830000,3520965
2025-12-10,67.810000,67.955000,67.060000,67.630000,2505033
2025-12-11,67.830000,68.840000,67.370000,67.500000,1591837
