d,o,h,l,c,v
2024-07-25,298.730000,300.279700,286.870000,292.880000,5569843
2024-07-26,300.880000,301.930000,296.420000,297.790000,3090006
2024-07-29,298.600000,300.390000,294.560000,296.610000,2522754
2024-07-30,297.560000,302.525000,285.480000,287.240000,4777209
2024-07-31,306.190000,310.870000,301.370000,304.790000,5108315
2024-08-01,290.040000,304.290000,288.000000,297.880000,5433440
2024-08-02,290.000000,290.635000,276.010000,280.260000,4528035
2024-08-05,255.650000,277.020000,255.650000,272.520000,4621225
2024-08-06,274.650000,282.030000,274.650000,277.650000,3305013
2024-08-07,285.000000,288.100000,276.800000,277.680000,2857003
2024-08-08,282.050000,288.060000,278.110000,287.480000,3888078
2024-08-09,286.860000,292.170000,285.700000,291.640000,2190467
2024-08-12,291.120000,293.450000,285.530000,288.430000,1840524
2024-08-13,292.200000,295.820000,288.275000,295.390000,2256868
2024-08-14,296.010000,300.050000,294.430000,298.300000,1975115
2024-08-15,302.120000,304.770000,298.040000,302.460000,2316626
2024-08-16,302.070000,302.530000,293.380000,296.680000,2768158
2024-08-19,297.190000,298.425000,293.190000,297.050000,1572554
2024-08-20,297.920000,299.640000,294.580000,296.240000,1432364
2024-08-21,296.450000,301.650000,296.170000,299.690000,1400589
2024-08-22,300.460000,303.400000,296.700000,297.690000,2035768
2024-08-23,300.000000,302.000000,297.780000,300.000000,1950652
2024-08-26,300.280000,301.750000,296.000000,296.910000,1579599
2024-08-27,295.000000,299.860000,292.400000,296.030000,1711691
2024-08-28,296.820000,297.490000,292.230000,293.600000,2109259
2024-08-29,296.230000,307.450000,295.135000,301.090000,2426552
2024-08-30,301.490000,307.650000,300.125000,306.930000,2320225
2024-09-03,304.170000,304.810000,289.470000,289.730000,3058943
2024-09-04,288.200000,292.790000,286.620000,288.770000,2098551
2024-09-05,287.450000,289.230000,282.560000,285.720000,1930617
2024-09-06,288.620000,292.200000,281.340000,284.970000,2163854
2024-09-09,289.210000,292.100000,287.620000,289.380000,1755977
2024-09-10,291.230000,291.900000,284.455000,288.300000,1531238
2024-09-11,289.500000,297.680000,284.550000,297.140000,2389508
2024-09-12,296.850000,304.465000,294.840000,303.380000,2795517
2024-09-13,305.820000,310.465000,303.670000,305.800000,2022750
2024-09-16,306.000000,306.980000,301.475000,306.550000,1536281
2024-09-17,308.480000,312.420000,304.650000,311.730000,2117229
2024-09-18,313.560000,321.150000,313.550000,314.650000,2931122
2024-09-19,323.750000,329.780000,319.895000,328.920000,3155948
2024-09-20,326.680000,331.420000,326.000000,330.600000,3632004
2024-09-23,331.890000,333.290000,329.410000,329.790000,1789159
2024-09-24,329.710000,330.230000,326.300000,327.390000,1964444
2024-09-25,328.310000,330.860000,327.390000,328.550000,1599254
2024-09-26,333.170000,336.300000,329.340000,333.020000,2614415
2024-09-27,333.110000,333.910000,326.650000,328.450000,2061305
2024-09-30,326.690000,331.695000,324.690000,331.440000,2789534
2024-10-01,331.030000,331.430000,325.064000,327.580000,1000912
2024-10-02,326.000000,329.874200,325.710000,327.990000,1150597
2024-10-03,327.340000,328.450000,324.420000,326.960000,960609
2024-10-04,331.900000,333.310000,328.250000,333.050000,1129522
2024-10-07,330.830000,335.317300,330.190000,334.630000,1466035
2024-10-08,336.500000,337.750000,333.030000,335.580000,1136568
2024-10-09,335.480000,338.860000,334.720000,338.250000,1103603
2024-10-10,335.400000,337.830000,332.690000,336.940000,1281000
2024-10-11,337.000000,341.980000,335.900000,341.390000,1162053
2024-10-14,343.000000,345.940000,341.570000,345.610000,883813
2024-10-15,346.460000,347.345000,337.470000,338.040000,1861846
2024-10-16,338.950000,341.376900,337.805000,341.100000,839924
2024-10-17,345.000000,349.740000,340.890000,348.490000,1715390
2024-10-18,349.560000,349.700000,345.268000,348.180000,1173441
2024-10-21,348.000000,348.730000,345.250000,347.070000,1068596
2024-10-22,343.890000,345.260000,340.820100,343.550000,1321849
2024-10-23,341.000000,345.720000,340.310000,344.960000,1975539
2024-10-24,345.000000,346.675000,340.510000,345.290000,1407032
2024-10-25,347.070000,348.559900,342.900000,344.490000,1176378
2024-10-28,347.950000,348.620000,345.110000,345.510000,2177769
2024-10-29,342.790000,347.420000,337.860000,345.550000,1843295
2024-10-30,344.650000,346.690000,340.855000,342.810000,2258197
2024-10-31,325.000000,333.940000,321.390000,331.580000,3870587
2024-11-01,335.950000,337.020000,329.650000,335.000000,2369253
2024-11-04,332.500000,335.510000,330.810000,331.130000,1943287
2024-11-05,331.870000,338.219900,331.820000,337.480000,1777267
2024-11-06,355.000000,366.080000,352.055000,359.180000,4020018
2024-11-07,360.000000,363.140000,357.925000,360.560000,2739661
2024-11-08,362.030000,369.290000,361.300000,366.670000,2390618
2024-11-11,371.780000,373.390000,368.648700,371.950000,1736388
2024-11-12,371.610000,373.489900,365.670000,368.990000,2265446
2024-11-13,369.740000,372.679900,369.010000,369.660000,1437557
2024-11-14,369.500000,371.120000,361.010000,361.860000,1816907
2024-11-15,358.120000,361.220000,355.376100,358.990000,2232026
2024-11-18,359.590000,361.230000,356.540000,357.830000,1611926
2024-11-19,355.000000,365.030000,353.420500,363.690000,1868105
2024-11-20,365.190000,367.495000,358.550000,360.460000,1464024
2024-11-21,364.490000,373.390000,362.450000,370.950000,1632179
2024-11-22,372.500000,378.000000,371.610000,377.410000,2407242
2024-11-25,378.000000,379.120000,372.140000,376.680000,3559546
2024-11-26,378.500000,379.990000,375.165000,377.290000,2096156
2024-11-27,375.500000,377.560000,371.010000,371.980000,1117291
2024-11-29,374.970000,378.450000,373.520000,375.420000,991652
2024-12-02,377.860000,378.785000,371.920000,372.220000,1131183
2024-12-03,372.290000,375.440000,368.620100,373.750000,1303407
2024-12-04,375.270000,378.470000,375.020000,377.520000,1479767
2024-12-05,377.520000,377.820000,370.000000,371.050000,1624982
2024-12-06,371.740000,373.280000,369.245000,371.220000,1479208
2024-12-09,371.440000,373.000000,358.330000,364.060000,2338584
2024-12-10,363.540000,364.020000,357.950000,358.490000,1891125
2024-12-11,364.410000,365.000000,353.330000,361.910000,2440767
2024-12-12,361.930000,363.060000,358.075000,358.640000,1223582
2024-12-13,359.760000,360.820000,355.890000,356.010000,1165048
2024-12-16,355.750000,357.500000,353.540000,355.150000,1506252
2024-12-17,351.380000,351.550000,344.670000,347.080000,2562618
2024-12-18,349.000000,349.590000,334.715000,335.120000,2491734
2024-12-19,339.900000,340.100000,334.330000,335.640000,2667771
2024-12-20,333.280000,342.009900,332.120000,338.120000,4862574
2024-12-23,337.130000,338.520000,334.200000,337.710000,1704697
2024-12-24,338.680000,341.690000,337.200000,341.540000,507543
2024-12-26,340.850000,341.830000,338.750000,340.160000,1196501
2024-12-27,336.820000,338.850000,331.280100,334.630000,1601675
2024-12-30,329.140000,334.070000,327.540000,332.380000,1400317
2024-12-31,332.250000,333.980000,331.260000,331.870000,1134724
2025-01-02,334.680000,337.910000,330.240000,331.960000,1598360
2025-01-03,333.950000,343.450000,333.650000,342.580000,2570710
2025-01-06,348.000000,353.400000,346.677500,348.560000,3157327
2025-01-07,348.350000,349.480000,341.140000,343.910000,2350389
2025-01-08,341.670000,345.675000,338.000000,345.110000,2020623
2025-01-10,342.890000,343.960000,337.970000,341.450000,1828000
2025-01-13,333.880000,343.040000,333.880000,340.880000,2523436
2025-01-14,344.740000,347.235000,339.000000,340.140000,3018993
2025-01-15,346.910000,349.690000,340.710000,342.580000,3434228
2025-01-16,346.760000,347.779900,342.700000,345.190000,2424582
2025-01-17,348.290000,349.470000,345.750000,346.280000,2454295
2025-01-21,351.400000,357.670000,350.475000,357.630000,3575205
2025-01-22,372.270000,377.925000,365.000000,371.230000,3521657
2025-01-23,367.140000,372.300000,363.220000,369.690000,1962036
2025-01-24,377.120000,378.000000,367.160000,368.980000,1970917
2025-01-27,329.490000,329.760000,306.150000,311.550000,10210645
2025-01-28,311.760000,313.660000,298.290000,312.670000,8863757
