d,o,h,l,c,v
2025-08-01,90.070000,90.435000,89.100000,89.670000,2658503
2025-08-04,90.150000,91.895000,90.090000,91.620000,3509774
2025-08-05,91.740000,92.400000,89.895000,90.400000,3800609
2025-08-06,90.300000,91.465000,89.910000,90.280000,2678062
2025-08-07,90.000000,90.835000,89.920000,90.530000,2131647
2025-08-08,90.750000,91.240000,90.050000,90.470000,1627491
2025-08-11,90.010000,90.470000,89.120000,90.090000,1916404
2025-08-12,90.230000,90.930000,88.860000,90.890000,2399072
2025-08-13,90.650000,91.000000,89.770000,90.980000,1789884
2025-08-14,90.700000,91.000000,90.250000,90.290000,2461067
2025-08-15,90.510000,90.510000,88.620000,89.120000,4104872
2025-08-18,89.050000,89.380000,87.565000,87.850000,1915340
2025-08-19,87.980000,88.840000,87.850000,88.810000,2805852
2025-08-20,89.070000,90.350000,88.900000,89.830000,2621017
2025-08-21,89.800000,90.070000,88.575000,89.220000,1459567
2025-08-22,89.820000,90.270000,88.840000,89.330000,2029223
2025-08-25,89.030000,89.700000,89.000000,89.170000,1539983
2025-08-26,89.260000,89.860000,88.640000,89.590000,3385569
2025-08-27,89.540000,90.000000,88.840000,89.550000,1632425
2025-08-28,89.300000,89.690000,87.850000,88.130000,5441294
2025-08-29,88.260000,88.690000,87.860000,88.090000,1705187
2025-09-02,87.630000,88.070000,86.890000,87.410000,1727822
2025-09-03,87.040000,87.640000,86.710000,87.200000,1626600
2025-09-04,88.780000,89.600000,87.447500,88.180000,3500036
2025-09-05,88.320000,88.560000,86.810000,87.750000,1952050
2025-09-08,87.690000,88.000000,86.400000,86.830000,3264579
2025-09-09,86.700000,87.470000,86.490000,87.010000,1936790
2025-09-10,86.900000,88.520000,86.900000,88.440000,2756716
2025-09-11,88.650000,89.935000,88.370000,89.860000,2366055
2025-09-12,89.730000,90.740000,89.730000,90.290000,2082860
2025-09-15,90.170000,90.700000,89.990000,90.190000,2062310
2025-09-16,90.190000,90.460000,88.170000,88.260000,1967594
2025-09-17,88.450000,88.850000,87.925000,88.180000,2936827
2025-09-18,87.900000,88.570000,87.375000,87.830000,2464917
2025-09-19,88.520000,89.280000,87.690000,88.670000,4786668
2025-09-22,88.660000,89.410000,88.060000,89.240000,2325214
2025-09-23,89.250000,90.980000,88.900000,90.850000,2134538
2025-09-24,91.430000,91.740000,90.725000,91.590000,2524549
2025-09-25,91.250000,91.670000,90.205000,90.330000,2869679
2025-09-26,90.820000,92.285000,90.480000,92.250000,2671242
2025-09-29,92.450000,93.810000,91.900000,93.550000,3821772
2025-09-30,93.650000,93.920000,91.650000,93.190000,3040874
2025-10-01,93.230000,94.305000,93.015000,93.400000,2398481
2025-10-02,93.200000,94.070000,92.350000,93.570000,2708988
2025-10-03,95.910000,96.610000,94.260000,95.390000,3714218
2025-10-06,95.600000,98.580000,95.600000,97.480000,4137291
2025-10-07,97.640000,97.760000,95.210000,95.980000,3571130
2025-10-08,96.560000,97.400000,95.880000,96.660000,2858996
2025-10-09,97.280000,97.610000,95.460000,95.620000,2244590
2025-10-10,95.940000,97.400000,95.000000,95.260000,3743792
2025-10-13,95.450000,96.530000,95.340000,95.720000,2186439
2025-10-14,95.550000,97.290000,95.310000,96.660000,2648389
