d,o,h,l,c,v
2024-07-25,198.400000,202.190000,197.520000,199.800000,1067805
2024-07-26,199.520000,201.320000,197.730000,200.760000,775693
2024-07-29,201.600000,202.280000,196.490000,198.270000,853158
2024-07-30,198.500000,200.440000,197.301700,198.080000,1525135
2024-07-31,203.020000,203.980000,198.980000,202.310000,1245758
2024-08-01,201.340000,203.760000,195.860000,198.220000,1524961
2024-08-02,195.000000,195.570000,185.980000,189.060000,1999255
2024-08-05,184.130000,186.880000,179.610000,185.180000,2421897
2024-08-06,192.380000,194.835000,187.000000,189.700000,1953133
2024-08-07,193.610000,196.660000,191.110000,191.380000,1455032
2024-08-08,191.000000,199.160000,191.000000,197.490000,1319677
2024-08-09,197.090000,201.710000,195.560000,199.770000,1289255
2024-08-12,200.690000,202.870000,199.570000,201.290000,1114677
2024-08-13,198.770000,199.240000,195.570000,196.140000,1783165
2024-08-14,196.150000,196.930000,195.160000,196.450000,1066714
2024-08-15,194.790000,197.820000,194.480000,196.580000,1220248
2024-08-16,193.890000,196.200000,193.490000,194.820000,1163869
2024-08-19,195.680000,198.510000,195.250000,195.840000,1189694
2024-08-20,195.690000,195.690000,189.560000,189.750000,1114638
2024-08-21,191.940000,192.980000,189.860000,191.120000,1105547
2024-08-22,191.500000,193.440000,190.790000,191.730000,893455
2024-08-23,193.080000,195.910000,192.925000,195.220000,755483
2024-08-26,197.650000,199.255100,194.430000,197.280000,1127154
2024-08-27,197.150000,197.900000,193.879400,194.710000,876665
2024-08-28,193.450000,195.470000,193.090000,194.570000,698852
2024-08-29,197.090000,198.630000,194.420000,196.790000,1054795
2024-08-30,194.250000,195.600000,192.760000,195.110000,1811934
2024-09-03,191.425000,191.425000,186.400000,187.480000,1414309
2024-09-04,188.360000,189.250000,184.230000,184.280000,1098637
2024-09-05,185.900000,186.330000,182.885000,184.010000,1312621
2024-09-06,183.640000,185.380000,178.810000,179.730000,1505623
2024-09-09,180.520000,180.840000,178.810000,179.210000,1442854
2024-09-10,178.830000,179.210000,168.920000,171.490000,3135100
2024-09-11,172.420000,172.420000,167.840000,168.500000,2580656
2024-09-12,169.970000,177.970000,167.930000,170.860000,2674376
2024-09-13,171.230000,174.550000,171.230000,172.420000,1465002
2024-09-16,174.000000,176.240000,171.840000,174.810000,1638396
2024-09-17,174.210000,180.330000,174.210000,179.770000,1817504
2024-09-18,179.510000,182.900000,177.880000,178.120000,1609932
2024-09-19,182.400000,183.880000,179.330000,181.630000,1175132
2024-09-20,179.270000,182.180000,178.050000,181.000000,7855292
2024-09-23,182.240000,186.188700,181.640000,185.250000,3249324
2024-09-24,188.000000,189.120000,184.190000,185.430000,3046895
2024-09-25,185.430000,185.840000,179.860000,180.530000,1740637
2024-09-26,176.040000,177.140800,168.090000,168.860000,4646784
2024-09-27,170.550000,173.250000,169.370000,170.630000,5079254
2024-09-30,170.110000,172.580000,168.760000,172.400000,2768582
2024-10-01,170.920000,178.790000,169.985000,177.520000,3149181
2024-10-02,182.620000,183.299000,178.530000,181.290000,3037904
2024-10-03,181.870000,188.820000,180.880000,188.300000,3018819
2024-10-04,191.560000,195.550000,189.500000,194.610000,3494187
2024-10-07,195.950000,200.470000,195.000000,199.500000,3780800
2024-10-08,196.120000,196.885000,191.830100,193.770000,10794584
2024-10-09,192.380000,194.714300,190.810000,193.750000,2270767
2024-10-10,194.700000,197.680000,193.960000,194.060000,1431602
2024-10-11,192.660000,196.000000,192.450000,194.960000,1366821
2024-10-14,192.420000,193.310000,189.741400,190.700000,1560526
2024-10-15,183.660000,184.240000,179.650000,179.770000,2845436
2024-10-16,180.220000,183.620000,180.220000,182.460000,1916694
2024-10-17,182.070000,184.090000,180.750000,183.960000,1753798
2024-10-18,183.440000,184.870000,181.790000,183.990000,1214343
2024-10-21,185.260000,186.740000,182.040000,182.410000,1461189
2024-10-22,184.220000,185.050000,182.280000,184.030000,1068034
2024-10-23,182.340000,183.250000,179.960000,181.120000,1415133
2024-10-24,182.350000,183.140000,180.270000,180.910000,1072721
2024-10-25,182.620000,184.510000,181.850000,184.380000,2150804
2024-10-28,177.765000,179.900000,177.120100,178.190000,1788230
2024-10-29,177.760000,179.200000,175.160000,175.640000,1691062
2024-10-30,176.860000,178.230000,175.640000,176.650000,1568194
2024-10-31,178.350000,179.125000,175.790000,176.770000,2028679
2024-11-01,177.400000,178.860000,175.081000,175.810000,1946138
2024-11-04,178.190000,181.330000,177.500000,179.760000,1918583
2024-11-05,174.900000,178.890000,173.721300,175.630000,3691119
2024-11-06,180.000000,185.790000,177.000000,183.620000,3017307
2024-11-07,182.460000,183.210000,179.410000,181.590000,1727305
2024-11-08,180.600000,182.185000,179.230000,181.880000,2579217
2024-11-11,181.960000,182.090000,179.000000,179.130000,2803622
2024-11-12,180.480000,182.489900,179.790000,179.910000,1788191
2024-11-13,181.000000,183.620000,177.500000,182.240000,1469323
2024-11-14,182.850000,184.085000,180.500000,182.420000,1366076
2024-11-15,182.420000,183.990000,176.000000,176.600000,2123445
2024-11-18,178.490000,183.650000,177.600000,181.900000,1967827
2024-11-19,180.620000,182.749900,179.090000,180.120000,1632902
2024-11-20,180.040000,182.580000,180.000000,181.460000,1647790
2024-11-21,183.250000,185.680000,182.500000,182.700000,2140416
2024-11-22,182.000000,186.073800,181.500000,185.290000,2188946
2024-11-25,184.490000,184.590000,178.921400,179.550000,2957926
2024-11-26,179.730000,180.550000,175.130000,175.970000,2466844
2024-11-27,176.520000,178.800000,175.900000,176.190000,1490383
2024-11-29,176.200000,178.410000,176.010000,177.590000,820286
2024-12-02,177.770000,178.280000,173.930000,175.830000,1719419
2024-12-03,178.040000,178.270000,174.330000,175.760000,1804440
2024-12-04,176.000000,176.320000,168.690000,170.990000,2437858
2024-12-05,171.450000,174.130000,171.450000,172.680000,2157370
2024-12-06,171.850000,171.900000,164.810000,166.830000,3105123
2024-12-09,169.520000,169.980000,166.730000,167.120000,1775718
2024-12-10,167.720000,167.887300,162.580000,163.150000,2299320
2024-12-11,164.360000,164.800000,162.540000,163.900000,2662901
2024-12-12,163.710000,164.045000,161.925000,162.230000,1627914
2024-12-13,162.610000,164.041300,161.000000,163.340000,1718361
2024-12-16,162.660000,162.660000,158.510000,158.930000,2370846
2024-12-17,157.900000,160.335000,155.800000,160.140000,2714376
2024-12-18,161.020000,161.740000,155.970000,156.080000,2547221
2024-12-19,158.600000,159.340000,152.830000,153.060000,2963143
2024-12-20,152.160000,156.220000,152.000000,154.940000,7837444
2024-12-23,154.960000,156.580000,153.730000,156.100000,2107541
2024-12-24,157.430000,158.100000,155.200000,157.770000,823239
2024-12-26,158.280000,159.590000,156.700000,158.030000,1163773
2024-12-27,157.870000,159.550000,156.770000,158.340000,1723550
2024-12-30,158.510000,161.946900,157.360100,160.980000,2087054
2024-12-31,160.990000,164.260000,160.689000,163.830000,2491860
2025-01-02,166.150000,168.223400,165.200000,166.780000,1788920
2025-01-03,168.350000,171.930000,167.680100,170.960000,2016764
2025-01-06,171.775000,175.080000,168.820000,169.640000,2121355
2025-01-07,170.240000,173.280000,169.250000,172.420000,2127628
2025-01-08,171.550000,173.000000,169.470000,170.990000,1665969
2025-01-10,174.890000,177.260000,171.700000,174.770000,2725496
2025-01-13,176.070000,180.090000,175.710000,177.610000,3038513
2025-01-14,177.000000,178.873400,175.685000,177.680000,1734373
2025-01-15,178.490000,180.250000,177.680000,179.560000,1669856
2025-01-16,178.620000,180.170000,177.650000,179.120000,1377846
2025-01-17,180.360000,180.908400,178.530000,180.180000,1812047
2025-01-21,178.440000,178.730000,175.770000,176.950000,2151539
2025-01-22,176.230000,179.648400,174.970000,177.590000,1608631
2025-01-23,179.080000,180.290000,175.832000,176.630000,1888683
2025-01-24,177.160000,177.694000,172.510000,173.260000,1940401
2025-01-27,173.660000,175.689900,170.210000,171.600000,1773148
2025-01-28,171.450000,173.460000,167.160000,169.250000,1731472
2025-01-29,168.990000,171.580000,167.720000,170.860000,1316335
2025-01-30,172.320000,173.015000,169.440000,170.410000,1284486
2025-01-31,169.530000,169.870000,163.940000,164.360000,2917910
2025-02-03,165.180000,165.981500,161.590000,164.480000,2217691
2025-02-04,163.840000,167.590000,160.570000,166.300000,1991656
2025-02-05,165.900000,165.900000,161.515000,164.760000,1985523
