d,o,h,l,c,v
2026-06-01,164.000000,166.900000,141.330000,149.530000,7419236
2026-06-02,150.010000,158.490000,149.110000,153.340000,4482484
2026-06-03,152.300000,153.210000,145.010000,152.000000,4596381
2026-06-04,150.660000,166.270000,150.660000,157.710000,2928418
2026-06-05,157.480000,175.000000,157.480000,167.840000,2924861
2026-06-08,167.020000,183.000000,166.130000,178.770000,1759896
2026-06-09,178.120000,194.270000,178.120000,188.460000,2448854
2026-06-10,175.500000,186.110000,169.990000,175.350000,2595749
2026-06-11,177.000000,188.330000,177.000000,180.000000,1894531
2026-06-12,180.540000,182.000000,168.110000,174.760000,1478014
2026-06-15,173.910000,177.811300,166.040000,167.160000,1708114
2026-06-16,162.100000,167.020000,160.020000,163.840000,1914447
2026-06-17,163.900000,165.850000,157.800000,161.900000,2465530
2026-06-18,165.000000,167.420000,160.100100,162.850000,3231509
2026-06-22,165.450000,169.540000,160.080000,160.940000,2276302
2026-06-23,162.000000,171.660000,161.000000,166.470000,1694411
2026-06-24,169.000000,170.980000,157.955000,160.450000,1805793
2026-06-25,161.020000,164.130000,157.750000,158.530000,1219842
2026-06-26,155.360000,157.500000,144.270000,153.890000,6564789
2026-06-29,152.490000,154.940000,147.460000,149.690000,1978378
2026-06-30,149.840000,154.050000,145.490000,151.000000,2118543
2026-07-01,151.000000,156.490000,148.325000,155.770000,2519556
2026-07-02,155.680000,157.317600,149.310000,150.810000,1091229
2026-07-06,151.060000,156.180000,150.500000,152.680000,985055
2026-07-07,154.380000,154.380000,144.450000,144.720000,1122910
2026-07-08,144.100000,146.370000,140.670000,143.300000,1323371
2026-07-09,145.000000,155.690000,145.000000,154.250000,1191207
2026-07-10,155.660000,156.699900,147.190100,149.530000,1305675
2026-07-13,151.340000,152.445000,147.810000,148.370000,1304207
2026-07-14,148.140000,149.049900,144.090000,144.750000,1799325
2026-07-15,145.000000,145.350000,139.570000,141.800000,1264744
2026-07-16,143.930000,153.290000,141.190100,152.430000,1531739
2026-07-17,152.490000,158.265000,150.460000,152.260000,1326210
2026-07-20,152.000000,154.585000,148.410000,150.140000,831671
2026-07-21,150.110000,153.400000,148.250000,150.380000,663987
2026-07-22,149.630000,152.270000,148.110000,149.320000,599612
2026-07-23,149.370000,155.340000,148.775000,154.790000,1449954
2026-07-24,155.150000,159.035000,149.440000,158.000000,1255548
2026-07-27,157.240000,158.350000,149.260000,150.300000,1123000
2026-07-28,150.130000,153.640000,147.450000,150.990000,757810
2026-07-29,150.450000,153.777600,143.500000,144.360000,902977
2026-07-30,144.590000,147.330000,135.640000,137.550000,1563461
2026-07-31,136.630000,141.920000,136.630000,140.530000,878516
2026-08-03,141.000000,144.700000,139.000000,139.020000,637814
2026-08-04,139.770000,144.160000,139.000000,142.700000,1141619
2026-08-05,143.060000,145.910000,142.550100,143.030000,846235
2026-08-06,142.280000,146.530000,141.580000,146.420000,842055
2026-08-07,146.560000,150.000000,142.970000,144.760000,1328988
2026-08-10,143.480000,144.790000,141.300000,141.350000,780853
2026-08-11,140.690000,143.825000,138.100000,139.510000,975702
2026-08-12,139.570000,142.140000,138.800000,141.240000,892311
2026-08-13,142.020000,152.020000,140.700000,151.990000,3147107
2026-08-14,151.090000,152.670000,146.080000,150.290000,2201085
2026-08-17,149.000000,149.000000,143.730000,143.820000,1263240
2026-08-18,143.500000,144.000000,139.120000,139.230000,1120261
2026-08-19,141.000000,145.260000,138.040000,138.170000,1131329
2026-08-20,137.280000,137.745000,132.870000,136.400000,1093449
2026-08-21,138.180000,140.240000,135.375000,137.320000,722483
2026-08-24,137.000000,137.750000,130.250000,131.270000,1230448
2026-08-25,132.525000,133.309900,128.710000,128.750000,1136825
2026-08-26,128.010000,134.205000,127.650000,131.270000,1429612
2026-08-27,131.500000,133.980600,130.300000,133.250000,926015
