d,o,h,l,c,v
2025-08-01,1425.000000,1430.210000,1350.000000,1381.070000,798791
2025-08-04,1400.000000,1401.870000,1348.100000,1360.990000,330076
2025-08-05,1368.880000,1376.235000,1336.500000,1343.120000,418498
2025-08-06,1342.140000,1393.630000,1336.030000,1393.610000,368804
2025-08-07,1393.500000,1393.610000,1333.620000,1333.620000,376229
2025-08-08,1330.650000,1349.220000,1313.694000,1320.880000,308708
2025-08-11,1314.120000,1329.715000,1305.150000,1311.260000,262516
2025-08-12,1315.160000,1327.227300,1301.010000,1318.700000,191630
2025-08-13,1326.820000,1335.300000,1310.000100,1335.290000,481790
2025-08-14,1327.520000,1334.936900,1300.000000,1318.180000,461165
2025-08-15,1332.330000,1351.885000,1325.080100,1343.160000,217889
2025-08-18,1351.740000,1378.260000,1348.410000,1350.140000,204554
2025-08-19,1352.290000,1400.500000,1350.090000,1384.930000,365993
2025-08-20,1382.180000,1401.790000,1335.000000,1344.110000,481513
2025-08-21,1340.000000,1366.520000,1331.513500,1361.720000,224419
2025-08-22,1367.000000,1436.120000,1367.000000,1415.900000,275789
2025-08-25,1416.320000,1433.530000,1407.000000,1423.870000,213211
2025-08-26,1421.470000,1431.169900,1411.470000,1420.130000,468754
2025-08-27,1415.650000,1425.000000,1395.600000,1419.370000,306303
2025-08-28,1418.000000,1506.925000,1416.000000,1506.370000,367346
2025-08-29,1508.110000,1530.030000,1490.630000,1521.640000,650896
2025-09-02,1505.000000,1525.415000,1481.220000,1504.880000,334499
2025-09-03,1481.280000,1523.200000,1481.280000,1520.750000,334711
2025-09-04,1530.000000,1536.175000,1500.000100,1518.920000,353099
2025-09-05,1537.960000,1559.368300,1520.000000,1531.990000,194847
2025-09-08,1534.740000,1542.510000,1523.800000,1538.200000,299969
2025-09-09,1545.350000,1553.800000,1531.065000,1546.560000,218325
2025-09-10,1537.270000,1554.410000,1522.250000,1530.360000,435967
2025-09-11,1544.790000,1598.000000,1529.642500,1596.560000,300516
2025-09-12,1590.480000,1593.290000,1511.035000,1544.050000,224449
2025-09-15,1553.030000,1562.000000,1548.230000,1555.210000,169767
2025-09-16,1560.000000,1563.050000,1549.160000,1553.540000,165191
2025-09-17,1559.560000,1602.920000,1551.520000,1551.830000,360952
2025-09-18,1565.630000,1589.883300,1505.970000,1522.100000,272222
2025-09-19,1533.330000,1543.990000,1464.800000,1477.210000,520352
2025-09-22,1475.000000,1546.597500,1460.910000,1538.950000,298432
2025-09-23,1548.680000,1550.650000,1515.555000,1534.770000,163057
2025-09-24,1527.620000,1556.590000,1526.815000,1543.180000,136602
2025-09-25,1533.610000,1553.190000,1516.322500,1548.360000,173743
2025-09-26,1542.990000,1562.200000,1511.550000,1518.780000,199014
2025-09-29,1521.050000,1542.250000,1520.210000,1525.440000,144367
