d,o,h,l,c,v
2024-07-25,31.940000,32.030000,30.235000,30.940000,6341830
2024-07-26,31.420000,32.590000,31.390000,32.010000,4862928
2024-07-29,32.150000,32.540000,31.485000,31.810000,3439775
2024-07-30,31.730000,32.030000,30.890000,31.240000,3106892
2024-07-31,31.850000,32.710000,31.850000,32.150000,3529508
2024-08-01,32.090000,32.570000,30.560000,30.670000,3033953
2024-08-02,29.530000,29.530000,28.310000,28.590000,3908380
2024-08-05,26.180000,28.325000,26.020000,28.190000,4696860
2024-08-06,28.370000,29.150000,28.220000,28.750000,3498502
2024-08-07,29.300000,29.410000,28.065000,28.100000,2527022
2024-08-08,28.610000,29.080000,28.180000,29.030000,1622882
2024-08-09,28.960000,29.347500,28.670000,29.290000,1159057
2024-08-12,29.370000,29.750000,29.180000,29.550000,1716723
2024-08-13,29.950000,30.720000,29.930000,30.350000,1790114
2024-08-14,30.640000,30.800000,30.120000,30.460000,2348984
2024-08-15,31.000000,31.860000,30.925000,31.650000,2451141
2024-08-16,31.490000,31.900000,31.420000,31.620000,2237087
2024-08-19,31.750000,32.035000,31.560000,31.970000,2276810
2024-08-20,31.820000,32.150000,31.440000,31.500000,1509656
2024-08-21,31.690000,32.177500,31.690000,31.800000,1978839
2024-08-22,31.980000,32.199900,31.515000,31.560000,1277892
2024-08-23,31.750000,32.955000,31.750000,32.930000,2215817
2024-08-26,32.980000,33.150000,32.415000,32.450000,1457911
2024-08-27,32.250000,32.380000,32.010000,32.220000,1567977
2024-08-28,32.250000,32.510000,31.915000,31.950000,1451936
2024-08-29,32.180000,32.980000,32.030000,32.340000,1819441
2024-08-30,32.680000,32.820000,32.175000,32.490000,2390518
2024-09-03,32.160000,32.370000,30.350000,30.450000,2913123
2024-09-04,30.070000,30.835000,30.060000,30.670000,3881281
2024-09-05,30.490000,30.880000,30.230000,30.400000,1426650
2024-09-06,30.420000,30.420000,28.950000,29.050000,1931577
2024-09-09,29.650000,30.745000,28.325000,28.760000,10998676
2024-09-10,28.910000,28.910000,28.255000,28.420000,5864711
2024-09-11,28.430000,30.110000,28.280000,30.030000,5479541
2024-09-12,30.040000,30.165000,29.465000,29.620000,3997650
2024-09-13,29.895000,30.240000,29.770000,29.800000,2959389
2024-09-16,29.330000,30.100000,29.230000,29.880000,3448874
2024-09-17,29.990000,30.985000,29.950000,30.850000,4128441
2024-09-18,30.870000,31.920000,30.765000,31.110000,3568477
2024-09-19,31.980000,32.740000,31.825000,32.400000,6863837
2024-09-20,32.390000,33.040000,32.000000,32.930000,31675311
2024-09-23,33.090000,33.260000,32.480000,32.740000,4011264
2024-09-24,33.120000,33.350000,32.105000,32.150000,3028088
2024-09-25,31.910000,32.240000,31.485000,31.690000,3323715
2024-09-26,32.620000,34.420000,32.280000,34.000000,5280222
2024-09-27,34.140000,34.211000,33.205000,33.560000,2634957
2024-09-30,33.480000,33.785000,33.030000,33.430000,2915183
2024-10-01,33.310000,33.365000,32.450000,32.720000,2559442
2024-10-02,32.495000,33.385000,32.410000,32.670000,2157287
2024-10-03,32.340000,32.940000,32.340000,32.520000,1519742
2024-10-04,33.250000,33.480000,33.000000,33.470000,1992639
2024-10-07,33.530000,33.790000,33.160000,33.650000,1881631
2024-10-08,33.680000,33.780000,33.400000,33.550000,2151856
2024-10-09,33.430000,34.210000,33.120000,34.030000,1943100
2024-10-10,33.710000,34.280000,33.340000,34.030000,1900672
2024-10-11,33.850000,35.200000,33.850000,35.110000,2748301
2024-10-14,35.040000,35.840000,34.920000,35.410000,2830490
2024-10-15,35.410000,35.710000,34.295000,34.380000,1928290
2024-10-16,34.630000,34.675000,34.160000,34.330000,2413559
2024-10-17,34.980000,35.005000,34.540000,34.900000,3600663
2024-10-18,35.200000,35.320000,34.750000,34.895000,1825974
2024-10-21,34.900000,34.900000,34.240000,34.390000,1505405
2024-10-22,34.430000,34.560000,34.050000,34.260000,1279067
2024-10-23,34.050000,34.530000,33.645000,34.110000,1819330
2024-10-24,34.560000,35.065000,34.267500,34.990000,2053509
2024-10-25,35.260000,35.660000,35.020000,35.210000,1933993
2024-10-28,35.460000,35.690000,35.140000,35.250000,2592153
2024-10-29,35.190000,35.520000,34.415000,34.670000,5101927
2024-10-30,34.500000,36.980000,34.480000,35.780000,6004808
