d,o,h,l,c,v
2025-08-01,92.490000,92.795000,89.990000,90.610000,854665
2025-08-04,90.830000,91.950000,90.653400,91.540000,1016233
2025-08-05,91.760000,93.500000,91.670000,93.390000,819683
2025-08-06,93.410000,94.040000,93.180000,93.180000,1363518
2025-08-07,94.830000,94.830000,91.540000,92.360000,1567655
2025-08-08,92.550000,92.740000,91.068100,91.300000,1020571
2025-08-11,90.970000,92.595000,90.910000,91.450000,780058
2025-08-12,91.510000,92.870000,91.390000,92.820000,666514
2025-08-13,92.890000,94.735000,92.180000,94.580000,738360
2025-08-14,93.520000,94.350000,92.955000,93.730000,730231
2025-08-15,93.630000,94.095000,93.335000,93.850000,1840952
2025-08-18,94.760000,94.961500,93.620000,93.740000,822431
2025-08-19,94.100000,96.710000,94.100000,96.700000,741549
2025-08-20,97.050000,97.710000,96.210000,96.430000,596790
2025-08-21,95.890000,96.710000,95.890000,96.310000,601173
2025-08-22,96.950000,99.840000,96.950000,99.450000,593908
2025-08-25,99.210000,99.500000,98.150000,99.150000,683342
2025-08-26,99.060000,99.820000,98.660000,98.760000,594206
2025-08-27,98.470000,100.455000,98.470000,100.290000,455762
2025-08-28,100.660000,100.660000,98.870000,99.820000,477770
2025-08-29,99.840000,100.690000,99.520000,100.550000,907896
2025-09-02,99.610000,100.770000,98.810000,99.140000,897354
2025-09-03,98.640000,100.400000,98.420000,100.070000,547285
2025-09-04,100.680000,101.080000,100.047500,100.990000,357973
2025-09-05,101.460000,102.940000,101.430000,102.670000,638342
2025-09-08,101.590000,102.460000,100.890000,101.750000,774391
2025-09-09,101.770000,101.770000,100.160000,100.330000,568747
2025-09-10,99.940000,100.860000,99.940000,100.450000,512207
2025-09-11,100.550000,102.020000,100.350000,101.800000,522672
2025-09-12,101.840000,102.310000,101.410000,101.650000,556694
2025-09-15,101.410000,101.950000,100.810000,101.080000,655323
2025-09-16,100.860000,101.100000,99.715000,99.910000,492762
2025-09-17,100.120000,101.180000,99.110000,99.290000,767289
2025-09-18,99.520000,100.495000,99.470000,100.220000,500073
2025-09-19,100.200000,100.510000,99.420000,99.620000,1219444
2025-09-22,99.400000,99.850000,98.760000,99.610000,557867
2025-09-23,99.610000,100.370000,99.525000,100.060000,451189
2025-09-24,99.860000,99.955000,98.760300,99.130000,463901
2025-09-25,99.240000,99.910000,98.990000,99.090000,480990
2025-09-26,99.630000,100.055000,98.920000,99.520000,566367
2025-09-29,99.550000,100.000000,98.990000,99.920000,544954
2025-09-30,100.230000,101.440000,99.935000,101.310000,718621
2025-10-01,99.900000,100.620000,99.415000,99.640000,511379
2025-10-02,99.360000,99.870000,98.030000,99.010000,498808
2025-10-03,99.160000,100.145000,99.160000,99.410000,363991
2025-10-06,99.360000,100.100000,98.670000,98.740000,513100
2025-10-07,98.390000,98.525000,97.339000,97.600000,438377
2025-10-08,97.330000,97.810000,96.790000,97.550000,382828
2025-10-09,97.800000,98.100000,96.600000,97.160000,384487
2025-10-10,97.590000,97.650000,95.580000,95.580000,402244
2025-10-13,96.240000,97.120000,95.630000,96.960000,326108
2025-10-14,96.960000,97.555000,96.420000,97.340000,469481
2025-10-15,97.530000,98.550000,97.300000,98.220000,460037
2025-10-16,98.500000,98.980000,97.400000,98.030000,579384
2025-10-17,97.880000,99.310000,97.760000,98.940000,580183
2025-10-20,99.290000,99.800000,98.380000,99.550000,472207
2025-10-21,99.870000,100.760000,99.530000,100.260000,581429
2025-10-22,100.640000,101.060000,99.680000,101.000000,466656
2025-10-23,100.780000,101.250000,99.670000,100.780000,400404
2025-10-24,101.190000,101.940000,101.025000,101.300000,377085
2025-10-27,101.310000,101.585000,100.670000,100.990000,510975
2025-10-28,100.440000,100.560000,97.930000,98.000000,700584
2025-10-29,97.140000,97.690000,95.340000,95.470000,706393
2025-10-30,95.640000,96.445000,94.710000,94.870000,843374
2025-10-31,96.460000,97.250000,94.300000,96.190000,1827649
2025-11-03,94.170000,95.850000,93.895000,95.680000,1127374
2025-11-04,95.680000,96.660000,90.031500,96.060000,1121978
2025-11-05,96.390000,96.510400,95.420000,96.200000,654307
2025-11-06,95.950000,96.710000,95.000000,95.880000,799227
2025-11-07,96.150000,97.510000,96.150000,97.340000,917393
2025-11-10,97.170000,97.781500,96.640000,96.780000,1039442
2025-11-11,97.110000,99.180000,97.110000,99.060000,621619
2025-11-12,98.610000,99.250000,97.630000,97.650000,563448
2025-11-13,97.100000,98.750000,97.030000,97.630000,655068
2025-11-14,97.770000,98.120000,96.400000,97.030000,489862
2025-11-17,97.670000,97.670000,95.730000,96.000000,447856
2025-11-18,95.600000,96.960000,95.140000,96.750000,457911
2025-11-19,97.070000,97.070000,96.000000,96.170000,505936
2025-11-20,97.040000,97.750000,96.050000,96.260000,503823
2025-11-21,96.750000,98.695000,96.620000,97.970000,659953
2025-11-24,98.020000,98.235000,97.000000,97.140000,852499
2025-11-25,97.390000,98.945000,97.390000,98.380000,504625
2025-11-26,98.050000,99.180000,98.050000,98.570000,548689
2025-11-28,98.720000,99.311200,98.420000,98.730000,199634
2025-12-01,98.010000,99.130000,98.000000,98.320000,496389
2025-12-02,98.880000,98.880000,97.395000,97.600000,419914
2025-12-03,97.670000,98.210000,97.360000,97.880000,422865
2025-12-04,97.700000,98.125000,96.900000,97.130000,508961
2025-12-05,96.770000,97.800000,96.770000,97.200000,690347
2025-12-08,97.110000,97.110000,95.435000,95.520000,583976
2025-12-09,95.770000,97.290000,95.770000,96.930000,965023
2025-12-10,97.260000,98.070000,96.730000,97.500000,886398
2025-12-11,97.910000,99.195000,97.260000,98.780000,1027297
2025-12-12,98.900000,99.900000,98.900000,99.580000,650106
2025-12-15,99.960000,100.980000,99.680000,100.910000,771172
2025-12-16,102.575000,102.575000,100.010000,100.120000,983393
2025-12-17,100.000000,101.960000,100.000000,101.700000,549512
2025-12-18,102.620000,102.810000,101.495000,101.650000,655998
2025-12-19,101.560000,102.590000,101.330000,101.370000,1472915
2025-12-22,100.910000,102.090000,100.890000,101.670000,468241
2025-12-23,101.930000,101.930000,100.905000,101.130000,472567
2025-12-24,101.260000,102.550000,101.100000,102.330000,312213
2025-12-26,102.420000,102.420000,101.465000,102.350000,422367
2025-12-29,102.640000,102.750000,101.850000,102.070000,425510
2025-12-30,102.080000,102.220000,101.620000,101.810000,451898
2025-12-31,101.840000,101.895000,100.720000,100.800000,407808
2026-01-02,99.350000,99.620000,98.325000,99.030000,631047
2026-01-05,99.085000,100.075000,98.360000,99.560000,802334
2026-01-06,98.690000,101.100000,98.660100,100.920000,592505
2026-01-07,101.190000,102.530000,100.745000,101.670000,1289429
2026-01-08,100.850000,102.960000,100.850000,102.800000,748654
2026-01-09,102.530000,103.265000,101.590000,101.640000,683721
2026-01-12,101.610000,102.440000,101.000000,101.800000,447429
2026-01-13,102.150000,102.530000,101.070000,102.090000,589430
2026-01-14,102.020000,102.540000,101.390000,102.020000,433516
2026-01-15,102.490000,102.655000,101.720000,101.800000,532280
2026-01-16,101.330000,103.860000,101.140000,103.670000,926504
2026-01-20,103.090000,103.480000,102.290000,102.600000,631094
2026-01-21,103.200000,103.410000,101.480000,102.460000,813583
2026-01-22,102.620000,103.590000,101.550000,101.660000,781284
2026-01-23,101.290000,101.880000,100.569600,101.770000,504642
2026-01-26,102.190000,102.260000,101.055000,101.570000,555422
2026-01-27,101.510000,101.640000,100.500000,101.480000,747691
2026-01-28,101.500000,101.970000,99.600000,99.820000,523321
2026-01-29,100.420000,101.390000,99.285000,100.590000,959791
