d,o,h,l,c,v
2024-07-25,218.780000,224.110000,215.014000,216.190000,1654094
2024-07-26,221.570000,230.790000,220.500000,226.740000,2209270
2024-07-29,226.750000,229.160000,218.700000,220.400000,2020909
2024-07-30,222.000000,224.460000,209.250000,210.890000,3448047
2024-07-31,220.120000,227.500000,209.790000,215.990000,5256393
2024-08-01,219.100000,227.990000,215.330000,218.500000,3359000
2024-08-02,216.700000,223.310000,210.723600,213.045000,2782387
2024-08-05,201.000000,212.160000,195.270000,207.090000,2684859
2024-08-06,206.310000,215.880000,205.000000,210.450000,1797122
2024-08-07,216.500000,219.665400,208.380000,208.760000,1501269
2024-08-08,208.500000,215.270000,204.000000,213.130000,1723811
2024-08-09,210.130000,213.700000,207.000000,211.800000,814977
2024-08-12,212.850000,220.520000,212.200000,219.230000,1691458
2024-08-13,222.000000,232.210000,221.670000,230.270000,2365622
2024-08-14,232.520000,232.767500,225.140000,225.540000,1266788
2024-08-15,228.500000,233.090000,225.800000,229.580000,1267469
2024-08-16,229.000000,229.970000,222.530000,225.400000,1479645
2024-08-19,225.000000,231.975000,224.980000,228.380000,1274788
2024-08-20,227.020000,230.890000,217.185000,220.200000,1805912
2024-08-21,222.000000,224.420000,219.450000,222.630000,882782
2024-08-22,222.000000,224.000000,217.770000,218.260000,941221
2024-08-23,220.000000,231.280000,219.039500,231.065000,1274326
2024-08-26,236.220000,244.210000,233.035000,233.190000,2461123
2024-08-27,230.480000,235.540000,226.900000,235.420000,1300380
2024-08-28,235.070000,238.110000,226.007500,228.570000,1087012
2024-08-29,231.000000,234.280000,222.630000,223.100000,1186371
2024-08-30,224.670000,228.410000,223.450000,227.370000,1235344
2024-09-03,226.650000,229.490000,210.890000,212.740000,2498480
2024-09-04,211.680000,217.980000,211.100000,215.400000,1156213
2024-09-05,216.190000,217.220000,213.260000,214.760000,1081721
2024-09-06,214.000000,217.480000,207.430000,208.650000,1318807
2024-09-09,209.570000,210.200000,204.400700,205.360000,1407512
2024-09-10,205.740000,208.540000,202.150000,208.220000,1218380
2024-09-11,215.500000,241.660000,214.420000,239.840000,5552464
2024-09-12,236.750000,239.990000,228.550000,235.950000,2584856
2024-09-13,242.680000,243.810000,227.430000,228.790000,2176291
2024-09-16,228.790000,235.315000,225.750000,233.310000,1602970
2024-09-17,233.360000,241.495100,232.000000,239.980000,1648845
2024-09-18,240.000000,251.669900,237.400000,241.810000,2487288
2024-09-19,251.380000,251.490000,239.710000,240.450000,2079041
2024-09-20,236.150000,241.625000,234.790000,240.200000,1899646
2024-09-23,241.155000,249.775000,236.000000,249.280000,1751960
2024-09-24,250.270000,250.470000,242.570000,244.730000,1806830
2024-09-25,244.730000,245.530000,239.317600,241.720000,1369894
2024-09-26,249.360000,257.870000,248.108000,255.660000,2661563
2024-09-27,258.330000,262.720000,254.400000,255.750000,2011700
2024-09-30,251.720000,255.630000,247.290000,249.440000,1667813
2024-10-01,249.440000,252.900000,233.000000,240.660000,3040062
2024-10-02,238.710000,238.990000,228.100000,234.440000,2612709
2024-10-03,234.080000,237.720000,232.320000,235.120000,970475
2024-10-04,239.560000,240.600000,226.020100,231.130000,1735587
2024-10-07,230.170000,231.150000,226.300000,229.620000,1302556
2024-10-08,228.090000,231.600000,223.170000,225.640000,1508833
2024-10-09,226.620000,228.990000,224.150100,226.050000,1518091
2024-10-10,220.000000,221.000000,203.180000,205.040000,6803029
2024-10-11,207.210000,214.500000,205.390000,211.490000,3038178
2024-10-14,211.000000,213.690000,208.245000,209.960000,1515525
2024-10-15,206.000000,208.120000,201.855000,201.980000,2807467
2024-10-16,202.950000,207.560000,199.890100,205.620000,2397433
2024-10-17,206.390000,207.530000,201.235000,203.370000,2057507
2024-10-18,204.840000,204.840000,200.070000,200.550000,2180948
2024-10-21,199.380000,200.030000,194.600000,196.250000,2569443
2024-10-22,201.490000,204.610000,199.620100,201.400000,4032739
2024-10-23,198.680000,200.200000,190.810000,192.410000,3681734
2024-10-24,194.310000,196.240000,193.330000,196.040000,1858654
2024-10-25,197.000000,200.950000,194.010000,198.470000,1876040
2024-10-28,203.580000,205.920000,199.750000,205.030000,2657988
2024-10-29,206.420000,206.800000,198.687100,199.670000,5039342
2024-10-30,187.630000,201.310000,183.680000,197.500000,7077423
2024-10-31,198.520000,202.338800,194.170000,194.480000,2857356
2024-11-01,195.850000,206.015000,195.685000,204.940000,2838776
2024-11-04,209.680000,221.200000,209.400000,212.280000,5906308
2024-11-05,208.700000,216.000000,205.625100,215.890000,2815559
2024-11-06,188.540000,198.000000,173.370000,194.020000,13756171
2024-11-07,194.750000,199.420000,188.190000,196.700000,4622981
2024-11-08,194.500000,194.932000,187.300000,193.930000,3559985
2024-11-11,193.000000,197.551300,190.840000,193.830000,2419974
2024-11-12,190.550000,191.999900,181.160000,182.260000,2987213
2024-11-13,183.720000,185.350000,178.870000,182.130000,2663476
2024-11-14,182.260000,197.470000,179.680000,195.140000,5510200
2024-11-15,194.590000,203.990000,190.130000,190.450000,4085893
2024-11-18,188.110000,195.749900,186.230000,195.560000,1739147
2024-11-19,194.480000,195.934000,187.150000,187.360000,2279948
2024-11-20,187.160000,190.800000,182.530000,184.840000,2509341
2024-11-21,184.600000,188.230000,181.830000,181.950000,2101286
2024-11-22,182.000000,188.720000,181.760000,186.050000,1731525
2024-11-25,189.890000,193.920000,184.260000,192.820000,3914504
2024-11-26,192.360000,193.000000,187.150000,192.320000,1790437
2024-11-27,194.000000,195.800000,189.600100,192.570000,1714785
2024-11-29,194.500000,199.830000,191.530000,199.270000,2144891
2024-12-02,204.350000,212.150000,202.010000,207.920000,3843853
2024-12-03,205.485000,208.216000,201.670000,207.510000,1917773
2024-12-04,207.690000,207.800000,199.370000,201.570000,2304030
2024-12-05,202.000000,203.350000,196.000000,197.930000,1719853
2024-12-06,200.720000,201.797200,192.910000,194.190000,2221722
2024-12-09,196.020000,205.100000,194.305000,200.000000,1989017
2024-12-10,200.460000,204.980000,194.630000,202.920000,2421400
2024-12-11,205.680000,206.250000,197.310000,201.000000,2319334
2024-12-12,201.680000,201.680000,195.980000,196.320000,1451036
2024-12-13,196.890000,201.720000,195.478700,199.670000,1414030
2024-12-16,197.640000,198.930100,190.210000,190.530000,1817147
2024-12-17,190.300000,195.820000,187.750000,188.270000,2277996
2024-12-18,189.045000,194.090000,184.140000,184.270000,2201537
