d,o,h,l,c,v
2025-08-01,99.380000,99.380000,96.825000,97.360000,4709352
2025-08-04,97.815000,99.345000,96.540000,98.550000,5382976
2025-08-05,98.450000,99.400000,96.120000,96.210000,4034156
2025-08-06,96.990000,97.589000,96.300000,96.580000,8765691
2025-08-07,74.300000,75.350000,70.120000,75.300000,47432964
2025-08-08,76.105000,76.710000,72.830000,74.390000,17024496
2025-08-11,74.020000,76.900000,73.810000,74.570000,13429556
2025-08-12,75.000000,78.990000,74.980000,78.470000,15499403
2025-08-13,79.880000,80.100000,78.050000,79.330000,14129022
2025-08-14,78.050000,78.595000,76.820000,77.250000,11823147
2025-08-15,77.680000,79.820000,77.040000,79.110000,10868808
2025-08-18,79.570000,81.200000,78.943900,80.760000,12268351
2025-08-19,81.280000,81.280000,77.101700,78.090000,15012629
2025-08-20,78.090000,80.300000,77.300000,79.610000,12247330
2025-08-21,78.910000,79.110000,76.860000,77.750000,9966843
2025-08-22,78.310000,80.620000,78.210000,80.020000,6175766
2025-08-25,79.900000,79.990000,77.610000,77.640000,7269015
2025-08-26,77.950000,78.330000,77.210000,77.650000,6114272
2025-08-27,78.035000,78.340000,77.510000,78.130000,5710969
2025-08-28,78.180000,79.410000,77.940000,79.290000,4929692
2025-08-29,79.170000,79.515000,78.320000,78.770000,4458230
2025-09-02,75.235000,77.260000,75.000000,76.925000,7353513
2025-09-03,76.730000,77.130000,76.100000,76.580000,4857789
2025-09-04,76.260000,76.630000,75.110000,76.440000,6127667
2025-09-05,76.910000,79.485000,76.880000,78.830000,10495946
2025-09-08,79.180000,80.400000,79.180000,80.360000,6728769
2025-09-09,80.400000,80.400000,79.251000,79.840000,4507723
2025-09-10,79.930000,80.600000,78.900000,79.480000,5899440
2025-09-11,80.040000,81.225000,79.681200,80.890000,6932295
2025-09-12,80.925000,81.270000,79.650000,79.680000,4428933
2025-09-15,80.250000,81.060000,79.605000,81.000000,6220534
2025-09-16,80.940000,81.000000,79.490000,79.780000,5585100
2025-09-17,79.850000,80.874195,79.720000,80.290000,4978222
2025-09-18,81.330000,81.870000,80.760000,80.990000,5119743
2025-09-19,82.460000,84.700000,82.170000,84.210000,22847024
2025-09-22,83.130000,85.120000,81.900000,85.010000,6172926
2025-09-23,85.120000,86.060000,84.141000,85.270000,5370400
2025-09-24,85.290000,86.205000,83.340000,83.600000,5658556
2025-09-25,82.960000,83.400000,81.760000,83.210000,4756401
2025-09-26,83.200000,84.890000,82.970000,84.320000,4171883
2025-09-29,84.880000,85.155000,83.600000,84.650000,4652011
2025-09-30,84.330000,84.990000,83.500000,84.080000,3966971
2025-10-01,83.920000,85.330000,83.670000,85.180000,4314925
2025-10-02,85.250000,86.390000,84.660100,86.290000,4639201
2025-10-03,86.800000,87.240000,85.540000,85.790000,4247437
2025-10-06,86.350000,87.190000,85.960000,86.380000,3844787
2025-10-07,86.360000,87.050000,84.655000,84.920000,4330271
2025-10-08,85.595000,86.730000,85.130000,86.460000,5614259
2025-10-09,85.700000,86.520000,84.150000,86.190000,3926675
2025-10-10,86.500000,87.100000,82.980000,83.040000,4604597
2025-10-13,84.700000,85.200000,83.590000,84.200000,4433631
2025-10-14,82.500000,83.900000,82.200000,83.080000,4915175
2025-10-15,83.720000,84.780000,83.070000,83.580000,4136069
2025-10-16,83.740000,84.340000,82.170000,83.140000,4019989
2025-10-17,82.590000,83.765000,82.310000,83.440000,4162162
2025-10-20,83.050000,84.960000,83.050000,84.860000,3968302
2025-10-21,83.405000,85.120000,81.100000,84.780000,4829294
2025-10-22,85.000000,85.489900,84.070000,84.660000,4101840
2025-10-23,84.660000,85.470000,84.335000,84.930000,2549104
2025-10-24,85.770000,85.860000,84.980000,85.560000,3367503
2025-10-27,86.130000,86.560000,85.140000,85.290000,4166138
2025-10-28,86.065000,87.040000,84.980000,85.870000,4895581
2025-10-29,84.850000,85.000000,83.560000,84.220000,5430708
2025-10-30,84.580000,85.599400,84.150000,84.200000,4575327
2025-10-31,84.210000,86.830000,84.000000,86.430000,4680422
2025-11-03,86.020000,87.655000,84.880000,87.520000,6239553
2025-11-04,86.500000,86.840000,84.420000,85.220000,5906546
2025-11-05,84.610000,86.320000,84.000000,85.990000,8713535
2025-11-06,76.045000,81.689900,75.310000,80.540000,13371824
2025-11-07,79.775000,81.980000,79.550000,81.790000,7152628
2025-11-10,82.300000,82.615000,80.270000,82.280000,6447941
2025-11-11,82.280000,84.240000,82.090000,83.660000,5108110
2025-11-12,83.350000,84.030000,81.755000,82.140000,4786399
2025-11-13,81.450000,82.550000,80.945000,81.030000,4735261
2025-11-14,80.140000,83.260000,79.750000,82.310000,5149807
2025-11-17,82.100000,82.960000,81.770000,81.940000,4479012
2025-11-18,81.600000,82.260000,79.135000,80.150000,6448703
2025-11-19,79.820000,80.370000,79.320000,79.730000,4190105
2025-11-20,80.500000,81.210000,77.790000,78.040000,5994193
2025-11-21,77.800000,79.500000,77.170000,78.855000,5531441
2025-11-24,78.890000,80.010000,78.700000,79.770000,8416857
2025-11-25,79.380000,81.190000,79.300000,80.870000,3816471
2025-11-26,80.810000,80.860000,78.630000,80.550000,4527107
2025-11-28,80.670000,81.355000,80.355000,81.130000,2199091
2025-12-01,80.490000,82.100000,80.430000,81.820000,4092777
2025-12-02,82.510000,83.265000,82.000000,82.940000,3870105
2025-12-03,82.210000,82.960000,81.420000,82.760000,5133695
2025-12-04,82.980000,85.240000,82.410000,85.180000,6709946
2025-12-05,85.540000,86.940000,85.197000,86.920000,6172211
2025-12-08,86.960000,87.105000,83.260000,83.530000,6074968
2025-12-09,83.090000,84.155000,82.150000,83.500000,3991418
2025-12-10,82.900000,83.220000,80.240000,81.600000,7383621
2025-12-11,81.600000,83.220000,81.450000,82.470000,4523631
2025-12-12,81.975000,82.655000,81.660000,82.220000,4283750
2025-12-15,82.100000,82.830000,80.785000,81.520000,5101827
2025-12-16,81.310000,82.830000,81.130000,82.470000,5263976
2025-12-17,80.090000,81.440000,79.380000,79.380000,9268850
2025-12-18,80.535000,80.595000,78.570000,79.750000,8069999
2025-12-19,79.730000,80.440000,79.000000,80.240000,20115933
2025-12-22,81.350000,81.830000,80.130000,81.740000,4714450
2025-12-23,81.610000,81.710000,80.100000,80.660000,3466019
2025-12-24,80.525000,81.375000,80.275500,81.180000,1241014
2025-12-26,80.910000,81.645000,80.590000,81.560000,2973931
2025-12-29,81.280000,81.790000,80.420000,80.820000,4864346
2025-12-30,80.610000,80.870000,80.280000,80.310000,2493871
2025-12-31,80.115000,80.410000,79.365000,79.410000,2867609
2026-01-02,79.970000,79.970000,77.180000,77.880000,7548822
2026-01-05,78.510000,79.900000,77.830100,77.940000,6068153
2026-01-06,77.730000,79.200000,77.600000,78.440000,6477816
2026-01-07,78.610000,80.859900,78.350000,80.020000,6870646
2026-01-08,79.540000,79.540000,77.755000,78.050000,6441706
2026-01-09,78.150000,79.370000,77.970000,79.220000,5003570
2026-01-12,78.920000,79.080000,77.990000,78.660000,3857914
2026-01-13,78.700000,79.720000,77.760000,78.330000,5749112
2026-01-14,76.450000,78.310000,75.810000,76.390000,10181072
2026-01-15,76.540000,78.330000,76.175000,76.320000,6345428
2026-01-16,76.540000,76.610000,75.145000,75.380000,7913743
2026-01-20,74.110000,75.600000,73.550000,75.460000,6870640
2026-01-21,75.810000,76.020000,74.710000,75.750000,6368333
2026-01-22,76.490000,77.805000,76.330100,77.620000,4853317
2026-01-23,83.500000,85.060000,81.100000,81.640000,10960135
2026-01-26,81.650000,83.130000,81.035000,83.070000,5708765
2026-01-27,83.210000,83.560000,81.261000,81.710000,4818431
2026-01-28,82.180000,82.550000,81.640000,82.080000,3918001
2026-01-29,81.500000,82.111900,79.740000,81.510000,6266330
2026-01-30,80.640000,81.480000,80.180000,81.260000,7499086
2026-02-02,80.860000,82.360000,80.150000,81.290000,7788476
2026-02-03,80.980000,81.225000,77.790000,79.300000,6663431
2026-02-04,78.870000,81.450000,77.790000,81.120000,7824848
2026-02-05,80.950000,81.775000,78.030000,78.930000,12691303
2026-02-06,81.800000,83.520000,77.270000,82.760000,15226285
2026-02-09,82.270000,86.170000,81.370000,85.930000,9897365
2026-02-10,86.350000,87.490000,85.170000,85.530000,7859108
2026-02-11,85.405000,88.300000,84.200000,87.820000,7987298
2026-02-12,87.550000,88.600000,82.970000,84.260000,7805844
2026-02-13,84.550000,86.525000,83.602500,85.560000,8091564
2026-02-17,85.170000,85.415000,81.050100,81.690000,6061050
2026-02-18,80.895000,81.260000,79.340000,80.690000,5853284
2026-02-19,81.005000,81.770000,80.240000,81.670000,4584064
2026-02-20,81.170000,83.080000,79.400000,80.000000,6703785
2026-02-23,78.420000,79.480000,74.655000,75.600000,8323485
2026-02-24,75.370000,77.050000,74.310000,75.230000,10049416
2026-02-25,74.490000,77.600000,74.350000,77.350000,5527365
2026-02-26,77.315000,79.740000,76.850000,79.200000,5872046
2026-02-27,77.300000,79.120000,76.640000,79.030000,7548444
2026-03-02,78.290000,79.770000,77.560000,79.180000,5247309
2026-03-03,77.260000,81.980000,77.190000,81.100000,7475639
2026-03-04,81.040000,83.980000,80.950000,82.790000,6280667
2026-03-05,82.275000,84.730000,82.250000,84.420000,5551955
2026-03-06,83.990000,84.480000,82.900000,83.670000,5658029
2026-03-09,83.060000,84.600000,82.180000,83.810000,6446862
2026-03-10,84.285000,85.050000,81.620000,84.200000,5829426
2026-03-11,84.300000,85.370000,82.350000,83.480000,5438107
2026-03-12,82.920000,85.070000,82.305000,84.400000,5220944
2026-03-13,84.400000,85.100000,82.810000,83.440000,3963591
2026-03-16,84.390000,85.860000,83.970000,84.490000,5725392
2026-03-17,84.575000,86.420000,83.060000,83.160000,3938457
2026-03-18,82.435000,84.331700,82.200000,83.390000,4343642
2026-03-19,83.515000,84.951500,82.290000,83.120000,4539210
2026-03-20,82.960000,82.960000,80.270000,81.400000,16257840
2026-03-23,82.010000,83.720000,81.220000,82.770000,4999994
2026-03-24,82.330000,82.800000,79.120000,79.340000,6173962
2026-03-25,80.130000,81.520000,78.460000,78.890000,6053060
2026-03-26,78.290000,81.720000,78.290000,81.030000,4489084
2026-03-27,79.690000,79.690000,76.415000,78.200000,8771172
2026-03-30,78.110000,80.940000,78.080000,79.050000,7015850
2026-03-31,79.750000,81.830000,79.555000,81.720000,6045467
2026-04-01,81.765000,82.140000,80.000000,81.150000,5255602
2026-04-02,80.850000,82.560000,80.020000,82.530000,4139278
2026-04-06,82.740000,83.380000,81.830000,82.290000,3459331
2026-04-07,81.860000,83.950000,81.625000,83.720000,5591479
2026-04-08,85.095000,86.140000,82.280000,83.510000,5955205
2026-04-09,83.265000,83.710000,79.560000,80.660000,6656947
2026-04-10,80.520000,80.520000,76.014300,76.700000,12401093
2026-04-13,76.950000,78.800000,76.100000,78.740000,6716297
2026-04-14,79.060000,80.022900,77.725000,78.700000,5838513
2026-04-15,78.820000,80.065000,77.410000,79.640000,6151370
2026-04-16,79.980000,82.500000,79.890000,82.400000,5517870
2026-04-17,83.950000,84.250000,81.020000,81.840000,4968406
2026-04-20,82.100000,83.329900,81.470000,82.600000,4049361
2026-04-21,82.230000,85.680000,82.100000,85.260000,5158106
2026-04-22,86.265000,87.640000,85.779700,87.090000,4443113
2026-04-23,85.060000,85.350000,81.810000,82.760000,5417665
2026-04-24,83.100000,84.560000,82.500000,84.340000,5778364
2026-04-27,84.100000,86.755000,83.780000,85.670000,5679538
2026-04-28,86.740000,87.440000,85.440000,85.720000,3890502
2026-04-29,85.420000,86.390000,84.425000,86.110000,3061380
2026-04-30,85.120000,85.220000,82.435000,84.310000,5810521
2026-05-01,86.120000,86.750000,84.970000,86.290000,4041351
2026-05-04,86.505000,89.759600,86.360000,89.240000,5451922
2026-05-05,89.700000,90.290000,88.545000,89.920000,3965328
2026-05-06,88.775000,90.110000,87.287200,89.950000,8050795
2026-05-07,105.255000,112.390000,104.510000,107.970000,18110086
2026-05-08,107.300000,114.660000,106.670000,114.070000,9904392
2026-05-11,112.095000,115.485000,112.095000,115.440000,6718134
2026-05-12,115.190000,116.460000,113.160000,113.870000,4910432
2026-05-13,113.205000,117.835000,112.710000,117.690000,5236583
2026-05-14,118.030000,121.970000,115.770000,121.860000,5784306
2026-05-15,121.170000,123.330000,119.490000,122.780000,5533777
2026-05-18,121.690000,126.610000,120.874700,126.500000,5624870
2026-05-19,127.805000,128.200000,123.760000,127.640000,7005856
2026-05-20,125.910000,130.360000,125.330400,130.000000,5981011
2026-05-21,128.910000,129.710000,127.400000,129.460000,4266227
2026-05-22,130.000000,134.190000,128.566500,133.930000,5819666
2026-05-26,132.975000,134.910000,130.600000,133.960000,4822265
2026-05-27,129.550000,131.500000,126.780000,127.930000,6864694
2026-05-28,128.580000,129.935000,126.610000,129.700000,5807432
2026-05-29,129.585000,138.110000,129.000000,137.970000,9631544
2026-06-01,141.160000,147.490000,140.250000,147.140000,7537402
2026-06-02,144.340000,149.030000,141.750000,148.860000,7275590
2026-06-03,145.380000,148.470000,143.385000,146.480000,7983352
2026-06-04,146.200000,150.070000,144.320000,149.670000,5393030
2026-06-05,148.460000,149.050000,143.455000,144.680000,7122674
2026-06-08,145.510000,147.000000,142.505000,143.040000,5333453
2026-06-09,143.130000,144.300000,133.050000,138.390000,7801470
2026-06-10,137.800000,141.300000,137.010000,138.880000,6267104
2026-06-11,141.010000,146.310000,139.395000,145.060000,7433790
2026-06-12,143.642000,146.380000,142.147800,146.300000,5084049
2026-06-15,146.320000,149.500000,143.980000,149.490000,5207304
2026-06-16,148.880000,148.880000,144.332300,147.020000,5194609
2026-06-17,145.805000,148.000000,141.690000,144.140000,7649093
2026-06-18,143.485000,147.200000,139.790000,144.730000,18432871
2026-06-22,146.355000,149.190000,143.590000,145.390000,5607486
