d,o,h,l,c,v
2025-08-01,47.030000,47.300000,46.470000,46.550000,4974305
2025-08-04,46.730000,47.310000,46.345000,47.220000,5443879
2025-08-05,48.215000,48.960000,47.850000,48.400000,8108259
2025-08-06,48.530000,48.660000,47.460200,47.590000,5499515
2025-08-07,48.150000,48.280000,47.330000,47.450000,3207737
2025-08-08,47.460000,47.710000,46.990000,47.100000,3774302
2025-08-11,47.190000,47.410000,46.340000,46.720000,3920235
2025-08-12,47.050000,47.795000,46.900000,47.650000,5826372
2025-08-13,47.860000,48.865000,47.610000,48.730000,6250902
2025-08-14,47.940000,48.220000,47.585000,47.800000,4464345
2025-08-15,48.010000,48.370000,47.775000,48.160000,5626837
2025-08-18,48.130000,48.420000,47.750000,47.750000,3454238
2025-08-19,47.970000,48.730000,47.795000,48.160000,2665828
2025-08-20,48.200000,48.505000,47.680000,48.040000,7630290
2025-08-21,48.000000,48.710000,47.620000,47.760000,4113589
2025-08-22,48.180000,49.520000,47.980000,49.310000,3749734
2025-08-25,49.130000,49.250000,48.470000,48.510000,2753748
2025-08-26,48.480000,48.650000,48.110000,48.510000,5215430
2025-08-27,48.390000,48.930000,48.280000,48.570000,2315633
2025-08-28,48.800000,48.800000,47.680000,48.010000,4023191
2025-08-29,47.980000,48.410000,47.690000,47.860000,2948741
2025-09-02,47.120000,47.360000,46.540000,47.360000,4128205
2025-09-03,47.220000,47.440000,46.655000,47.030000,2848614
2025-09-04,47.060000,47.605000,46.750000,47.580000,2766854
2025-09-05,47.770000,48.395000,47.410000,47.870000,3314857
2025-09-08,47.700000,48.040000,47.030000,47.980000,3201594
2025-09-09,47.800000,47.905000,47.010000,47.710000,3538187
2025-09-10,47.500000,48.181600,47.425000,47.750000,4043071
2025-09-11,47.940000,49.745000,47.700000,49.570000,6155300
2025-09-12,49.310000,49.410000,48.780000,48.830000,4988352
2025-09-15,49.040000,49.105000,48.480000,48.560000,3455224
2025-09-16,48.430000,49.005000,48.065000,48.750000,2968666
2025-09-17,48.940000,49.745000,47.850000,48.030000,4800227
2025-09-18,48.420000,49.390000,48.320000,48.830000,2886798
2025-09-19,49.060000,49.060000,48.120000,48.630000,9949870
2025-09-22,47.930000,48.560000,47.880000,48.320000,2731816
2025-09-23,48.465000,49.260000,48.110000,48.440000,2940203
2025-09-24,48.390000,48.810000,47.670000,48.160000,2802313
2025-09-25,47.940000,47.940000,47.310000,47.670000,3422103
2025-09-26,48.000000,48.560000,47.765000,48.530000,2141195
