d,o,h,l,c,v
2024-07-25,163.300000,168.200000,161.920000,164.670000,8791544
2024-07-26,167.250000,172.620000,166.110000,169.810000,7297730
2024-07-29,171.250000,172.730000,168.400000,169.870000,4886647
2024-07-30,170.480000,174.729900,167.270000,167.480000,5329521
2024-07-31,170.870000,171.750000,167.955000,170.200000,5568848
2024-08-01,170.750000,174.699900,168.215000,169.750000,6112910
2024-08-02,165.570000,167.430000,158.360000,160.280000,8210692
2024-08-05,152.490000,159.900000,150.200100,158.360000,7064777
2024-08-06,159.930000,165.450000,159.760000,162.270000,5056741
2024-08-07,164.420000,166.270000,161.570000,162.130000,4307514
2024-08-08,164.480000,166.329200,163.560000,165.610000,3842698
2024-08-09,165.450000,167.880000,164.570000,167.130000,2770097
2024-08-12,167.630000,168.780000,164.620000,166.870000,3173726
2024-08-13,167.760000,168.630000,166.250000,167.960000,2942447
2024-08-14,168.500000,169.180000,165.620000,167.950000,4456230
2024-08-15,168.750000,170.750000,168.220000,169.940000,4162516
2024-08-16,170.050000,170.330000,168.860000,169.420000,3305648
2024-08-19,169.610000,171.000000,168.020000,170.930000,4506034
2024-08-20,170.910000,170.910000,169.185000,169.990000,2573908
2024-08-21,170.100000,172.190000,169.846000,171.200000,4102938
2024-08-22,171.740000,171.980000,168.771000,169.680000,2996628
2024-08-23,170.000000,171.380000,168.850000,171.220000,4058017
2024-08-26,170.540000,171.925000,169.581000,171.220000,3707346
2024-08-27,170.700000,171.500000,169.600000,170.990000,3206224
2024-08-28,171.200000,173.170000,170.290000,171.870000,4578674
2024-08-29,172.620000,175.970000,172.490000,173.580000,4262466
2024-08-30,173.960000,174.820000,171.770000,174.620000,5295576
2024-09-03,174.190000,174.750000,163.600000,164.210000,6099644
2024-09-04,163.500000,166.620000,163.400000,166.360000,4112366
2024-09-05,164.775000,166.000000,162.510000,163.850000,3144178
2024-09-06,164.510000,166.035000,160.590000,161.230000,3954854
2024-09-09,163.490000,166.380000,162.910000,165.350000,3715961
2024-09-10,167.450000,167.730000,164.250000,166.980000,3473215
2024-09-11,166.240000,166.730000,162.230000,166.350000,4257982
2024-09-12,166.510000,170.970100,166.225000,169.700000,5150129
2024-09-13,169.410000,179.320000,169.210000,178.280000,7360821
2024-09-16,178.720000,181.520000,176.263400,181.440000,6844607
2024-09-17,181.510000,182.427100,178.990000,180.330000,5936890
2024-09-18,181.200000,185.769900,180.430000,183.550000,5686499
2024-09-19,187.650000,187.990000,184.280000,186.160000,5021500
2024-09-20,185.000000,187.840000,184.320000,187.430000,9895666
2024-09-23,187.810000,189.780000,187.400000,188.670000,3972509
2024-09-24,188.670000,189.800000,187.003700,189.660000,3648878
2024-09-25,189.830000,190.880000,188.195000,189.330000,3214753
2024-09-26,189.400000,189.550000,184.530000,184.590000,4781453
2024-09-27,184.170000,186.190000,183.126100,185.380000,4452842
2024-09-30,185.080000,188.710000,183.090000,188.580000,5629896
2024-10-01,187.490000,188.220000,184.920000,186.300000,3794022
2024-10-02,185.570000,188.200000,184.725000,186.440000,2879799
2024-10-03,186.500000,186.710000,183.700000,183.890000,3999527
2024-10-04,186.580000,187.160000,184.860000,187.080000,3978906
2024-10-07,185.940000,187.230000,184.800000,185.960000,2514173
2024-10-08,187.620000,189.880000,186.561000,187.470000,3627186
2024-10-09,186.630000,189.415000,186.500000,189.280000,2312601
2024-10-10,188.150000,189.750000,187.392100,188.120000,2301059
2024-10-11,189.410000,191.765000,189.060000,191.160000,2983933
2024-10-14,191.980000,193.930000,191.660000,192.630000,3132873
2024-10-15,193.850000,194.332600,189.760100,190.570000,3824316
2024-10-16,190.500000,192.220000,189.920000,192.180000,2912845
2024-10-17,194.090000,194.800000,192.200000,192.620000,2633322
2024-10-18,193.100000,193.440000,191.140000,192.610000,3075931
2024-10-21,192.910000,194.390000,192.020000,194.230000,4728833
2024-10-22,184.500000,185.000000,175.750000,176.660000,15636234
2024-10-23,179.700000,184.980000,179.615000,181.690000,9788582
2024-10-24,181.900000,182.210000,179.630000,179.740000,4366779
2024-10-25,180.000000,181.420000,178.300000,179.100000,3974941
2024-10-28,179.980000,180.580000,175.210000,175.360000,5687388
2024-10-29,174.560000,174.900000,172.770000,174.050000,5219331
2024-10-30,172.980000,176.530000,172.505000,174.640000,3694047
2024-10-31,172.000000,173.620000,170.430000,171.780000,5177127
2024-11-01,172.760000,175.270000,171.585000,171.700000,3984932
2024-11-04,172.300000,174.680000,171.450000,171.760000,4197434
2024-11-05,172.360000,175.470000,171.770000,175.260000,3607258
2024-11-06,181.500000,182.060000,178.500000,180.760000,5939501
2024-11-07,181.020000,181.020000,176.770000,178.850000,5084181
2024-11-08,179.650000,186.420000,179.450000,184.810000,4676543
2024-11-11,186.630000,187.470000,183.700000,184.560000,3371921
2024-11-12,185.070000,185.700000,180.590000,182.640000,3158423
2024-11-13,182.950000,186.300000,182.760000,183.560000,3935215
2024-11-14,183.000000,183.800000,177.490000,178.400000,5085580
2024-11-15,176.750000,177.918000,175.890000,176.930000,5302109
2024-11-18,177.000000,178.569900,175.130000,177.520000,2835273
2024-11-19,176.500000,177.880000,175.700000,177.560000,3215966
2024-11-20,178.100000,178.540000,176.000000,177.980000,3225715
2024-11-21,178.410000,180.940000,177.340000,178.700000,4531958
2024-11-22,179.300000,181.740000,178.780000,181.150000,3405150
2024-11-25,182.240000,183.700000,179.550000,180.210000,9740668
2024-11-26,180.870000,184.930000,180.420000,184.600000,3918940
2024-11-27,184.640000,184.690000,180.440100,180.600000,2726189
2024-11-29,181.450000,182.970000,181.130000,182.160000,2054660
2024-12-02,180.800000,181.640000,179.420000,180.440000,2817711
2024-12-03,181.000000,182.235000,179.907000,180.720000,2882333
2024-12-04,180.500000,182.900000,178.000000,182.650000,3713391
2024-12-05,180.330000,180.765000,172.710000,172.910000,7547257
2024-12-06,173.300000,175.830000,172.440000,175.580000,6899599
2024-12-09,175.000000,176.370000,170.771000,171.320000,6500779
2024-12-10,171.010000,173.155000,170.610000,171.270000,5100310
2024-12-11,173.170000,173.170000,167.930000,168.640000,7606440
2024-12-12,168.640000,169.284000,164.450000,164.830000,7808575
2024-12-13,165.650000,167.870000,165.540000,166.010000,4957058
2024-12-16,166.320000,169.200000,165.450000,165.790000,7436033
2024-12-17,165.800000,166.510000,163.530000,165.800000,4855069
2024-12-18,166.000000,166.630000,159.600000,159.950000,8059085
2024-12-19,163.030000,165.770000,162.180000,164.800000,6257586
2024-12-20,163.970000,169.080000,163.160000,168.370000,9281454
