d,o,h,l,c,v
2024-07-25,25.240000,25.670000,25.100000,25.210000,3079778
2024-07-26,25.540000,26.270000,25.370000,26.090000,4689681
2024-07-29,26.168000,26.330000,25.970000,26.060000,2105434
2024-07-30,26.150000,26.290000,25.750000,25.770000,2862469
2024-07-31,26.030000,26.370000,25.920000,25.990000,3903840
2024-08-01,25.930000,26.070000,25.190000,25.240000,3966143
2024-08-02,24.920000,25.440000,23.890000,25.160000,5833432
2024-08-05,24.260000,25.045000,24.120000,24.630000,3810630
2024-08-06,24.700000,24.870000,24.400000,24.420000,3217670
2024-08-07,24.720000,25.030000,24.200000,24.260000,3174300
2024-08-08,24.500000,24.770000,24.410000,24.740000,3842469
2024-08-09,24.760000,25.089500,24.605000,24.900000,2108918
2024-08-12,24.940000,25.100000,24.450000,24.620000,1976836
2024-08-13,24.780000,24.910000,24.470000,24.880000,2690051
2024-08-14,24.840000,25.020000,24.725000,24.940000,2038554
2024-08-15,25.220000,25.258900,24.730000,24.880000,2448729
2024-08-16,24.870000,25.290000,24.770000,25.270000,2707050
2024-08-19,25.220000,25.700000,25.190000,25.480000,2901004
2024-08-20,25.460000,25.555000,25.185000,25.310000,2036936
2024-08-21,25.350000,25.770000,25.035000,25.750000,2561309
2024-08-22,25.730000,25.800000,25.210000,25.290000,2275348
2024-08-23,25.430000,25.740000,25.265000,25.720000,2052709
2024-08-26,25.810000,26.400000,25.720000,26.140000,3390386
2024-08-27,25.960000,26.370000,25.920000,26.350000,2288647
2024-08-28,26.330000,26.430000,26.045000,26.220000,2715890
2024-08-29,26.410000,26.760000,26.240000,26.420000,2299389
2024-08-30,26.530000,26.640000,26.280000,26.460000,5696208
2024-09-03,26.290000,26.720000,26.020000,26.080000,3666887
2024-09-04,26.030000,26.320000,25.940000,26.150000,2241064
2024-09-05,26.120000,26.360000,25.830000,25.940000,2377112
2024-09-06,25.890000,26.165000,25.325000,25.380000,2864921
2024-09-09,25.640000,26.000000,25.485000,25.720000,3520194
2024-09-10,25.830000,25.970000,25.570000,25.900000,2610782
2024-09-11,25.680000,26.040000,25.270000,26.020000,3674226
2024-09-12,26.000000,26.260000,25.785000,26.250000,3397923
2024-09-13,26.420000,26.500000,26.265000,26.490000,3140245
2024-09-16,26.520000,26.840000,26.510000,26.620000,2494055
2024-09-17,26.630000,26.740000,26.440000,26.460000,2665061
2024-09-18,26.270000,26.845000,26.270000,26.580000,2483328
2024-09-19,26.910000,27.130000,26.660000,26.870000,3554464
2024-09-20,26.620000,26.650000,26.125000,26.480000,13942387
2024-09-23,26.670000,26.880000,26.380000,26.810000,2491308
2024-09-24,26.850000,27.200000,26.780000,27.200000,2643833
2024-09-25,27.160000,27.240000,26.685000,26.740000,2268896
2024-09-26,26.880000,27.210000,26.710000,27.170000,2203313
2024-09-27,27.190000,27.507500,27.190000,27.470000,3619133
2024-09-30,27.470000,27.530000,27.240000,27.430000,2734531
2024-10-01,27.500000,27.500000,26.975000,27.190000,2395137
