d,o,h,l,c,v
2025-08-01,638.180000,664.260000,632.460000,656.500000,3077392
2025-08-04,659.360000,674.970000,653.950000,662.770000,2155916
2025-08-05,661.240000,665.110000,643.960000,649.720000,2180246
2025-08-06,646.630000,666.290000,644.000000,664.550000,1894867
2025-08-07,665.770000,669.382700,638.520000,645.860000,2239865
2025-08-08,655.230000,656.250000,639.170100,649.090000,1888714
2025-08-11,641.000000,653.420000,637.370000,650.760000,1687604
2025-08-12,652.740000,662.835100,651.000000,657.440000,1804875
2025-08-13,662.320000,666.150000,614.230000,634.310000,3936413
2025-08-14,627.000000,640.279900,620.280000,625.270000,2534442
2025-08-15,624.030000,624.030000,607.860000,621.910000,2488202
2025-08-18,621.380000,628.545200,614.230000,625.020000,1860413
2025-08-19,620.550000,620.980000,595.190000,603.130000,3096700
2025-08-20,592.610000,607.770000,581.230000,604.590000,3575848
2025-08-21,607.020000,620.000000,605.310000,606.000000,2566592
2025-08-22,607.970000,623.980000,602.500000,607.070000,2727705
2025-08-25,608.830000,614.471000,597.033600,602.310000,2129951
2025-08-26,603.850000,628.580000,603.042400,625.910000,2689366
2025-08-27,625.220000,629.934800,618.000000,622.390000,1862850
2025-08-28,626.780000,646.950000,626.780000,633.690000,2256421
2025-08-29,631.860000,634.999900,609.340000,612.970000,2266374
2025-09-02,590.550000,594.000000,567.860000,579.680000,5267320
2025-09-03,586.285000,586.285000,565.430000,577.040000,3657481
2025-09-04,580.810000,600.370000,580.060000,598.810000,3195354
2025-09-05,599.960000,604.500000,565.500000,582.080000,3477710
2025-09-08,594.410000,606.000000,584.940100,600.230000,2513708
2025-09-09,606.350000,607.690000,594.770000,605.700000,1863901
2025-09-10,625.000000,645.190000,623.000000,643.560000,3878653
2025-09-11,648.750000,653.500000,620.100000,634.150000,4099922
2025-09-12,632.120000,646.879900,624.150000,625.550000,2640351
2025-09-15,630.150000,639.890000,624.100000,628.680000,1851879
2025-09-16,629.500000,633.520000,608.730000,617.910000,3104072
2025-09-17,616.400000,619.113800,601.120000,614.790000,2058377
2025-09-18,622.960000,627.100000,611.000000,611.000000,2245558
2025-09-19,611.690000,625.660000,596.506400,624.170000,4107343
2025-09-22,620.110000,648.500000,620.110000,644.370000,2566029
2025-09-23,644.680000,644.721100,622.200200,633.410000,2427243
2025-09-24,640.000000,642.000000,624.190000,628.970000,1617199
2025-09-25,614.905000,619.747000,593.380000,607.520000,3202477
