d,o,h,l,c,v
2024-07-25,74.750000,77.340000,74.380000,76.510000,11733380
2024-07-26,76.030000,78.290000,75.740000,77.010000,7453639
2024-07-29,77.120000,77.980000,76.810000,77.730000,4571229
2024-07-30,77.420000,78.450000,76.620100,78.050000,6120753
2024-07-31,77.890000,77.970000,75.870000,76.060000,7051985
2024-08-01,76.110000,77.210000,75.805000,76.490000,5662514
2024-08-02,77.790000,78.210000,75.540000,76.770000,6458108
2024-08-05,76.880000,77.180000,74.290000,74.830000,7349147
2024-08-06,74.500000,75.510000,74.150000,74.190000,5311082
2024-08-07,74.510000,75.320000,73.950000,74.000000,4214724
2024-08-08,74.050000,75.750000,73.770000,75.590000,7786349
2024-08-09,74.940000,76.252000,72.810000,73.660000,9545056
2024-08-12,73.340000,73.490000,72.430000,72.990000,5606870
2024-08-13,72.950000,74.250000,72.670000,73.980000,4356873
2024-08-14,73.510000,74.345000,72.990000,74.140000,4747771
2024-08-15,74.380000,75.010000,73.750000,74.340000,5196720
2024-08-16,73.940000,74.240000,72.885000,73.780000,5148098
2024-08-19,73.340000,74.520000,73.270000,74.450000,3727911
2024-08-20,74.540000,74.895000,74.340000,74.750000,3668023
2024-08-21,74.850000,75.380000,74.800000,75.130000,3659920
2024-08-22,75.570000,76.260000,75.350000,75.900000,5930767
2024-08-23,76.090000,77.120000,75.910000,76.720000,6847053
2024-08-26,76.800000,77.430000,76.420100,76.960000,2926973
2024-08-27,77.210000,77.460000,76.690000,77.000000,3902006
2024-08-28,77.460000,79.450000,77.230000,78.560000,6214101
2024-08-29,78.930000,79.650000,78.250000,79.450000,5544959
2024-08-30,79.430000,80.250000,78.600000,79.000000,6205320
2024-09-03,79.790000,80.435000,79.400000,79.700000,8733261
2024-09-04,79.670000,80.000000,78.720000,79.130000,4580626
2024-09-05,78.950000,79.320000,77.740000,78.770000,4306352
2024-09-06,79.110000,79.205000,78.260000,78.720000,9220980
2024-09-09,78.400000,80.200000,78.360000,79.170000,5571522
2024-09-10,79.170000,81.560000,78.730000,81.440000,6868984
2024-09-11,81.140000,81.200000,79.640000,80.940000,6144890
2024-09-12,83.020000,84.890000,81.980000,83.160000,11450948
2024-09-13,81.950000,83.170000,81.570000,82.810000,6530266
2024-09-16,83.000000,83.580000,82.520000,83.160000,7844342
2024-09-17,83.060000,83.335000,82.380200,83.050000,7078516
2024-09-18,83.370000,84.520000,82.760000,83.890000,9199497
2024-09-19,84.390000,84.650000,83.425000,83.900000,8798289
2024-09-20,83.260000,83.990000,82.750000,83.940000,24925966
2024-09-23,84.250000,84.460000,83.480000,83.990000,6474411
2024-09-24,83.790000,84.280000,83.340000,83.790000,7985228
2024-09-25,83.935000,83.990000,82.150000,82.210000,8375549
2024-09-26,82.020000,83.120000,81.829800,83.040000,5654508
2024-09-27,83.230000,84.330000,83.040000,83.610000,5456738
2024-09-30,83.150000,84.250000,83.140000,83.840000,5116174
2024-10-01,83.820000,83.979900,82.820000,83.940000,6619022
2024-10-02,83.330000,85.425000,83.100000,84.740000,6042368
2024-10-03,84.250000,84.930000,84.010000,84.170000,4086080
2024-10-04,84.340000,84.960000,83.980000,84.590000,4054354
2024-10-07,85.050000,85.660000,84.340000,84.430000,4692539
2024-10-08,84.520000,85.390000,84.320000,85.210000,4593176
2024-10-09,85.180000,86.845000,85.059500,86.140000,6162188
2024-10-10,85.830000,85.940000,84.590000,84.670000,3814849
2024-10-11,84.860000,84.975000,84.165000,84.950000,3982326
2024-10-14,84.920000,85.340000,84.340000,85.050000,3493271
2024-10-15,85.180000,86.641400,84.800000,85.820000,5133455
2024-10-16,85.830000,86.820000,85.825000,86.750000,3181288
2024-10-17,86.920000,87.650000,86.590000,87.360000,4287742
2024-10-18,86.790000,87.170000,86.010000,86.720000,4365082
2024-10-21,86.640000,87.270000,85.920000,86.290000,4451277
2024-10-22,85.680000,88.360000,85.600000,88.160000,6044365
2024-10-23,88.150000,88.390000,87.140000,87.230000,4373484
2024-10-24,87.720000,89.215000,87.615000,88.780000,7183811
2024-10-25,89.445100,89.740000,88.450000,89.000000,5734995
2024-10-28,89.240000,89.420000,88.520000,88.760000,5961814
2024-10-29,88.380000,88.520000,86.810000,88.080000,6656244
2024-10-30,87.900000,88.370000,87.480000,88.290000,5846878
2024-10-31,87.940000,89.280000,87.740000,88.820000,5894539
2024-11-01,88.310000,89.570000,88.190000,89.510000,6485873
2024-11-04,89.490000,90.710000,89.370000,89.840000,6124270
2024-11-05,89.640000,90.390000,89.010000,90.220000,3960199
2024-11-06,91.000000,91.980000,90.500000,91.690000,8819291
2024-11-07,94.000000,98.320000,93.510000,97.900000,14389839
2024-11-08,96.050000,97.320000,94.910000,96.565000,7457030
2024-11-11,96.400000,98.900000,96.300000,97.030000,7094257
2024-11-12,96.350000,96.840000,94.225000,94.350000,9322666
2024-11-13,94.130000,94.205000,91.630000,92.630000,11060497
2024-11-14,92.310000,92.660000,91.295000,92.110000,8202705
2024-11-15,91.710000,91.990000,88.210000,88.400000,11454518
2024-11-18,88.385000,89.040000,87.630000,88.460000,9099775
2024-11-19,87.630000,88.600000,86.080000,87.750000,8179276
2024-11-20,88.110000,89.080000,87.770000,88.630000,4781738
2024-11-21,89.065000,89.940000,88.070000,89.760000,4057424
2024-11-22,89.835000,90.490000,89.270000,90.190000,4545876
2024-11-25,90.750000,91.365000,89.500000,90.490000,10754270
2024-11-26,90.340000,91.680000,89.630000,91.350000,4406468
2024-11-27,91.440000,92.895000,91.440000,92.410000,5527206
2024-11-29,92.840000,93.159900,92.330000,92.580000,3850965
2024-12-02,92.530000,94.360000,92.490000,94.020000,5023289
2024-12-03,93.810000,94.390000,92.460000,92.490000,5532434
2024-12-04,92.590000,92.600000,89.860000,91.590000,9124340
2024-12-05,91.600000,94.270000,91.600000,93.390000,12428734
2024-12-06,93.500000,94.218000,92.030000,92.130000,4470730
2024-12-09,91.860000,92.150000,90.500000,90.590000,7396365
2024-12-10,91.350000,92.950000,90.640000,92.340000,6748150
2024-12-11,92.400000,94.650000,91.940000,92.380000,7525424
2024-12-12,92.460000,93.220000,91.440000,92.380000,5782749
2024-12-13,91.660000,92.110000,89.150000,91.855000,7515462
2024-12-16,91.960000,93.260000,91.900000,92.050000,7068110
2024-12-17,91.880000,93.590000,91.880000,92.800000,6125604
2024-12-18,92.720000,93.500000,90.590000,90.690000,6616140
2024-12-19,90.400000,91.480000,90.270000,91.090000,8876288
2024-12-20,90.920000,93.290000,90.710000,92.570000,22530186
2024-12-23,92.620000,93.520000,91.790000,93.400000,4809523
2024-12-24,93.000000,94.050000,92.100000,93.950000,2109120
2024-12-26,93.170000,94.550000,92.975000,94.410000,2915678
2024-12-27,93.430000,94.380000,93.430000,94.110000,3349328
2024-12-30,93.930000,94.000000,91.720000,92.010000,3613206
2024-12-31,92.590000,92.980000,91.780000,92.370000,3482463
2025-01-02,92.620000,92.830000,91.400000,91.880000,3496093
2025-01-03,92.190000,92.340000,91.310000,91.410000,4265369
2025-01-06,90.750000,91.530000,90.325000,91.230000,6779637
2025-01-07,90.890000,91.510000,90.510000,90.630000,5811919
2025-01-08,90.680000,90.680000,89.000000,89.140000,8054161
2025-01-10,90.190000,91.430000,88.570000,89.880000,7869675
2025-01-13,90.300000,90.370000,89.020000,89.940000,6523268
2025-01-14,90.590000,91.480000,89.830000,91.000000,7418301
2025-01-15,91.350000,92.660000,91.040000,92.380000,8084466
2025-01-16,92.260000,93.070000,90.820000,91.650000,8955333
