d,o,h,l,c,v
2025-08-01,52.150000,53.027900,51.880000,52.530000,9540462
2025-08-04,52.700000,53.235000,52.475000,52.770000,7417946
2025-08-05,53.320000,53.329900,52.250000,52.580000,6913097
2025-08-06,52.730000,53.125000,52.090000,52.470000,5390488
2025-08-07,52.800000,53.430000,52.544500,52.950000,6029436
2025-08-08,53.100000,53.820000,53.090000,53.530000,4126606
2025-08-11,53.950000,54.750000,53.340000,54.010000,6690708
2025-08-12,54.320000,54.750000,53.951000,54.160000,6782198
2025-08-13,54.480000,55.785000,54.160000,55.580000,6942105
2025-08-14,55.630000,56.510000,54.820100,56.420000,6647614
2025-08-15,56.920000,56.990000,56.300000,56.310000,5597272
2025-08-18,56.130000,56.550000,56.090000,56.230000,6740792
2025-08-19,56.480000,57.410000,56.310000,57.060000,5987915
2025-08-20,56.900000,57.189900,56.640000,56.770000,7258199
2025-08-21,56.390000,56.625800,55.090000,56.510000,8192288
2025-08-22,57.050000,58.780000,56.995000,58.370000,6320205
2025-08-25,58.200000,58.420000,57.884500,58.280000,3801962
2025-08-26,58.240000,58.935000,58.100000,58.800000,7311095
2025-08-27,58.560000,59.230000,58.420000,58.750000,9848099
2025-08-28,58.990000,59.000000,57.760000,58.490000,7209539
2025-08-29,58.480000,58.670000,57.860000,58.590000,4972523
2025-09-02,57.540000,58.635000,56.990000,58.530000,5676323
2025-09-03,58.120000,58.850000,57.700000,57.750000,6762677
2025-09-04,58.000000,58.240000,57.480000,58.150000,5880068
2025-09-05,58.080000,58.805000,57.755000,58.270000,7378092
2025-09-08,58.130000,58.255000,57.400000,58.200000,6399619
2025-09-09,58.140000,58.155000,57.600000,58.010000,4616833
2025-09-10,57.880000,57.880000,56.605000,57.340000,7207455
2025-09-11,57.540000,58.710000,57.470000,58.710000,5808502
2025-09-12,59.850000,60.000000,58.475000,58.500000,12020563
2025-09-15,58.960000,59.020000,58.320000,58.950000,4773530
2025-09-16,58.980000,59.390000,58.160000,58.460000,6786947
2025-09-17,58.270000,59.570000,58.220000,58.730000,6253045
2025-09-18,58.800000,59.400000,58.475000,59.260000,5922797
2025-09-19,59.500000,59.520000,58.730000,58.980000,13159562
2025-09-22,58.780000,59.177000,58.460000,58.880000,7634177
2025-09-23,59.050000,59.920000,58.455000,58.580000,5898999
2025-09-24,60.100000,60.155000,59.060000,59.920000,10756144
2025-09-25,59.530000,60.630000,59.110000,60.590000,7740100
2025-09-26,60.650000,61.983300,60.455000,61.240000,8641382
2025-09-29,61.850000,62.140000,60.750000,61.120000,9788442
2025-09-30,61.710000,62.060000,60.550000,60.970000,6964798
2025-10-01,60.940000,61.585000,60.130000,61.340000,8094432
2025-10-02,61.480000,61.500000,59.210000,59.360000,9614624
2025-10-03,59.320000,60.610000,58.670000,60.130000,13031920
2025-10-06,59.940000,59.940000,58.125000,58.190000,8921528
2025-10-07,58.630000,58.660000,56.630000,57.260000,10702890
2025-10-08,57.330000,57.700000,56.240000,56.400000,5429993
2025-10-09,56.780000,56.865000,55.910000,55.920000,5441819
2025-10-10,56.240000,56.550000,55.215000,55.350000,5454388
2025-10-13,55.900000,56.200000,55.350000,55.620000,3993580
2025-10-14,54.510000,57.250000,54.330000,57.150000,9005010
2025-10-15,57.260000,58.250000,57.010000,57.800000,7976919
2025-10-16,57.885000,58.400000,56.810000,57.340000,6061258
2025-10-17,57.730000,59.170000,57.550000,58.380000,7956170
2025-10-20,58.540000,58.555000,57.680000,58.000000,10184608
2025-10-21,63.760000,67.550000,62.360000,66.620000,43706533
2025-10-22,67.050000,67.585000,65.890000,67.310000,18831871
2025-10-23,67.970000,68.480000,66.570000,66.850000,12647198
2025-10-24,67.460000,69.700000,67.290000,69.660000,12570973
2025-10-27,69.570000,69.630000,68.790000,69.380000,9724755
2025-10-28,69.460000,70.190000,68.660000,69.870000,13072231
2025-10-29,69.610000,70.240000,68.590000,69.130000,10575886
2025-10-30,68.660000,69.780000,68.386400,68.670000,7559509
2025-10-31,68.780000,69.320000,68.630000,69.090000,6993609
2025-11-03,68.890000,68.930000,67.775000,68.220000,10252283
2025-11-04,68.000000,68.130000,66.750000,66.870000,8478213
2025-11-05,67.040000,69.260000,67.040000,68.770000,7807039
2025-11-06,68.685000,69.400000,68.210000,68.840000,6086742
2025-11-07,68.950000,70.760000,68.575000,70.750000,8408534
2025-11-10,71.000000,71.335000,69.870000,71.050000,8592733
2025-11-11,71.120000,71.640000,70.985000,71.220000,6164003
2025-11-12,71.170000,72.390000,70.985000,71.840000,9167247
2025-11-13,72.160000,72.870000,71.480000,71.890000,9004261
2025-11-14,71.360000,71.765000,70.440000,70.520000,7100875
2025-11-17,70.310000,70.460000,67.491000,67.910000,8032061
2025-11-18,67.830000,68.420000,67.060000,67.930000,6092657
2025-11-19,68.000000,69.660000,67.610000,68.500000,10557126
2025-11-20,68.940000,69.890000,67.780000,68.040000,9385199
2025-11-21,68.290000,70.528900,68.190000,70.330000,10852439
2025-11-24,70.480000,71.220100,70.250000,71.000000,13768142
2025-11-25,71.150000,73.105000,71.150000,72.780000,12089671
2025-11-26,72.440000,73.445000,72.220000,72.810000,7704267
2025-11-28,72.940000,73.860000,72.910000,73.520000,3754998
2025-12-01,73.090000,73.929600,72.910000,72.950000,9826854
2025-12-02,73.150000,73.840000,72.090000,73.660000,8973673
2025-12-03,73.610000,74.915000,73.610000,74.690000,8392357
2025-12-04,75.000000,76.225000,74.900000,75.290000,12659054
2025-12-05,75.080000,77.000000,75.000000,76.050000,8817795
2025-12-08,76.320000,76.665000,75.200000,75.710000,10018151
2025-12-09,76.080000,77.350000,75.885000,77.160000,7970114
2025-12-10,77.160000,80.950000,77.100000,80.800000,14421298
2025-12-11,80.330000,81.220000,80.300000,80.850000,9686821
2025-12-12,80.860000,81.545000,80.640000,80.890000,9649496
2025-12-15,80.650000,82.020000,80.577800,81.980000,14362217
2025-12-16,82.070000,83.040000,81.180000,81.760000,10732573
2025-12-17,81.180000,81.490000,80.385000,80.510000,8864282
2025-12-18,80.500000,81.980000,80.390000,81.170000,9086565
2025-12-19,81.090000,82.685000,81.090000,82.350000,23751048
2025-12-22,82.600000,83.680000,82.581200,83.030000,9119903
2025-12-23,82.730000,83.430000,82.660000,82.750000,4819949
2025-12-24,82.750000,83.150000,82.600000,82.880000,2370122
2025-12-26,82.800000,83.080000,82.560000,83.060000,3412031
2025-12-29,83.070000,83.360000,82.500000,82.930000,4759435
2025-12-30,83.170000,83.210000,82.175000,82.330000,3240511
2025-12-31,82.250000,82.270000,81.250000,81.320000,4483839
2026-01-02,81.410000,81.485000,79.560000,80.980000,7469184
2026-01-05,80.540000,83.380000,79.970000,83.150000,10468369
2026-01-06,82.700000,82.800000,81.180000,82.180000,7972856
2026-01-07,82.100000,82.700000,81.590000,81.910000,6362021
2026-01-08,82.800000,85.180000,82.430000,85.130000,11643382
2026-01-09,83.510000,84.410000,81.000000,82.870000,12142888
2026-01-12,82.200000,82.900000,81.060000,82.900000,7376393
2026-01-13,82.970000,83.860000,82.620000,83.240000,6022818
2026-01-14,83.000000,83.690000,80.950000,81.230000,7550036
2026-01-15,81.865000,82.160000,80.615000,80.910000,6416751
2026-01-16,81.000000,81.640000,80.230000,80.820000,9838714
2026-01-20,79.750000,79.990000,77.350000,77.810000,12071686
2026-01-21,79.260000,81.260000,79.030000,80.930000,8215394
2026-01-22,81.210000,82.280000,80.760000,81.140000,6789311
2026-01-23,80.670000,80.750000,79.230000,79.680000,6865566
2026-01-26,79.250000,80.615000,79.170000,79.430000,10939165
2026-01-27,83.630000,87.310000,82.410000,86.380000,23631954
2026-01-28,86.070000,86.070000,84.430000,84.900000,10072746
2026-01-29,86.190000,86.620000,85.140000,86.260000,9696216
2026-01-30,86.010000,86.425000,83.410000,84.000000,7767165
2026-02-02,84.250000,84.530000,83.100000,84.270000,6948391
2026-02-03,85.470000,86.630000,84.880000,85.710000,6903009
2026-02-04,86.160000,87.620000,85.320000,86.290000,8838891
2026-02-05,85.150000,85.710000,83.270000,83.300000,9142737
2026-02-06,83.540000,84.700200,82.640000,84.240000,8052663
2026-02-09,82.270000,82.400000,80.580000,80.680000,9766829
2026-02-10,81.050000,81.500000,79.450000,80.270000,7425800
2026-02-11,80.490000,82.000000,79.080000,79.820000,9654393
2026-02-12,80.210000,82.170000,79.600000,79.930000,6863418
2026-02-13,80.490000,81.510000,80.050100,81.080000,6314296
2026-02-17,80.940000,81.375000,79.600000,81.220000,7953325
2026-02-18,81.950000,83.930000,81.700000,83.670000,8426881
2026-02-19,83.250000,83.500000,81.015000,81.470000,6062590
2026-02-20,81.195000,82.030000,80.600000,81.510000,8602322
2026-02-23,81.070000,81.530000,78.440000,79.660000,7490549
2026-02-24,80.010000,82.590000,79.750000,81.290000,5814540
2026-02-25,81.440000,83.060000,81.371500,82.430000,9309327
2026-02-26,82.400000,82.920000,80.005000,80.790000,6403670
2026-02-27,79.985000,80.080000,77.830900,78.710000,13351410
2026-03-02,77.360000,77.760000,75.040000,77.760000,8948936
2026-03-03,75.420000,77.435000,74.185000,77.270000,9271765
2026-03-04,78.220000,79.335000,78.040000,78.600000,8510629
2026-03-05,78.000000,78.170000,75.070000,76.200000,8642908
2026-03-06,74.740000,75.220000,73.350000,75.210000,8190952
2026-03-09,73.400000,74.700000,71.922000,74.690000,8829631
2026-03-10,74.840000,77.200000,74.840000,74.930000,8915571
2026-03-11,75.460000,76.580000,74.370000,74.790000,5637485
2026-03-12,73.240000,74.020000,73.100000,73.450000,7340971
2026-03-13,73.590000,73.940000,72.090000,72.390000,7229709
2026-03-16,73.320000,73.850000,72.430000,72.950000,7471711
2026-03-17,73.590000,74.570000,73.545000,74.040000,4690135
2026-03-18,73.530000,74.810000,73.415000,73.530000,6000865
2026-03-19,72.500000,74.400000,72.500000,73.790000,9495200
2026-03-20,73.520000,73.900000,72.095000,72.810000,17760032
2026-03-23,74.750000,76.850000,74.600000,75.720000,7694773
2026-03-24,74.980000,76.870000,74.770000,76.570000,7122238
2026-03-25,77.900000,78.290000,76.390000,76.610000,7191117
2026-03-26,75.970000,77.170000,74.905000,75.600000,8471308
2026-03-27,75.210000,75.260000,72.680000,72.980000,7563228
2026-03-30,73.710000,74.230000,72.420000,72.760000,7192312
2026-03-31,74.050000,75.090000,73.405000,74.500000,5778164
2026-04-01,75.200000,75.870000,74.715000,75.040000,5147737
2026-04-02,73.340000,73.680000,71.670000,72.540000,8182839
2026-04-06,72.520000,73.630000,72.150000,73.430000,5065011
2026-04-07,72.980000,73.180000,71.600000,72.760000,5904623
2026-04-08,76.015000,77.060000,75.715000,76.740000,7248762
2026-04-09,75.590000,77.310000,75.380000,76.730000,6674994
2026-04-10,77.110000,77.470000,76.140000,76.420000,4069756
2026-04-13,75.610000,76.860000,75.150000,76.830000,3970207
2026-04-14,78.630000,79.860000,78.103900,79.460000,5859625
2026-04-15,79.540000,79.540000,77.760000,77.780000,6475583
2026-04-16,77.590000,78.350000,77.011100,78.050000,5615113
2026-04-17,79.400000,82.670000,79.400000,81.320000,7298218
2026-04-20,80.860000,81.160000,80.325000,80.540000,3958857
2026-04-21,80.440000,81.200000,79.000000,79.050000,5355884
2026-04-22,79.590000,79.795600,78.630000,79.000000,3170214
2026-04-23,78.940000,79.100000,77.160000,78.520000,4741572
2026-04-24,78.230000,78.520000,76.920000,78.050000,6123356
2026-04-27,76.610000,78.830000,76.610000,77.960000,8322669
2026-04-28,78.015000,79.400000,74.781000,78.950000,15041655
2026-04-29,78.200000,78.310000,75.375000,76.620000,9250171
2026-04-30,77.120000,78.075000,76.510000,76.890000,11020600
2026-05-01,77.120000,77.500000,75.520000,75.770000,7161856
2026-05-04,75.910000,77.010000,75.210600,75.700000,7765372
2026-05-05,76.270000,77.155000,76.020000,76.150000,5115772
2026-05-06,78.200000,79.450000,77.825000,78.700000,5434786
2026-05-07,78.820000,79.370000,78.170000,78.410000,6735051
2026-05-08,79.130000,79.330000,78.069100,78.800000,2950299
2026-05-11,78.800000,79.000000,75.107700,75.290000,6366860
2026-05-12,75.400000,76.890000,74.960000,76.440000,5272620
2026-05-13,76.220000,77.660000,75.450000,75.810000,8101646
2026-05-14,75.880000,79.270000,75.880000,77.750000,8034977
2026-05-15,76.600000,77.160000,74.800000,74.860000,8477520
2026-05-18,74.820000,74.980000,73.090000,73.100000,5651726
2026-05-19,72.240000,72.880000,70.425000,72.630000,6995574
2026-05-20,73.390000,76.160000,73.195000,76.140000,8069084
2026-05-21,75.380000,77.370000,75.000000,77.210000,6362611
2026-05-22,78.000000,79.850000,77.685000,78.790000,6446196
2026-05-26,79.300000,80.170000,78.665000,79.790000,5022274
2026-05-27,80.650000,84.520000,80.650000,84.120000,10371323
2026-05-28,83.600000,85.190000,83.380000,84.350000,7658798
2026-05-29,84.800000,85.010000,81.220000,83.240000,15553448
2026-06-01,83.430000,83.440000,80.450000,82.680000,7510593
2026-06-02,82.890000,84.205000,81.024100,81.730000,10550763
