d,o,h,l,c,v
2024-07-25,936.940000,964.240000,931.370000,954.150000,217362
2024-07-26,961.430000,978.375000,960.120000,970.340000,213314
2024-07-29,971.150000,973.000000,965.335000,966.810000,130646
2024-07-30,967.640000,972.550000,960.770000,966.360000,159932
2024-07-31,974.700000,991.885000,969.030000,976.810000,385340
2024-08-01,939.340000,986.730000,916.300000,942.360000,573114
2024-08-02,937.650000,957.300000,928.320000,952.790000,361136
2024-08-05,945.180000,958.760000,924.245000,949.990000,278706
2024-08-06,950.660000,971.090000,942.800000,952.660000,300086
2024-08-07,962.680000,973.750000,946.800000,951.190000,258992
2024-08-08,959.530000,973.710000,959.530000,972.240000,207746
2024-08-09,970.000000,981.800000,963.220000,979.310000,154505
2024-08-12,976.110000,976.110000,957.450000,959.420000,145533
2024-08-13,962.200000,964.180000,939.870000,961.140000,248709
2024-08-14,960.670000,961.130000,948.300000,952.700000,227301
2024-08-15,959.820000,965.680000,949.990000,958.840000,209686
2024-08-16,958.530000,970.485000,956.600000,966.370000,294787
2024-08-19,965.540000,970.030000,950.970000,958.140000,280074
2024-08-20,959.030000,966.075000,956.730100,962.400000,147533
2024-08-21,967.650000,984.310000,965.590000,980.250000,200042
2024-08-22,981.930000,985.710000,973.010000,977.150000,154649
2024-08-23,981.070000,985.790000,974.700000,982.230000,131187
2024-08-26,986.000000,986.945000,965.250000,973.590000,183509
2024-08-27,969.720000,973.930000,960.790000,967.360000,161432
2024-08-28,967.410000,973.310000,961.200000,968.340000,160297
2024-08-29,972.010000,980.640000,964.790000,968.040000,141865
2024-08-30,971.440000,985.465000,966.090000,984.920000,313403
2024-09-03,982.650000,983.330000,954.410000,960.060000,217399
2024-09-04,958.480000,961.485000,944.870000,952.290000,143529
2024-09-05,947.540000,947.540000,927.185000,938.480000,242503
2024-09-06,942.080000,957.080000,942.080000,947.930000,174308
2024-09-09,955.000000,976.990000,955.000000,972.140000,236980
2024-09-10,976.900000,979.160000,967.000000,977.680000,172400
2024-09-11,977.260000,990.040000,957.451000,988.640000,199102
2024-09-12,988.600000,998.350000,979.885000,996.930000,129052
2024-09-13,996.900000,1003.250000,989.090000,993.820000,198589
2024-09-16,1001.950000,1009.100000,994.070000,1008.210000,207355
2024-09-17,1013.480000,1023.120000,1010.570000,1013.980000,179990
2024-09-18,1016.600000,1028.610000,1009.290000,1013.180000,158573
2024-09-19,1034.110000,1034.110000,1022.380000,1030.100000,156618
2024-09-20,1025.220000,1037.230000,1019.800000,1032.220000,323574
2024-09-23,1037.470000,1046.711100,1032.750100,1042.080000,233586
2024-09-24,1036.890000,1043.335000,1026.560000,1040.710000,216195
2024-09-25,1046.300000,1049.020000,1031.360000,1032.160000,246844
2024-09-26,1036.840000,1047.650000,1035.275000,1043.930000,193307
2024-09-27,1040.380000,1046.270000,1031.400000,1035.940000,148067
2024-09-30,1038.860000,1044.490000,1030.950000,1038.810000,238129
2024-10-01,1038.290000,1046.750000,1030.070000,1039.900000,142077
2024-10-02,1038.000000,1041.200000,1035.020000,1038.130000,91922
2024-10-03,1037.410000,1037.410000,1020.950000,1029.150000,147708
2024-10-04,1037.490000,1037.490000,1023.080000,1033.240000,95966
2024-10-07,1018.590000,1029.545400,1018.590000,1022.840000,220014
2024-10-08,1029.940000,1031.100000,1024.305000,1028.560000,131250
2024-10-09,1025.520000,1036.905000,1024.220000,1029.600000,231834
2024-10-10,1025.520000,1037.390000,1023.230000,1025.160000,173927
2024-10-11,1048.100000,1088.840000,1046.000000,1085.040000,514505
2024-10-14,1095.890000,1103.650000,1085.420000,1098.370000,195103
2024-10-15,1104.510000,1106.010000,1084.600000,1085.570000,265114
2024-10-16,1094.200000,1115.630000,1094.200000,1112.930000,208976
2024-10-17,1107.330000,1119.960000,1103.035000,1119.470000,134378
2024-10-18,1124.290000,1128.520000,1114.280000,1127.000000,253450
2024-10-21,1129.820000,1129.920000,1111.040000,1120.360000,153504
2024-10-22,1118.850000,1118.850000,1093.555000,1098.930000,243003
2024-10-23,1091.380000,1097.725000,1085.680000,1092.530000,100120
2024-10-24,1090.480000,1093.035000,1081.470000,1082.210000,148919
2024-10-25,1083.270000,1098.720000,1083.270000,1090.940000,169712
2024-10-28,1101.030000,1107.495000,1094.420000,1104.130000,186312
2024-10-29,1100.520000,1107.579900,1095.030000,1098.350000,191468
2024-10-30,1100.040000,1112.880000,1097.050000,1099.340000,292539
2024-10-31,1128.560000,1130.005000,1091.190000,1109.230000,490514
2024-11-01,1111.510000,1117.330000,1101.475000,1105.070000,248255
2024-11-04,1107.910000,1107.910000,1094.060000,1095.680000,153651
2024-11-05,1095.020000,1122.780000,1095.020000,1122.020000,171582
2024-11-06,1164.430000,1199.000000,1150.000000,1194.960000,399191
2024-11-07,1193.400000,1197.190000,1179.730000,1188.950000,264071
2024-11-08,1188.000000,1210.265000,1181.110000,1202.350000,287239
2024-11-11,1207.600000,1227.659000,1207.600000,1220.930000,223873
2024-11-12,1220.070000,1222.340000,1204.560000,1208.340000,191955
2024-11-13,1207.210000,1218.630000,1198.320000,1202.010000,186056
2024-11-14,1198.520000,1200.000000,1166.260000,1176.010000,393274
2024-11-15,1174.010000,1179.290000,1168.820000,1178.330000,232113
2024-11-18,1181.600000,1185.920000,1167.700000,1172.130000,191937
2024-11-19,1159.570000,1177.430000,1159.570000,1172.070000,138531
2024-11-20,1172.000000,1179.470000,1162.020000,1178.450000,143439
2024-11-21,1182.670000,1199.440000,1173.275000,1194.410000,156996
2024-11-22,1202.350000,1207.470000,1195.380000,1206.650000,206717
2024-11-25,1208.660000,1227.435000,1199.680000,1215.760000,457500
2024-11-26,1216.540000,1219.690000,1201.875000,1217.300000,187118
2024-11-27,1216.405000,1221.320000,1203.365000,1205.870000,163908
2024-11-29,1205.740000,1215.000000,1205.270000,1205.340000,126632
2024-12-02,1208.050000,1208.050000,1190.490000,1193.990000,201300
2024-12-03,1199.160000,1201.680000,1184.220000,1193.160000,206282
2024-12-04,1193.420000,1196.410000,1188.450000,1192.600000,180216
2024-12-05,1188.410000,1195.310000,1186.450000,1188.650000,191969
2024-12-06,1190.510000,1192.650000,1181.130000,1185.160000,194709
2024-12-09,1189.640000,1189.640000,1156.865000,1162.050000,309111
2024-12-10,1158.780000,1162.315000,1143.430000,1157.510000,285788
2024-12-11,1169.730000,1169.730000,1147.985000,1155.500000,262345
2024-12-12,1159.120000,1159.120000,1141.390000,1149.010000,208649
2024-12-13,1145.240000,1149.585000,1139.060000,1142.620000,179799
2024-12-16,1145.420000,1150.005000,1136.920000,1139.880000,255785
2024-12-17,1134.390000,1136.320000,1115.390000,1120.310000,306065
2024-12-18,1122.770000,1124.655000,1089.625000,1091.330000,339408
2024-12-19,1098.700000,1103.870000,1081.370000,1081.550000,325244
2024-12-20,1077.620000,1099.160000,1071.840000,1092.960000,732565
2024-12-23,1088.200000,1088.200000,1075.190000,1082.340000,257281
2024-12-24,1084.740000,1092.835000,1082.880000,1090.980000,121086
2024-12-26,1089.410000,1089.670000,1080.630000,1082.630000,118381
2024-12-27,1074.830000,1082.760000,1064.800000,1068.980000,173532
2024-12-30,1060.830000,1065.880000,1045.340000,1058.210000,180977
2024-12-31,1059.860000,1062.130000,1051.050000,1054.050000,168575
2025-01-02,1063.850000,1065.400000,1038.760100,1041.710000,160190
2025-01-03,1043.270000,1058.420000,1037.650100,1053.990000,170482
2025-01-06,1053.670000,1064.740000,1049.267100,1054.010000,212444
2025-01-07,1051.410000,1065.340000,1045.520100,1062.750000,298082
2025-01-08,1059.400000,1079.120000,1056.790000,1068.840000,239769
2025-01-10,1056.500000,1068.200000,1049.265000,1052.480000,288857
2025-01-13,1052.480000,1078.340000,1052.480000,1075.980000,267812
2025-01-14,1084.860000,1095.140000,1077.560000,1087.880000,296015
2025-01-15,1101.950000,1116.990000,1091.720000,1093.360000,539811
2025-01-16,1098.700000,1116.590000,1093.400000,1110.350000,300739
2025-01-17,1109.660000,1127.679900,1093.425000,1113.600000,697483
2025-01-21,1123.550000,1133.330000,1112.450000,1121.510000,343295
2025-01-22,1122.000000,1128.660000,1117.010000,1122.930000,308305
2025-01-23,1127.000000,1130.530000,1118.770000,1121.410000,141438
2025-01-24,1119.130000,1126.835000,1115.830000,1121.570000,108570
2025-01-27,1113.850000,1138.625000,1113.850000,1132.420000,215775
2025-01-28,1126.940000,1137.650000,1119.350000,1131.280000,167178
2025-01-29,1127.220000,1139.150000,1110.465000,1114.010000,257218
2025-01-30,1121.640000,1130.615000,1118.430000,1126.070000,293845
2025-01-31,1062.200000,1083.950000,1030.010000,1062.670000,839825
2025-02-03,1043.770000,1055.000000,1030.660000,1046.740000,439147
2025-02-04,1056.760000,1056.760000,1040.400000,1042.590000,298113
2025-02-05,1042.700000,1048.155000,1021.760000,1042.920000,345418
2025-02-06,1045.050000,1051.040000,1036.670000,1045.320000,222990
2025-02-07,1045.790000,1048.460000,1031.510000,1035.800000,194410
2025-02-10,1043.400000,1043.400000,1030.030000,1038.470000,165106
2025-02-11,1037.610000,1047.775000,1033.180000,1046.360000,216887
2025-02-12,1029.590000,1033.790000,1025.680000,1027.550000,345088
2025-02-13,1030.750000,1036.565000,1024.421500,1027.830000,219427
2025-02-14,1028.260000,1036.380000,1021.540300,1027.730000,299201
2025-02-18,1026.730000,1029.800000,1011.710000,1022.640000,377373
2025-02-19,1015.300000,1022.090000,1008.510000,1021.040000,316634
2025-02-20,1024.310000,1027.230000,1012.890000,1024.300000,241056
2025-02-21,1023.470000,1023.470000,998.405000,1007.900000,285078
2025-02-24,1005.180000,1009.370000,998.020000,998.020000,353370
2025-02-25,996.230000,1009.490000,990.843300,1003.560000,286176
2025-02-26,1007.200000,1012.950000,1004.395000,1008.080000,163611
2025-02-27,1009.780000,1021.570000,1007.950000,1010.920000,171895
2025-02-28,1020.000000,1029.860000,1006.660000,1021.210000,312080
2025-03-03,1021.000000,1024.485000,996.400000,999.500000,279100
2025-03-04,992.310000,1002.540000,982.610000,988.780000,313344
2025-03-05,989.290000,998.070000,977.850000,985.060000,393297
2025-03-06,979.810000,998.170000,978.300000,995.820000,269266
