d,o,h,l,c,v
2024-07-25,350.200000,358.833200,349.330000,353.290000,3297550
2024-07-26,355.010000,361.670000,355.010000,359.510000,2439246
2024-07-29,359.210000,362.890000,358.945000,361.670000,2142243
2024-07-30,362.820000,364.685000,359.260000,363.690000,2788755
2024-07-31,365.000000,372.490000,363.043000,368.160000,3526126
2024-08-01,369.990000,371.480000,353.750100,358.580000,3759024
2024-08-02,354.930000,355.570000,346.740000,355.430000,3764790
2024-08-05,350.880000,353.940000,345.240000,350.010000,3828080
2024-08-06,348.750000,358.659900,347.280000,353.910000,2831088
2024-08-07,355.180000,356.270000,342.280000,342.400000,3429059
2024-08-08,342.240000,348.740000,341.340000,348.340000,3591145
2024-08-09,347.890000,351.529900,345.395000,348.640000,2314771
2024-08-12,350.770000,351.500000,342.130000,345.810000,3830237
2024-08-13,341.870000,353.390000,339.370000,350.070000,6388596
2024-08-14,349.550000,359.689900,349.400000,355.660000,4814780
2024-08-15,362.460000,365.410000,358.140000,360.070000,3575809
2024-08-16,359.970000,363.700000,359.970000,362.060000,3308320
2024-08-19,362.500000,364.690000,362.100000,363.070000,3634851
2024-08-20,360.650000,367.640000,360.500000,367.270000,3459401
2024-08-21,369.450000,372.870000,368.521800,370.460000,4587568
2024-08-22,371.500000,372.460000,364.610000,365.360000,4097321
2024-08-23,366.660000,376.320000,365.190000,375.590000,3426154
2024-08-26,377.080000,378.582100,373.370000,374.110000,2452134
2024-08-27,373.490000,374.280000,371.000000,373.180000,1780282
2024-08-28,373.000000,375.410000,370.200000,372.690000,2218430
2024-08-29,372.610000,373.316000,366.930000,367.060000,2698518
2024-08-30,369.240000,370.410000,364.877200,368.500000,3216660
2024-09-03,367.900000,369.380000,362.900000,364.740000,3598082
2024-09-04,364.170000,365.930000,360.012400,364.670000,3221318
2024-09-05,364.900000,365.150000,357.580000,361.850000,2789359
2024-09-06,362.920000,365.440000,359.420000,360.050000,2228832
2024-09-09,362.760000,366.160000,360.030000,365.520000,2747588
2024-09-10,365.700000,371.560000,362.480000,370.870000,2787401
2024-09-11,369.550000,371.210000,362.140000,370.490000,2937689
2024-09-12,371.940000,374.990000,370.560000,374.430000,2368302
2024-09-13,375.560000,382.000000,375.510000,379.990000,2514699
2024-09-16,382.000000,384.000000,379.530000,382.010000,2877932
2024-09-17,383.430000,387.940000,381.680000,383.240000,2947574
2024-09-18,384.090000,392.670000,381.070000,384.010000,3549367
2024-09-19,390.840000,391.870000,387.010000,390.340000,3753549
2024-09-20,388.330000,391.830000,387.000000,389.860000,6584408
2024-09-23,390.830000,392.649900,387.260000,391.960000,2502469
2024-09-24,394.700000,401.110000,393.630000,400.660000,4057692
2024-09-25,400.660000,400.660000,395.620000,396.930000,2787489
2024-09-26,399.500000,400.000000,395.490000,396.700000,2849536
2024-09-27,399.650000,403.543700,398.310000,399.530000,2452254
2024-09-30,400.200000,405.310000,399.020000,405.200000,3444362
2024-10-01,404.020000,410.560000,401.410000,409.050000,3476191
2024-10-02,407.700000,411.460000,404.960000,411.260000,3431264
2024-10-03,409.000000,412.970000,406.800000,411.580000,3320682
2024-10-04,410.070000,411.820000,399.450100,408.360000,3989606
2024-10-07,404.890000,409.809900,401.240000,408.060000,3267812
2024-10-08,409.800000,415.290000,408.440000,414.180000,3693887
2024-10-09,420.000000,420.030000,410.750000,416.070000,3627800
2024-10-10,409.720000,414.480000,407.630000,409.960000,3040794
2024-10-11,410.560000,413.140000,408.840000,411.900000,2717431
2024-10-14,411.480000,416.420000,411.304000,415.420000,2088681
2024-10-15,417.950000,421.560000,415.020000,415.580000,3693034
2024-10-16,413.870000,418.740000,413.870000,418.610000,2429037
2024-10-17,418.610000,419.000000,414.560700,415.600000,2013819
2024-10-18,416.650000,416.660000,413.240000,415.000000,2436725
2024-10-21,416.070000,416.555000,404.371000,406.400000,3699527
2024-10-22,398.500000,402.950000,396.210000,401.850000,4486654
2024-10-23,400.560000,404.279900,396.690000,399.640000,3159207
2024-10-24,402.290000,404.200000,398.088000,402.680000,2550281
2024-10-25,403.520000,403.520000,397.830000,398.910000,1941426
2024-10-28,403.450000,405.839900,401.950000,402.890000,2586529
2024-10-29,393.940000,399.105000,389.050000,395.070000,3822679
2024-10-30,395.000000,397.690000,391.940000,392.520000,2795609
2024-10-31,390.500000,395.670000,390.500000,393.750000,2518637
2024-11-01,394.800000,398.710000,392.010000,392.590000,3277974
2024-11-04,391.950000,400.480000,391.070000,395.570000,2690877
2024-11-05,394.970000,400.230000,393.860100,400.090000,2496489
2024-11-06,394.040000,394.040000,381.720000,388.370000,7133367
2024-11-07,391.000000,399.760000,390.800000,399.440000,4323070
2024-11-08,404.000000,406.400000,402.300100,405.900000,3448699
2024-11-11,407.770000,411.600000,405.825000,408.290000,4071533
2024-11-12,414.250000,416.020000,402.190000,403.080000,5647107
2024-11-13,409.130000,412.739900,406.720100,410.190000,3083105
2024-11-14,408.000000,411.500000,404.390000,405.720000,3348056
2024-11-15,402.900000,408.910000,402.900000,408.180000,3239545
2024-11-18,405.500000,412.540000,403.950000,410.440000,3394375
2024-11-19,408.380000,409.160000,399.360000,406.800000,3239356
2024-11-20,406.000000,406.700000,399.920000,400.000000,4732195
2024-11-21,401.330000,411.390000,400.380000,410.450000,3722586
2024-11-22,412.090000,420.140000,410.950000,420.000000,4932501
2024-11-25,425.000000,430.250000,424.460000,428.670000,4544233
2024-11-26,428.600000,439.370000,424.695000,429.520000,2758597
2024-11-27,428.600000,430.100000,425.960000,427.190000,2293453
2024-11-29,428.560000,431.000000,427.540000,429.130000,2028714
2024-12-02,429.000000,430.400000,423.155000,426.960000,2617198
2024-12-03,429.730000,430.680000,423.320000,429.350000,2713985
2024-12-04,426.410000,428.830000,425.500000,427.920000,1969019
2024-12-05,426.600000,429.759400,425.880000,426.540000,2523528
2024-12-06,428.700000,435.750000,427.010000,431.370000,3161705
2024-12-09,432.350000,436.360000,428.030000,429.180000,3425988
2024-12-10,426.900000,427.310000,421.410000,422.590000,3354873
2024-12-11,425.230000,428.000000,421.260000,421.380000,4211198
2024-12-12,421.430000,422.750000,413.180000,414.420000,3673612
2024-12-13,415.770000,418.140000,414.180000,416.980000,2649853
2024-12-16,417.850000,418.480000,410.690000,410.710000,2879619
2024-12-17,410.000000,410.400000,406.230000,408.470000,3726820
2024-12-18,407.000000,410.710000,393.380000,393.820000,4225524
2024-12-19,394.740000,395.140000,384.890000,385.020000,4576147
2024-12-20,383.370000,393.287200,383.050000,392.600000,8046363
2024-12-23,391.100000,393.240000,387.030000,392.450000,2434007
2024-12-24,392.130000,396.140000,390.500000,396.140000,1392629
2024-12-26,392.520000,395.780000,391.620000,395.140000,1321218
2024-12-27,392.140000,395.470000,391.370000,392.860000,1942681
2024-12-30,390.530000,391.210000,385.680000,389.430000,2444858
2024-12-31,390.010000,391.460000,387.300000,388.990000,2179671
2025-01-02,392.130000,392.670000,386.380000,388.460000,2418343
