d,o,h,l,c,v
2025-08-01,63.705000,66.180000,62.220000,63.610000,7976403
2025-08-04,64.332000,64.940000,63.770000,64.900000,3006674
2025-08-05,65.030000,65.500000,63.210000,63.710000,4161395
2025-08-06,63.640000,64.350000,63.070000,63.820000,2898452
2025-08-07,64.295000,64.500000,63.240000,64.250000,3357899
2025-08-08,64.690000,66.060000,64.450100,65.910000,3529074
2025-08-11,66.610000,66.630000,65.410000,66.180000,2661080
2025-08-12,67.075000,68.070000,66.700000,67.630000,3891964
2025-08-13,67.800000,67.865000,62.030000,63.490000,9351105
2025-08-14,63.345000,64.590000,62.800000,63.920000,3688243
2025-08-15,63.802000,64.200000,62.750000,63.310000,2786693
2025-08-18,63.225000,63.960000,62.730000,63.640000,3732296
2025-08-19,63.780000,63.970000,62.170000,62.410000,3855960
2025-08-20,62.140000,62.560000,60.060000,62.455000,5595523
2025-08-21,62.380000,62.795000,61.940000,62.470000,2660649
2025-08-22,62.600000,63.384700,61.385000,62.400000,3867479
2025-08-25,62.390000,63.230000,62.150000,62.760000,5090177
2025-08-26,64.500000,64.500000,61.850000,63.300000,12322387
2025-08-27,62.580000,62.750000,61.160000,61.790000,98998618
2025-08-28,62.475000,62.960000,62.010000,62.780000,8206988
2025-08-29,62.475000,62.810000,61.640000,62.240000,6085015
2025-09-02,61.300000,63.910000,60.790000,63.900000,7413915
2025-09-03,63.950000,64.270000,63.165000,63.950000,5778607
2025-09-04,64.100000,64.770000,63.865000,64.280000,5551766
2025-09-05,64.100000,64.220000,59.940100,60.160000,11597848
2025-09-08,60.830000,61.670000,60.780000,61.110000,5544945
2025-09-09,60.860000,62.440000,60.660000,62.210000,4619691
2025-09-10,62.425000,62.945000,62.000000,62.510000,3824740
2025-09-11,62.530000,63.790000,62.280000,63.340000,3946436
2025-09-12,63.300000,64.430000,63.030000,63.700000,3396667
2025-09-15,63.820000,64.325000,62.210000,62.250000,4073841
2025-09-16,62.250000,62.720000,61.560000,62.480000,4099064
2025-09-17,62.560000,63.090000,61.263500,62.340000,5261736
2025-09-18,62.700000,65.540000,62.610000,64.920000,6262027
2025-09-19,65.444500,65.470000,64.150000,65.030000,8102893
2025-09-22,64.185000,64.760000,63.480000,64.220000,4776981
2025-09-23,64.300000,66.105000,64.105000,65.490000,5352894
2025-09-24,66.120000,66.350000,64.250000,64.460000,3783313
2025-09-25,63.510000,65.500000,62.860000,64.970000,3126836
2025-09-26,65.580000,66.320000,65.095000,66.120000,3881106
2025-09-29,66.800000,68.830000,66.620000,68.800000,5912472
2025-09-30,68.700000,70.270000,67.870000,68.810000,4919990
2025-10-01,67.860000,70.490000,67.050000,68.780000,7265501
2025-10-02,69.480000,71.629000,69.190000,70.950000,5379174
2025-10-03,71.770000,71.778900,69.540000,70.360000,3740628
2025-10-06,70.970000,71.440000,69.520000,69.610000,3723393
2025-10-07,70.130000,70.410000,68.564000,69.350000,3242142
2025-10-08,70.000000,72.300000,69.350000,72.050000,4341019
2025-10-09,71.640000,72.715000,71.450000,72.620000,3013922
2025-10-10,72.485000,73.350000,68.800100,69.010000,5043711
2025-10-13,70.780000,70.940000,69.760000,70.520000,2899171
2025-10-14,69.320000,71.140000,68.110000,69.360000,4746691
2025-10-15,70.625000,70.960000,68.790000,69.770000,4912471
2025-10-16,70.810000,71.090000,67.880000,68.520000,10050052
2025-10-17,66.690000,69.020000,65.210000,66.230000,9231441
2025-10-20,67.380000,68.330000,66.035000,66.940000,5249739
2025-10-21,66.745000,67.590000,65.878200,66.270000,3765423
2025-10-22,66.560000,66.950000,64.150000,64.770000,5747020
2025-10-23,65.025000,67.960000,65.010000,67.170000,8459324
2025-10-24,68.155000,69.490000,67.780000,68.750000,4238485
2025-10-27,69.935000,70.260000,69.150000,69.490000,3154471
2025-10-28,70.000000,70.000000,68.570000,68.650000,2595277
2025-10-29,68.710000,69.630000,68.140000,69.190000,2903432
2025-10-30,68.660000,70.560000,68.320000,68.510000,3071242
2025-10-31,69.030000,70.900000,68.280000,70.360000,3834474
2025-11-03,70.890000,73.270000,70.160000,73.080000,6430480
2025-11-04,70.910000,72.089900,69.300000,70.690000,4801672
2025-11-05,71.195000,72.191000,70.050000,71.620000,2768995
2025-11-06,71.045000,71.230000,68.720000,69.860000,3574641
2025-11-07,69.010000,70.850000,67.600000,70.540000,4294893
2025-11-10,71.835000,72.300000,70.382000,71.130000,3255200
2025-11-11,70.490000,71.485000,70.490000,70.870000,2780397
2025-11-12,71.390000,72.980000,71.000000,72.700000,4300154
2025-11-13,72.520000,72.520000,66.740000,67.040000,6274122
2025-11-14,65.410000,67.230000,64.420000,66.030000,5337077
2025-11-17,65.760000,66.480000,62.960000,63.410000,4917977
2025-11-18,62.720000,64.260000,62.090000,63.270000,4146723
2025-11-19,63.520000,64.955000,63.430600,64.560000,3073596
2025-11-20,66.250000,67.330000,61.274000,61.560000,5978585
2025-11-21,61.540000,61.750000,58.950000,61.050000,6901340
2025-11-24,61.515000,62.710000,61.160000,62.430000,4423022
2025-11-25,62.340000,63.460000,61.030000,63.170000,3034867
2025-11-26,63.910000,64.690000,63.470000,64.190000,3547740
2025-11-28,65.000000,65.275000,64.410000,65.020000,2725018
2025-12-01,64.225000,65.330000,62.150000,63.540000,5982491
2025-12-02,64.230000,64.300000,63.150000,63.590000,5651020
2025-12-03,63.770000,65.090000,63.590000,64.960000,2400133
2025-12-04,64.990000,66.190000,64.830000,65.950000,3100450
2025-12-05,65.750000,66.045000,64.400000,64.500000,3154754
2025-12-08,64.650000,65.870000,64.200000,65.810000,2583488
2025-12-09,65.480000,66.245000,65.240000,65.560000,3147535
2025-12-10,65.750000,67.130000,65.380000,66.670000,3101640
2025-12-11,66.140000,66.615000,64.800000,66.060000,4002288
2025-12-12,66.000000,66.000000,62.575000,64.150000,5181267
2025-12-15,64.540000,64.550000,62.660000,62.870000,4701353
2025-12-16,62.870000,63.300000,62.310000,63.060000,3552375
2025-12-17,63.500000,64.695000,62.100000,62.450000,3907330
2025-12-18,63.690000,64.000000,62.550000,62.940000,3709531
2025-12-19,63.250000,64.720000,63.250000,64.260000,4757916
2025-12-22,65.270000,65.920000,64.400000,65.795000,3119351
2025-12-23,65.800000,66.335000,65.455000,65.960000,3085404
2025-12-24,65.840000,66.130000,65.470000,65.980000,1344516
2025-12-26,65.980000,66.240600,65.700000,66.160000,1918291
2025-12-29,65.700000,65.800000,64.900100,65.350000,2442198
2025-12-30,65.650000,66.400000,64.880000,65.000000,2106679
2025-12-31,65.040000,65.190000,64.240000,64.310000,2300802
2026-01-02,65.410000,67.560000,65.050000,67.230000,4881971
2026-01-05,67.950000,71.690000,67.850000,71.570000,5283121
2026-01-06,71.940000,72.960000,71.270000,72.880000,4603824
2026-01-07,72.340000,72.720000,71.240000,71.340000,4163222
2026-01-08,71.330000,71.540000,69.540000,70.160000,4124133
2026-01-09,70.800000,71.260000,69.980000,70.470000,3796852
2026-01-12,70.380000,71.440000,70.100000,70.790000,2831605
2026-01-13,71.000000,71.590000,69.965000,70.590000,3637595
2026-01-14,70.380000,71.400000,69.330000,71.350000,5180461
2026-01-15,71.900000,75.640000,71.900000,73.680000,6760350
2026-01-16,74.050000,74.072200,72.060100,73.360000,4127413
2026-01-20,72.000000,73.030000,70.790000,71.510000,9304913
2026-01-21,72.000000,76.970000,70.890000,75.800000,10541607
2026-01-22,77.120000,77.768000,76.280000,77.210000,5989541
2026-01-23,76.905000,78.560000,76.905000,77.580000,8053385
2026-01-26,77.365000,78.800000,75.290000,75.350000,6292831
2026-01-27,75.420000,76.010000,74.511200,75.480000,4948766
2026-01-28,75.930000,76.380000,74.700000,75.450000,4695702
2026-01-29,76.440000,77.545000,73.530100,75.660000,3984831
2026-01-30,75.045000,76.090000,74.490000,74.880000,3412786
2026-02-02,74.690000,77.975000,73.100000,75.270000,6897631
2026-02-03,76.520000,76.709000,73.800000,74.930000,5481805
2026-02-04,74.950000,75.050000,71.710000,73.440000,8126622
2026-02-05,71.605000,72.330000,69.008900,69.490000,8775657
2026-02-06,71.890000,74.860000,71.000000,74.590000,4891423
2026-02-09,74.720000,78.620000,74.350000,78.420000,3909319
2026-02-10,77.880000,79.180000,76.060000,77.200000,5564584
2026-02-11,77.630000,77.850000,74.800000,76.350000,3569172
2026-02-12,76.660000,77.670000,72.240000,73.060000,6887577
2026-02-13,73.000000,75.260000,71.510000,74.750000,4385419
2026-02-17,73.845000,74.150000,71.550000,73.290000,5587525
2026-02-18,73.470000,75.490000,73.290000,74.900000,4592219
2026-02-19,73.940000,74.230000,72.810400,73.990000,2459499
2026-02-20,73.640000,74.750000,73.160000,74.395000,2767002
2026-02-23,73.935000,74.635000,70.651700,71.540000,3814120
2026-02-24,71.050000,72.780000,70.150000,71.920000,3447051
2026-02-25,73.110000,73.750000,72.400000,73.650000,2898886
2026-02-26,73.675000,74.590000,72.325000,74.560000,3705787
2026-02-27,72.660000,73.050000,69.650000,71.190000,6182111
2026-03-02,69.222000,73.380000,68.570000,71.670000,5363825
2026-03-03,68.970000,70.380000,67.525000,69.400000,6824440
2026-03-04,70.600000,71.070000,68.440000,69.150000,4587338
2026-03-05,68.470000,69.390000,66.680000,68.050000,4682763
2026-03-06,66.300000,67.420000,65.270000,66.700000,5378661
2026-03-09,65.340000,67.500000,63.485000,67.490000,4969251
2026-03-10,67.680000,69.985000,66.680000,68.500000,4928586
2026-03-11,68.225000,69.035000,67.040000,68.390000,3179252
2026-03-12,66.810000,67.290000,65.890000,66.920000,3988257
2026-03-13,67.240000,68.165000,65.870000,66.190000,3384318
2026-03-16,67.250000,69.305000,67.070000,68.280000,4185220
2026-03-17,68.910000,69.930000,68.315000,68.630000,2742280
2026-03-18,68.500000,69.489900,68.240000,68.450000,4464662
2026-03-19,67.480000,68.200000,66.920000,67.690000,5189536
2026-03-20,67.680000,67.920000,65.000000,65.470000,8997233
2026-03-23,67.300000,69.315000,66.810000,67.840000,7274273
2026-03-24,66.902000,67.620000,64.490000,66.120000,7816623
2026-03-25,67.150000,69.820000,66.940000,68.680000,5457002
2026-03-26,68.085000,68.800000,65.690000,66.200000,3518586
2026-03-27,65.500000,66.150000,64.040000,64.200000,3882171
2026-03-30,64.700000,65.250000,63.022000,63.690000,4263237
2026-03-31,64.795000,67.370000,64.300000,67.070000,4618938
2026-04-01,68.380000,70.000000,67.790000,67.910000,5917497
2026-04-02,66.125000,68.880000,65.400000,67.740000,3054059
2026-04-06,68.085000,68.850000,67.750000,68.620000,2540394
2026-04-07,68.055000,68.300000,66.720000,68.110000,3579371
2026-04-08,72.638000,73.480000,71.150000,72.310000,5096019
2026-04-09,71.755000,73.090000,71.540000,71.930000,4768820
2026-04-10,72.140000,72.275000,70.120000,71.210000,3698482
2026-04-13,70.510000,74.730000,70.510000,74.550000,4787221
2026-04-14,75.998000,77.245000,74.350000,77.100000,5621864
2026-04-15,78.390000,79.805000,78.020000,79.690000,5019251
2026-04-16,80.200000,80.693100,78.289000,79.375000,4544113
2026-04-17,81.450000,82.880000,80.870000,81.710000,5487857
2026-04-20,81.200000,81.970000,80.805000,81.250000,3618529
2026-04-21,81.340000,82.410000,79.210000,79.620000,6401933
2026-04-22,78.060000,79.425000,76.700000,78.110000,7750801
2026-04-23,77.330000,78.280000,74.620000,75.900000,4286732
2026-04-24,76.830000,76.830000,75.320000,76.620000,2920137
2026-04-27,76.545000,78.220000,76.445000,77.590000,3599320
2026-04-28,76.910000,77.920000,76.340000,77.490000,3839195
2026-04-29,77.000000,77.440000,75.680000,77.050000,5307126
2026-04-30,76.875000,80.000000,76.500000,79.500000,5489017
2026-05-01,79.750000,81.070000,78.920000,80.460000,4058794
2026-05-04,80.990000,82.240000,80.455000,81.720000,3417194
2026-05-05,82.570000,84.625000,82.460000,83.910000,4761690
2026-05-06,85.370000,87.340000,85.370000,87.040000,3943119
2026-05-07,86.870000,87.374300,83.530000,83.710000,5150288
2026-05-08,84.580000,85.200000,83.500000,84.420000,3595264
2026-05-11,84.280000,85.799000,83.380000,84.910000,3101340
2026-05-12,84.220000,84.690000,82.680000,84.590000,5247956
2026-05-13,83.880000,86.030000,83.100000,85.120000,3143876
2026-05-14,85.370000,88.440000,85.310000,88.280000,3728662
2026-05-15,87.070000,87.810000,85.985000,87.000000,3907977
2026-05-18,86.750000,87.990000,85.100000,86.120000,4261858
2026-05-19,84.655000,84.870000,82.800000,83.450000,7139313
2026-05-20,84.000000,85.430000,83.205000,83.790000,6230015
2026-05-21,83.170000,84.530000,82.750000,83.830000,4838957
2026-05-22,84.152000,84.860000,81.100000,81.350000,8387571
2026-05-26,82.360000,84.290000,82.265000,82.890000,4281877
2026-05-27,82.635000,82.635000,79.720400,80.950000,6130152
2026-05-28,80.520000,83.440000,79.120000,83.110000,9786452
2026-05-29,83.200000,87.180000,82.750000,86.970000,7289989
2026-06-01,86.100000,91.020000,85.020000,88.690000,6862530
2026-06-02,88.950000,90.500000,88.370000,88.720000,6537919
2026-06-03,88.065000,89.025000,86.910000,87.150000,5419927
2026-06-04,86.112000,87.430000,83.110000,87.060000,7079411
2026-06-05,86.150000,86.225000,83.400000,84.400000,4274766
2026-06-08,85.775000,87.830000,85.235000,87.350000,4689527
2026-06-09,88.335000,88.530000,83.120100,86.330000,4428071
2026-06-10,85.280000,88.295000,84.650000,85.420000,4259657
2026-06-11,86.592000,88.900000,85.070000,88.830000,3697593
2026-06-12,90.450000,93.100000,89.950000,90.810000,4182600
2026-06-15,94.680000,94.730000,92.620000,92.760000,3530203
2026-06-16,93.010000,94.050000,92.010000,93.100000,3989850
2026-06-17,93.520000,96.745000,93.410000,95.090000,5280058
2026-06-18,96.800000,97.810000,95.300000,96.000000,7511249
2026-06-22,96.790000,97.840000,96.040000,96.820000,4202950
2026-06-23,92.700000,96.590000,92.330000,94.700000,6269257
2026-06-24,93.700000,95.260000,92.160000,92.790000,3518768
2026-06-25,94.450000,95.280000,91.790000,92.160000,3086566
2026-06-26,91.445000,91.730000,89.560000,89.820000,5910060
2026-06-29,90.340000,90.510000,87.670000,88.200000,4774311
2026-06-30,88.000000,90.115000,86.660000,87.040000,5511253
2026-07-01,88.030000,95.570000,87.570000,93.250000,7441697
2026-07-02,93.250000,96.710000,89.512500,91.330000,6589240
2026-07-06,91.990000,96.090000,91.690000,95.990000,4531616
2026-07-07,94.430000,96.490000,91.820000,94.570000,4783581
2026-07-08,92.790000,94.110000,92.190000,93.400000,3444192
2026-07-09,94.816000,96.715000,93.925000,95.280000,2679827
2026-07-10,96.400000,97.399900,93.590000,94.090000,2399890
2026-07-13,93.210000,94.800000,92.405000,93.560000,3391197
2026-07-14,94.160000,96.350000,94.150000,95.610000,3094804
2026-07-15,96.890000,97.765000,95.570000,97.410000,3486317
2026-07-16,96.200000,96.720000,91.580000,92.210000,3996188
2026-07-17,89.600000,92.030000,87.870000,90.530000,4448163
2026-07-20,91.560000,93.460000,91.310000,91.680000,3740321
2026-07-21,93.490000,95.550000,93.290000,94.420000,5121936
2026-07-22,93.595000,95.550000,92.180000,93.500000,5850643
2026-07-23,90.760000,91.865000,89.610000,91.760000,4396861
2026-07-24,91.800000,92.450000,89.500000,91.740000,3890457
2026-07-27,92.900000,94.259500,89.690000,92.270000,4667820
2026-07-28,90.040000,91.213200,88.330000,90.910000,4931307
2026-07-29,89.890000,90.460000,85.600000,86.260000,7230950
2026-07-30,88.200000,90.680000,86.820000,90.480000,5020081
2026-07-31,91.800000,91.800000,87.950000,87.990000,4373885
2026-08-03,87.030000,88.225000,85.900000,87.750000,5184668
2026-08-04,88.690000,89.475000,86.919600,88.630000,4670913
2026-08-05,89.590000,90.915000,88.670000,88.740000,4890678
2026-08-06,88.140000,89.140000,85.690000,86.020000,7292646
2026-08-07,86.570000,87.970000,85.370000,87.830000,7785093
2026-08-10,88.000000,91.780000,88.000000,90.660000,5866897
2026-08-11,91.120000,91.650000,89.515000,89.780000,3472579
2026-08-12,91.150000,92.755000,90.840000,91.660000,3040319
2026-08-13,92.000000,92.720000,91.335000,91.420000,2579754
2026-08-14,91.410000,92.420000,90.120000,92.060000,2199355
2026-08-17,92.225000,94.600000,91.585000,94.330000,4632739
2026-08-18,93.000000,93.225000,90.420000,90.560000,2616901
2026-08-19,90.990000,91.430000,88.920000,90.540000,3224297
2026-08-20,91.410000,91.710000,89.665000,89.850000,3476519
2026-08-21,90.795000,94.220000,90.310000,93.870000,5762192
2026-08-24,93.860000,94.780000,92.490000,93.050000,4301491
2026-08-25,93.545000,98.750000,92.800000,98.190000,5222932
2026-08-26,97.630000,97.780000,94.810000,97.020000,3044015
2026-08-27,96.880000,97.335000,95.760000,96.550000,5156050
