d,o,h,l,c,v
2025-08-01,530.380000,539.110000,527.810000,535.540000,760497
2025-08-04,662.240000,688.120000,643.730000,682.780000,3331906
2025-08-05,676.480000,678.955000,636.560000,641.940000,1870328
2025-08-06,647.010000,647.250000,623.400000,624.190000,816454
2025-08-07,629.740000,650.500000,628.810000,650.060000,798814
2025-08-08,651.600000,658.770000,645.775000,658.060000,566279
2025-08-11,662.000000,665.520000,646.680000,652.110000,491869
2025-08-12,652.790000,654.355000,647.380000,652.270000,506395
2025-08-13,651.150000,665.025000,648.920000,663.920000,566491
2025-08-14,664.110000,664.110000,648.170000,653.950000,504672
2025-08-15,655.540000,661.095000,650.780000,650.840000,418115
2025-08-18,650.450000,652.075000,637.080000,637.860000,437094
2025-08-19,638.000000,642.820000,635.535000,636.710000,407282
2025-08-20,637.820000,640.700000,634.160000,639.850000,525228
2025-08-21,637.050000,638.534600,632.570000,633.050000,284143
2025-08-22,635.760000,648.550000,634.690000,645.550000,352266
2025-08-25,639.330000,644.130000,636.000000,641.350000,395639
2025-08-26,641.350000,645.530000,639.745000,641.720000,416541
2025-08-27,642.610000,647.000000,637.672400,640.860000,521480
2025-08-28,638.280000,647.440000,637.050000,647.030000,309243
2025-08-29,647.950000,652.000000,642.290000,647.090000,304950
2025-09-02,637.050000,641.210000,630.538900,639.450000,440474
2025-09-03,640.990000,642.010000,626.243000,633.950000,373575
2025-09-04,637.710000,642.470000,629.555000,640.440000,440535
2025-09-05,640.000000,649.158000,630.866700,642.990000,370390
2025-09-08,644.420000,654.050000,640.260100,652.830000,460588
2025-09-09,652.830000,655.770000,647.785000,655.600000,271828
2025-09-10,652.910000,653.675000,631.740000,637.950000,389108
2025-09-11,637.140000,648.295000,637.140000,645.160000,337099
2025-09-12,639.240000,644.860000,625.547000,641.140000,317919
2025-09-15,641.730000,651.330000,641.730000,643.990000,455442
2025-09-16,640.370000,648.320000,635.500000,645.650000,404496
2025-09-17,644.590000,651.050000,637.000000,640.860000,444560
2025-09-18,642.530000,659.170000,635.940000,655.510000,474184
2025-09-19,659.580000,661.390000,648.845000,656.160000,981522
2025-09-22,653.170000,657.110000,640.275000,644.100000,386943
2025-09-23,640.340000,649.470000,640.340000,648.380000,351154
2025-09-24,645.120000,645.120000,621.358700,627.170000,464493
2025-09-25,620.930000,621.125000,613.280000,618.170000,380024
2025-09-26,619.310000,636.000000,615.330000,632.220000,344253
2025-09-29,636.340000,636.340000,619.000000,630.560000,266141
2025-09-30,631.270000,639.530000,629.675000,638.890000,367469
2025-10-01,630.720000,638.240000,600.565000,620.110000,659787
2025-10-02,616.520000,634.870000,614.550000,633.840000,415770
2025-10-03,637.010000,642.250000,627.970000,631.190000,338549
2025-10-06,633.560000,634.145000,626.190000,627.780000,247743
2025-10-07,639.110000,639.110000,622.150000,627.280000,319792
2025-10-08,634.300000,638.629000,626.110000,629.910000,521378
2025-10-09,624.590000,631.788600,619.945000,628.750000,384922
2025-10-10,628.750000,628.750000,615.000200,616.150000,410774
2025-10-13,622.660000,634.285000,621.830000,633.320000,376965
2025-10-14,625.660000,642.585000,625.615000,636.910000,365423
2025-10-15,640.200000,642.910000,631.780000,639.150000,387084
2025-10-16,643.440000,651.500000,628.170000,637.340000,524682
2025-10-17,633.880000,637.480000,627.430000,635.400000,276999
2025-10-20,638.200000,644.920000,634.905000,643.410000,327360
2025-10-21,641.640000,643.000000,630.490000,637.130000,408089
2025-10-22,642.410000,642.410000,628.600000,633.780000,465451
2025-10-23,631.250000,641.470000,630.700000,638.600000,532713
2025-10-24,641.760000,650.370000,639.075000,640.850000,368181
2025-10-27,644.460000,649.070000,639.110000,647.400000,452626
2025-10-28,640.525000,646.000000,633.180000,634.360000,397172
2025-10-29,635.410000,635.410000,622.080000,627.660000,489964
2025-10-30,627.660000,632.940000,626.870000,628.540000,373168
2025-10-31,634.510000,641.295000,628.900000,629.510000,974387
2025-11-03,693.000000,735.000000,691.730000,722.940000,1652764
2025-11-04,717.440000,726.500000,706.590000,722.120000,680909
2025-11-05,724.360000,728.949900,701.609000,720.210000,590823
2025-11-06,712.475000,720.000000,694.000000,713.740000,1095000
2025-11-07,710.150000,716.710000,700.200000,708.450000,409936
