d,o,h,l,c,v
2024-07-25,33.490000,34.630000,32.825000,33.200000,12325718
2024-07-26,33.530000,34.360000,33.230000,34.070000,7097638
2024-07-29,34.050000,34.510000,33.860000,34.280000,3764862
2024-07-30,34.410000,35.085000,34.210000,34.990000,4679053
2024-07-31,35.080000,35.735000,34.950000,35.270000,5831847
2024-08-01,35.590000,35.750000,35.120000,35.530000,4152479
2024-08-02,35.620000,36.120000,35.315000,35.590000,4597376
2024-08-05,34.930000,35.505000,34.630000,34.670000,3343445
2024-08-06,34.700000,36.060000,34.690000,35.590000,3353588
2024-08-07,35.660000,36.150000,35.155000,35.220000,3599020
2024-08-08,35.250000,35.560000,35.060000,35.450000,2953403
2024-08-09,35.640000,35.830000,35.330000,35.690000,2671637
2024-08-12,35.450000,35.567500,35.015000,35.250000,2001161
2024-08-13,35.490000,35.540000,35.180000,35.270000,3132497
2024-08-14,35.320000,35.510000,35.090000,35.120000,2690964
2024-08-15,35.100000,35.460000,34.850000,35.260000,2957187
2024-08-16,35.210000,35.370000,34.935000,35.280000,2873596
2024-08-19,35.500000,35.700000,35.300000,35.630000,1883543
2024-08-20,35.680000,35.805000,35.560000,35.680000,1722532
2024-08-21,35.850000,36.015000,35.590000,35.990000,1660275
2024-08-22,36.050000,36.070000,35.750000,35.940000,1807433
2024-08-23,35.990000,36.280000,35.845000,36.150000,2181460
2024-08-26,36.190000,36.303300,35.630000,35.830000,2159668
2024-08-27,35.660000,36.450000,35.520000,36.390000,2603318
2024-08-28,36.390000,36.655000,36.250000,36.450000,2001389
2024-08-29,36.490000,36.490000,36.140000,36.220000,1820967
2024-08-30,36.460000,36.890000,36.335000,36.840000,2477803
2024-09-03,36.670000,37.445000,36.670000,37.270000,3287547
2024-09-04,37.460000,37.800000,36.980000,37.220000,2726886
2024-09-05,37.490000,37.700000,37.195000,37.280000,2657154
2024-09-06,36.900000,36.930000,35.485000,35.950000,4828771
2024-09-09,35.800000,35.940000,35.500000,35.690000,4161096
2024-09-10,35.810000,36.130000,35.575000,36.090000,2623637
2024-09-11,35.630000,36.050000,35.215000,36.000000,3991821
2024-09-12,35.920000,36.350000,35.750000,36.280000,4151034
2024-09-13,36.550000,37.050000,36.425000,37.020000,2814080
2024-09-16,37.120000,37.240000,36.645000,36.770000,3731013
2024-09-17,36.780000,36.790000,36.040000,36.110000,3688175
