d,o,h,l,c,v
2024-07-25,96.100000,98.770000,94.960000,96.940000,2901642
2024-07-26,98.090000,99.610000,97.840000,98.700000,1803638
2024-07-29,98.730000,99.520000,98.085000,98.740000,2290906
2024-07-30,99.550000,100.665000,98.370000,98.870000,2526353
2024-07-31,100.220000,101.170000,98.855000,100.400000,3310683
2024-08-01,92.000000,95.380000,90.395000,91.230000,7445639
2024-08-02,89.500000,89.699900,86.680000,87.420000,6031716
2024-08-05,84.740000,88.570000,83.720000,87.040000,4558090
2024-08-06,87.310000,90.030000,87.060000,88.150000,2968237
2024-08-07,89.180000,89.680000,87.030000,87.300000,2845162
2024-08-08,88.700000,90.605000,88.010000,90.480000,2580843
2024-08-09,90.055000,90.750000,88.600000,89.470000,2674851
2024-08-12,89.690000,89.960000,87.960000,88.260000,2064833
2024-08-13,88.950000,90.045000,88.080000,89.910000,2074728
2024-08-14,89.970000,91.120000,89.730000,91.030000,1463614
2024-08-15,92.540000,92.850000,91.245000,92.220000,1859200
2024-08-16,92.210000,92.515000,90.990000,91.010000,2260381
2024-08-19,91.370000,91.840000,90.670000,90.950000,1676849
2024-08-20,90.900000,91.235000,90.080000,90.500000,1305182
2024-08-21,90.680000,91.460000,90.520000,91.160000,1079197
2024-08-22,91.320000,91.710000,89.980000,90.140000,1201403
2024-08-23,90.700000,92.005000,90.320000,91.640000,1824993
2024-08-26,92.000000,92.240000,90.730000,90.800000,1677652
2024-08-27,90.030000,90.900000,89.770000,90.630000,1136936
2024-08-28,91.000000,91.310000,89.000000,89.400000,1853085
2024-08-29,90.280000,92.090000,89.680000,90.800000,2024607
2024-08-30,91.130000,91.560000,89.950000,91.450000,2153639
2024-09-03,90.590000,91.000000,87.530000,88.330000,2557242
2024-09-04,88.000000,88.710000,87.000000,87.260000,1619424
2024-09-05,87.120000,87.685000,85.490000,87.610000,2919854
2024-09-06,87.420000,88.800000,86.380000,86.840000,2539668
2024-09-09,87.990000,88.610000,87.360000,87.450000,2439320
2024-09-10,87.950000,88.060000,86.900000,88.030000,2492398
2024-09-11,87.960000,89.870000,86.365000,89.630000,2259060
2024-09-12,89.750000,90.720000,88.110000,89.860000,2468804
2024-09-13,90.280000,91.819000,89.510000,91.030000,2523293
2024-09-16,91.810000,92.170000,90.535000,90.940000,2293803
2024-09-17,91.680000,94.035000,91.185000,93.970000,2156156
2024-09-18,94.180000,95.925000,93.235000,93.740000,2213603
2024-09-19,96.000000,97.720000,94.875000,97.650000,2253385
2024-09-20,97.110000,98.000000,95.990000,96.770000,3738434
2024-09-23,97.340000,98.260000,96.840000,97.490000,1479092
2024-09-24,98.200000,99.570000,97.590000,98.010000,1775310
2024-09-25,98.460000,98.460000,94.510000,95.030000,3078529
2024-09-26,96.870000,97.540000,95.020000,96.410000,2765508
2024-09-27,96.590000,99.150000,96.240000,98.080000,3873151
2024-09-30,97.640000,98.280000,96.910000,98.160000,3253599
2024-10-01,98.350000,98.680000,96.830000,98.000000,2761617
2024-10-02,97.500000,100.740000,97.200000,99.940000,3412257
2024-10-03,99.450000,99.770000,98.180000,98.930000,2118805
2024-10-04,100.000000,101.160000,99.190000,101.130000,2268790
2024-10-07,100.240000,101.410000,99.570000,100.020000,2466841
2024-10-08,100.310000,100.310000,97.660000,98.870000,2051765
2024-10-09,98.870000,99.760000,98.230000,99.430000,1350343
2024-10-10,99.010000,99.770000,98.330000,98.560000,1827547
2024-10-11,98.520000,100.870000,98.520000,100.760000,2254436
2024-10-14,101.140000,102.680000,100.780000,102.440000,1361193
2024-10-15,102.500000,102.739900,100.510000,100.670000,1932472
2024-10-16,100.510000,101.010000,100.220000,100.390000,1556704
2024-10-17,100.960000,101.900000,100.960000,101.030000,1257469
2024-10-18,101.450000,101.450000,100.070100,100.400000,1536250
2024-10-21,100.490000,101.080000,99.740000,100.030000,1842637
2024-10-22,99.580000,100.030000,98.450000,98.460000,1611196
2024-10-23,97.640000,98.040000,95.980000,96.390000,2986621
2024-10-24,96.680000,96.680000,95.440000,95.930000,1841943
2024-10-25,96.900000,97.260000,95.670000,96.120000,1904946
2024-10-28,97.010000,98.050000,96.585000,97.110000,2803242
2024-10-29,96.540000,97.780000,95.860000,97.260000,1423952
2024-10-30,97.030000,97.815000,96.740000,97.280000,1659699
2024-10-31,96.490000,97.400000,95.950000,96.000000,3327365
2024-11-01,94.000000,97.815000,93.501000,93.970000,3880988
2024-11-04,94.000000,96.215000,93.800000,94.610000,2520303
2024-11-05,94.810000,97.795000,94.640000,97.700000,2082090
2024-11-06,102.000000,103.250000,101.000000,102.980000,3745661
2024-11-07,102.930000,103.960000,102.540000,103.530000,2009617
2024-11-08,102.970000,103.890000,102.425000,102.610000,3035275
2024-11-11,103.410000,105.330000,102.630000,104.800000,2766160
2024-11-12,104.720000,105.630000,104.040000,104.230000,1707287
2024-11-13,104.390000,105.190000,104.145000,104.350000,1719976
2024-11-14,104.120000,104.790000,102.790000,102.990000,1594754
2024-11-15,102.690000,103.670000,102.050000,102.430000,1937410
2024-11-18,101.700000,102.460000,101.210000,101.650000,1829216
2024-11-19,99.980000,102.440000,99.840000,102.380000,1975814
2024-11-20,102.780000,103.190000,101.500000,103.110000,1989958
2024-11-21,103.330000,103.868500,102.410000,103.040000,2180895
2024-11-22,103.350000,104.960000,102.560000,104.000000,2163709
2024-11-25,104.710000,106.030000,104.555000,105.350000,3004173
2024-11-26,104.960000,105.175000,104.235000,104.740000,1426765
2024-11-27,104.680000,105.180000,103.570000,104.050000,1170873
2024-11-29,104.050000,104.555000,103.590000,104.170000,907100
2024-12-02,104.750000,105.370000,104.030000,105.120000,1777216
2024-12-03,105.200000,105.650000,103.770000,104.240000,1775409
2024-12-04,104.330000,104.730000,103.610000,103.950000,1587969
2024-12-05,103.870000,104.180000,102.610000,102.960000,1632123
2024-12-06,103.500000,103.575000,102.155000,102.280000,1557248
2024-12-09,102.920000,103.195000,101.440000,102.540000,2296777
