d,o,h,l,c,v
2025-08-01,139.550000,140.500000,136.813800,139.080000,1043912
2025-08-04,139.100000,140.350000,138.750000,139.920000,1071776
2025-08-05,136.910000,145.920000,134.000000,145.210000,1485948
2025-08-06,146.000000,147.920000,144.760000,146.950000,1083506
2025-08-07,148.910000,149.000000,146.425000,146.980000,586550
2025-08-08,147.040000,148.810000,146.780000,148.160000,517064
2025-08-11,148.450000,149.200000,147.300000,147.850000,623584
2025-08-12,148.410000,149.830000,147.590000,149.810000,513655
2025-08-13,149.860000,152.400000,149.570000,152.180000,637872
2025-08-14,151.350000,151.410000,148.100000,148.330000,739226
2025-08-15,148.560000,148.560000,147.168100,147.950000,626285
2025-08-18,148.130000,148.570000,146.770000,146.790000,581529
2025-08-19,146.920000,148.170000,146.920000,147.760000,567323
2025-08-20,147.480000,148.175000,145.845000,146.540000,513971
2025-08-21,145.880000,147.635000,145.330000,147.320000,427502
2025-08-22,147.610000,150.240000,147.610000,148.490000,525224
2025-08-25,148.160000,148.950000,147.030000,147.100000,617814
2025-08-26,147.070000,148.460000,146.780000,148.140000,1678387
2025-08-27,148.040000,149.320000,147.945000,148.360000,454790
2025-08-28,148.630000,148.920000,146.530000,146.910000,426091
2025-08-29,146.950000,147.510000,145.845000,146.230000,481346
2025-09-02,145.110000,145.600000,143.638000,145.230000,490860
2025-09-03,144.790000,145.600000,143.210000,143.370000,517513
2025-09-04,143.870000,143.970300,142.900000,143.740000,750492
2025-09-05,144.230000,145.525000,143.060000,145.420000,655726
2025-09-08,145.270000,145.420000,143.985000,144.760000,500006
2025-09-09,144.760000,144.855000,143.351900,143.710000,848413
2025-09-10,143.880000,145.140000,143.742500,144.710000,679185
2025-09-11,144.780000,149.045000,144.630000,148.740000,691678
2025-09-12,147.720000,148.930000,146.620000,146.700000,736260
2025-09-15,146.700000,147.990000,146.350000,146.740000,620380
2025-09-16,146.910000,147.494100,145.330000,146.160000,611584
2025-09-17,146.750000,149.530000,145.650000,147.300000,614161
2025-09-18,147.570000,150.305000,147.110000,149.630000,654067
2025-09-19,149.600000,149.885000,147.970000,149.170000,1635785
2025-09-22,148.880000,151.120000,148.020000,150.610000,584765
2025-09-23,150.930000,152.075000,147.470100,147.860000,715982
2025-09-24,148.470000,149.060000,147.430000,147.460000,487551
2025-09-25,146.470000,147.475000,144.652500,146.280000,615979
2025-09-26,147.110000,148.689900,146.080000,147.860000,404607
2025-09-29,149.040000,149.140000,148.200000,148.460000,533051
2025-09-30,148.460000,150.270000,147.520000,149.860000,915196
2025-10-01,149.260000,153.380000,149.110000,152.490000,850778
2025-10-02,152.450000,154.360000,151.230000,153.990000,923265
2025-10-03,153.990000,155.895000,153.380000,154.600000,823981
2025-10-06,155.020000,155.820000,154.120000,155.010000,719641
