d,o,h,l,c,v
2024-07-25,67.550000,68.030000,66.580000,66.720000,5836188
2024-07-26,67.850000,69.230000,67.710000,68.770000,4794459
2024-07-29,68.920000,69.630000,68.850000,69.300000,6716382
2024-07-30,69.360000,69.980000,68.980000,69.030000,4127147
2024-07-31,75.000000,75.360000,70.720000,71.540000,13980070
2024-08-01,71.790000,72.970000,69.915000,70.330000,6129145
2024-08-02,69.000000,69.080000,66.870000,67.420000,10348378
2024-08-05,65.600000,66.120000,64.310000,65.710000,6572636
2024-08-06,65.780000,67.725000,65.610000,66.700000,3423604
2024-08-07,67.510000,68.690000,65.690000,65.760000,4611503
2024-08-08,66.370000,68.050000,66.160000,67.770000,6337461
2024-08-09,67.770000,68.065000,66.980000,67.650000,2757181
2024-08-12,67.470000,67.795000,66.400000,66.560000,6673710
2024-08-13,67.270000,68.340000,67.120000,67.820000,3747442
2024-08-14,68.030000,69.030000,67.995000,68.500000,4915332
2024-08-15,69.340000,69.960000,68.945000,69.760000,4469368
2024-08-16,69.580000,69.850000,69.050000,69.380000,3270770
2024-08-19,69.710000,70.635000,69.450000,70.530000,2900405
2024-08-20,70.500000,70.695000,70.100000,70.300000,1782621
2024-08-21,70.690000,71.060000,70.320000,70.550000,5150601
2024-08-22,70.710000,71.020000,70.070000,70.600000,3012819
2024-08-23,71.110000,71.560000,70.710000,71.240000,6220347
2024-08-26,71.510000,71.785000,71.020000,71.450000,4921185
2024-08-27,71.110000,71.510000,70.740000,71.450000,3700396
2024-08-28,71.470000,71.550000,70.480000,70.790000,4208478
2024-08-29,71.230000,71.920000,70.640000,71.080000,5178216
2024-08-30,71.500000,72.960000,71.250000,72.850000,2740162
2024-09-03,72.750000,73.060000,70.370000,70.760000,2417139
2024-09-04,70.630000,71.100000,69.770000,70.040000,3000708
2024-09-05,70.130000,70.910000,68.790000,69.380000,3643082
2024-09-06,69.570000,70.320000,67.680000,67.840000,4249129
2024-09-09,68.390000,69.130000,68.030000,68.600000,4203243
2024-09-10,70.420000,70.530000,69.390000,70.340000,4591585
2024-09-11,70.120000,70.960000,68.410000,70.680000,4111006
2024-09-12,70.700000,71.230000,69.820000,71.220000,4658667
2024-09-13,71.500000,72.955300,71.340000,72.550000,4559214
2024-09-16,73.010000,73.385000,72.430000,72.510000,2674692
2024-09-17,72.860000,73.150000,72.250000,72.870000,3163047
2024-09-18,72.230000,73.970000,72.190000,72.770000,3276725
2024-09-19,74.570000,74.890000,73.810000,74.230000,4425897
2024-09-20,73.770000,74.210000,73.540000,74.100000,7051335
2024-09-23,75.000000,75.810000,74.670000,75.270000,7033598
2024-09-24,75.550000,75.980000,75.221000,75.550000,5299623
2024-09-25,75.540000,75.950000,75.240000,75.830000,5474047
2024-09-26,76.580000,76.930000,75.960000,76.540000,3953509
2024-09-27,76.950000,77.705000,76.740000,77.210000,3796465
2024-09-30,76.960000,77.700000,76.740000,77.610000,5720007
2024-10-01,78.020000,78.230000,76.505000,76.810000,3424878
2024-10-02,76.190000,77.125000,76.100000,76.570000,2271030
2024-10-03,76.300000,76.465000,74.980000,75.490000,2443913
2024-10-04,76.080000,76.170000,74.850000,75.680000,2436050
2024-10-07,75.030000,75.740000,74.615000,75.550000,2260786
2024-10-08,75.780000,76.490000,75.280000,76.350000,3644536
2024-10-09,76.640000,77.870000,76.470000,77.700000,3194834
2024-10-10,77.370000,77.580000,76.640000,76.920000,2198274
2024-10-11,76.430000,77.830000,76.360000,77.610000,2613789
2024-10-14,77.430000,77.755000,77.130000,77.680000,1971744
2024-10-15,77.520000,77.750000,76.480000,76.600000,3095473
2024-10-16,76.690000,77.090000,76.106000,76.390000,2547099
2024-10-17,77.100000,77.390000,76.600000,77.250000,2407777
2024-10-18,77.650000,77.750000,77.020000,77.440000,2567387
2024-10-21,77.470000,77.880000,76.730000,77.170000,2546758
2024-10-22,76.910000,77.214400,76.050000,76.640000,2492073
2024-10-23,76.440000,77.570000,76.100000,76.480000,3293338
2024-10-24,77.120000,77.260000,75.730000,76.860000,4002436
2024-10-25,77.350000,77.880000,76.530000,76.740000,3226968
2024-10-28,77.320000,77.990000,77.200000,77.730000,7183698
2024-10-29,77.100000,77.449900,76.500500,77.070000,3038856
2024-10-30,76.390000,76.840000,76.080000,76.320000,3832718
2024-10-31,75.900000,76.515000,75.385000,75.550000,3652616
2024-11-01,75.950000,76.210000,75.370000,75.500000,2284792
2024-11-04,75.310000,75.850000,73.810000,74.230000,3412327
2024-11-05,74.030000,74.990000,73.915000,74.860000,4247638
2024-11-06,77.550000,81.980000,77.100000,81.470000,7906824
2024-11-07,81.460000,82.210000,80.270000,81.910000,4840164
2024-11-08,81.870000,84.785000,81.860000,84.620000,4392978
2024-11-11,84.780000,87.160000,84.780000,86.600000,5489388
2024-11-12,86.090000,86.885000,84.560000,85.160000,3623196
2024-11-13,85.440000,86.460000,85.250000,85.710000,3449892
2024-11-14,85.410000,85.980000,84.870000,85.140000,3545192
2024-11-15,84.580000,85.230000,84.290000,84.400000,3143791
2024-11-18,84.270000,84.500000,83.540000,83.650000,3439247
2024-11-19,82.900000,83.920000,82.440000,83.530000,3419144
2024-11-20,83.610000,83.690000,82.580000,82.980000,3632442
2024-11-21,83.450000,84.750000,83.080000,83.990000,3040107
2024-11-22,83.770000,84.170000,83.140000,83.450000,4360652
2024-11-25,84.130000,84.425000,83.275000,83.340000,4764470
2024-11-26,83.030000,84.120000,82.320000,83.750000,4447973
2024-11-27,83.920000,84.479900,83.370000,83.710000,2754734
2024-11-29,84.170000,85.580000,83.860000,83.860000,2898293
2024-12-02,84.160000,84.430000,83.650000,83.670000,2720601
2024-12-03,83.640000,84.090000,82.440000,82.480000,2673849
2024-12-04,82.240000,84.160000,82.020000,83.790000,2455454
2024-12-05,83.270000,84.000000,83.000000,83.090000,3668547
2024-12-06,83.370000,84.370000,83.100000,84.340000,4223078
2024-12-09,83.990000,85.130000,83.730000,83.920000,4337026
2024-12-10,83.500000,83.700000,82.200000,82.780000,2983931
2024-12-11,83.280000,84.175000,82.540000,84.020000,3310629
2024-12-12,84.020000,84.480000,83.305000,83.330000,2121565
2024-12-13,83.020000,83.759900,82.510000,82.630000,2354216
2024-12-16,82.340000,84.635000,81.890000,84.020000,4600710
2024-12-17,83.410000,83.985000,81.570000,81.850000,4465375
2024-12-18,82.690000,82.850000,78.750000,78.820000,4206325
2024-12-19,80.050000,81.340000,78.490000,78.710000,3905604
2024-12-20,78.600000,81.030000,78.270000,80.640000,6394252
2024-12-23,79.840000,80.720000,79.540000,80.310000,4021040
2024-12-24,80.050000,80.990000,79.980000,80.990000,1241122
2024-12-26,80.760000,81.280000,80.500000,80.850000,1348554
2024-12-27,79.780000,80.800000,79.495000,79.820000,1651837
2024-12-30,78.750000,79.590000,78.130000,79.140000,1621639
2024-12-31,79.610000,79.950000,78.640000,78.930000,1689514
2025-01-02,79.680000,80.142000,78.510000,78.950000,1929250
2025-01-03,79.400000,80.490000,79.190000,79.920000,1849350
2025-01-06,80.010000,81.010000,79.060000,79.270000,2261772
