d,o,h,l,c,v
2025-08-01,32.880000,33.480000,32.790000,33.320000,11688104
2025-08-04,33.250000,33.445000,32.920000,33.280000,9301662
2025-08-05,33.290000,33.805000,33.280000,33.320000,9631656
2025-08-06,33.375000,33.635000,33.080000,33.410000,8084709
2025-08-07,33.580000,34.020000,33.435000,33.900000,6568189
2025-08-08,33.900000,34.440000,33.900000,34.420000,6662971
2025-08-11,34.450000,34.850000,34.325000,34.620000,9194246
2025-08-12,34.680000,34.840000,34.523700,34.810000,7706294
2025-08-13,34.820000,34.990000,34.590000,34.820000,7758898
2025-08-14,34.760000,34.800000,34.520000,34.630000,5871934
2025-08-15,34.730000,34.820000,34.495000,34.780000,6248272
2025-08-18,34.780000,35.000000,34.610100,34.650000,6266213
2025-08-19,34.770000,35.200000,34.670000,35.180000,5824500
2025-08-20,35.350000,35.935000,35.145000,35.180000,9400770
2025-08-21,34.985000,35.390000,34.970000,35.200000,6090682
2025-08-22,35.370000,35.590000,35.060000,35.135000,5121717
2025-08-25,32.450000,32.660000,31.000000,31.100000,42830100
2025-08-26,30.995000,30.995000,28.930000,28.950000,63338135
2025-08-27,29.000000,29.780000,28.700000,29.720000,41485206
2025-08-28,29.780000,29.820000,29.215000,29.290000,21962899
2025-08-29,29.300000,29.740000,29.055000,29.090000,22202996
2025-09-02,29.080000,29.160000,28.600000,28.910000,29183799
2025-09-03,28.730000,29.210000,28.585000,29.090000,37011415
2025-09-04,29.200000,29.390000,28.700000,29.250000,34412581
2025-09-05,29.250000,29.365000,28.610000,28.650000,21098423
2025-09-08,28.590000,28.630000,27.235000,27.630000,34840230
2025-09-09,27.640000,27.855000,27.460000,27.610000,19003576
2025-09-10,27.460000,27.479900,27.101000,27.440000,19227902
2025-09-11,27.400000,27.790000,27.330000,27.590000,15495855
2025-09-12,27.560000,27.589900,27.015000,27.230000,15138142
2025-09-15,27.340000,27.400000,26.690000,26.750000,32401614
2025-09-16,26.740000,27.085400,26.580000,26.960000,20150027
2025-09-17,27.020000,27.465000,26.960000,27.260000,23760562
2025-09-18,27.135000,27.450000,27.080000,27.200000,12364670
2025-09-19,27.300000,27.310000,27.050000,27.110000,26591161
2025-09-22,26.750000,26.790000,25.920000,25.950000,23838590
2025-09-23,26.100000,26.620000,26.040000,26.500000,19629369
2025-09-24,26.200000,26.550000,26.130000,26.250000,17915603
2025-09-25,26.390000,26.480000,25.670100,25.750000,20503134
2025-09-26,25.640000,25.720000,25.400000,25.500000,20317593
2025-09-29,25.600000,25.700000,25.345000,25.670000,17747280
2025-09-30,25.650000,25.725000,25.415000,25.510000,17966896
2025-10-01,25.590000,25.865000,25.560000,25.600000,15747484
2025-10-02,25.560000,25.755000,25.270000,25.740000,12965441
2025-10-03,25.700000,25.985000,25.670000,25.840000,10325854
2025-10-06,25.800000,25.825000,25.190000,25.300000,23707282
2025-10-07,25.275000,25.500000,25.030000,25.330000,15276686
2025-10-08,25.290000,25.595000,25.110000,25.580000,13028662
2025-10-09,25.670000,26.010000,25.480000,25.850000,19416177
2025-10-10,25.920000,26.030000,25.710000,25.820000,11763190
2025-10-13,25.765000,27.290000,25.525000,26.420000,32613304
2025-10-14,26.300000,26.740000,26.095000,26.690000,17088397
2025-10-15,26.630000,26.980000,26.520000,26.930000,12270140
2025-10-16,27.060000,27.780000,27.030000,27.720000,28932471
2025-10-17,27.750000,28.125000,27.500000,28.030000,23230597
2025-10-20,27.990000,28.165000,27.730000,27.750000,11046562
2025-10-21,27.840000,27.980000,27.640000,27.670000,10676918
2025-10-22,27.730000,28.100000,27.365000,27.390000,15831046
2025-10-23,27.510000,27.665000,27.380000,27.550000,12124751
2025-10-24,27.610000,27.730000,27.155000,27.160000,10217640
2025-10-27,29.750000,30.005000,28.380000,29.230000,53680816
2025-10-28,29.020000,29.100000,28.360000,28.850000,26860680
2025-10-29,28.525000,28.660000,27.090000,27.150000,29978752
2025-10-30,27.320000,27.890000,27.240000,27.680000,21264101
2025-10-31,27.500000,27.500000,26.833900,27.160000,22073412
2025-11-03,27.100000,27.100000,26.540000,26.640000,19617028
2025-11-04,26.860000,26.903500,26.400000,26.460000,16092073
2025-11-05,26.450000,26.810000,26.330000,26.720000,12807283
2025-11-06,26.540000,26.620000,26.215000,26.360000,12916765
2025-11-07,26.600000,26.670000,25.875000,25.960000,19727507
2025-11-10,26.000000,26.195000,25.850000,26.120000,22572280
2025-11-11,26.180000,26.930000,26.180000,26.730000,17000849
2025-11-12,26.880000,27.297000,26.780000,26.900000,11843661
2025-11-13,26.880000,27.160000,26.785000,27.000000,25615012
2025-11-14,27.110000,27.330000,26.825000,27.130000,18295463
2025-11-17,27.210000,27.410000,26.885000,26.960000,23188271
2025-11-18,27.020000,27.480000,26.872500,27.420000,12137010
2025-11-19,27.290000,27.360000,26.732500,26.890000,8917809
2025-11-20,26.860000,27.310000,26.840000,27.210000,14598027
2025-11-21,27.310000,27.930000,27.300000,27.740000,15256181
2025-11-24,27.630000,27.680000,27.150000,27.360000,19631748
2025-11-25,27.395000,27.430000,26.770000,27.050000,19179675
2025-11-26,27.025000,27.690000,26.954700,27.680000,11864174
2025-11-28,27.680000,27.960000,27.630000,27.900000,6348288
2025-12-01,27.840000,28.200000,27.770000,28.170000,12673415
2025-12-02,28.110000,28.210000,27.790000,28.130000,11618387
2025-12-03,28.150000,28.435000,27.990000,28.330000,16777877
2025-12-04,28.240000,28.610000,28.200000,28.580000,15526619
2025-12-05,28.570000,28.755000,28.260000,28.690000,15669739
2025-12-08,28.560000,29.115000,28.555000,29.000000,15805835
2025-12-09,29.060000,29.900000,28.770000,29.060000,21258750
2025-12-10,29.070000,29.605000,29.070000,29.530000,18699577
2025-12-11,29.560000,29.710000,29.390000,29.470000,14532687
2025-12-12,29.570000,29.665000,29.211100,29.510000,16504957
2025-12-15,29.355000,29.480000,28.755000,29.230000,23521261
2025-12-16,29.340000,29.470000,28.430000,28.590000,19314231
2025-12-17,28.500000,28.730000,28.015000,28.050000,15742441
2025-12-18,28.020000,28.400000,27.958500,28.100000,16502206
2025-12-19,28.100000,28.130000,27.820000,27.890000,27700335
2025-12-22,27.860000,28.375000,27.740000,28.240000,10752780
2025-12-23,28.240000,28.240000,27.860000,27.900000,9156609
2025-12-24,27.870000,28.050000,27.840000,28.000000,4319805
2025-12-26,27.970000,28.110000,27.900000,28.100000,5889677
2025-12-29,28.120000,28.400000,28.050000,28.160000,6962746
