d,o,h,l,c,v
2024-07-25,141.000000,142.900000,140.560000,141.070000,2704912
2024-07-26,141.680000,142.510000,141.035000,141.810000,2064513
2024-07-29,141.390000,141.640000,139.810000,140.850000,3083165
2024-07-30,137.230000,137.960000,135.410000,136.380000,3517785
2024-07-31,136.030000,136.165000,134.040000,135.050000,3375625
2024-08-01,136.120000,138.810000,135.540000,138.480000,2497295
2024-08-02,140.120000,142.180000,137.490000,140.100000,2401756
2024-08-05,140.140000,141.110000,136.860000,137.650000,2547176
2024-08-06,138.860000,140.810000,138.790000,139.080000,2077336
2024-08-07,139.260000,141.610000,139.230000,140.020000,2392186
2024-08-08,139.150000,141.290000,139.150000,141.250000,2144205
2024-08-09,140.730000,140.930000,139.655000,140.320000,1485200
2024-08-12,139.530000,139.530000,137.720000,138.300000,2394074
2024-08-13,138.480000,138.920000,137.900000,138.440000,1777127
2024-08-14,138.000000,141.040000,137.520000,140.820000,2167080
2024-08-15,141.550000,141.910000,140.050000,141.780000,1875648
2024-08-16,141.970000,142.670000,141.380000,142.460000,1552616
2024-08-19,142.730000,143.663500,142.730000,143.460000,1311781
2024-08-20,143.230000,144.370000,143.230000,144.240000,1092546
2024-08-21,144.480000,145.680000,143.855000,144.580000,1447288
2024-08-22,145.250000,145.250000,143.923100,144.600000,1420904
2024-08-23,144.590000,144.690000,142.610000,143.610000,1252039
2024-08-26,143.470000,144.220000,143.175000,144.140000,1148583
2024-08-27,144.050000,144.910000,142.970000,143.540000,1265111
2024-08-28,144.110000,145.240000,143.210000,143.860000,1467335
2024-08-29,144.030000,144.120000,142.680000,143.220000,1879247
2024-08-30,143.480000,144.710000,143.430000,144.660000,2421722
2024-09-03,145.000000,148.020000,145.000000,147.350000,1904165
2024-09-04,147.750000,148.870000,147.440000,148.350000,1853605
2024-09-05,148.860000,149.305000,147.330000,148.050000,1788158
2024-09-06,146.830000,148.140000,146.770000,146.910000,2160596
2024-09-09,146.690000,147.610000,146.380000,147.180000,1836548
2024-09-10,147.180000,148.320000,145.990000,146.250000,1498564
2024-09-11,145.790000,145.790000,142.390000,143.200000,2350354
2024-09-12,143.410000,143.740000,141.680000,142.380000,1977121
2024-09-13,141.770000,143.690000,141.500000,143.520000,1960421
2024-09-16,144.110000,144.815000,143.730000,144.200000,1650898
2024-09-17,143.610000,143.950000,141.410000,141.660000,1851207
2024-09-18,141.500000,142.380000,140.340000,141.140000,1717308
2024-09-19,140.850000,141.515000,139.970000,140.100000,1553548
2024-09-20,139.780000,141.125000,139.250000,140.750000,5576094
2024-09-23,140.470000,141.760000,140.070000,141.210000,1776917
2024-09-24,140.610000,141.950000,140.390000,141.050000,1858553
2024-09-25,142.000000,142.550000,140.890000,141.200000,1683076
2024-09-26,140.410000,142.690000,140.370000,142.180000,1478671
