d,o,h,l,c,v
2024-07-25,210.270000,215.420000,209.350000,209.720000,470543
2024-07-26,211.070000,213.580000,209.950000,210.900000,395638
2024-07-29,211.970000,213.350000,210.650000,210.750000,561546
2024-07-30,210.940000,214.740000,210.110000,213.060000,677212
2024-07-31,212.830000,217.329000,209.540000,215.440000,848855
2024-08-01,220.000000,234.220000,219.200000,233.390000,1694760
2024-08-02,232.700000,238.465000,232.680000,236.000000,1194681
2024-08-05,232.000000,232.840000,227.660100,228.570000,935141
2024-08-06,229.390000,232.230000,225.390000,225.870000,666170
2024-08-07,225.000000,225.000000,219.340000,219.360000,1149904
2024-08-08,219.120000,226.759900,217.960000,224.740000,532634
2024-08-09,224.300000,227.110000,222.170000,226.460000,515293
2024-08-12,226.360000,226.850000,222.770000,223.340000,393440
2024-08-13,223.440000,224.820000,221.100000,224.550000,431367
2024-08-14,223.930000,223.930000,220.420000,221.330000,574007
2024-08-15,222.260000,225.100000,220.220000,224.560000,607963
2024-08-16,225.000000,228.515000,225.000000,227.500000,438285
2024-08-19,227.050000,229.130000,225.065000,226.160000,308798
2024-08-20,225.910000,227.980000,224.640000,225.680000,333453
2024-08-21,226.240000,229.650000,225.830000,228.830000,301955
2024-08-22,229.150000,230.565000,227.970000,230.180000,304729
2024-08-23,231.820000,231.900000,229.700000,230.890000,319299
2024-08-26,230.890000,233.240000,229.820000,230.190000,388701
2024-08-27,230.470000,231.350000,227.120000,230.210000,342356
2024-08-28,230.210000,231.800000,228.450000,230.700000,259913
2024-08-29,230.700000,231.260000,229.435000,229.690000,406788
2024-08-30,229.880000,231.450000,227.915000,229.890000,488578
2024-09-03,229.220000,231.010000,228.240000,229.710000,333038
2024-09-04,230.360000,232.190000,227.860000,228.080000,358064
2024-09-05,228.080000,228.540000,224.330000,227.340000,430449
2024-09-06,227.360000,229.700000,223.810000,223.910000,488233
2024-09-09,224.350000,228.040000,224.330000,226.910000,674937
2024-09-10,227.250000,228.310000,214.860000,220.330000,778864
2024-09-11,218.730000,219.060000,213.910000,218.290000,582686
2024-09-12,217.780000,220.830000,214.915000,220.060000,656676
2024-09-13,220.450000,223.290000,220.380000,221.130000,395515
2024-09-16,222.380000,226.500000,222.305000,225.760000,574992
2024-09-17,226.390000,229.130000,225.980000,227.010000,595630
2024-09-18,226.630000,230.215000,226.590000,227.220000,511552
2024-09-19,228.590000,229.060000,223.840000,224.590000,584269
2024-09-20,223.380000,224.175000,220.310000,222.220000,894372
2024-09-23,224.200000,225.210000,222.550000,224.720000,513362
2024-09-24,224.220000,224.220000,219.730000,220.600000,446391
